Svtotal,Ax,Ay,Az
1.169339611,0.010317108,1.168781002,0.034636007
1.167758684,-0.004912909,1.167552774,0.021371153
1.166634563,-0.020879862,1.166324547,0.016949535
1.164665985,-0.02530148,1.164359384,0.00859759
1.171863484,-0.017686472,1.171728747,0.001719518
1.196152301,-0.007369363,1.196047645,0.01400179
1.244698435,-0.038320689,1.242965924,-0.05330506
1.308722389,-0.097275594,1.300201312,-0.112996902
1.284175741,-0.080080413,1.277847577,-0.098995112
1.310264969,-0.085975904,1.29062114,-0.209044269
1.358253804,-0.001965164,1.33262651,-0.262594975
1.374890363,0.052322479,1.335082964,-0.32425198
1.339790988,0.093590912,1.288655976,-0.354466369
1.324813863,0.121348847,1.26851305,-0.362327023
1.168537886,0.079343477,1.114493359,-0.342184097
1.042848882,0.008843236,0.986512085,-0.338008125
0.932991583,-0.047900861,0.867619693,-0.339727643
0.84333861,-0.08081735,0.766659417,-0.341938452
0.788419196,-0.05600716,0.698369985,-0.361590087
0.76759051,0.018423408,0.668892532,-0.376083168
0.767243203,0.102188503,0.659066714,-0.379276559
0.79387183,0.184725371,0.688544167,-0.349307815
0.841147843,0.219115732,0.765922481,-0.269964338
0.896800768,0.210518142,0.850424512,-0.191603443
0.93715596,0.178092944,0.909625063,-0.138298382
0.944266342,0.12871821,0.927802825,-0.119383684
0.941396047,0.093345267,0.927802825,-0.129209501
0.923448514,0.058217969,0.907414254,-0.161143408
0.903490272,0.03610988,0.886288746,-0.171706162
0.90971584,0.012527917,0.894886336,-0.163108572
0.913226427,-0.013756145,0.900290536,-0.152545818
0.936602639,-0.037583752,0.92755718,-0.124296592
0.965388984,-0.063867814,0.958999796,-0.090643167
0.988020343,-0.073447986,0.982581758,-0.072956696
1.003439491,-0.063867814,0.999040003,-0.068780723
0.995908961,-0.033162134,0.993144512,-0.066324269
0.981156565,-0.015966954,0.978897077,-0.064604751
0.986851044,-0.010808399,0.985283858,-0.054533288
0.987423415,-0.013264854,0.986512085,-0.040285852
0.981970218,-0.021616799,0.981353531,-0.027266644
0.965266498,-0.029477453,0.964649641,-0.017932117
0.951343465,-0.038320689,0.950402206,-0.017932117
0.954181245,-0.046672634,0.952613015,-0.028494871
0.951417768,-0.055024578,0.948928333,-0.041268434
0.962479427,-0.051831188,0.959736732,-0.050848606
0.973504685,-0.043724888,0.971527714,-0.043970534
1.000106846,-0.027512289,0.999040003,-0.037092461
1.025685642,-0.016949535,1.025078419,-0.030951325
1.049876367,-0.011054045,1.049397318,-0.029723098
1.079225536,0.000245645,1.078874771,-0.027512289
1.094073351,-0.008843236,1.093613497,-0.030460035
1.117754476,-0.011545336,1.117195459,-0.03340778
1.110823589,-0.034390362,1.108352223,-0.065587332
1.099078475,-0.022845026,1.094350433,-0.099240758
1.122484114,0.005895491,1.111299969,-0.157950018
1.187199988,0.08671284,1.177869883,-0.120611911
1.278792551,0.172688744,1.259669814,-0.13682451
1.332008834,0.237784786,1.295534048,-0.19823587
1.265386803,0.299687436,1.204645236,-0.245399794
1.116904892,0.312215354,1.034904237,-0.281018383
0.967090715,0.256453839,0.865163238,-0.347833942
0.851713139,0.225256868,0.742831809,-0.350536042
0.81190541,0.217641859,0.717284684,-0.311969708
1.117374386,0.015966954,1.10638706,-0.155493563
1.053356145,-0.055761515,1.037360691,-0.174162617
0.81173568,-0.086467195,0.801786715,-0.092608331
0.770507988,-0.042742306,0.76813329,-0.042742306
0.806520493,-0.033162134,0.805471396,-0.024318899
0.824514142,-0.024810189,0.82414045,-0.000736936
0.841111005,-0.004667263,0.841089985,0.003684682
0.919916458,0.077623959,0.915520553,0.045198761
0.956728756,0.024810189,0.953841242,0.07000895
0.982858132,0.005649845,0.979634013,0.079343477
1.035780097,0.017195181,1.031219555,0.095556076
1.07636904,0.013264854,1.071259762,0.103908021
1.067510445,0.011790981,1.063399108,0.092853976
1.050006425,-0.006386781,1.047432154,0.073202341
1.040821526,-0.029968744,1.038097628,0.069026369
1.133898019,-0.030951325,1.13168854,0.063622169
1.19071508,0.014247435,1.187450055,0.086958486
1.223228606,0.048883442,1.217910089,0.102925439
1.278964723,-0.050602961,1.277847577,0.017195181
1.313118531,-0.14272,1.304377284,-0.05011167
1.32223529,-0.129700792,1.315676974,-0.021862444
1.231124632,-0.102925439,1.220120898,-0.127981274
1.17581145,-0.085975904,1.158218248,-0.183497143
1.138034362,-0.120366265,1.108352223,-0.228450259
1.066656115,-0.144930809,1.028517456,-0.242697694
1.018546296,-0.162862926,0.97816014,-0.232626231
0.994112071,-0.158441309,0.958017214,-0.212974596
0.966740023,-0.152545818,0.93345267,-0.199955388
0.944488156,-0.17882988,0.901027472,-0.219607023
0.928460768,-0.216659278,0.86614582,-0.254734321
0.921894931,-0.219361378,0.849687576,-0.282492256
0.931116665,-0.192094734,0.859267748,-0.302880827
0.93543925,-0.138544028,0.873023892,-0.306074218
0.993459706,-0.000736936,0.963912705,-0.240486885
1.026333751,0.051831188,1.00567243,-0.19823587
1.010540854,0.077378313,0.992407576,-0.174162617
0.89531805,0.02210809,0.877936801,-0.174162617
0.809914248,-0.010562754,0.790241379,-0.177110362
0.736730316,-0.037092461,0.712863066,-0.182268916
0.743331137,-0.047163924,0.71802162,-0.186444889
0.92781024,-0.114470775,0.908888126,-0.147141618
0.937314599,-0.108329639,0.920924753,-0.13682451
0.938946267,-0.075904441,0.928785407,-0.114962066
0.971303998,-0.06411346,0.965386578,-0.085730258
1.006910964,-0.097275594,0.998548712,-0.085484613
1.018093016,-0.091134458,1.012304857,-0.05870926
1.018594637,-0.043970534,1.016235184,-0.053550706
1.085623983,-0.07541315,1.082068161,-0.044953115
1.090929153,-0.072956696,1.08698107,-0.057235387
1.075553248,-0.05600716,1.072733635,-0.054041997
1.079819214,-0.066078623,1.076663962,-0.049374733
1.139266315,-0.094082203,1.127512568,-0.133385474
1.247446461,-0.029477453,1.236579143,-0.161634699
1.42069031,0.065832978,1.415409023,-0.103171085
1.647508729,0.121840138,1.638455082,-0.122085783
1.771360438,0.141000482,1.756610538,-0.179321171
1.341426247,0.029231807,1.322800692,-0.22083525
1.046167706,-0.024564544,1.009111466,-0.274877247
0.790186285,0.169495353,0.709669675,-0.303372118
0.967840694,0.011790981,0.955315115,-0.154756627
0.96590292,-0.049374733,0.956788987,-0.12282272
0.9377364,-0.069517659,0.929031052,-0.106855766
0.883749439,-0.081062995,0.872286956,-0.116435938
0.824125001,-0.040040207,0.811366887,-0.138789673
0.821996078,-0.007123718,0.808910433,-0.145913391
0.838289456,0.013756145,0.826105613,-0.141737419
1.037064455,0.036846816,1.035886819,-0.032916489
1.041270968,0.030214389,1.040554082,-0.024073253
1.02455509,0.011054045,1.023850192,-0.036355525
0.940739101,-0.01940599,0.936646061,-0.085484613
0.937658278,-0.005895491,0.934680898,-0.074430568
0.980224727,-0.013756145,0.979388368,-0.038075043
0.963460308,-0.024318899,0.962438832,-0.037092461
0.952843367,-0.039548916,0.950402206,-0.055515869
0.934085865,-0.055024578,0.930750571,-0.056498451
1.031868427,-0.004421618,1.029008746,-0.076641377
1.048199055,-0.018423408,1.044484409,-0.086221549
1.052107648,-0.018177763,1.049888609,-0.065832978
1.085070991,-0.048637797,1.07568138,-0.133876765
1.190298468,-0.074676214,1.172956974,-0.188164407
1.161948863,-0.045935697,1.144707748,-0.194059897
1.27412058,-0.098995112,1.233631398,-0.302880827
1.096105019,-0.05330506,1.048906027,-0.313689226
0.870347445,-0.209289915,0.77402878,-0.338499416
0.946676253,-0.177847298,0.794417352,-0.48318458
1.012692623,-0.141000482,0.844283376,-0.541156903
1.151915205,-0.026038417,1.029500037,-0.516101069
1.203121034,0.014738726,1.121617077,-0.435038073
1.209888678,0.039548916,1.15649873,-0.353238142
0.95570318,-0.191357797,0.853126612,-0.385908986
0.922746062,-0.194796834,0.803260587,-0.410227884
0.889210773,-0.147141618,0.778941689,-0.402858521
0.934629798,-0.071728468,0.865408884,-0.345623133
0.959658012,-0.057972324,0.900290536,-0.327199726
0.943569571,-0.061657005,0.877936801,-0.340218934
0.919861128,-0.06681556,0.839861758,-0.369205096
0.985391426,-0.01940599,0.921661689,-0.348079588
1.017826032,0.024810189,0.969071259,-0.31025019
0.969167894,0.020388571,0.928048471,-0.278561928
0.919290078,0.009334527,0.875234701,-0.281018383
0.859578084,-0.014247435,0.814068987,-0.275614183
0.877642788,-0.036355525,0.834457558,-0.269473047
0.92249194,-0.055761515,0.876954219,-0.280772737
0.983903792,0.007369363,0.928048471,-0.326708435
0.920744809,0.088432358,0.889727782,-0.219852668
0.837520588,0.065341687,0.804488815,-0.22353735
0.772689903,0.05281377,0.728093083,-0.253260448
0.715383881,0.065096041,0.65390816,-0.282737901
0.658395861,0.097029949,0.575055974,-0.305582927
0.616713509,0.126753047,0.497677661,-0.341447161
0.608425076,0.162617281,0.439214046,-0.38836544
0.640199239,0.17023229,0.434792428,-0.437985819
0.707816454,0.185462307,0.474341344,-0.491536525
0.805687571,0.175636489,0.566949675,-0.544841585
0.891461921,0.176373426,0.667664305,-0.563756284
0.96076441,0.186690534,0.771081035,-0.54189384
0.991897731,0.189883925,0.842072567,-0.488588779
0.961506677,0.216904923,0.867865338,-0.352501206
0.973382941,0.219607023,0.841335631,-0.437494528
0.975390951,0.224028641,0.828316422,-0.46377859
0.960019683,0.233117522,0.800558488,-0.475815216
0.92308987,0.235082686,0.758798763,-0.470165371
0.875012917,0.23483704,0.70991532,-0.454444063
0.82652934,0.218378796,0.667664305,-0.435529364
0.824481757,0.203885715,0.659558005,-0.450759382
0.884569501,0.214202823,0.697633048,-0.49988847
0.975693482,0.241223822,0.759290054,-0.563264993
1.039275546,0.254979966,0.813086405,-0.594953255
1.051658391,0.236310913,0.848704994,-0.574319038
0.996747046,0.203640069,0.866637111,-0.448302927
0.816263717,0.192340379,0.703282894,-0.366994287
0.901908566,0.234100104,0.717530329,-0.493747334
1.012544245,0.266525302,0.747499073,-0.628852325
1.083460947,0.27684241,0.761992154,-0.718758556
0.952454675,0.214694114,0.727110501,-0.576529847
0.931816304,0.218870087,0.723180174,-0.545332876
1.230365866,0.369205096,0.776976525,-0.879656319
1.214622386,0.336534252,0.800312842,-0.84944193
1.104837574,0.204622651,0.821683995,-0.709669675
1.048434305,0.234345749,0.761992154,-0.680929159
1.072293441,0.302880827,0.708441448,-0.745779555
1.101528549,0.327199726,0.711634838,-0.774520071
1.195652297,0.393278349,0.76813329,-0.827579486
1.153413637,0.3016526,0.85754823,-0.70991532
