AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1882,-797,38,33,31,18
-1885,-818,16,32,20,29
-1901,-789,8,47,-15,26
-1885,-815,26,48,-22,17
-1875,-803,23,61,-61,21
-1863,-791,53,47,-50,33
-1877,-789,54,22,-25,35
-1888,-791,39,10,-33,36
-1876,-809,38,8,-23,36
-1890,-811,44,3,16,25
-1887,-798,36,-4,6,14
-1841,-791,42,-20,21,30
-1874,-803,46,-32,43,49
-1887,-803,39,-44,38,44
-1876,-807,20,-47,46,44
-1874,-801,3,-36,72,51
-1882,-782,11,-24,48,54
-1862,-799,19,-22,24,56
-1871,-792,16,-21,18,59
-1864,-783,17,-16,-8,63
-1889,-792,30,-39,35,70
-1916,-793,-6,-56,22,58
-1913,-805,-37,-46,8,56
-1909,-822,-70,-28,18,44
-1904,-822,-51,10,21,29
-1890,-791,-31,23,23,12
-1872,-787,12,24,20,23
-1920,-796,25,18,9,42
-1941,-773,26,20,-73,38
-1909,-783,34,3,-66,29
-1891,-771,22,-10,-39,28
-1902,-795,-1,-12,-17,26
-1938,-776,-15,-8,2,-2
-1896,-780,-14,-6,-21,-5
-1909,-784,-28,-2,0,7
-1933,-788,-33,-3,15,-9
-1906,-795,-53,1,15,-24
-1872,-792,-72,14,28,-11
-1903,-834,-43,53,-45,5
-1889,-777,-9,72,-110,-5
-1881,-785,9,62,-95,-1
-1886,-761,33,52,-66,1
-1860,-769,27,35,-13,6
-1888,-775,28,30,4,10
-1875,-778,13,13,8,-3
-1874,-790,-10,12,27,-11
-1878,-780,4,11,32,8
-1863,-772,26,-4,6,24
-1859,-778,12,-9,25,26
-1836,-788,-12,-39,20,33
-1871,-792,-14,-25,33,27
-1875,-825,-17,9,2,26
-1830,-785,-2,25,4,39
-1878,-795,24,22,59,68
-1918,-775,30,22,18,54
-1892,-767,39,3,1,45
-1889,-779,41,-3,1,53
-1901,-775,37,-8,7,51
-1887,-770,37,-23,-13,45
-1869,-768,33,-39,34,52
-1873,-770,13,-45,53,56
-1860,-781,24,-52,45,74
-1852,-779,23,-61,60,91
-1831,-793,17,-67,67,112
-1832,-779,36,-72,84,140
-1813,-770,57,-97,88,160
-1816,-753,94,-139,104,183
-1756,-729,111,-179,112,208
-1732,-825,103,-216,132,279
-1717,-794,170,-231,175,363
-1703,-788,246,-291,185,436
-1740,-790,330,-391,199,528
-1671,-796,451,-534,233,634
-1722,-848,583,-705,318,767
-1802,-898,672,-866,358,871
-1872,-940,813,-1039,456,977
-2085,-974,852,-1223,702,1039
-2228,-983,903,-1386,957,1036
-2465,-955,797,-1547,1271,1029
-2808,-934,556,-1676,1616,966
-3160,-856,291,-1747,1829,846
-3529,-814,-56,-1808,2012,666
-3882,-749,-459,-1816,2189,372
-4339,-798,-969,-1684,2356,-3
-4906,-859,-1661,-1237,2103,-500
-5345,-723,-2026,-511,1149,-1095
-5338,-536,-1986,140,289,-1802
-5069,-263,-1783,583,-372,-2413
-4738,2,-1596,791,-731,-2859
-4352,12,-1546,856,-806,-3136
-4067,-14,-1535,933,-707,-3361
-3794,-15,-1665,1021,-630,-3613
-3365,-73,-1808,1150,-555,-3749
-3037,-205,-1994,1364,-337,-3820
-2638,-35,-2146,1611,-359,-3860
-2299,-277,-2157,1785,-369,-3887
-1864,-247,-2197,1934,-275,-3928
-1540,-205,-2165,2107,-305,-3807
-1160,-244,-1982,2213,-417,-3529
-905,-334,-1818,2323,-671,-3293
-594,-345,-1651,2403,-893,-3102
-90,-203,-1454,2357,-864,-2747
359,-291,-1309,2278,-522,-2355
517,-291,-1172,2244,-168,-2027
787,-219,-927,2202,43,-1765
1025,-215,-587,2053,307,-1526
1161,-197,-351,1910,611,-1276
1296,-184,-113,1775,913,-996
1576,-248,-34,1624,1154,-743
2066,-238,-49,1546,1646,-394
2340,-415,-262,1434,2175,64
2308,-577,-409,1500,2608,499
2112,-627,-362,1612,2948,777
1729,-634,-242,1639,3075,1025
1474,-620,-132,1566,2851,1338
1100,-503,132,1459,2290,1723
804,-352,503,1315,1225,2219
655,-227,853,1189,280,2547
741,-125,1238,935,12,2685
668,-275,1296,649,40,2792
485,-462,1359,405,430,2828
222,-471,1383,144,841,2846
-226,-534,1430,73,1067,2963
-756,-530,1510,111,829,3000
-933,-501,1767,150,384,2999
-1004,-376,2064,38,189,2994
-1222,-313,2251,-148,266,2962
-1611,-324,2341,-396,422,2938
