AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1332,-1512,-2,54,21,31
-1373,-1496,10,49,36,55
-1351,-1536,30,30,52,46
-1401,-1501,9,34,-6,57
-1389,-1517,-2,70,-1,86
-1438,-1480,-7,93,-58,69
-1432,-1475,21,94,-57,35
-1429,-1455,46,72,-65,28
-1383,-1456,51,36,-34,12
-1384,-1465,55,-4,28,13
-1395,-1486,42,-35,59,11
-1401,-1466,61,-62,82,10
-1428,-1483,32,-97,94,51
-1441,-1481,8,-89,58,76
-1367,-1542,-19,-75,45,65
-1385,-1525,-14,-65,69,8
-1383,-1536,-28,-58,79,-9
-1429,-1543,-74,-7,41,19
-1425,-1521,-66,20,-22,38
-1385,-1531,-36,35,-86,50
-1375,-1490,-11,23,-38,63
-1452,-1491,-21,3,-28,59
-1446,-1486,-8,-12,-72,44
-1427,-1465,-8,-40,-42,34
-1425,-1463,-15,-70,-11,24
-1419,-1499,-41,-79,31,41
-1378,-1527,-70,-58,52,22
-1392,-1512,-75,-28,82,0
-1434,-1494,-60,-3,45,8
-1428,-1482,-18,1,1,45
-1402,-1498,-42,-1,-29,78
-1371,-1485,-31,-3,-15,40
-1439,-1500,-64,3,-43,26
-1405,-1475,-42,18,-102,37
-1389,-1476,-35,4,-52,38
-1411,-1475,-29,-9,-56,53
-1413,-1488,-30,-13,-44,53
-1409,-1489,-32,-18,0,38
-1419,-1514,-61,-4,17,17
-1417,-1509,-51,17,8,-5
-1417,-1501,-27,28,-13,-17
-1396,-1477,0,20,19,-17
-1408,-1492,6,9,8,6
-1406,-1480,25,-16,34,3
-1404,-1467,11,-44,45,-4
-1421,-1487,-6,-60,38,7
-1397,-1509,-11,-61,25,16
-1393,-1488,-29,-50,7,18
-1387,-1502,-31,-55,31,35
-1408,-1498,-46,-43,22,49
-1424,-1486,-38,-26,-30,58
-1417,-1477,-10,-40,-28,55
-1415,-1475,-24,-52,-20,48
-1461,-1489,-43,-67,5,75
-1380,-1465,-35,-65,-9,66
-1412,-1494,-42,-72,30,26
-1446,-1459,-59,-68,-20,40
-1398,-1461,-34,-90,-8,20
-1427,-1499,-56,-96,18,23
-1421,-1497,-64,-72,-13,47
-1417,-1487,-56,-62,-27,46
-1395,-1485,-54,-49,-32,34
-1407,-1487,-46,-61,-6,48
-1403,-1490,-53,-60,-14,49
-1392,-1501,-56,-44,-9,42
-1411,-1489,-53,-33,23,40
-1445,-1480,-55,-41,44,33
-1454,-1488,-68,-46,43,17
-1445,-1489,-62,-45,27,4
-1441,-1492,-79,-47,46,-7
-1452,-1493,-97,-15,-7,0
-1445,-1482,-79,7,-49,9
-1434,-1472,-52,9,-60,4
-1414,-1459,-34,-14,-21,-8
-1420,-1469,-40,-38,38,-9
-1434,-1487,-49,-49,36,-15
-1438,-1484,-62,-50,-13,-10
-1404,-1477,-61,-59,-4,-8
-1394,-1508,-68,-56,9,9
-1432,-1497,-60,-40,14,14
-1463,-1506,-63,-43,5,0
-1432,-1505,-63,-28,-24,-6
-1428,-1509,-41,-19,-20,-8
-1439,-1500,0,-24,-40,-4
-1405,-1495,26,-50,-36,-2
-1381,-1505,36,-74,-5,3
-1383,-1509,38,-119,57,-1
-1386,-1552,7,-153,87,-1
-1384,-1592,-5,-167,87,15
-1382,-1587,4,-168,91,41
-1423,-1603,0,-190,118,45
-1424,-1622,-25,-191,146,54
-1500,-1681,-96,-208,203,45
-1579,-1749,-168,-207,159,39
-1613,-1790,-226,-195,123,21
-1652,-1826,-313,-205,128,-6
-1689,-1857,-397,-200,153,-13
-1765,-1910,-493,-163,170,-75
-1834,-1896,-656,-109,108,-100
-1889,-1956,-815,13,-20,-94
-1910,-2033,-1022,179,-221,-151
-1910,-2026,-1141,415,-358,-200
-1898,-1942,-1261,498,-300,-250
-1891,-1966,-1345,494,-147,-343
-1855,-1881,-1398,515,162,-430
-1831,-1851,-1578,446,445,-536
-1811,-1824,-1775,520,804,-552
-1849,-2002,-2215,846,991,-604
-1918,-1867,-2460,1283,839,-687
-1789,-1711,-2375,1595,797,-765
-1625,-1568,-2371,1887,898,-797
-1606,-1438,-2473,2082,974,-821
-1583,-1386,-2542,2375,960,-792
-1671,-1116,-2577,2660,765,-714
-1615,-717,-2338,3072,204,-541
-1737,-941,-1583,3827,-224,-167
-1954,-228,-1711,3275,-919,-99
-1353,-260,-1459,3450,-522,166
-1249,-68,-1203,2985,24,-239
-1187,22,-940,3053,709,-441
-1368,78,-918,3209,953,-577
-1509,136,-782,3547,737,-546
-1193,643,-377,3777,-90,-384
-897,742,240,4084,-543,-222
-591,1039,813,3841,-591,4
-703,1026,1142,3733,-293,69
-768,1046,1254,3428,-58,68
-798,1051,1190,3166,281,-23
-798,957,1237,2958,349,-81
-634,820,1414,2770,464,-29
-637,730,1551,2462,664,25
-462,577,1771,2247,777,-36
-258,446,2159,2159,906,-56
-136,271,2479,1896,1090,2
-234,-3,2737,1749,1151,111
-263,-105,3065,1595,1089,227
-330,-267,3389,1361,1142,400
-388,-426,3580,1042,1257,590
-496,-625,3583,561,1399,668
-665,-818,3454,128,1502,717
-884,-1054,3164,-219,1496,830
-1201,-1297,2734,-459,1470,941
-1635,-1548,2201,-404,1270,955
-1892,-1639,1990,-180,827,838
-1925,-1649,2023,-24,473,679
-1896,-1653,2153,8,341,611
-2008,-1803,2254,-21,277,582
-2170,-1901,2298,-35,170,514
-2340,-1967,2298,-89,-1,470
-2465,-1986,2200,-128,-232,361
-2509,-1892,2113,-118,-480,222
-2536,-1769,2078,-118,-706,58
-2427,-1601,2202,-98,-922,-96
-2225,-1309,2342,-250,-823,-273
-2041,-1190,2307,-526,-487,-370
-2019,-1119,2126,-760,-9,-419
-2086,-1112,1841,-932,259,-454
-2011,-1135,1548,-1050,418,-466
-1994,-1136,1291,-1098,493,-442
-1998,-1179,1099,-1165,492,-440
-2009,-1234,896,-1179,483,-469
-1989,-1224,704,-1201,436,-521
-1834,-1205,490,-1250,410,-567
-1723,-1286,348,-1246,388,-545
-1678,-1366,232,-1170,362,-505
-1629,-1424,206,-1039,204,-501
-1574,-1413,252,-892,32,-485
-1488,-1379,297,-789,-160,-476
-1364,-1357,354,-736,-265,-465
-1301,-1343,382,-719,-324,-404
-1288,-1334,385,-748,-392,-346
-1268,-1339,389,-798,-446,-314
-1225,-1352,348,-846,-413,-323
-1210,-1385,302,-865,-358,-330
-1124,-1369,277,-861,-335,-308
-1015,-1384,261,-828,-227,-251
-1084,-1477,206,-680,-211,-169
-1130,-1423,282,-528,-200,-178
-1119,-1377,375,-479,-153,-219
-1060,-1373,410,-484,-69,-230
-1090,-1404,364,-507,29,-179
-1116,-1423,297,-505,52,-135
-1159,-1447,218,-475,-6,-122
-1148,-1454,181,-421,-165,-91
-1081,-1463,210,-355,-300,-53
-1032,-1434,241,-322,-312,-25
-1022,-1426,278,-305,-261,8
-1074,-1433,340,-281,-201,33
-1099,-1392,390,-288,-149,52
-1115,-1388,388,-324,-89,97
-1171,-1432,363,-324,-103,152
-1234,-1397,349,-309,-117,174
-1265,-1369,347,-313,-133,200
-1292,-1441,319,-304,-133,225
-1341,-1435,273,-230,-231,223
-1350,-1424,300,-202,-178,191
-1384,-1420,314,-186,-76,172
-1410,-1421,314,-188,8,167
-1432,-1449,299,-155,-23,168
-1436,-1452,300,-128,-25,166
-1452,-1452,288,-97,-27,172
-1460,-1467,319,-56,-14,169
-1468,-1479,365,-49,-14,162
-1482,-1465,393,-26,-15,148
-1495,-1462,444,-42,7,111
-1509,-1462,457,-66,43,92
-1513,-1468,455,-88,79,83
-1507,-1460,456,-110,63,58
-1458,-1473,463,-137,54,42
-1429,-1470,458,-156,81,31
-1410,-1506,458,-155,31,32
-1343,-1492,438,-129,-17,60
-1394,-1512,432,-131,58,79
-1439,-1511,420,-109,19,81
-1409,-1506,424,-91,-30,72
-1411,-1523,422,-49,-60,77
-1428,-1477,458,-9,-5,55
-1469,-1456,506,-21,64,32
-1514,-1415,567,-25,60,4
-1495,-1393,613,-76,13,-5
-1465,-1399,592,-141,31,-21
-1423,-1414,532,-183,34,-23
-1385,-1432,513,-206,52,-21
-1368,-1432,488,-209,72,-28
-1326,-1429,486,-243,106,-17
-1300,-1434,483,-271,133,-12
-1299,-1432,473,-312,164,-4
-1309,-1406,483,-344,166,20
-1324,-1468,494,-373,137,35
-1316,-1463,469,-358,63,87
-1388,-1505,381,-332,-6,141
-1432,-1531,304,-305,-84,153
-1458,-1501,276,-252,-202,155
-1410,-1482,306,-223,-216,159
-1385,-1466,347,-211,-175,150
-1398,-1449,412,-240,-98,113
-1445,-1411,455,-274,-61,83
-1461,-1387,498,-313,-91,77
-1450,-1379,533,-368,-88,75
-1450,-1350,577,-417,-132,68
-1432,-1337,626,-496,-154,52
-1378,-1314,675,-586,-152,85
-1419,-1314,726,-665,-132,132
-1412,-1225,721,-801,-166,221
-1347,-1355,734,-954,-188,262
-1295,-1415,691,-1010,-159,295
-1289,-1389,688,-1049,-113,336
-1364,-1374,646,-1155,-54,372
-1393,-1424,558,-1261,-46,395
-1440,-1444,515,-1317,-47,420
-1475,-1484,458,-1374,-39,414
-1543,-1505,382,-1377,-79,413
-1598,-1557,339,-1356,-163,383
-1626,-1609,305,-1275,-284,335
-1584,-1640,297,-1182,-371,276
-1509,-1656,336,-1086,-407,228
-1445,-1668,436,-1026,-315,201
-1439,-1651,544,-1016,-126,145
-1492,-1669,648,-1059,1,103
-1585,-1702,713,-1116,-15,97
-1584,-1716,758,-1202,-110,95
-1557,-1770,780,-1258,-225,104
-1642,-1775,829,-1276,-291,105
-1774,-1774,814,-1244,-425,103
-1738,-1726,863,-1211,-698,62
-1640,-1611,958,-1247,-845,21
-1594,-1549,931,-1404,-772,-3
-1589,-1556,830,-1669,-628,-20
-1627,-1588,681,-1746,-616,-51
-1654,-1565,552,-1728,-811,-106
-1553,-1512,500,-1721,-987,-156
-1440,-1483,494,-1771,-1045,-222
-1367,-1399,364,-1874,-910,-293
-1346,-1437,53,-1947,-735,-325
-1315,-1534,-406,-1915,-709,-328
-1217,-1487,-846,-1799,-837,-159
-1038,-1449,-1150,-1879,-652,93
-1149,-1500,-1453,-1662,-484,84
-1368,-1392,-1569,-1392,-475,198
-1536,-1331,-2031,-1243,-181,208
-1787,-1445,-2604,-888,80,102
-1883,-1524,-3160,-329,78,4
-1846,-1562,-3547,195,221,-193
-1547,-1493,-4058,796,220,-221
-1487,-1565,-4473,1323,557,-28
-1660,-1433,-4603,1709,1053,123
-1858,-1281,-4448,2118,1467,100
-2112,-1091,-4360,2560,1670,-24
-2208,-788,-4185,2965,1609,-88
-2271,-554,-3894,3197,1573,-63
-2172,-415,-3646,3471,1343,-57
-2084,-321,-3404,3862,1298,-14
-2095,-191,-3221,4193,1305,22
-1976,-26,-2788,4646,1205,-77
-1887,258,-2340,5042,1537,-219
-2046,665,-1775,5349,1673,-372
-2408,900,-1447,5975,845,-96
-2172,1455,-752,6013,222,-22
-2425,1566,92,6118,-436,337
-2194,1798,615,5465,-653,649
-2122,1736,1591,5031,-847,289
-2465,1907,2284,4856,-932,-99
-1069,2007,2778,4051,-256,-858
-1544,1841,3124,3394,587,-914
-1457,1704,3068,2762,707,-819
-1259,1511,3080,2242,418,-751
-903,1411,3139,1801,365,-651
-596,1186,3340,1292,468,-602
-364,730,3382,822,683,-621
-233,362,3214,325,1081,-623
-230,-88,2927,-142,1395,-570
-337,-539,2691,-320,1545,-530
-388,-970,2347,-506,1438,-461
-410,-1248,2047,-601,1300,-450
-359,-1366,1847,-705,1249,-302
-347,-1643,1663,-792,1204,-216
-521,-1856,1504,-761,1113,-60
-751,-2019,1454,-693,871,91
-942,-2172,1475,-666,742,129
-1137,-2260,1318,-561,461,194
-1250,-2240,1222,-467,224,249
-1437,-2296,1134,-359,57,318
-1562,-2268,1109,-250,-6,387
-1673,-2166,1103,-186,18,397
-1780,-2077,1108,-157,92,401
-1928,-2011,1117,-145,172,392
-2013,-1847,1096,-159,157,338
-2156,-1772,1118,-143,93,325
-2188,-1617,1163,-148,-87,292
-2223,-1518,1226,-229,-235,308
-2325,-1456,1207,-290,-424,302
-2336,-1364,1164,-395,-633,230
-2284,-1316,1101,-527,-682,159
-2218,-1318,986,-643,-629,62
-2150,-1339,839,-716,-512,-85
-2067,-1361,708,-741,-371,-253
-1878,-1348,588,-741,-215,-395
-1709,-1384,497,-723,-57,-434
-1614,-1358,385,-701,60,-395
-1527,-1388,307,-669,117,-378
-1470,-1395,267,-629,107,-319
-1427,-1409,237,-597,24,-214
-1397,-1442,250,-543,-121,-114
-1325,-1409,277,-490,-155,-78
-1303,-1354,295,-504,-91,-43
-1339,-1380,306,-510,-64,11
-1350,-1407,269,-494,-60,12
-1340,-1386,234,-573,-48,-64
-1312,-1403,208,-542,-17,-51
-1359,-1411,173,-511,-13,-24
-1359,-1423,179,-467,-123,-46
-1286,-1419,191,-441,-156,-73
-1233,-1413,154,-449,-41,-81
-1223,-1432,120,-459,83,-52
-1251,-1462,71,-430,168,-35
-1298,-1465,37,-394,193,-28
-1267,-1472,-12,-348,210,-2
-1343,-1498,-32,-304,191,67
-1408,-1507,-2,-215,41,79
-1418,-1487,58,-135,-31,39
-1427,-1456,94,-110,-55,6
-1415,-1446,144,-86,-68,25
-1453,-1450,153,-43,-196,80
-1438,-1429,207,-25,-213,63
-1439,-1402,216,-35,-202,52
-1417,-1416,239,-36,-161,43
-1343,-1436,235,-46,-55,57
-1454,-1426,220,-27,-61,106
-1438,-1407,258,-50,-82,88
-1460,-1414,243,-52,-31,73
-1444,-1419,237,-59,9,48
-1432,-1428,233,-64,89,31
-1476,-1420,221,-60,181,25
