AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1485,-1470,-344,-3,39,-45
-1464,-1462,-375,-7,50,-80
-1434,-1497,-423,11,22,-73
-1462,-1500,-433,57,10,-80
-1435,-1478,-419,78,-58,-87
-1373,-1481,-375,96,-71,-67
-1345,-1489,-331,100,-34,-56
-1352,-1474,-283,97,-2,-33
-1404,-1449,-263,80,-4,-9
-1414,-1469,-263,50,-66,3
-1421,-1487,-287,44,-81,-14
-1431,-1490,-311,53,-87,-36
-1428,-1471,-318,71,-102,-64
-1406,-1465,-296,79,-109,-78
-1371,-1455,-282,67,-58,-91
-1340,-1458,-295,43,2,-83
-1346,-1470,-308,30,37,-49
-1388,-1444,-311,11,60,-26
-1418,-1471,-333,-7,48,-26
-1430,-1486,-387,18,-7,-40
-1451,-1473,-396,83,-104,-50
-1430,-1458,-374,120,-202,-82
-1359,-1464,-327,129,-237,-87
-1325,-1452,-270,129,-175,-72
-1331,-1425,-243,112,-130,-67
-1336,-1460,-229,80,-93,-76
-1311,-1467,-240,49,-74,-68
-1291,-1463,-265,14,-8,-46
-1355,-1483,-294,15,-11,-35
-1346,-1484,-311,17,-42,-44
-1340,-1494,-315,21,-12,-42
-1394,-1507,-365,32,-6,-49
-1414,-1513,-377,65,-47,-79
-1387,-1487,-369,99,-118,-84
-1348,-1494,-344,109,-107,-82
-1363,-1466,-332,121,-122,-58
-1360,-1484,-288,105,-134,-37
-1368,-1480,-280,95,-110,-40
-1403,-1502,-300,108,-172,-40
-1436,-1527,-299,151,-296,-48
-1400,-1494,-313,179,-348,-77
-1372,-1517,-292,205,-382,-89
-1345,-1510,-246,210,-348,-90
-1363,-1491,-221,169,-261,-103
-1341,-1489,-206,120,-187,-121
-1318,-1497,-245,89,-149,-105
-1320,-1522,-247,96,-189,-63
-1377,-1537,-265,116,-259,-43
-1400,-1521,-270,159,-454,-34
-1373,-1516,-230,189,-510,-41
-1362,-1506,-185,152,-488,-52
-1369,-1507,-198,147,-412,-59
-1424,-1540,-237,125,-414,-79
-1439,-1579,-282,195,-634,-78
-1387,-1558,-240,287,-774,-63
-1351,-1552,-166,307,-737,-59
-1359,-1675,-150,256,-503,-59
-1308,-1605,-223,314,-419,-68
-1299,-1606,-166,370,-237,-20
-1339,-1463,-105,392,-92,-32
-1456,-1485,-67,345,-174,-50
-1435,-1487,0,258,-269,-81
-1476,-1487,-97,285,-441,-104
-1434,-1487,-35,314,-598,-125
-1420,-1424,-28,253,-581,-128
-1496,-1518,-23,221,-698,-163
-1409,-1496,21,213,-709,-218
-1313,-1434,-14,148,-591,-226
-1299,-1496,-32,88,-517,-165
-1317,-1534,-52,134,-464,-143
-1378,-1520,-27,131,-385,-176
-1344,-1551,-12,131,-298,-222
