AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
885,663,1691,-1640,2430,-3600
1348,650,1642,-2114,3004,-3291
1524,565,1491,-2456,3584,-2901
1513,550,1542,-2679,3672,-2429
1583,589,1675,-2935,3199,-1777
1615,690,1743,-3351,2635,-1034
1600,775,1658,-3860,2281,-399
1447,844,1417,-4322,2156,53
1332,929,1166,-4662,2025,388
1142,992,944,-4900,2017,715
780,1122,746,-5076,2032,924
450,1285,599,-5300,1999,1062
166,1434,440,-5569,1741,1309
-276,1495,175,-5880,1280,1576
-627,1483,-171,-6068,788,1697
-739,1438,-549,-6054,455,1705
-963,1296,-978,-5923,664,1645
-1299,1126,-1346,-5437,591,1544
-1436,1188,-1413,-4967,441,1397
-1578,1358,-1345,-4820,380,1362
-1822,1400,-1423,-5016,519,1279
-2288,1377,-1895,-5255,553,1154
-2644,1297,-2428,-5291,40,1009
-2901,1208,-3085,-5159,-643,865
-3200,1150,-3650,-4888,-1029,623
-3518,1047,-4380,-4582,-1339,257
-3725,780,-5061,-3976,-1820,-146
-3752,595,-5340,-3084,-2381,-493
-3789,488,-5376,-2281,-2781,-762
-3870,340,-5027,-1491,-3125,-982
-4018,389,-4457,-906,-3341,-1273
-4030,497,-3737,-689,-3497,-1659
-3891,549,-3199,-841,-3509,-2004
-3626,539,-2939,-1147,-3408,-2234
-3252,429,-3109,-1280,-3532,-2295
-2833,203,-3426,-1171,-3628,-2130
-2752,-4,-3569,-744,-3808,-1859
-2782,25,-3404,-267,-3959,-1784
-2739,79,-3159,97,-3887,-1873
-2651,105,-3002,356,-3645,-1948
-2737,-33,-2977,630,-3477,-2033
-2735,-38,-2823,1065,-3627,-2140
-2578,45,-2472,1414,-3735,-2153
-2708,-74,-2193,1584,-3771,-2190
-2512,130,-1942,1709,-4105,-2229
-2179,139,-1657,1697,-4292,-2263
-2037,40,-1511,1611,-4106,-2245
-1974,63,-1446,1608,-4044,-2243
-1846,108,-1190,1587,-3899,-2253
-1555,99,-1038,1495,-3574,-2225
-1551,5,-925,1480,-3070,-2159
-1793,-116,-951,1549,-2749,-2242
-1588,-62,-836,1709,-2857,-2368
-1192,-22,-492,1725,-2839,-2316
-950,-12,-94,1525,-2584,-2136
-802,83,169,1201,-2300,-1874
-556,60,319,804,-1980,-1590
-308,-58,325,503,-1473,-1202
-637,-228,240,386,-969,-896
-929,-291,100,452,-1105,-805
-811,-392,107,611,-1311,-733
-663,-407,201,784,-1306,-572
-631,-371,406,824,-1236,-418
-559,-316,648,658,-992,-288
-523,-427,832,347,-487,-140
-788,-502,844,63,42,-2
-980,-636,773,-90,169,149
-1144,-731,621,-62,13,316
-1045,-822,444,60,-180,454
-1094,-893,370,317,20,553
-1370,-880,425,519,186,501
-1387,-859,578,611,266,388
-1431,-779,672,633,356,353
-1452,-764,830,545,405,340
-1489,-776,875,419,481,365
-1612,-780,902,331,531,421
-1668,-771,890,257,440,438
-1638,-815,819,176,444,448
-1780,-833,698,214,321,437
-1687,-843,635,248,236,404
-1786,-876,611,325,235,371
-1906,-863,644,349,180,293
-1807,-812,672,316,178,297
-1813,-802,702,321,100,262
-1846,-766,749,260,167,220
-1899,-747,725,228,176,188
-1853,-734,724,204,107,151
-1767,-705,725,168,120,122
-1796,-738,695,121,255,104
-1842,-726,689,137,258,75
-1731,-709,681,145,220,63
-1713,-740,706,138,367,86
-1802,-724,644,184,313,103
-1776,-694,668,170,333,98
-1775,-681,657,140,336,156
-1851,-681,632,105,370,175
-1784,-661,582,97,342,143
-1772,-666,605,100,376,141
-1864,-652,601,83,419,106
-1780,-614,593,57,417,72
-1750,-677,592,34,512,89
-1793,-649,606,24,573,79
-1831,-669,571,-4,600,65
-1848,-709,550,-19,623,83
-1965,-733,434,58,414,120
-1893,-724,433,159,59,159
-1830,-703,460,173,-4,189
-1905,-720,459,194,12,187
-1944,-682,489,192,-19,145
-1997,-701,556,152,-12,137
-1924,-650,553,106,153,82
-1908,-609,566,67,116,71
-1900,-629,584,42,101,110
-1904,-632,602,14,112,126
-1901,-673,560,18,110,119
-1891,-655,508,85,28,112
-1865,-664,513,131,6,97
-1859,-672,533,133,63,74
-1856,-656,549,123,129,69
-1846,-664,563,107,179,81
-1896,-652,581,104,184,97
-1869,-613,612,84,167,99
-1883,-603,616,45,182,101
-1885,-611,609,11,212,86
-1892,-620,594,15,184,80
-1871,-612,608,10,183,60
-1876,-635,586,-2,203,51
-1875,-612,558,-19,203,39
-1812,-628,541,-37,248,32
-1858,-641,501,-55,409,7
-1856,-635,459,-47,506,-31
-1881,-649,459,-41,543,-42
-1921,-661,457,-25,497,-37
-1902,-641,461,-10,419,-26
-1909,-630,457,-5,400,-3
-1941,-622,449,16,253,36
-1931,-617,474,10,177,43
-1908,-612,439,0,118,64
-1897,-648,433,-6,139,92
-1960,-630,396,12,167,80
-1933,-633,399,34,144,66
-1952,-607,419,65,172,65
-1948,-580,459,46,170,41
-1927,-575,458,8,189,35
-1954,-577,436,-15,207,37
-1947,-588,435,-12,142,30
-1918,-588,453,-13,70,44
-1911,-591,460,-16,26,59
-1850,-573,435,-38,32,70
-1850,-605,429,-38,90,100
-1935,-597,411,-12,41,111
-1918,-589,440,-17,-6,99
-1916,-602,418,-27,17,91
-1942,-621,382,-7,34,89
-1988,-622,384,8,5,82
-1966,-622,405,13,-31,94
-1978,-600,418,-5,-30,124
-1973,-606,436,-41,-45,140
-2007,-599,435,-59,-40,142
-1988,-589,440,-82,-46,123
-1970,-596,436,-81,-31,107
-1985,-608,417,-73,18,79
-1946,-606,395,-53,31,59
-1999,-630,343,-10,12,55
-2001,-635,331,26,-23,31
