AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1011,-464,1701,125,-53,3
-1011,-457,1721,146,-39,9
-1000,-445,1692,155,-40,7
-987,-465,1686,198,-25,-4
-1038,-395,1752,255,-52,21
-973,-386,1855,243,-127,41
-961,-332,1865,147,-80,32
-963,-354,1871,41,-14,16
-958,-369,1832,6,-1,34
-973,-394,1815,30,-18,42
-987,-362,1819,70,-50,42
-981,-348,1847,71,-43,31
-981,-327,1849,28,-16,19
-986,-352,1841,-29,15,7
-988,-384,1817,-47,38,-2
-995,-408,1783,-33,28,0
-997,-429,1764,-8,17,5
-984,-433,1761,14,22,13
-993,-439,1761,21,-6,21
-991,-446,1754,22,-6,22
-992,-446,1742,18,-14,30
-989,-453,1727,7,-13,38
-990,-458,1709,21,-23,57
-1000,-458,1710,49,-52,80
-929,-412,1798,85,-72,84
-1029,-498,1738,10,-39,158
-942,-547,1747,-17,39,157
-1109,-437,1692,29,251,161
-965,-436,1815,150,-150,171
-967,-465,1800,162,-94,142
-1030,-502,1722,92,-69,151
-1645,-527,1584,69,-1184,559
-461,-415,1696,296,-751,487
-1298,-387,1702,391,-710,473
-887,-349,1779,409,-1190,538
-1005,-458,1749,402,-769,457
-1092,-420,1700,369,-1126,613
-892,-491,1785,403,-1404,850
-760,-259,1862,561,-1307,1006
-746,-99,1898,627,-1208,1000
-803,-111,1981,625,-1081,878
-751,-129,1965,498,-866,661
-873,-209,2083,391,-688,521
-759,-57,1936,323,-663,526
-616,-51,1905,328,-280,490
-827,-223,1926,344,-371,514
-719,-326,1913,345,-607,639
-753,-301,1954,428,-634,751
-767,-271,2028,501,-817,852
-557,-213,2105,504,-872,834
-565,-216,2119,414,-479,723
-668,-191,2046,240,-209,623
-721,-270,1970,44,-142,637
-653,-180,1927,-21,-80,712
-631,-140,1918,6,4,773
-780,-97,1896,13,-42,796
-707,-46,1929,-21,-215,803
-706,-6,1932,2,-264,732
-652,86,1964,55,-406,640
-631,145,1984,42,-276,527
-731,63,1948,-20,-151,398
-637,-78,1930,-31,-36,331
-700,-114,1808,70,242,177
-821,-152,1836,187,83,83
-702,-149,1919,346,-257,39
-681,-119,2051,377,-394,54
-591,-63,2150,154,-363,75
-573,-77,1961,-217,-35,86
-812,-206,1774,-302,100,64
-915,-211,1712,-101,-227,96
-800,-92,1691,9,-352,72
-760,-43,1755,43,-386,-4
-670,-71,1728,68,-323,-93
-707,12,1765,203,-339,-140
-606,134,1834,441,-533,-202
-670,126,1986,564,-422,-313
-363,53,2093,557,-505,-363
-432,99,2210,450,53,-328
-537,211,2075,264,-36,-190
-475,162,2068,305,-64,-138
-444,137,1998,275,93,-170
-665,-217,1987,169,-48,-65
-562,-191,1904,100,-282,143
-52,-21,2053,211,161,452
-833,464,1873,264,-226,500
-442,29,2032,327,-248,436
-450,-331,2188,393,-289,440
-602,485,2165,481,67,530
-653,160,2219,377,-629,251
-611,287,2295,177,-216,-81
-481,211,2154,-157,-55,-197
-662,-4,2036,-321,8,-326
-617,-80,1860,-298,141,-362
-514,-58,1768,-28,24,-224
-580,-95,1787,242,-158,3
-498,-105,1808,374,-450,306
-414,-215,1876,488,-384,640
-343,-173,1960,663,37,941
-568,30,1952,744,-252,1035
-342,-475,2286,661,-80,967
-949,278,1955,878,-33,932
-429,66,2044,916,-629,825
-635,274,1926,971,-393,799
-466,113,1937,954,-548,735
-672,188,1968,940,-679,612
-521,355,1985,942,-761,471
-468,72,2089,889,-1102,335
-850,240,1750,1265,-1038,21
-853,-484,1808,1576,-1373,-908
-401,434,2527,623,-852,-2356
-70,802,2325,-302,2926,-3336
-381,354,2104,-962,4637,-3770
-402,238,1753,-375,4700,-3689
-736,365,1708,100,3545,-3186
-596,227,1752,250,1295,-2110
-108,-103,1745,375,-626,-564
-32,-54,1777,507,-576,825
-634,276,1920,428,-492,1472
-765,430,2055,179,-18,1406
