AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1682,-1126,-150,25,181,462
-1735,-1152,-223,43,93,356
-1770,-1158,-197,0,-38,206
-1675,-1222,-186,90,-55,157
-1642,-1222,-217,193,20,109
-1707,-1203,-187,244,64,52
-1699,-1182,-193,236,100,-27
-1695,-1172,-193,208,53,-43
-1662,-1195,-151,176,-3,-28
-1602,-1181,-181,144,-11,-4
-1615,-1202,-169,104,-8,66
-1617,-1213,-161,123,-87,97
-1643,-1154,-121,124,-183,119
-1656,-1137,-53,65,-175,144
-1654,-1157,-39,-1,-115,114
-1645,-1169,-62,-24,-43,85
-1674,-1175,-65,-56,-19,59
-1704,-1103,-127,-64,13,32
-1707,-1130,-140,-72,-42,-2
-1685,-1165,-111,-89,-63,-44
-1687,-1157,-110,-113,-1,-66
-1676,-1163,-142,-145,-5,-59
-1626,-1216,-108,-166,76,-51
-1675,-1255,-156,-122,175,-30
-1695,-1242,-205,-56,35,-1
-1639,-1224,-180,-5,-2,20
-1627,-1221,-187,29,-11,51
-1648,-1241,-190,74,0,66
-1673,-1196,-222,111,13,77
-1723,-1135,-212,100,-23,115
-1917,-1078,-186,46,-63,212
-1633,-1198,-174,2,-96,244
-1650,-1171,-191,-42,21,101
-1817,-1108,-173,-35,-32,182
-1683,-1167,-169,-76,-120,169
-1634,-1155,-151,-89,-124,122
-1625,-1195,-175,-30,-136,137
-1644,-1176,-170,2,-84,99
-1670,-1134,-189,18,-62,73
-1678,-1142,-193,17,-52,75
-1700,-1145,-184,29,-46,71
-1693,-1142,-191,42,-68,70
-1686,-1144,-171,41,-32,77
-1708,-1165,-185,49,23,52
-1720,-1152,-211,43,20,29
-1758,-1124,-223,20,13,8
-1760,-1140,-243,10,10,26
-1806,-1104,-248,23,-10,114
-1720,-1126,-235,51,-10,129
-1663,-1133,-235,105,27,122
-1727,-1089,-121,75,28,75
-1724,-1080,-96,43,30,92
-1689,-1173,-93,51,52,79
-1699,-1170,-194,76,27,51
-1664,-1126,-200,79,-78,59
-1654,-1105,-172,27,-94,107
-1669,-1159,-209,-13,-79,131
-1715,-1155,-243,-26,-163,144
-1751,-1129,-127,21,-184,144
-1639,-1082,-261,86,-130,188
-1636,-1132,-192,44,-119,126
-1666,-1016,-397,-136,1,-10
-1707,-1076,-202,-197,88,-41
-1715,-1084,-136,-271,85,-25
-1690,-1070,-142,-240,144,-39
-1735,-1068,-130,-241,106,-20
-1693,-1071,-122,-206,102,-25
-1738,-1028,-177,-291,58,-58
-1695,-1098,-73,-306,117,-83
-1753,-1111,-178,-272,211,-111
-1759,-1127,-162,-200,172,-133
-1767,-1128,-200,-180,152,-134
-1744,-1127,-199,-136,76,-136
-1731,-1058,-249,-141,17,-114
-1673,-1158,-215,-90,-1,-128
-1675,-1095,-197,-68,18,-88
-1717,-1112,-245,-69,25,-56
-1677,-1166,-195,17,-1,-61
-1676,-1137,-188,59,-60,-42
-1695,-1090,-191,105,-8,-6
-1719,-1127,-210,127,-57,-23
-1680,-1097,-129,110,-100,-28
-1649,-1065,-107,66,5,-41
-1683,-1141,-201,24,79,-44
-1653,-1124,-158,-18,97,-38
-1686,-1125,-230,-32,101,-22
-1696,-1153,-269,-24,66,-15
-1688,-1140,-282,28,57,-23
-1673,-1150,-284,48,66,-36
-1670,-1163,-293,44,131,-39
-1710,-1194,-325,62,163,-44
-1680,-1193,-322,123,123,-38
-1685,-1154,-293,177,110,-23
-1719,-1159,-262,164,63,-4
-1717,-1168,-266,147,-50,6
-1710,-1161,-240,106,-99,13
-1753,-1183,-276,97,-101,-1
-1671,-1203,-206,120,-93,-18
-1694,-1149,-210,139,-33,-8
-1707,-1152,-185,120,-9,4
-1711,-1144,-194,104,-102,16
-1683,-1150,-181,135,-80,-20
-1734,-1148,-224,106,-85,-14
-1810,-1264,-266,139,-101,-29
-1698,-1111,-105,122,-51,-60
-1698,-1127,-122,112,-63,-64
-1682,-1112,-105,99,-41,-77
-1676,-1153,-119,71,-8,-46
-1707,-1163,-145,74,-31,-26
-1690,-1163,-163,54,-37,-32
-1673,-1172,-151,30,0,-32
-1660,-1145,-171,33,68,-26
-1700,-1183,-164,40,121,-6
-1708,-1156,-191,59,70,-17
-1685,-1150,-186,66,-36,3
-1652,-1160,-163,35,-25,-2
-1654,-1186,-221,18,35,-40
-1671,-1192,-270,38,57,-61
-1641,-1183,-255,69,42,-76
-1605,-1170,-221,70,73,-64
-1654,-1190,-214,80,82,-35
-1667,-1183,-201,103,31,-22
-1671,-1163,-186,112,-12,4
-1702,-1138,-154,102,-41,13
-1696,-1127,-146,83,-43,12
-1715,-1145,-173,82,-14,16
-1705,-1149,-170,76,-15,4
-1679,-1123,-150,77,2,-17
-1664,-1102,-114,26,49,-26
-1654,-1120,-136,-21,90,-16
-1628,-1126,-174,-63,115,-12
-1617,-1126,-182,-94,122,-4
-1589,-1146,-225,-89,167,-5
-1575,-1146,-257,-83,165,16
-1611,-1188,-278,-30,124,47
-1651,-1159,-245,16,119,56
-1668,-1184,-240,32,54,57
-1655,-1176,-227,42,43,45
-1690,-1177,-249,46,39,27
-1695,-1171,-226,43,23,2
-1682,-1148,-192,41,42,-17
-1682,-1144,-177,13,55,-15
-1668,-1137,-171,14,-13,-8
-1663,-1161,-166,14,7,-6
-1652,-1147,-170,16,-3,-11
-1628,-1151,-184,6,21,-18
-1614,-1164,-202,-22,46,-3
-1632,-1150,-199,-7,41,11
-1641,-1143,-194,10,41,25
-1638,-1141,-196,11,8,32
-1610,-1134,-158,5,-8,43
-1643,-1136,-171,-19,33,49
-1673,-1154,-187,-38,-19,55
-1674,-1158,-174,-44,-37,47
-1662,-1147,-164,-63,2,41
-1657,-1153,-171,-86,35,47
-1638,-1167,-180,-97,49,66
-1673,-1171,-193,-96,87,84
-1727,-1176,-226,-92,68,79
-1727,-1195,-255,-67,23,62
-1681,-1194,-254,-26,-40,47
-1652,-1167,-214,-19,-42,40
-1652,-1156,-210,-42,13,41
-1652,-1159,-221,-55,24,58
-1683,-1161,-232,-46,25,79
-1697,-1139,-241,-49,5,85
-1650,-1142,-216,-59,-2,103
-1684,-1139,-207,-83,90,109
-1738,-1152,-226,-95,108,96
-1714,-1173,-232,-101,96,74
-1689,-1160,-240,-107,113,53
-1659,-1180,-271,-95,84,55
-1655,-1163,-265,-104,81,75
-1661,-1170,-265,-95,53,92
-1669,-1157,-276,-82,29,89
-1676,-1172,-301,-73,31,86
-1691,-1169,-308,-56,38,66
-1690,-1158,-286,-51,32,54
-1694,-1171,-296,-36,-1,68
-1678,-1162,-280,-49,-1,82
-1674,-1155,-282,-51,40,106
-1704,-1137,-299,-61,61,113
-1695,-1148,-315,-54,58,112
-1748,-1143,-320,-49,54,98
-1762,-1135,-294,-72,84,71
-1765,-1124,-272,-94,123,58
-1764,-1135,-288,-115,142,38
-1762,-1130,-326,-139,154,38
-1776,-1148,-368,-141,152,32
-1751,-1114,-371,-127,137,17
-1739,-1113,-321,-134,98,34
-1759,-1117,-320,-144,120,39
-1764,-1114,-325,-144,73,43
-1735,-1110,-330,-121,75,24
-1694,-1107,-329,-91,38,14
-1664,-1083,-290,-54,-4,2
-1616,-1050,-232,-44,-15,-6
-1578,-1033,-177,-62,13,-4
-1604,-1044,-159,-75,52,5
-1617,-1028,-147,-125,48,21
-1585,-966,-120,-135,50,37
-1573,-1033,-173,-199,142,57
-1621,-1059,-224,-213,189,77
-1670,-1050,-255,-216,154,77
-1651,-1043,-250,-228,79,73
-1640,-1040,-276,-247,53,78
-1651,-1051,-310,-250,22,88
-1676,-1047,-331,-229,26,78
-1708,-1052,-345,-213,16,60
-1667,-1025,-343,-199,-32,58
-1610,-1021,-322,-215,-13,89
-1611,-1042,-320,-230,75,122
-1651,-1074,-348,-222,107,125
-1645,-1080,-330,-213,111,145
-1670,-1067,-319,-218,148,165
-1699,-1075,-313,-241,108,172
-1703,-1071,-306,-268,42,181
-1685,-1048,-286,-325,-11,201
-1716,-1055,-258,-412,-1,205
-1675,-1081,-277,-472,-3,261
-1742,-1115,-301,-484,66,293
-1816,-1146,-317,-495,98,318
-1860,-1209,-360,-460,121,319
-1894,-1242,-331,-411,149,296
-1953,-1326,-275,-376,196,258
-2047,-1367,-178,-365,114,235
-2089,-1424,-65,-400,-13,236
-2191,-1441,49,-495,-80,243
-2294,-1483,89,-617,-169,232
-2402,-1460,112,-775,-203,186
-2545,-1477,32,-915,-282,95
-2718,-1485,-68,-1112,-295,-43
-2884,-1636,-336,-1235,-183,-215
-3032,-1749,-620,-1167,-223,-423
-3170,-1819,-809,-1054,-365,-620
-3230,-1877,-978,-935,-487,-824
-3249,-1904,-1191,-795,-583,-1067
-3168,-1945,-1436,-614,-645,-1315
-3100,-1931,-1672,-347,-660,-1559
-3054,-1897,-1810,-8,-518,-1716
-3217,-1907,-1954,274,-402,-1800
-3150,-1583,-1832,576,-410,-1943
-3084,-1444,-1647,812,-382,-2121
-3062,-1369,-1610,933,-275,-2251
-2868,-1125,-1561,1021,-427,-2382
-2609,-1101,-1527,1115,-597,-2491
-2264,-955,-1486,1144,-570,-2470
-1921,-826,-1589,1197,-533,-2486
-1410,-773,-1723,1251,-291,-2476
-1128,-849,-1976,1318,191,-2439
-1012,-796,-2157,1535,563,-2387
-959,-776,-2222,1802,555,-2308
-804,-667,-2113,2126,394,-2141
-546,-460,-2000,2323,31,-1875
-192,-302,-1727,2425,-353,-1509
-13,-254,-1576,2548,-453,-1179
-11,-88,-1373,2644,-596,-957
131,40,-1078,2632,-640,-784
260,166,-849,2529,-527,-646
380,253,-626,2390,-344,-540
547,352,-446,2183,-36,-423
780,455,-337,1959,274,-189
1050,542,-248,1783,540,243
1045,521,-63,1649,649,780
866,624,117,1523,512,1235
864,701,212,1400,-9,1615
910,749,243,1253,-279,1927
942,751,174,1143,-324,2149
847,705,125,1171,-162,2274
684,639,97,1142,-97,2306
672,646,173,1136,-17,2328
655,556,192,1034,217,2397
665,605,162,939,483,2589
593,489,114,900,721,2895
402,417,51,912,860,3235
62,256,-81,1013,978,3594
-422,205,-329,1239,992,3879
-877,-32,-648,1601,724,4082
-1332,-203,-890,2132,525,4206
-1828,-171,-838,2688,528,4185
-2747,-458,-995,3023,886,4090
-3827,-608,-997,3174,924,3894
-4696,-513,-850,3573,540,3634
-5367,-498,-407,4011,-247,3321
-5875,-434,297,4280,-772,2872
-6210,-235,1253,4694,-1103,2233
-6575,-71,2178,4503,-1241,1649
-6621,43,2975,4170,-1228,902
-6330,82,3626,3654,-997,96
-5782,145,4156,3071,-434,-547
-5366,-14,4291,2438,198,-933
-5204,-187,4178,1885,597,-1201
-5048,-296,4047,1418,705,-1445
-4820,-365,3822,1033,614,-1661
-4517,-340,3586,715,584,-1909
-4223,-289,3376,439,599,-2118
-4007,-219,3178,241,595,-2319
-3772,-188,3012,97,459,-2513
