AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1925,-325,168,45,9,55
-1954,-327,144,50,-3,81
-2019,-331,79,70,-62,110
-2071,-349,45,110,-117,108
-2065,-369,42,151,-182,92
-2088,-344,66,188,-174,101
-2162,-363,85,211,-169,105
-2230,-342,89,226,-182,88
-2277,-340,89,227,-184,83
-2423,-371,72,237,-156,100
-2614,-415,105,270,-151,69
-2788,-452,159,293,-134,22
-2988,-492,215,305,-118,-25
-3156,-477,256,318,-138,-87
-3326,-558,291,314,-160,-183
-3460,-561,346,307,-301,-276
-3539,-612,413,341,-529,-377
-3566,-600,581,398,-771,-485
-3541,-582,808,404,-968,-579
-3468,-539,1043,362,-1077,-662
-3370,-479,1247,300,-1087,-766
-3178,-383,1459,251,-987,-894
-3050,-272,1648,159,-649,-1009
-3064,-167,1752,63,-368,-1140
-3044,-97,1861,-66,-195,-1276
-2988,-40,1906,-214,-221,-1366
-2829,18,1923,-408,-300,-1449
-2674,22,1873,-568,-356,-1520
-2519,84,1829,-687,-464,-1586
-2280,121,1793,-835,-507,-1642
-2065,121,1728,-994,-459,-1691
-1839,136,1642,-1121,-409,-1725
-1631,84,1556,-1244,-315,-1722
-1483,72,1471,-1349,-265,-1711
-1321,66,1370,-1467,-257,-1704
-1151,43,1256,-1560,-290,-1656
-1024,42,1163,-1644,-374,-1580
-849,61,1081,-1720,-497,-1510
-616,74,1004,-1839,-546,-1411
-386,29,853,-1932,-506,-1327
-239,-45,701,-1975,-434,-1220
-104,-100,561,-1961,-435,-1097
25,-161,483,-1934,-481,-945
87,-193,454,-1904,-549,-779
103,-137,438,-1911,-641,-614
199,-198,416,-1942,-750,-446
295,-177,360,-1977,-819,-262
313,-155,275,-2007,-816,-84
311,-123,194,-2035,-783,59
294,-127,90,-2043,-746,211
303,-132,-24,-2034,-632,348
250,-162,-180,-2012,-505,487
194,-191,-288,-1889,-557,634
202,-170,-263,-1780,-630,787
223,-115,-207,-1710,-632,938
226,-71,-175,-1684,-590,1113
178,-53,-177,-1702,-507,1293
133,-36,-252,-1723,-412,1464
31,-36,-368,-1721,-329,1667
-175,-34,-482,-1691,-250,1857
-387,3,-567,-1629,-263,2021
-608,12,-676,-1540,-330,2171
-805,69,-747,-1436,-421,2313
-1007,111,-780,-1358,-455,2430
-1232,171,-844,-1255,-466,2490
-1474,219,-897,-1159,-483,2543
-1623,250,-993,-1130,-453,2581
-1780,256,-1210,-1082,-463,2613
-1921,241,-1447,-964,-535,2648
-2025,179,-1563,-692,-646,2672
-2117,162,-1521,-361,-715,2679
-2213,290,-1309,-40,-741,2685
-2316,423,-1044,155,-775,2659
-2429,563,-834,213,-766,2661
-2514,637,-774,195,-722,2633
-2573,679,-882,148,-598,2594
-2640,582,-1164,139,-379,2551
-2755,469,-1422,317,-317,2512
-2877,410,-1465,575,-356,2468
-3082,443,-1361,843,-485,2470
-3256,530,-1170,1051,-711,2447
-3371,649,-967,1167,-792,2401
-3483,784,-821,1239,-757,2289
-3501,913,-718,1284,-648,2144
-3580,987,-701,1286,-405,1993
-3738,982,-807,1275,-138,1810
-3878,844,-914,1361,-150,1650
-3930,801,-874,1527,-330,1500
-3920,843,-701,1671,-423,1335
-3924,899,-539,1725,-423,1167
-3926,1008,-425,1727,-421,1004
-3847,1049,-367,1730,-406,845
-3732,1090,-341,1725,-334,658
-3605,1128,-315,1750,-221,445
-3507,1152,-371,1710,-69,257
-3413,1083,-489,1764,-160,112
-3202,958,-518,1880,-409,3
-2953,880,-414,2037,-658,-51
-2782,836,-212,2162,-762,-79
-2701,871,-10,2211,-772,-113
-2691,940,133,2241,-779,-122
-2718,987,281,2241,-754,-133
-2747,1005,409,2218,-664,-202
-2755,982,486,2191,-514,-292
-2812,984,595,2217,-383,-367
-2939,962,732,2269,-449,-419
-3000,1018,958,2267,-456,-500
-3077,1083,1143,2168,-575,-547
-3150,1102,1219,2051,-694,-632
-3105,1123,1295,1968,-840,-748
-3009,1128,1378,1887,-899,-890
-2803,1249,1555,1813,-805,-1026
-2718,991,1515,1597,-570,-1123
-2563,1036,1534,1491,-382,-1269
-2456,926,1596,1357,-358,-1350
-2412,897,1625,1223,-338,-1364
-2265,876,1604,1038,-255,-1370
-2199,819,1498,857,-191,-1364
-2148,725,1366,742,-100,-1373
-2113,666,1270,701,-99,-1390
-2046,660,1244,684,-105,-1392
-2022,648,1232,657,-109,-1384
-1994,627,1257,608,-121,-1401
-1927,640,1273,539,-104,-1421
-1875,628,1280,446,-66,-1416
-1865,579,1242,343,-74,-1402
-1826,577,1197,221,-90,-1395
-1774,497,1075,104,-130,-1379
-1658,452,990,39,-154,-1361
-1585,329,898,-15,-163,-1324
-1517,279,877,-33,-143,-1276
-1517,250,835,-83,-65,-1215
-1528,209,796,-97,-71,-1173
-1528,218,742,-145,-60,-1140
-1519,184,678,-163,-69,-1108
-1490,158,646,-182,-89,-1064
-1474,157,621,-206,-66,-1018
-1473,124,580,-234,-25,-993
-1444,117,541,-248,13,-967
-1442,98,500,-278,47,-931
-1414,74,465,-287,33,-891
-1380,22,456,-298,33,-832
-1410,-24,433,-323,64,-781
-1432,-64,393,-337,48,-729
-1406,-87,388,-322,13,-685
-1386,-63,414,-316,20,-641
-1402,-47,393,-365,84,-602
-1425,-68,296,-399,158,-573
-1425,-85,234,-381,105,-534
-1406,-138,197,-368,33,-468
-1453,-203,143,-364,18,-409
-1452,-255,129,-320,-29,-383
