AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1968,-586,-319,11,10,39
-1980,-590,-290,4,15,37
-1993,-587,-268,-12,18,47
-2025,-601,-285,-34,65,55
-2109,-629,-300,-43,87,56
-2191,-636,-310,-46,86,41
-2293,-656,-301,-48,66,40
-2380,-670,-294,-59,61,9
-2457,-693,-310,-87,116,-36
-2561,-729,-381,-142,210,-81
-2710,-772,-502,-180,252,-122
-2870,-843,-601,-171,213,-172
-2975,-808,-682,-158,185,-234
-3170,-904,-816,-146,184,-340
-3319,-898,-957,-97,150,-477
-3461,-925,-1135,-26,122,-654
-3536,-908,-1272,65,91,-833
-3550,-890,-1378,157,42,-1034
-3486,-867,-1511,266,100,-1207
-3409,-884,-1618,419,143,-1372
-3295,-841,-1667,594,196,-1497
-3250,-850,-1630,733,331,-1643
-3128,-718,-1574,843,412,-1810
-2941,-653,-1540,892,360,-1927
-2640,-612,-1515,936,365,-1997
-2321,-611,-1479,1022,285,-2028
-2005,-592,-1418,1128,281,-2016
-1725,-581,-1356,1198,387,-1983
-1489,-623,-1355,1277,491,-1943
-1228,-520,-1256,1388,585,-1887
-1067,-578,-1196,1471,631,-1804
-952,-532,-1085,1564,619,-1685
-808,-479,-994,1620,511,-1554
-627,-447,-824,1684,433,-1430
-453,-393,-648,1659,447,-1277
-321,-391,-555,1582,604,-1152
-225,-505,-555,1503,768,-1035
-139,-518,-560,1555,841,-956
-43,-504,-513,1577,975,-819
20,-528,-460,1586,1180,-684
-3,-524,-433,1605,1307,-551
-62,-509,-397,1599,1364,-413
-127,-474,-395,1585,1309,-234
-219,-452,-328,1565,1176,-22
-288,-433,-247,1530,927,153
-295,-395,-162,1452,681,331
-267,-406,-121,1346,517,498
-288,-454,-114,1249,435,650
-288,-509,-201,1187,446,756
-320,-550,-267,1205,492,847
-317,-577,-289,1247,609,900
-347,-627,-296,1325,733,952
-460,-578,-249,1429,749,1017
-527,-491,-132,1502,648,1080
-561,-420,2,1494,573,1155
-582,-374,142,1463,455,1247
-549,-350,275,1400,449,1343
-587,-292,422,1326,519,1437
-573,-349,552,1229,658,1500
-594,-211,627,1144,892,1554
-609,-236,713,1036,1123,1654
-688,-252,789,943,1412,1727
-946,-193,828,795,1647,1840
-1278,-196,846,601,1573,1970
-1469,-210,842,385,1294,2107
-1588,-210,803,175,1045,2233
-1719,-209,707,58,820,2299
-1834,-244,612,46,694,2306
-1942,-199,630,116,574,2252
-2023,-75,728,166,567,2153
-2109,-51,823,109,628,2091
-2296,-64,850,-34,660,2082
-2544,-128,781,-210,598,2054
-2602,-165,700,-315,406,2016
-2622,-165,679,-361,218,2004
-2635,-85,730,-384,87,1969
-2620,-64,830,-441,40,1920
-2648,-72,891,-577,96,1883
-2766,-109,852,-773,171,1860
-2961,-189,690,-974,218,1814
-3140,-269,500,-1073,124,1745
-3250,-257,314,-1068,-78,1630
-3249,-198,251,-965,-344,1495
-3138,-121,347,-878,-488,1375
-2989,-24,485,-864,-488,1274
-2912,-42,575,-968,-301,1215
-2993,-65,487,-1119,-15,1104
-3060,-104,302,-1208,120,981
-3059,-83,191,-1226,77,904
-3053,-48,142,-1226,-2,825
-2958,-10,171,-1217,-58,745
-2901,23,131,-1306,58,668
-2937,-17,24,-1351,29,609
-2895,-38,-54,-1375,-5,572
-2842,-67,-156,-1387,22,540
-2871,-58,-207,-1350,8,495
-2905,-30,-246,-1322,25,415
-2933,20,-259,-1277,-31,328
-2893,72,-208,-1271,-31,265
-2901,130,-204,-1317,43,179
-2887,167,-273,-1384,98,112
-2905,137,-421,-1440,110,62
-2911,132,-549,-1375,52,-38
-2909,147,-624,-1318,6,-98
-2873,150,-651,-1270,-63,-160
-2810,190,-636,-1226,-119,-216
-2757,186,-618,-1231,-62,-271
-2742,202,-639,-1232,-35,-338
-2671,188,-675,-1221,-35,-390
-2608,204,-707,-1208,-23,-449
-2556,200,-742,-1172,3,-493
-2549,187,-751,-1123,-35,-535
-2490,200,-758,-1107,-11,-583
-2490,152,-810,-1089,30,-631
-2460,170,-864,-1063,18,-686
-2427,130,-916,-1002,-65,-709
-2361,125,-925,-941,-120,-717
-2300,107,-917,-882,-155,-719
-2223,112,-890,-833,-185,-724
-2182,119,-880,-805,-137,-716
-2203,93,-888,-770,-86,-727
-2215,76,-888,-715,-157,-739
-2165,92,-833,-659,-237,-727
-2128,84,-787,-650,-182,-751
-2099,64,-758,-641,-144,-767
-2075,27,-785,-638,-105,-781
-2069,-13,-828,-599,-80,-794
-2020,-57,-850,-549,-98,-811
-1927,-68,-844,-487,-58,-808
-1895,-87,-836,-440,-21,-780
-1897,-104,-843,-409,36,-773
-1948,-124,-874,-377,21,-758
-1955,-162,-878,-321,-81,-744
-1937,-142,-852,-259,-160,-729
-1915,-142,-800,-213,-188,-721
-1895,-111,-756,-183,-156,-726
-1886,-104,-736,-166,-94,-730
-1865,-84,-716,-139,-59,-721
-1837,-106,-671,-120,-37,-698
-1828,-107,-616,-104,-6,-705
-1780,-131,-587,-116,24,-719
-1709,-111,-570,-105,86,-716
-1627,-123,-557,-108,145,-700
-1563,-135,-549,-97,188,-669
-1547,-159,-522,-85,131,-626
-1440,-140,-480,-84,145,-603
-1447,-185,-464,-111,167,-525
-1448,-210,-463,-146,198,-479
-1418,-239,-478,-151,136,-430
-1432,-255,-497,-173,127,-357
-1488,-314,-532,-168,124,-311
-1512,-351,-559,-131,121,-298
-1509,-367,-571,-87,137,-275
