AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-4858,370,57,-393,-26,-1369
-4998,405,-65,-491,-256,-1669
-4921,455,-193,-600,-605,-2027
-4811,431,-390,-724,-925,-2397
-4513,374,-557,-775,-1398,-2687
-4055,342,-700,-813,-1779,-2923
-3554,219,-838,-802,-2021,-3105
-3072,97,-975,-706,-2177,-3246
-2651,-35,-1155,-590,-2020,-3400
-2340,-175,-1357,-373,-1869,-3470
-1979,-279,-1466,-65,-1751,-3451
-1718,-374,-1498,264,-1639,-3333
-1512,-374,-1416,608,-1680,-3171
-1331,-335,-1271,848,-1794,-3018
-1108,-291,-1138,995,-1903,-2877
-870,-247,-977,1080,-1986,-2728
-605,-206,-857,1114,-2020,-2586
-305,-209,-730,1138,-1956,-2422
-123,-190,-624,1184,-1821,-2260
63,-196,-508,1198,-1554,-2121
138,-226,-452,1230,-1183,-1995
170,-226,-398,1269,-861,-1895
176,-219,-371,1270,-527,-1802
164,-255,-386,1257,-295,-1703
226,-286,-402,1249,-161,-1615
325,-336,-447,1239,-54,-1494
437,-375,-461,1306,-69,-1285
533,-332,-361,1373,-64,-1065
563,-321,-326,1424,-16,-857
569,-268,-306,1497,56,-686
530,-203,-249,1551,165,-542
481,-199,-197,1578,258,-396
430,-152,-157,1607,304,-240
433,-146,-83,1614,296,-91
535,-156,-51,1594,360,25
618,-162,-39,1590,512,187
595,-113,-30,1594,689,361
583,-68,-70,1593,833,570
454,-23,-155,1661,950,810
310,96,-148,1794,972,1027
179,241,-101,1894,996,1235
59,313,-56,1982,1004,1472
-96,368,-11,2067,1072,1691
-311,380,30,2158,1168,1893
-542,430,81,2275,1276,2054
-804,486,156,2385,1396,2174
-1044,577,224,2473,1469,2271
-1271,710,275,2567,1564,2388
-1576,635,370,2630,1698,2409
-1855,749,422,2678,1970,2412
-2306,692,386,2702,2157,2452
-2778,680,384,2826,2318,2446
-3239,699,437,2944,2273,2449
-3694,718,529,3049,2144,2425
-4160,824,654,3162,1782,2380
-4409,968,839,3279,1271,2280
-4599,1103,1132,3301,931,2108
-4822,1218,1433,3192,792,1803
-4948,1220,1655,2968,858,1342
-4904,1104,1739,2700,1155,850
-4747,867,1652,2476,1521,461
-4629,671,1510,2422,1813,231
-4597,508,1457,2485,1967,113
-4697,622,1481,2569,1901,128
-4864,685,1569,2628,1518,195
-5050,789,1633,2619,1050,191
-5052,946,1706,2620,456,104
-5002,1100,1844,2571,97,-52
-4833,1288,1991,2582,-106,-314
-4726,1474,2262,2607,-47,-618
-4694,1665,2550,2517,153,-984
-4740,1814,2772,2251,334,-1362
-4746,1885,2843,1846,265,-1679
-4534,1852,2787,1422,61,-1917
-4218,1751,2697,1059,-107,-2068
-3929,1655,2613,799,-246,-2182
-3725,1651,2572,596,-328,-2296
-3525,1712,2519,401,-355,-2454
-3292,1731,2469,215,-365,-2597
-3014,1707,2424,30,-292,-2758
-2758,1678,2329,-165,-190,-2875
-2620,1632,2233,-337,-120,-2968
-2381,1598,2142,-515,-99,-3052
-2193,1503,2025,-713,-56,-3068
-1962,1451,1880,-867,-58,-3086
-1722,1344,1748,-995,-51,-3088
-1531,1258,1636,-1113,-18,-3082
-1377,1169,1533,-1202,-60,-3047
-1233,1135,1456,-1277,-150,-2972
-958,1067,1419,-1385,-225,-2876
-796,965,1343,-1502,-248,-2725
-643,955,1297,-1599,-245,-2596
-407,913,1248,-1717,-199,-2457
-283,831,1199,-1842,-16,-2346
-170,824,1162,-1931,87,-2285
13,740,1084,-2060,271,-2241
167,596,996,-2146,482,-2160
270,486,900,-2189,618,-2055
387,377,841,-2230,839,-1969
490,272,725,-2263,1030,-1873
537,189,628,-2255,1154,-1719
467,131,581,-2263,1180,-1539
470,92,547,-2295,1142,-1366
398,45,448,-2326,1104,-1182
341,2,344,-2319,977,-1050
352,-21,273,-2296,830,-902
329,-41,227,-2273,686,-757
396,-59,202,-2254,489,-614
562,-54,185,-2262,380,-430
710,-47,141,-2296,359,-171
691,-12,134,-2335,315,133
669,21,107,-2408,238,414
627,6,-15,-2524,196,663
556,-4,-189,-2603,150,942
423,-44,-339,-2639,89,1212
190,-104,-494,-2642,-11,1466
-96,-71,-639,-2574,-248,1711
-246,1,-738,-2473,-497,1958
-375,79,-786,-2369,-633,2158
-572,231,-817,-2278,-659,2314
-887,311,-852,-2202,-634,2417
-1104,379,-857,-2113,-643,2452
-1311,433,-838,-2089,-646,2526
-1641,478,-834,-2095,-583,2579
-2059,452,-831,-2086,-680,2554
-2307,528,-850,-2117,-823,2539
-2517,544,-843,-2177,-986,2548
-2648,562,-857,-2266,-1057,2535
-2879,493,-962,-2365,-1032,2525
-3282,430,-1112,-2419,-1031,2479
-3703,375,-1274,-2465,-1141,2458
-4130,303,-1419,-2408,-1345,2362
-4292,296,-1409,-2260,-1611,2173
-4337,339,-1357,-2075,-1637,1936
-4374,368,-1216,-1854,-1474,1596
-4364,449,-1007,-1684,-1302,1269
-4440,450,-859,-1626,-1073,997
-4582,441,-792,-1614,-1018,770
-4636,395,-753,-1641,-1063,598
-4740,343,-773,-1719,-1121,424
-4801,255,-843,-1769,-1243,258
-4822,241,-940,-1780,-1306,65
-4900,164,-1154,-1792,-1277,-182
-5031,32,-1369,-1651,-1306,-489
-4963,4,-1473,-1417,-1452,-818
-4784,6,-1467,-1203,-1639,-1143
-4471,50,-1381,-1037,-1784,-1379
-4061,27,-1261,-938,-1890,-1582
-3584,18,-1156,-849,-1913,-1715
-3079,-22,-1044,-805,-1883,-1741
-2465,-104,-981,-735,-1793,-1629
-2030,-150,-946,-648,-1483,-1437
