AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-609,-1979,-166,8,4,20
-632,-1984,-175,18,-14,6
-629,-1985,-167,28,-20,-22
-605,-1992,-161,30,-29,-34
-573,-1992,-152,29,-37,-33
-566,-1989,-153,30,-22,-33
-566,-1991,-158,27,-10,-38
-556,-1999,-144,24,1,-46
-567,-2013,-152,20,3,-43
-581,-2030,-152,24,-3,-44
-595,-2043,-144,35,-14,-59
-600,-2050,-131,38,-27,-75
-601,-2066,-104,31,-15,-95
-608,-2101,-75,11,-15,-121
-640,-2130,-69,-28,-20,-147
-660,-2191,-79,-77,-74,-190
-562,-2292,-124,-99,-61,-269
-555,-2309,-150,-98,-14,-318
-560,-2376,-196,-107,-13,-349
-556,-2413,-234,-74,-15,-407
-515,-2428,-231,-37,-55,-464
-463,-2451,-213,-18,-49,-522
-407,-2461,-196,-11,-22,-582
-356,-2472,-203,8,-40,-622
-296,-2475,-189,45,-83,-648
-242,-2453,-159,76,-68,-686
-181,-2421,-140,103,-70,-704
-113,-2377,-104,134,-72,-743
32,-2298,-63,158,-93,-810
234,-2211,-18,155,-43,-882
459,-2131,21,136,48,-946
732,-2043,85,101,101,-942
908,-2014,98,41,185,-874
1204,-1854,74,63,75,-752
1490,-1664,92,73,-68,-643
1873,-1444,73,59,-170,-534
2338,-1190,77,24,-146,-393
2797,-1030,127,-54,61,-98
3208,-932,194,-164,397,456
3419,-789,251,-274,770,1233
3413,-505,280,-399,1328,1990
3505,-100,183,-669,1663,2827
4099,262,-81,-718,1854,3888
4559,749,74,-815,2053,5400
4652,1339,360,-1044,1738,7126
4890,1898,443,-1459,1214,9087
4539,2503,343,-1905,927,11592
3061,3918,41,-2446,-54,14672
1080,6204,175,-2884,-1562,17514
-1346,8746,303,-3278,-3082,18910
-4571,9967,-42,-3489,-4559,18566
-7806,8979,-844,-2555,-6611,16707
-8583,6734,-992,-1469,-7593,14030
-7244,5107,-1058,115,-6261,10278
-5896,4851,-1046,1317,-1219,6521
-6439,3957,-1500,2226,4534,3673
-7815,2764,-1122,3108,7473,1330
-8328,2489,554,3796,6570,-493
-7598,2932,2358,3359,3856,-1369
-5933,3034,3271,1724,728,-1358
-4284,2677,2776,-214,-1664,-1246
-3578,2211,1421,-1690,-2864,-1077
-3318,1755,218,-2317,-3397,-1108
-3384,1319,-833,-2340,-3284,-1475
-3490,1081,-1472,-1916,-2451,-2146
-3778,1105,-1853,-1143,-1097,-3214
-3828,1081,-1826,-435,-34,-4419
-3514,1470,-1498,212,802,-5396
-3404,1824,-1184,676,1150,-5798
-3475,1990,-939,917,899,-5777
-3613,1897,-862,1112,84,-5583
-3451,1774,-732,1307,-861,-5447
-3130,1634,-526,1376,-1342,-5668
-2920,1537,-295,1247,-1178,-6022
-2941,1453,-241,1057,-631,-6555
-2726,1276,-190,999,-208,-7238
-2305,1157,-30,1000,523,-8060
-1932,1065,77,755,1413,-8450
-1497,847,50,439,2087,-8427
-1126,440,3,70,2210,-7996
-955,45,-328,-107,1766,-7258
-824,-315,-640,61,908,-6481
-610,-570,-731,474,267,-6015
30,-684,-374,717,-42,-5829
707,-915,114,802,354,-5511
910,-1160,268,730,844,-4658
796,-1366,272,646,974,-3821
640,-1417,196,655,746,-3212
691,-1397,326,666,164,-2759
1018,-1456,469,542,-307,-2299
1134,-1607,518,361,-358,-1781
727,-1710,352,246,-263,-1376
376,-1803,97,229,-336,-1291
343,-1922,78,351,-572,-1396
518,-1922,181,452,-734,-1464
784,-1909,340,397,-709,-1388
1019,-1875,491,225,-629,-1196
1110,-1879,528,38,-558,-881
955,-1902,464,-144,-385,-593
807,-1946,344,-374,-228,-430
665,-2072,241,-524,-35,-404
547,-2172,48,-549,-53,-411
475,-2293,-7,-497,-44,-366
367,-2362,-73,-430,13,-281
236,-2405,-142,-292,-53,-147
122,-2422,-129,-149,-119,-3
36,-2387,-86,-20,-186,140
-60,-2316,28,64,-235,184
-92,-2242,157,31,-280,137
-47,-2182,161,-76,-237,69
-23,-2207,106,-181,-139,13
-25,-2203,-6,-220,-47,-4
-73,-2238,-126,-174,-40,2
-123,-2246,-191,-47,-73,26
-159,-2243,-193,86,-121,78
-176,-2206,-144,217,-193,137
-252,-2161,-86,323,-286,158
-284,-2133,-8,350,-369,141
-288,-2085,83,307,-359,88
-287,-2039,130,179,-271,15
-197,-1900,155,53,-165,-78
-242,-2089,129,-41,-2,-116
-187,-1983,51,-265,99,-100
-335,-2067,-182,-194,271,-165
-325,-2046,-220,-130,44,-205
-190,-2076,-148,0,-21,-162
-218,-2059,-95,28,-64,-58
-258,-2030,-130,75,-93,-17
-339,-2029,-139,136,-230,23
-321,-1969,-111,138,-359,75
-270,-1968,-87,150,-349,53
-232,-1925,-80,148,-339,35
-215,-1895,-66,101,-259,34
-272,-1897,-64,59,-136,-4
-296,-1919,-58,7,-88,-75
-301,-1941,-107,-42,-5,-126
-313,-1978,-164,-24,-57,-143
-296,-2005,-147,9,-115,-130
-328,-2007,-183,30,-119,-81
-356,-1996,-186,71,-177,-57
-316,-1984,-130,88,-201,-48
-321,-1970,-112,65,-162,-26
-344,-1967,-126,27,-88,-40
-350,-1972,-163,29,-80,-76
-273,-1963,-140,41,-148,-72
-239,-1969,-112,36,-95,-64
-225,-1945,-112,34,-60,-67
-159,-1921,-76,33,-41,-65
-135,-1942,-12,3,30,-17
-276,-1949,-93,-29,20,36
-298,-1944,-142,3,-123,32
-211,-1928,-92,37,-195,25
