AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1919,-728,160,52,-29,12
-1890,-734,166,62,-23,11
-1913,-721,168,72,-6,12
-1950,-729,162,72,1,0
-1954,-728,188,69,-5,-5
-1952,-733,184,75,-45,-15
-1951,-722,196,67,-47,-11
-1942,-718,204,60,-61,-14
-1937,-723,206,51,-51,-12
-1966,-727,205,44,-46,-22
-1959,-743,181,43,-34,-32
-1937,-759,167,62,-41,-38
-1972,-768,157,77,-9,-27
-2019,-789,138,116,-53,-25
-2028,-809,168,158,-97,-22
-2128,-855,154,173,-120,-6
-2234,-904,147,210,-233,22
-2353,-1035,126,278,-316,29
-2557,-1175,51,393,-423,17
-2765,-1311,76,563,-579,-20
-2992,-1384,185,718,-797,-77
-3122,-1443,350,857,-1032,-170
-3222,-1410,575,966,-1218,-277
-3287,-1394,853,1031,-1336,-397
-3417,-1355,1127,1057,-1475,-542
-3453,-1266,1400,1046,-1601,-727
-3448,-1226,1609,983,-1649,-923
-3392,-1141,1792,950,-1754,-1138
-3243,-1016,1962,895,-1964,-1328
-2959,-857,2203,777,-1992,-1506
-2689,-737,2343,601,-1931,-1662
-2386,-609,2447,362,-1762,-1806
-2144,-441,2470,69,-1552,-1926
-1889,-320,2454,-258,-1349,-1986
-1621,-187,2404,-576,-1180,-2004
-1294,-143,2369,-895,-1022,-2002
-987,-108,2340,-1231,-833,-1941
-788,5,2242,-1551,-712,-1760
-623,-104,2050,-1916,-716,-1578
-252,19,1902,-2233,-699,-1362
85,12,1780,-2619,-496,-1082
363,6,1564,-2991,-261,-785
601,74,1244,-3303,-147,-362
664,-26,1016,-3645,-104,146
830,159,817,-3810,-206,555
870,325,771,-4058,-214,1043
619,525,592,-4350,-68,1383
286,604,310,-4536,-115,1716
38,506,-161,-4423,4,1940
-324,512,-536,-4100,-131,2019
-289,482,-665,-3769,-236,2088
-278,540,-584,-3650,186,2123
-446,507,-606,-3634,658,2111
-649,553,-774,-3770,1221,2085
-1213,501,-1263,-3835,1718,2111
-1860,41,-2318,-3602,2003,2108
-2599,-356,-3234,-2718,1657,1751
-2827,-594,-3467,-1603,547,1398
-2744,-530,-3031,-705,-102,1110
-2819,-563,-2642,-219,-127,824
-2893,-591,-2401,75,-205,548
-2918,-633,-2153,279,-383,315
-2824,-701,-1896,471,-660,128
-2593,-730,-1604,608,-919,-6
-2339,-796,-1331,694,-1106,-46
-2160,-872,-1049,780,-1252,-60
-1960,-957,-781,798,-1180,-65
-1808,-949,-526,768,-967,-70
-1734,-1056,-336,668,-694,-62
-1659,-1034,-231,546,-414,-31
-1738,-1053,-165,412,-230,30
-1784,-1057,-121,278,-156,140
-1827,-1032,-89,173,-103,242
-1845,-1015,-80,84,-57,311
-1871,-995,-104,34,127,374
-1968,-985,-155,32,248,394
-2063,-953,-182,110,104,420
-2032,-839,-105,162,93,400
-2100,-793,-47,128,153,368
-2146,-793,-22,90,262,298
-2185,-819,-59,35,352,246
-2099,-734,-42,-8,398,170
-2096,-799,-68,-41,440,99
-2028,-814,-102,-68,373,82
-2030,-863,-165,-76,345,72
-1959,-878,-203,-66,301,70
-1933,-910,-286,-14,349,61
-1914,-958,-311,81,281,59
-1838,-904,-249,170,246,42
-1816,-912,-187,175,288,37
-1845,-952,-175,191,258,57
-1823,-929,-148,210,138,95
-1789,-895,-65,210,113,105
-1818,-861,-51,163,82,118
-1817,-891,0,126,-13,139
-1807,-864,19,79,12,123
-1802,-847,10,46,61,110
-1797,-818,-1,14,139,88
-1837,-829,-40,-1,217,86
-1851,-833,-68,17,141,81
-1860,-829,-75,21,178,66
-1865,-811,-113,36,204,55
-1886,-797,-104,7,192,31
-1893,-823,-127,2,186,33
-1888,-838,-123,22,88,50
-1846,-829,-115,10,109,52
-1856,-842,-132,-7,123,53
-1857,-895,-128,1,75,80
-1857,-870,-150,12,50,95
-1881,-874,-154,17,23,93
-1876,-878,-154,26,11,89
-1904,-886,-161,31,-12,100
-1905,-876,-149,35,6,91
-1910,-857,-161,25,49,63
-1926,-905,-175,35,37,66
-1914,-893,-173,87,-59,74
-1896,-887,-144,90,-64,73
-1891,-882,-130,78,-29,63
-1915,-877,-128,52,-9,60
-1946,-905,-141,63,-114,80
-1904,-858,-142,72,-234,101
-1920,-872,-134,60,-196,98
-1952,-871,-150,46,-192,88
-1942,-845,-136,51,-155,57
-1923,-840,-144,50,-84,39
-1944,-824,-141,42,11,17
-1926,-800,-147,36,56,-15
-1921,-814,-149,16,78,-29
-1915,-811,-148,10,98,-45
-1900,-807,-128,-3,90,-58
-1882,-810,-126,-13,92,-71
-1855,-816,-156,-20,62,-58
-1814,-807,-152,6,47,-8
-1846,-798,-148,8,39,-8
-1852,-816,-130,8,25,-10
-1850,-824,-139,-3,-17,12
-1850,-803,-146,5,-87,34
-1852,-817,-161,-11,-75,31
-1850,-825,-180,-9,-52,26
-1851,-816,-197,4,-36,25
-1844,-828,-198,26,-40,42
-1885,-820,-191,39,-15,33
-1914,-813,-201,49,2,22
-1914,-800,-172,52,1,14
-1896,-816,-160,45,10,3
-1891,-813,-153,33,20,-10
-1856,-840,-160,31,32,-12
-1882,-839,-183,46,9,11
-1885,-831,-184,65,-63,11
-1875,-825,-171,85,-117,21
-1854,-814,-137,73,-89,29
-1860,-806,-127,52,-32,19
