AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2051,32,-150,-79,95,-33
-2054,44,-147,-78,85,-27
-2081,48,-141,-87,94,-33
-2074,66,-143,-96,105,-47
-2068,41,-156,-109,116,-48
-2051,51,-169,-111,151,-60
-2058,45,-175,-108,167,-59
-2061,31,-180,-98,165,-61
-2059,45,-171,-89,124,-60
-2044,53,-153,-96,109,-55
-2038,61,-156,-116,113,-47
-2024,41,-179,-131,133,-32
-2052,25,-201,-139,148,-27
-2054,21,-199,-145,148,-34
-2043,22,-189,-149,191,-38
-2032,22,-186,-171,250,-42
-2047,17,-187,-196,299,-31
-2068,32,-202,-234,333,-15
-2125,19,-212,-276,300,9
-2164,2,-222,-318,271,14
-2178,-5,-239,-375,297,19
-2224,27,-223,-435,320,37
-2260,41,-187,-541,335,39
-2286,88,-131,-694,415,48
-2335,133,-111,-933,543,58
-2400,138,-173,-1196,649,82
-2458,202,-265,-1440,686,106
-2528,239,-362,-1661,819,112
-2695,264,-513,-1864,1058,99
-2861,248,-760,-2004,1229,32
-3144,209,-957,-1978,1062,-180
-3128,218,-1197,-1883,782,-391
-3177,116,-1316,-1645,568,-630
-3177,92,-1555,-1322,354,-863
-3180,-91,-1730,-807,282,-1180
-3064,-133,-1884,-216,89,-1486
-2866,-55,-1823,307,100,-1764
-2813,-4,-1804,782,143,-1938
-2834,-87,-2093,1356,348,-2096
-3005,-133,-2257,1962,558,-2410
-2957,-31,-2438,2640,542,-2805
-2837,6,-2200,3277,370,-3120
-2508,255,-1909,3687,146,-3252
-2176,281,-1786,3902,135,-3134
-2011,51,-2157,4279,254,-2969
-1961,-345,-2683,5170,287,-2959
-1489,13,-2602,6309,-265,-2773
-874,501,-1906,6855,-364,-2334
-509,752,-1250,6800,-84,-1867
-291,671,-725,6454,93,-1302
-101,486,-390,5981,218,-765
82,392,-203,5559,262,-274
21,371,43,5278,209,167
16,440,386,4950,-220,582
251,408,741,4481,-583,937
283,398,1058,3967,-654,1339
201,380,1312,3463,-506,1565
100,350,1478,2822,-457,1711
-106,418,1429,2210,-220,1788
-315,426,1324,1680,-8,1856
-668,481,1214,1231,123,1971
-1086,496,1124,885,90,2001
-1277,516,1092,635,131,1902
-1537,488,1008,470,413,1691
-1786,418,951,377,645,1411
-2026,337,938,284,881,1106
-2131,244,865,157,1018,863
-2180,149,677,85,1125,752
-2371,-1,501,69,1087,725
-2489,-83,445,120,818,685
-2462,-161,445,147,632,641
-2463,-234,436,153,511,641
-2549,-254,447,134,399,611
-2626,-367,441,85,271,567
-2567,-410,407,74,169,481
-2534,-432,368,75,180,391
-2529,-448,351,98,170,303
-2456,-427,372,133,119,243
-2397,-400,408,147,95,247
-2430,-387,397,170,72,249
-2461,-377,413,216,-44,226
-2407,-338,486,248,-108,169
-2332,-292,570,221,-74,122
-2277,-283,602,153,68,67
-2271,-285,576,79,186,26
-2246,-307,543,12,219,-6
-2209,-313,486,-53,273,-8
-2219,-331,414,-99,301,-20
-2217,-328,353,-124,296,-25
-2202,-342,301,-137,277,-25
-2208,-343,249,-138,248,-33
-2181,-368,216,-129,170,-26
-2149,-344,215,-137,99,-11
-2124,-339,193,-155,59,-13
-2115,-357,169,-163,54,-33
-2084,-367,139,-154,63,-53
-2048,-345,113,-139,61,-71
-2006,-342,106,-111,77,-83
-1986,-340,118,-79,91,-93
-1958,-330,140,-75,132,-111
-1957,-334,138,-82,170,-128
-1964,-302,138,-94,119,-121
-1957,-296,146,-127,66,-89
-1964,-296,127,-159,-15,-58
-1935,-299,96,-173,-75,-38
-1945,-325,76,-163,-48,-43
-1942,-330,56,-136,1,-74
-1935,-327,49,-113,40,-83
-1917,-346,33,-101,68,-60
-1960,-338,36,-94,59,-40
-1963,-344,36,-102,34,-38
-1919,-356,32,-105,28,-17
-1951,-356,27,-117,53,11
-1977,-348,11,-114,32,17
-1990,-353,14,-112,3,38
-2014,-348,8,-110,16,44
-2036,-350,2,-109,13,24
-2026,-362,0,-100,28,-4
-2020,-389,-18,-90,38,-6
-2052,-389,-41,-75,26,-13
-2042,-380,-28,-53,-22,-26
-2007,-381,-4,-55,-16,-26
-1964,-386,-22,-59,15,1
-2017,-375,-36,-41,38,22
-2026,-376,-14,-22,10,8
-1990,-370,16,-21,9,6
-1993,-379,1,-20,29,16
-2002,-354,16,-6,2,19
-1998,-357,42,-12,30,17
-2023,-361,37,-18,25,12
-2023,-345,38,-21,7,3
-2020,-337,45,-40,7,-3
-2014,-346,44,-71,28,-5
-2019,-358,8,-89,27,-1
-2033,-349,9,-90,-1,-4
-1979,-361,27,-98,-27,-11
-1953,-364,25,-105,37,9
-1996,-370,19,-110,54,16
-2028,-365,-6,-101,57,9
-2025,-354,-13,-86,37,-7
-2019,-359,-11,-68,29,-18
-2053,-332,8,-60,21,-30
-2051,-320,39,-67,-13,-45
-2047,-311,67,-94,-46,-60
-2061,-308,95,-139,-38,-61
-2086,-316,77,-202,-70,-53
-2105,-355,19,-258,-99,-47
-2146,-399,-69,-253,-155,-65
-2124,-432,-98,-210,-217,-102
-2101,-422,-84,-160,-223,-146
-2037,-421,-48,-127,-202,-168
-2009,-414,-24,-87,-183,-158
