AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2062,-487,69,-159,-255,239
-2059,-502,127,-206,-284,284
-2012,-507,93,-252,-177,330
-2015,-516,139,-279,-88,365
-2018,-530,208,-275,-58,388
-2022,-541,230,-250,-92,395
-1968,-541,248,-214,-185,380
-1890,-524,262,-169,-203,349
-1870,-534,234,-125,-145,316
-1886,-547,198,-97,-43,290
-1931,-550,199,-77,51,270
-2017,-508,182,-53,86,257
-2068,-479,161,-39,30,264
-2058,-451,155,-35,-76,268
-2081,-426,154,-37,-136,278
-2078,-403,149,-47,-207,295
-2058,-408,135,-67,-189,317
-2059,-417,91,-102,-165,341
-2048,-413,110,-138,-124,367
-2011,-419,171,-150,-58,377
-1981,-426,196,-134,-35,359
-1952,-433,226,-99,-58,321
-1959,-440,254,-52,-74,279
-2012,-414,212,-5,-144,250
-1985,-400,187,18,-204,239
-2011,-412,159,20,-164,252
-1979,-388,117,1,-89,284
-1996,-382,162,-19,24,322
-2052,-374,157,-29,90,370
-2096,-361,184,-30,113,426
-2149,-350,199,-17,105,489
-2136,-377,201,2,65,541
-2075,-387,210,28,-14,558
-2003,-373,208,59,-60,540
-1959,-378,201,91,-49,502
-1962,-363,192,116,1,453
-1984,-319,165,132,46,396
-2028,-269,129,132,35,338
-2055,-253,98,112,15,285
-2044,-243,92,76,33,239
-2067,-239,99,36,90,206
-2087,-241,117,0,109,187
-2098,-242,166,-21,101,175
-2133,-275,205,-22,74,179
-2117,-278,243,-3,23,182
-2086,-265,242,24,-32,179
-2036,-262,231,48,-75,163
-1994,-256,206,59,-53,141
-1980,-240,207,57,14,118
-2044,-216,135,42,84,107
-2091,-229,117,11,79,111
-2069,-231,113,-22,99,119
-2099,-259,157,-42,126,133
-2110,-269,212,-40,130,145
-2143,-270,254,-10,53,152
-2097,-248,276,39,-62,148
-2032,-239,247,82,-109,131
-1992,-233,195,102,-77,110
-1984,-226,153,94,-2,86
-2026,-220,122,70,25,68
-2027,-196,132,44,27,55
-2029,-206,136,21,25,45
-2038,-219,158,7,6,40
-2005,-220,190,3,-8,42
-2022,-228,222,13,-19,49
-2018,-221,220,24,-38,66
-2015,-219,243,40,-23,86
-2010,-214,215,54,-22,101
-1974,-209,217,64,-24,109
-1984,-203,190,72,14,111
-1969,-195,167,68,30,114
-1985,-199,188,65,51,120
-2002,-205,192,66,90,133
-2034,-197,193,69,100,152
-2046,-195,184,69,65,168
-2041,-195,179,66,27,183
-2028,-192,180,61,-3,192
-2013,-196,174,57,1,194
-2037,-184,161,50,-10,193
-2084,-184,166,46,-67,194
-2068,-177,167,49,-140,202
-2021,-162,187,63,-118,215
-2078,-187,209,89,-47,251
-2084,-204,228,131,-3,298
-2070,-189,228,177,12,332
-2066,-196,210,218,-27,343
-2049,-204,182,247,-75,334
-2039,-195,176,270,-107,310
-2044,-159,151,292,-131,274
-2082,-158,120,303,-140,240
-2209,-175,92,303,-136,231
-2378,-203,24,290,-114,262
-2593,-278,-100,249,-61,318
-2826,-407,-187,177,-53,376
-3045,-555,-288,88,-54,409
-3236,-770,-294,-1,-40,388
-3398,-1012,-150,-36,4,282
-3648,-1235,106,25,60,71
-3880,-1384,270,191,-7,-252
-4130,-1388,397,421,-30,-647
-4275,-1393,382,650,75,-1078
-4345,-1274,249,817,311,-1525
-4450,-1079,117,895,664,-1971
-4549,-948,-11,901,950,-2407
-4677,-821,50,878,1013,-2830
-4776,-646,172,887,773,-3210
-4712,-396,315,941,344,-3512
-4323,-160,436,1036,-49,-3742
-3911,-31,478,1139,-219,-3905
-3425,144,457,1219,-269,-4003
-2980,238,469,1260,-242,-4077
-2618,257,417,1245,-267,-4111
-2221,296,419,1184,-312,-4092
-1798,380,499,1125,-185,-4024
-1533,421,538,1096,-76,-3892
-1191,521,522,1064,45,-3702
-1013,534,409,976,149,-3481
-921,596,299,800,54,-3205
-819,668,309,567,-173,-2864
-560,703,366,313,-338,-2463
-337,685,402,65,-427,-2033
56,646,446,-181,-389,-1618
330,532,554,-392,-173,-1259
444,472,649,-548,4,-952
591,420,743,-648,157,-712
662,357,773,-709,291,-540
735,349,725,-765,393,-423
660,350,632,-848,489,-326
513,386,507,-977,503,-192
331,366,489,-1127,487,10
166,330,507,-1273,441,275
33,274,512,-1404,334,574
16,260,480,-1532,221,860
-73,207,471,-1665,147,1111
-108,188,391,-1816,14,1331
-154,116,342,-1984,-14,1527
-363,-87,246,-2162,-10,1730
-596,-276,119,-2331,-4,1936
-815,-526,-113,-2505,-11,2123
-1030,-734,-297,-2683,2,2266
-1252,-919,-496,-2848,-62,2353
-1591,-1172,-652,-2983,-190,2403
-1884,-1422,-940,-3056,-214,2439
-2338,-1837,-1114,-3004,-88,2457
-2655,-1957,-1236,-2730,49,2408
-2946,-2001,-1411,-2249,194,2221
-3241,-1940,-1673,-1629,-14,1886
-3371,-1788,-1773,-919,-524,1445
