AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1894,-537,-326,-12,36,-31
-1903,-516,-335,-15,64,-46
-1931,-521,-336,-22,71,-52
-1967,-523,-346,-29,63,-44
-1972,-517,-351,-37,53,-28
-1972,-520,-333,-43,26,-12
-1969,-527,-315,-36,7,3
-1954,-530,-290,-18,-4,16
-1945,-533,-285,6,-10,21
-1934,-530,-304,26,-28,20
-1926,-524,-330,36,-31,17
-1929,-522,-357,31,-26,15
-1921,-513,-378,12,-13,12
-1922,-516,-369,-9,3,9
-1928,-522,-358,-26,14,2
-1922,-519,-341,-33,26,-4
-1908,-520,-326,-32,41,-15
-1903,-524,-309,-27,47,-27
-1905,-521,-328,-24,66,-35
-1914,-525,-343,-29,96,-42
-1954,-533,-342,-37,113,-40
-1991,-534,-338,-39,102,-28
-1994,-527,-334,-37,72,-14
-2004,-532,-337,-32,35,-2
-1997,-541,-334,-25,-19,10
-1973,-532,-325,-11,-69,18
-1930,-532,-331,4,-85,18
-1900,-533,-345,10,-73,14
-1878,-526,-352,8,-43,7
-1872,-520,-363,-1,-2,-4
-1900,-527,-377,-18,32,-10
-1921,-524,-372,-34,48,-13
-1942,-518,-367,-43,65,-9
-1941,-520,-356,-47,66,-8
-1940,-522,-352,-41,64,-8
-1946,-514,-363,-37,53,-6
-1939,-518,-363,-36,41,-8
-1926,-531,-358,-34,43,-9
-1914,-539,-352,-31,43,-12
-1914,-545,-351,-27,29,-15
-1904,-552,-347,-20,31,-16
-1925,-544,-359,-14,29,-14
-1938,-538,-359,-8,17,-2
-1955,-535,-359,-5,14,15
-1981,-517,-372,-3,21,42
-1979,-518,-375,-4,27,67
-1959,-518,-379,-8,21,79
-1930,-520,-384,-12,11,74
-1916,-516,-385,-18,-3,58
-1916,-521,-385,-27,-3,36
-1918,-518,-400,-41,-12,19
-1936,-525,-381,-54,-15,8
-1923,-529,-375,-63,-5,1
-1912,-535,-359,-63,30,-5
-1927,-543,-349,-57,50,-11
-1956,-551,-343,-44,33,-14
-1966,-546,-334,-26,4,-13
-1963,-546,-340,-9,-16,-6
-1961,-544,-355,-3,-23,6
-1971,-532,-371,-6,-4,23
-1980,-543,-371,-15,13,38
-2000,-542,-373,-31,14,49
-2002,-539,-364,-46,-4,56
-1993,-554,-353,-62,-18,56
-1972,-569,-367,-86,-14,48
-1970,-584,-384,-123,15,37
