AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-241,-1999,116,63,-9,117
-252,-1992,110,62,-7,138
-240,-1994,112,60,1,157
-220,-1989,116,58,0,161
-239,-1991,111,59,15,164
-254,-2000,106,58,22,166
-253,-2000,110,56,26,168
-259,-2009,105,55,28,167
-253,-2008,115,53,29,164
-249,-2012,116,54,34,158
-267,-2017,123,57,23,161
-280,-2008,119,64,5,174
-275,-2008,127,73,-8,195
-287,-1998,119,82,-8,222
-304,-1991,105,93,-14,255
-300,-1988,97,101,-29,292
-282,-1995,90,110,-17,315
-215,-1961,92,121,-2,310
-206,-1963,116,141,23,282
-289,-1972,119,164,37,266
-337,-1976,134,186,36,274
-365,-1984,143,211,32,289
-391,-1993,114,228,23,301
-317,-2009,125,237,1,294
-323,-2004,106,240,18,272
-328,-2012,89,233,16,253
-329,-2009,109,223,8,245
-338,-1998,124,216,4,247
-376,-1980,118,213,3,270
-376,-1964,104,207,0,307
-359,-1959,98,200,22,345
-325,-1946,109,196,43,374
-334,-1918,97,197,48,394
-306,-1899,131,207,37,415
-292,-1891,161,236,60,436
-349,-1894,124,272,61,470
-426,-1880,116,306,60,520
-491,-1906,91,337,79,588
-457,-1957,112,363,82,648
-472,-1995,155,399,114,691
-504,-1999,163,446,99,720
-509,-2011,178,499,34,736
-569,-2055,203,560,8,752
-579,-2061,177,620,49,769
-516,-2054,222,674,71,749
-576,-2053,216,726,132,712
-629,-2019,166,757,136,676
-644,-2000,194,772,140,640
-661,-1960,202,777,171,606
-673,-1946,247,781,197,571
-790,-1931,261,780,260,553
-842,-1947,270,767,296,554
-778,-1936,309,738,334,544
-755,-1957,339,701,386,509
-747,-1990,393,658,377,467
-727,-2027,477,625,336,421
-722,-2034,487,608,274,373
-728,-2021,447,593,172,331
-746,-2041,434,580,106,306
-771,-2011,410,566,82,311
-797,-2024,373,551,105,347
-792,-2055,316,526,152,406
-782,-2079,271,491,241,470
-754,-2084,176,441,338,542
-678,-2125,198,405,555,619
-810,-2155,262,417,846,727
-1015,-2209,318,472,1047,871
-1087,-2290,392,549,1058,996
-1073,-2355,484,653,903,1049
-1154,-2438,483,782,708,1035
-1140,-2495,587,947,368,975
-1180,-2574,718,1164,212,909
-1316,-2637,767,1418,166,879
-1426,-2710,797,1649,120,887
-1611,-2759,897,1844,109,942
-1795,-2856,1084,1986,-2,1062
-2076,-2731,1433,2148,32,1261
-1905,-2931,1064,2242,-299,1440
-1693,-2925,1301,2277,-660,1473
-1750,-2802,1556,2328,-820,1373
-1901,-2767,1595,2380,-737,1221
-1764,-2731,1502,2356,-705,1001
-1657,-2514,1533,2244,-629,674
-1586,-2248,1652,2083,-464,283
-1718,-1997,1921,1906,-367,-135
-2080,-1822,2258,1759,-238,-470
-2412,-1575,2534,1633,-238,-673
-2495,-1291,2659,1469,-412,-781
-2680,-965,2683,1265,-632,-829
-2684,-623,2612,995,-967,-806
-2429,-260,2323,648,-1346,-780
-1969,65,1994,218,-1642,-799
-1553,213,1776,-267,-1745,-874
-1188,286,1579,-770,-1714,-988
-951,382,1361,-1272,-1706,-1128
-601,458,1183,-1759,-1791,-1285
-304,353,1201,-2177,-1596,-1437
-211,363,1183,-2501,-1321,-1532
