AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1844,-494,-819,39,-10,-5
-1831,-493,-818,38,-23,-3
-1814,-494,-812,39,-27,-4
-1795,-493,-803,42,-25,-6
-1788,-488,-792,45,-15,-11
-1788,-489,-787,48,-16,-16
-1791,-491,-788,47,-20,-13
-1788,-489,-786,44,-25,-10
-1776,-484,-783,37,-30,-3
-1772,-477,-786,28,-20,4
-1777,-483,-798,15,2,15
-1787,-483,-802,-2,23,26
-1797,-484,-791,-12,29,34
-1806,-484,-784,-13,19,40
-1810,-487,-783,-8,2,38
-1800,-482,-789,0,-13,31
-1786,-482,-798,8,-19,21
-1787,-485,-804,13,-14,12
-1794,-487,-805,16,-10,4
-1806,-492,-802,19,-13,4
-1810,-502,-800,20,-22,9
-1812,-507,-803,18,-26,19
-1803,-503,-808,14,-26,29
-1792,-501,-809,9,-17,36
-1785,-497,-812,7,-1,36
-1784,-490,-817,4,12,32
-1796,-482,-819,2,20,26
-1811,-484,-817,3,16,22
-1819,-487,-813,7,4,19
-1824,-494,-809,12,-12,19
-1822,-493,-804,19,-25,21
-1810,-490,-805,26,-27,20
-1803,-491,-807,31,-22,20
-1799,-490,-800,35,-15,17
-1805,-479,-799,37,-8,14
-1812,-477,-815,35,-9,14
-1813,-480,-834,24,-9,14
-1808,-485,-834,9,-11,13
-1794,-490,-816,-4,-11,9
-1788,-489,-803,-7,-7,7
-1788,-487,-794,-3,3,5
-1800,-487,-790,3,13,9
-1821,-485,-801,12,24,20
-1847,-479,-816,17,26,34
-1850,-485,-828,16,4,44
-1835,-487,-828,15,-21,44
-1806,-489,-827,13,-34,32
-1783,-490,-821,14,-36,9
-1773,-489,-821,14,-16,-13
-1779,-491,-820,14,10,-30
-1800,-490,-819,14,24,-36
-1819,-490,-813,14,17,-30
-1826,-494,-819,14,-1,-17
-1822,-498,-818,13,-17,-2
-1808,-493,-810,16,-25,13
-1791,-492,-798,23,-24,22
-1788,-487,-794,32,-8,25
-1784,-485,-787,40,2,22
-1785,-479,-784,47,1,17
-1783,-474,-784,46,-4,10
-1781,-469,-787,39,-11,6
-1775,-466,-788,26,-12,5
-1772,-461,-798,4,-2,8
-1777,-458,-795,-18,11,13
-1788,-458,-785,-36,23,25
-1795,-455,-771,-47,24,38
-1801,-450,-755,-48,21,50
-1804,-448,-758,-45,15,58
-1803,-454,-775,-44,11,64
-1805,-464,-792,-48,10,66
-1800,-485,-800,-59,13,61
-1790,-488,-793,-64,3,50
-1782,-487,-789,-63,1,32
-1788,-493,-783,-57,6,20
-1800,-488,-767,-46,12,13
-1816,-480,-768,-33,15,17
-1829,-478,-761,-25,20,27
-1849,-474,-787,-22,17,43
-1861,-480,-825,-34,6,59
-1863,-489,-840,-57,-7,69
-1853,-486,-830,-78,-28,69
-1838,-487,-806,-85,-41,58
-1822,-494,-782,-78,-34,40
-1821,-487,-755,-56,-22,17
-1839,-494,-743,-29,-7,-1
-1864,-496,-756,-7,-5,-11
-1888,-490,-780,1,-8,-13
-1891,-492,-797,-7,-20,-15
-1891,-507,-803,-27,-34,-16
-1918,-535,-801,-56,-23,-13
-1969,-587,-793,-89,18,0
-2125,-634,-758,-125,30,24
-2134,-624,-834,-168,-19,60
-2227,-688,-849,-222,-1,84
-2219,-708,-923,-282,55,83
-2249,-727,-956,-337,101,38
-2299,-771,-990,-373,125,-52
-2312,-786,-1050,-387,145,-175
-2352,-803,-1169,-390,213,-327
-2356,-807,-1262,-380,257,-500
-2380,-825,-1346,-344,331,-683
-2384,-827,-1438,-285,450,-867
-2424,-812,-1483,-191,510,-1034
-2431,-810,-1532,-62,521,-1173
-2413,-797,-1579,80,521,-1291
-2366,-759,-1670,209,503,-1399
-2302,-791,-1791,308,467,-1498
-2201,-793,-1900,367,415,-1592
-2020,-800,-1987,403,394,-1693
-1793,-880,-2008,433,385,-1822
-1590,-909,-2054,477,439,-1964
-1404,-887,-2046,549,563,-2081
-1311,-872,-2028,664,813,-2138
-1321,-898,-1917,833,1049,-2106
-1334,-831,-1744,1073,1181,-1979
-1325,-804,-1598,1375,1140,-1787
-1317,-753,-1513,1691,885,-1555
-1200,-735,-1423,1988,525,-1308
-1037,-694,-1382,2244,192,-1073
-833,-628,-1381,2442,-56,-872
-612,-592,-1352,2577,-100,-699
-462,-543,-1259,2664,-38,-551
-346,-514,-1128,2731,38,-421
-252,-455,-968,2787,122,-310
-201,-400,-845,2837,187,-202
-153,-349,-715,2869,286,-82
-107,-267,-607,2885,397,57
-74,-186,-500,2882,562,212
-93,-111,-408,2858,690,391
-36,-12,-277,2815,757,582
-62,91,-128,2758,828,795
-79,159,-2,2676,980,1041
-111,202,136,2564,1159,1307
-471,368,282,2422,1287,1614
-910,581,464,2264,1261,1990
-1209,674,594,2089,997,2396
-1451,763,711,1899,570,2781
-1373,894,707,1686,174,3082
-1104,1024,624,1400,-25,3215
-920,1112,414,952,174,3178
-919,1149,117,291,770,3035
-1314,1186,64,-546,1387,2862
-2037,1146,75,-1389,1742,2716
-2510,1084,320,-2180,1723,2624
-2780,924,470,-2840,1432,2528
-2845,816,492,-3398,993,2423
-2733,722,411,-3927,732,2295
-2815,674,368,-4440,818,2164
-2971,598,417,-4892,963,2043
-3306,331,444,-5226,1052,1928
-3543,46,496,-5405,730,1792
-3587,-126,285,-5434,186,1621
-3489,-431,-89,-5407,-334,1406
-3293,-623,-444,-5356,-609,1135
-3222,-751,-856,-5290,-674,803
-3263,-992,-1183,-5191,-648,426
-3313,-1205,-1353,-4992,-642,6
-3106,-1243,-1223,-4558,-469,-499
-3005,-1364,-1354,-3883,-180,-1078
-3261,-1244,-1488,-3031,-294,-1560
-3422,-999,-1630,-2100,-587,-1845
-3517,-766,-1890,-1226,-1005,-1921
-3552,-676,-2059,-517,-1377,-1815
-3455,-608,-2324,-44,-1641,-1601
-3163,-498,-2402,211,-1814,-1373
-2902,-472,-2352,315,-1831,-1184
-2660,-457,-2228,320,-1727,-1053
-2450,-440,-2067,267,-1618,-976
-2205,-380,-1828,190,-1509,-959
-2011,-312,-1627,123,-1276,-995
-1926,-249,-1524,50,-1065,-1054
-1844,-195,-1395,-23,-885,-1110
-1779,-105,-1320,-84,-710,-1152
-1730,-59,-1248,-141,-574,-1173
-1658,-49,-1184,-196,-389,-1171
-1604,-12,-1159,-256,-213,-1145
-1605,46,-1151,-325,-63,-1084
-1658,80,-1127,-401,71,-972
-1747,83,-1081,-471,177,-802
-1807,60,-1021,-528,185,-586
-1798,12,-884,-540,178,-361
-1722,-53,-730,-484,156,-183
-1634,-77,-637,-367,55,-80
-1553,-119,-557,-220,-46,-42
-1525,-150,-537,-78,-113,-43
-1502,-140,-572,32,-157,-59
-1472,-124,-608,90,-153,-71
-1463,-124,-675,98,-88,-74
-1461,-137,-707,61,57,-67
-1506,-159,-716,-2,243,-54
-1609,-166,-693,-70,364,-34
