AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1872,-754,265,-48,128,99
-1869,-728,233,-45,104,102
-1857,-725,242,-40,69,97
-1857,-731,241,-36,67,93
-1868,-729,234,-31,70,95
-1886,-724,235,-24,67,100
-1906,-738,264,-12,49,106
-1912,-726,245,0,37,117
-1918,-721,246,11,36,130
-1922,-700,217,17,30,145
-1899,-723,217,11,44,158
-1878,-742,231,7,76,163
-1877,-722,221,7,95,158
-1883,-724,242,11,80,146
-1889,-732,234,12,89,139
-1895,-735,254,10,102,130
-1899,-721,248,12,123,124
-1897,-704,235,14,130,114
-1913,-698,237,14,110,100
-1959,-711,238,12,80,97
-1962,-705,212,3,52,102
-1940,-707,232,-2,43,106
-1917,-706,220,-5,84,109
-1901,-719,255,-1,136,106
-1916,-698,249,9,180,100
-1951,-679,256,20,150,93
-1973,-692,262,28,98,95
-1983,-681,226,27,69,102
-1969,-674,199,12,50,114
-1950,-673,175,-12,64,121
-1930,-674,171,-39,99,122
-1909,-697,191,-58,127,106
-1916,-693,221,-61,121,76
-1931,-697,229,-51,85,44
-1934,-694,221,-38,38,14
-1943,-671,202,-28,28,-4
-1952,-671,182,-26,21,-13
-1974,-674,164,-33,11,-7
-1969,-678,169,-41,-2,8
-1947,-676,178,-47,-26,20
-1927,-673,177,-49,-32,27
-1912,-678,164,-53,-9,33
-1895,-682,169,-59,20,35
-1885,-684,169,-63,37,31
-1888,-673,162,-69,59,27
-1894,-682,181,-70,77,25
-1930,-659,169,-66,84,32
-1935,-657,174,-64,72,45
-1957,-655,161,-66,56,62
-1962,-649,146,-77,40,81
-1960,-648,131,-96,24,98
-1958,-663,135,-118,11,117
-1951,-667,135,-138,19,134
-1935,-675,138,-155,36,148
-1924,-680,144,-165,72,158
-1904,-684,141,-171,117,158
-1935,-680,141,-179,161,153
-1976,-663,119,-188,173,151
-1983,-630,90,-206,178,154
-1992,-635,74,-237,224,160
-2038,-634,51,-284,294,177
-2109,-617,21,-346,331,208
-2170,-625,2,-425,350,255
-2210,-623,-48,-522,397,311
-2240,-651,-74,-639,433,372
-2274,-669,-112,-778,502,436
-2267,-711,-115,-931,653,492
-2369,-724,-149,-1085,837,536
-2533,-690,-165,-1241,1019,579
-2678,-764,-247,-1407,1249,620
-2861,-786,-313,-1592,1437,640
-3145,-784,-360,-1791,1594,647
-3441,-802,-464,-1980,1697,655
-3520,-909,-477,-2149,1782,617
-3402,-1055,-465,-2227,1908,455
-3157,-1268,-167,-2120,1815,64
-2895,-1430,108,-1758,1572,-542
-2784,-1572,255,-1171,1184,-1285
-2812,-1454,257,-454,823,-2050
-2986,-1382,18,249,527,-2708
-3112,-1356,-396,771,277,-3148
-3087,-1232,-625,1077,267,-3399
-2921,-1072,-936,1213,89,-3536
-2769,-1035,-953,1230,126,-3612
-2708,-1042,-1053,1185,164,-3650
-2514,-985,-1098,1095,145,-3681
-2335,-1006,-1036,1048,163,-3740
-2117,-1137,-946,1085,142,-3833
-1959,-1253,-677,1243,19,-3964
-1777,-1236,-595,1504,-225,-4095
-1646,-1057,-576,1826,-661,-4192
-1521,-970,-415,2195,-886,-4214
-1508,-971,-400,2588,-877,-4104
-1424,-891,-425,2959,-819,-3874
-1267,-834,-511,3272,-852,-3578
-1057,-744,-621,3504,-818,-3254
-787,-670,-736,3638,-743,-2947
-462,-608,-861,3674,-661,-2686
-211,-517,-930,3631,-527,-2481
-31,-461,-916,3549,-406,-2306
49,-405,-905,3451,-291,-2139
110,-241,-793,3359,-173,-1950
131,-103,-696,3277,-73,-1734
94,-53,-538,3200,-39,-1474
10,3,-457,3123,-28,-1156
14,74,-400,3033,-59,-802
117,112,-363,2927,94,-442
249,33,-289,2819,77,-90
233,16,-310,2671,-49,248
252,61,-313,2488,-21,595
62,68,-313,2298,-77,979
-85,65,-425,2073,-87,1427
-171,72,-329,1816,-144,1962
-329,-47,-247,1583,-191,2528
-454,-152,-91,1389,-237,3107
-447,-300,108,1272,-314,3688
-528,-568,315,1241,-219,4283
-688,-801,509,1292,-248,4880
-789,-1107,745,1439,-352,5432
-938,-1393,930,1667,-462,5867
-1149,-1660,896,1924,-763,6166
-1307,-1881,937,2178,-821,6322
-1440,-2054,1072,2446,-680,6258
-1262,-2075,1222,2747,-376,5850
-1100,-1802,1431,3064,126,5059
-1200,-1200,1633,3444,837,3908
-1092,-638,2430,3998,1228,2497
-2162,-109,2583,4548,1667,1039
-3549,-379,2512,4970,1694,-102
-4423,29,2480,5166,1635,-858
-5030,378,2247,5090,1046,-1336
-5279,602,2211,4733,259,-1613
-5170,749,2056,4133,-441,-1746
-4899,911,1968,3354,-863,-1790
-4481,982,1966,2495,-860,-1785
-4190,903,2048,1687,-719,-1779
-3797,767,2314,1043,-635,-1822
-3522,465,2576,638,-642,-1936
-3217,239,2732,461,-700,-2121
-2736,59,2857,472,-722,-2381
-2345,-81,2834,620,-660,-2725
-2139,-92,2645,806,-493,-3103
-2009,-62,2491,973,-303,-3459
-2069,-24,2169,1062,-123,-3748
-2210,39,1876,1044,-84,-3923
-2276,98,1761,953,-168,-3987
-2135,333,1997,852,-354,-3969
-1876,483,1987,788,-479,-3933
-1707,567,1977,681,-704,-3887
-1488,810,1826,531,-695,-3814
-1330,907,1712,316,-623,-3705
-1273,972,1602,61,-549,-3540
-1151,1013,1513,-239,-483,-3337
-992,1058,1501,-557,-396,-3117
-804,978,1564,-870,-426,-2899
-586,983,1499,-1195,-441,-2698
-364,905,1373,-1567,-379,-2526
-296,722,1269,-1972,-239,-2349
-334,582,1298,-2346,-208,-2155
-257,458,1291,-2670,-246,-1957
-33,319,1406,-2906,-264,-1771
119,200,1528,-3033,-86,-1623
259,124,1541,-3051,29,-1515
397,61,1422,-3036,260,-1451
396,-25,1266,-3034,551,-1406
355,-84,1211,-3051,751,-1352
269,-161,1191,-3060,888,-1276
153,-236,1154,-3063,904,-1163
76,-270,1121,-3067,774,-1014
-16,-301,1085,-3067,542,-821
-121,-384,975,-3073,246,-560
-111,-455,879,-3105,-27,-243
-172,-631,855,-3149,-226,131
-283,-725,760,-3193,-417,574
-264,-759,725,-3219,-596,1029
-245,-816,665,-3219,-768,1446
