AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1948,-539,379,76,-61,-21
-1924,-552,363,76,-72,-21
-1913,-560,352,69,-62,-21
-1910,-567,354,63,-37,-20
-1907,-572,360,58,-10,-18
-1908,-579,374,61,6,-20
-1922,-578,387,71,15,-21
-1932,-579,388,86,9,-21
-1937,-579,389,98,4,-22
-1952,-572,395,111,3,-20
-1964,-565,395,121,-8,-17
-1966,-559,402,129,-21,-11
-1958,-553,392,134,-35,-8
-1941,-549,379,131,-43,-9
-1909,-554,376,122,-33,-17
-1893,-553,393,112,-15,-34
-1895,-542,420,112,-3,-55
-1896,-542,436,122,9,-72
-1927,-537,457,135,16,-82
-1981,-522,477,151,9,-80
-2020,-526,490,171,-16,-63
-2035,-519,493,188,-67,-44
-2023,-533,483,198,-119,-33
-2003,-540,457,197,-162,-34
-1991,-550,440,186,-184,-47
-1965,-558,424,166,-175,-71
-1951,-565,423,141,-158,-108
-1961,-574,428,117,-157,-152
-1983,-575,421,99,-143,-189
-1989,-595,430,88,-114,-221
-1998,-605,442,91,-75,-255
-1957,-656,498,117,-48,-315
-1974,-676,493,169,-88,-395
-1980,-700,508,230,-156,-475
-2009,-708,491,290,-174,-532
-2055,-700,459,335,-209,-561
-2022,-709,464,369,-244,-573
-2025,-714,510,403,-281,-580
-2009,-714,518,441,-339,-580
-2003,-725,531,475,-397,-574
-1997,-725,509,498,-446,-560
-1982,-748,516,508,-461,-545
-1989,-763,544,520,-452,-534
-1958,-815,600,543,-439,-530
-2050,-816,523,568,-403,-526
-1987,-855,558,583,-431,-541
-1990,-873,620,620,-383,-577
-2006,-908,626,665,-339,-624
-2031,-897,683,719,-372,-684
-2058,-921,706,779,-422,-738
-2083,-938,727,836,-476,-782
-2133,-939,733,879,-556,-804
-2150,-978,743,910,-592,-804
-2185,-976,723,928,-666,-795
-2183,-1020,750,934,-748,-778
-2177,-1077,778,938,-812,-762
-2134,-1110,774,934,-874,-753
-2078,-1153,815,916,-910,-761
-2010,-1176,921,909,-924,-788
-1918,-1200,1045,928,-923,-835
-1863,-1191,1136,974,-867,-894
-1808,-1212,1174,1029,-798,-960
-1759,-1257,1309,1089,-789,-1043
-1739,-1273,1432,1163,-776,-1132
-1698,-1286,1510,1236,-772,-1213
-1687,-1282,1641,1304,-807,-1291
