AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1460,-1370,-422,11,-11,-3
-1467,-1372,-418,6,-26,1
-1463,-1370,-413,1,-24,7
-1456,-1369,-410,-2,-20,13
-1450,-1370,-412,-5,-16,15
-1442,-1374,-407,-5,-7,14
-1445,-1372,-406,-3,4,10
-1450,-1375,-404,2,10,8
-1454,-1375,-407,8,10,5
-1455,-1375,-410,13,5,2
-1453,-1379,-410,16,0,1
-1457,-1381,-414,18,-6,1
-1455,-1378,-414,19,-13,4
-1455,-1376,-411,19,-9,8
-1460,-1378,-408,23,2,12
-1467,-1376,-409,25,2,16
-1475,-1379,-410,28,-7,20
-1476,-1380,-410,29,-17,24
-1466,-1380,-410,30,-19,23
-1461,-1376,-409,32,-18,17
-1459,-1373,-411,31,-21,9
-1460,-1370,-416,28,-24,2
-1452,-1370,-415,25,-18,-3
-1449,-1368,-417,20,-5,-7
-1452,-1372,-414,17,4,-9
-1457,-1373,-405,19,7,-10
-1458,-1373,-397,24,7,-7
-1459,-1378,-393,31,5,-4
-1458,-1375,-397,36,-4,-1
-1454,-1379,-408,36,-13,3
-1453,-1374,-411,32,-11,7
-1458,-1367,-407,24,-9,14
-1459,-1373,-399,19,-18,18
-1454,-1374,-396,18,-29,20
-1449,-1372,-398,16,-30,20
-1442,-1368,-392,15,-17,19
-1440,-1368,-390,16,-2,16
-1448,-1371,-399,16,-1,12
-1463,-1375,-400,13,-2,12
-1478,-1376,-393,11,1,15
-1477,-1372,-392,13,-10,18
-1468,-1377,-396,12,-23,20
-1462,-1375,-404,8,-25,19
-1451,-1371,-408,2,-24,17
-1446,-1371,-402,-2,-12,11
-1449,-1372,-407,-7,-1,6
-1457,-1368,-411,-11,6,5
-1465,-1368,-406,-13,7,6
-1471,-1373,-409,-13,8,10
-1473,-1377,-403,-14,-1,14
-1469,-1375,-407,-9,-19,16
-1461,-1374,-413,-7,-30,17
-1461,-1372,-418,-9,-30,18
-1457,-1370,-422,-13,-29,19
-1455,-1367,-426,-21,-27,21
-1463,-1367,-431,-29,-24,24
-1486,-1375,-425,-40,-32,33
-1520,-1389,-429,-54,-57,51
-1524,-1398,-424,-69,-90,72
-1547,-1400,-418,-80,-109,91
-1531,-1399,-431,-96,-128,108
-1557,-1415,-448,-122,-127,124
-1537,-1410,-477,-162,-126,136
-1549,-1400,-489,-212,-107,142
-1565,-1402,-507,-272,-83,151
-1613,-1425,-512,-341,-90,166
-1674,-1477,-518,-426,-133,203
-1715,-1513,-550,-531,-207,264
-1734,-1527,-557,-655,-223,340
-1799,-1565,-592,-804,-242,428
-1834,-1599,-623,-980,-228,529
-1883,-1693,-665,-1187,-169,642
-1919,-1744,-763,-1431,-60,763
-1887,-1820,-800,-1699,73,871
-1808,-1924,-809,-1954,230,930
-1721,-1946,-859,-2187,393,926
-1490,-2034,-828,-2381,585,828
-1379,-2109,-783,-2517,807,627
-1419,-1969,-782,-2588,1042,377
-1502,-2041,-822,-2611,1129,110
-1638,-2008,-930,-2614,1041,-135
-1711,-1926,-1006,-2602,944,-337
-1733,-1789,-1088,-2568,717,-513
-1666,-1723,-1202,-2512,454,-672
-1688,-1681,-1288,-2434,302,-809
-1637,-1730,-1381,-2320,181,-927
-1615,-1622,-1543,-2157,-50,-1036
-1565,-1560,-1366,-1902,-228,-1105
-1595,-1466,-1381,-1556,-284,-1124
-1522,-1421,-1452,-1188,-223,-1098
-1530,-1332,-1439,-776,-72,-1028
-1548,-1197,-1540,-324,121,-897
-1515,-1106,-1702,114,248,-727
-1405,-1049,-1709,539,327,-560
-1245,-951,-1774,956,344,-420
-1004,-849,-1904,1347,270,-327
-649,-746,-2053,1701,282,-297
-338,-818,-2145,2040,530,-327
-286,-821,-1981,2432,924,-366
-500,-695,-1727,2927,1287,-317
-962,-681,-1427,3522,1644,-95
-1493,-619,-1111,4204,1786,336
-1857,-546,-1065,4915,1647,941
-1922,-360,-680,5663,1682,1619
-1957,-329,-526,6460,1441,2268
-1792,-432,-864,7102,1081,2807
-1485,-301,-1081,7536,852,3182
-1179,-74,-1085,7836,733,3363
-936,101,-1240,7999,709,3378
-774,273,-1457,7944,756,3249
-681,491,-1626,7674,791,3005
-725,595,-1793,7205,644,2688
-683,847,-1737,6571,423,2319
-568,960,-1724,5819,381,1885
-632,1029,-1633,4998,327,1416
-740,1119,-1383,4181,339,982
-782,1202,-1052,3430,385,582
-873,1190,-774,2749,451,222
-1018,1150,-517,2142,515,-80
-1227,1083,-165,1642,491,-302
-1403,987,185,1271,327,-427
-1434,930,342,990,161,-460
