AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1969,-549,-189,37,-6,51
-1968,-559,-191,28,-2,57
-1956,-568,-182,20,-9,58
-1947,-558,-178,19,-14,55
-1942,-564,-164,23,-7,46
-1946,-568,-157,32,-5,37
-1954,-562,-166,43,-21,31
-1963,-569,-177,48,-45,33
-1959,-564,-171,48,-35,43
-1953,-551,-174,47,-18,54
-1955,-550,-167,46,-12,62
-1967,-556,-158,47,-7,70
-1969,-565,-154,52,-20,73
-1966,-549,-157,57,-31,72
-1953,-548,-156,62,-22,67
-1955,-551,-153,66,-8,58
-1966,-546,-144,77,-9,50
-1978,-539,-149,85,-28,46
-1979,-534,-155,91,-37,47
-1967,-547,-162,91,-41,48
-1958,-551,-164,86,-34,45
-1966,-538,-150,82,-32,42
-1984,-535,-151,80,-36,44
-1977,-541,-156,75,-32,47
-1971,-535,-151,69,-19,47
-1967,-523,-155,64,-14,44
-1974,-534,-158,55,-23,41
-1983,-537,-169,44,-22,38
-1972,-529,-165,34,-3,33
-1986,-524,-162,27,3,26
-1976,-548,-143,26,6,19
-1991,-550,-132,34,5,14
-1977,-547,-128,47,-14,8
-1978,-552,-143,54,-10,4
-1978,-551,-163,54,8,3
-1984,-557,-158,49,17,3
-1972,-547,-163,45,5,-3
-1959,-543,-163,40,-9,-9
-1954,-545,-156,36,6,-13
-1965,-541,-151,34,26,-13
-1982,-553,-124,41,0,-10
-1988,-529,-131,52,-20,-4
-2001,-532,-117,65,-37,4
-2004,-536,-139,73,-61,15
-1981,-533,-142,70,-70,23
-1972,-533,-159,57,-59,25
-1967,-537,-164,36,-34,23
-1964,-538,-159,14,-9,19
-1960,-534,-146,-2,5,10
-1969,-540,-132,-9,8,1
-1961,-545,-126,-8,3,-8
-1960,-550,-123,-1,18,-13
-1966,-544,-127,9,37,-18
-1979,-547,-120,23,36,-19
-1981,-546,-135,34,7,-20
-1980,-548,-149,40,-23,-18
-1965,-536,-155,38,-35,-18
-1957,-533,-166,34,-39,-17
-1950,-538,-164,25,-31,-15
-1939,-538,-152,19,-19,-13
-1940,-539,-141,19,-9,-13
-1947,-542,-128,24,-11,-12
-1953,-546,-124,29,-24,-6
-1944,-527,-123,33,-35,2
-1943,-526,-126,32,-22,8
-1946,-532,-134,25,-16,14
-1932,-530,-117,18,-2,13
-1920,-518,-141,12,16,2
-1926,-532,-147,2,29,-15
-1954,-539,-150,-7,41,-30
-2147,-460,-301,-13,-121,-42
-2001,-565,29,11,-459,-49
-1929,-573,-87,49,-432,-76
-1938,-517,-155,45,-390,-113
-1869,-499,-160,27,-393,-162
-1868,-528,-183,-7,-270,-214
-1928,-536,-176,-40,-67,-259
-1978,-510,-180,-62,52,-306
-2042,-541,-171,-66,54,-366
-2084,-567,-99,-53,-74,-445
-2050,-580,-143,-26,-248,-553
-2145,-565,-50,-7,-402,-701
-2121,-531,-83,8,-783,-881
-1862,-638,77,3,-1147,-1112
-1871,-679,93,31,-1567,-1397
-1907,-799,137,80,-1664,-1674
-2013,-754,279,151,-1649,-1967
-1907,-1017,-43,202,-1382,-2281
-1484,-1142,-97,206,-1021,-2703
-1229,-1253,-155,171,-831,-3211
-1461,-1614,-333,92,-307,-3625
-1769,-1699,-524,-56,62,-3890
-2251,-1627,-198,-178,575,-3934
-2253,-1811,-16,-235,656,-3855
-2420,-2009,355,-197,663,-3676
-2473,-2036,-1,-159,436,-3443
-2472,-2243,66,-200,-201,-3153
-2474,-2034,245,-191,-185,-2808
-1945,-2221,255,-194,-613,-2464
-1238,-3250,680,-162,-679,-2172
-1411,-2525,454,-40,-244,-1851
-1035,-2384,88,7,-327,-1599
-763,-2504,92,-17,-629,-1467
-462,-3156,662,2,-437,-1377
-480,-2437,327,116,-150,-1234
-502,-2411,362,206,-323,-1107
-655,-2474,531,325,-283,-914
-799,-2277,666,481,-283,-659
-770,-2250,738,664,-546,-417
-494,-2235,691,830,-888,-261
-63,-2063,495,955,-1003,-224
770,-1881,139,1000,-838,-360
1469,-1803,-48,941,-260,-687
1774,-1449,-411,768,950,-1082
1688,-1277,-865,464,2036,-1446
1458,-1086,-1009,54,2974,-1725
1265,-813,-1163,-369,3502,-1928
855,-300,-1429,-754,3997,-1924
-202,256,-1394,-1101,4570,-1575
-1618,460,-916,-1426,4590,-641
-3888,763,181,-1545,3926,1061
-5579,1243,840,-1366,2270,3543
-6324,120,1023,-1060,563,6424
-5794,-60,736,-624,-1165,8963
-5229,-186,-48,-137,-2040,10792
-4692,-137,-776,171,-2402,11870
-4039,-204,-1089,337,-1695,11995
-1807,-504,-1097,360,-423,10993
-506,-156,-666,399,-186,8850
-843,-139,-385,490,-785,6111
-273,-88,-625,470,-1777,3020
-635,401,-857,157,-1735,68
-1073,749,-984,-385,-1112,-2280
-2018,952,-881,-949,-337,-3849
-3167,870,-681,-1396,120,-4582
-4005,810,-463,-1704,130,-4662
-4263,806,-364,-1854,-209,-4397
-4153,775,-377,-1881,-659,-4051
-3678,690,-330,-1813,-1208,-3817
-3164,638,-326,-1639,-1609,-3759
-2635,495,-235,-1386,-1873,-3839
-2200,357,-206,-1101,-1959,-4023
-1873,143,-288,-884,-1962,-4255
-1612,-16,-318,-770,-1996,-4452
-1408,-299,-473,-779,-2040,-4559
-1276,-568,-429,-888,-1905,-4484
-587,-1012,-514,-1027,-1716,-4341
-405,-1145,-285,-1180,-1569,-4179
-502,-1173,-108,-1214,-1283,-3946
-547,-1203,136,-1137,-1065,-3638
-457,-1310,-36,-987,-760,-3284
-591,-1343,-115,-815,-155,-2888
-929,-1516,-33,-628,27,-2402
-1081,-1817,279,-417,-2,-1818
-924,-1902,430,-176,312,-1192
-364,-1763,251,22,3,-741
54,-1745,303,185,-542,-540
372,-2010,523,336,-740,-448
403,-1968,181,437,-408,-362
87,-1309,-332,377,-176,-289
734,-2029,-319,157,-799,-256
454,-2589,0,26,254,-178
297,-3120,-317,-141,881,-54
60,-2741,-51,-304,887,30
-313,-2350,310,-296,1349,83
-449,-2600,222,-232,836,62
-426,-2926,535,-120,509,-18
-418,-2610,368,16,714,-19
-512,-2473,123,83,529,-25
-518,-2494,-1,67,460,-27
-530,-2459,-141,-42,628,-34
-566,-2473,-239,-213,758,-61
-619,-2501,-129,-385,848,-101
-833,-2556,107,-493,908,-115
-1046,-2585,371,-492,726,-88
-1043,-2561,564,-380,296,-59
-1010,-2558,638,-188,-123,-24
-947,-2508,513,12,-388,43
-803,-2435,320,154,-479,121
-707,-2371,132,209,-370,174
-634,-2316,10,187,-282,169
-663,-2275,-40,130,-188,131
-718,-2171,1,73,-50,103
-791,-2119,43,34,91,85
-835,-2053,107,16,132,62
-877,-1998,221,33,115,31
-947,-1950,235,77,21,7
-920,-1911,204,118,-146,-11
-903,-1885,193,153,-244,-12
-872,-1872,122,172,-283,4
-878,-1845,108,172,-259,33
-897,-1811,67,161,-205,75
-889,-1786,59,147,-153,114
-889,-1768,65,128,-154,144
-925,-1762,28,106,-92,179
-925,-1756,8,68,-50,199
-912,-1744,-4,26,-3,194
-909,-1740,3,-14,73,168
-881,-1747,16,-49,139,116
-907,-1749,67,-67,157,44
-963,-1762,98,-66,97,-13
-990,-1768,143,-48,47,-45
-1020,-1794,112,-26,2,-51
-1038,-1801,50,-18,-52,-28
-998,-1792,-19,-28,-40,8
-969,-1810,-71,-56,44,37
-934,-1801,-94,-94,137,44
-964,-1816,-56,-124,171,33
-1051,-1835,20,-126,212,36
-1074,-1834,81,-98,202,41
-1088,-1824,133,-47,143,36
-1106,-1835,143,16,62,29
-1082,-1847,127,74,-67,17
-1051,-1818,89,116,-179,3
-1008,-1808,13,130,-217,-5
-987,-1821,-60,108,-201,-3
-960,-1799,-100,58,-160,7
-938,-1772,-126,-8,-92,19
-940,-1782,-94,-75,7,31
-932,-1785,-41,-122,50,25
-927,-1779,7,-136,49,3
-961,-1804,41,-125,69,-23
-995,-1804,51,-97,43,-46
-981,-1808,44,-64,-5,-62
-1017,-1810,45,-31,-23,-62
-1040,-1816,43,0,-37,-46
-1039,-1817,35,29,-62,-26
-996,-1805,2,47,-87,-18
-961,-1799,-17,51,-88,-19
-951,-1790,-29,43,-62,-21
-934,-1784,-35,30,-29,-20
-933,-1773,-51,11,1,-16
-934,-1771,-80,-20,49,-5
-925,-1775,-84,-53,84,4
-938,-1771,-43,-77,108,10
-952,-1774,-3,-81,130,19
-951,-1773,37,-67,131,24
-963,-1775,71,-37,110,27
-984,-1781,95,6,62,34
-1007,-1786,111,57,-27,49
-1006,-1790,112,110,-80,72
-1003,-1791,76,150,-101,94
-975,-1784,33,167,-111,105
-928,-1774,1,165,-105,96
-922,-1765,-32,141,-89,76
-933,-1773,-52,107,-63,61
-911,-1766,-59,65,-15,49
-916,-1766,-54,22,42,39
-956,-1777,-50,-20,101,41
-987,-1795,-30,-53,147,48
-987,-1809,-7,-71,150,48
-997,-1837,34,-72,140,35
-1026,-1858,65,-54,113,15
-1064,-1889,78,-24,44,-3
-1093,-1919,89,11,-19,-18
-1105,-1988,84,46,-53,-36
-1094,-2046,45,66,-78,-61
-1092,-2122,30,64,-99,-92
-1010,-2149,20,47,-77,-137
-936,-2179,-8,9,-30,-204
-877,-2222,-42,-51,18,-281
-764,-2287,-91,-132,80,-374
-663,-2367,-137,-228,172,-484
-607,-2449,-188,-336,329,-599
-614,-2530,-191,-450,462,-702
-668,-2597,-104,-540,542,-779
-740,-2636,-29,-582,534,-815
-749,-2643,30,-576,470,-820
-754,-2636,82,-526,393,-810
-713,-2645,94,-440,328,-799
-637,-2668,130,-328,250,-816
-584,-2716,162,-194,145,-864
-555,-2771,190,-60,27,-923
-475,-2805,156,50,-101,-992
-365,-2775,82,121,-213,-1077
-222,-2729,1,145,-278,-1169
-153,-2690,-1,149,-252,-1246
32,-2603,-246,91,-182,-1319
228,-2598,-294,0,-16,-1409
247,-2564,-329,-98,192,-1499
355,-2491,-305,-189,261,-1567
567,-2421,-254,-254,275,-1626
727,-2276,-235,-291,337,-1658
804,-2117,-205,-297,487,-1632
817,-1924,-209,-278,768,-1532
821,-1736,-299,-252,1130,-1373
1001,-1561,-421,-263,1427,-1226
1089,-1384,-427,-303,1660,-1124
1013,-1280,-378,-358,1695,-1010
814,-1230,-249,-404,1604,-797
535,-1054,-179,-441,1554,-409
216,-744,-241,-479,1408,139
243,-512,-253,-543,1259,859
56,-208,-294,-629,1372,1744
-571,-128,-292,-765,1362,2846
-1217,-99,-335,-949,1253,4155
-2259,-175,-19,-1124,862,5664
-3653,-400,348,-1149,-256,7393
-4645,-531,497,-958,-1668,9237
-4874,-774,369,-555,-2933,10811
-3239,-1108,509,73,-4500,11514
-2215,-865,85,855,-5155,11201
-1856,-630,-526,1501,-4732,10156
-1215,-353,-627,1912,-2740,8818
-283,134,-1241,1965,-1196,7010
-117,922,-1376,1705,1789,4789
-1170,1029,-1079,1235,4866,2419
-1945,770,-749,822,5642,-44
-4197,389,291,631,4620,-2220
-5432,167,647,641,2044,-3730
-5830,472,492,651,-711,-4553
-5471,672,164,574,-2801,-4743
-4698,870,-250,475,-3823,-4589
-3554,836,-629,380,-3913,-4358
-2587,680,-927,272,-3328,-4251
-1893,440,-1034,155,-2440,-4283
-1525,228,-1052,35,-1625,-4394
-1562,117,-1051,-130,-962,-4448
-1640,-31,-843,-312,-591,-4371
-1835,-162,-541,-454,-563,-4146
-1894,-240,-265,-529,-895,-3793
-1608,-458,-117,-560,-1455,-3358
-1221,-738,-111,-594,-1901,-2893
-850,-997,-216,-653,-2085,-2425
-409,-1325,-312,-730,-1998,-2005
236,-1623,-425,-811,-1740,-1721
664,-1848,-534,-905,-1242,-1590
726,-1966,-614,-1006,-587,-1526
581,-1992,-537,-1086,42,-1454
384,-1990,-376,-1110,546,-1342
120,-2082,-153,-1056,784,-1174
-110,-2149,6,-924,684,-943
-197,-2180,10,-747,490,-661
-98,-2278,-49,-565,366,-385
18,-2356,-91,-400,378,-152
27,-2361,-86,-249,474,50
11,-2337,-26,-98,582,212
30,-2362,42,59,587,311
-115,-2395,116,234,506,385
-283,-2399,167,416,304,468
-403,-2389,166,585,78,563
-417,-2415,22,690,-90,654
-345,-2425,-112,703,-171,704
-343,-2395,-200,640,-113,711
-424,-2357,-206,533,7,703
-458,-2315,-240,405,69,681
-406,-2295,-224,273,130,631
-395,-2288,-200,154,269,571
-466,-2270,-126,56,440,512
-425,-2254,-93,-4,559,422
-413,-2244,-92,-42,651,279
-531,-2263,-78,-70,738,135
-687,-2245,-48,-86,768,47
-845,-2240,-14,-76,672,27
-969,-2266,59,-34,579,63
-1014,-2284,121,44,478,127
-1055,-2272,149,149,270,189
-1077,-2247,194,270,73,248
-1041,-2211,155,386,-77,288
-969,-2155,70,460,-196,296
-898,-2105,-16,488,-249,268
-857,-2072,-67,472,-239,217
-856,-2029,-81,432,-169,155
-853,-2003,-67,385,-98,83
-878,-1979,-35,339,-49,16
-918,-1947,-5,301,-24,-32
-934,-1937,12,270,26,-56
-922,-1918,43,250,72,-77
-936,-1893,69,242,59,-94
-1007,-1884,95,243,76,-83
-1083,-1873,97,241,88,-37
-1048,-1859,98,234,31,5
-1034,-1828,102,223,-42,26
-1014,-1784,76,205,-111,47
-1000,-1797,46,172,-129,72
-953,-1805,37,130,-71,94
-898,-1777,45,92,-2,83
-854,-1776,55,61,22,37
-904,-1770,74,43,35,-15
-941,-1765,72,31,73,-47
-964,-1774,55,16,75,-57
-959,-1755,29,-7,80,-46
-967,-1739,32,-35,97,-24
-990,-1758,68,-50,92,-1
-975,-1770,87,-48,52,8
-957,-1759,81,-36,23,7
-936,-1755,70,-26,20,7
-910,-1734,47,-25,14,14
-920,-1721,21,-32,48,33
-922,-1747,-11,-43,113,41
-867,-1794,8,-49,118,-6
-925,-1801,1,-47,144,-80
-968,-1829,13,-44,155,-141
-1007,-1833,-3,-39,138,-165
-1070,-1872,31,-35,137,-150
-1100,-1855,14,-33,103,-98
-1094,-1874,30,-31,39,-22
-1084,-1880,32,-24,-15,67
-998,-1850,29,-15,-58,138
-947,-1842,12,-8,-58,181
-933,-1834,12,-3,-11,198
-877,-1823,24,6,5,173
-876,-1816,31,21,10,110
-929,-1829,40,40,-15,44
-976,-1811,51,58,-75,-1
-1006,-1811,47,73,-85,-23
-1031,-1810,-5,73,-90,-17
-1003,-1808,-48,53,-77,1
-978,-1807,-83,19,-30,18
-960,-1803,-88,-23,11,25
-958,-1805,-72,-57,53,31
-947,-1810,-45,-76,73,29
-963,-1810,-8,-76,77,24
-994,-1813,24,-59,69,26
-990,-1812,38,-34,30,30
-962,-1818,41,-5,-22,30
-958,-1805,11,20,-48,30
-958,-1812,-32,27,-33,37
-944,-1805,-59,17,-2,43
-942,-1792,-70,-2,16,37
