AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1492,-1405,273,33,18,30
-1496,-1396,274,28,0,34
-1483,-1405,265,25,-19,27
-1472,-1418,250,32,-25,26
-1509,-1418,261,58,-39,29
-1497,-1399,295,60,-65,20
-1472,-1374,327,45,-74,25
-1459,-1382,328,3,-2,26
-1492,-1379,304,-10,39,23
-1473,-1399,290,-13,29,21
-1488,-1394,287,-4,33,26
-1480,-1400,280,-8,12,24
-1481,-1394,273,-8,33,15
-1473,-1392,265,-9,37,0
-1466,-1389,258,-7,53,-5
-1459,-1394,257,0,45,9
-1458,-1372,254,-1,45,21
-1453,-1431,255,-3,36,43
-1492,-1384,238,37,-47,51
-1486,-1393,247,38,-54,45
-1483,-1383,256,47,-49,41
-1489,-1390,268,36,-20,47
-1498,-1388,268,34,-14,45
-1463,-1405,270,30,7,54
-1500,-1392,252,32,18,65
-1467,-1396,250,36,-5,62
-1475,-1407,255,43,10,70
-1490,-1404,263,55,-5,65
-1476,-1384,254,54,-2,56
-1471,-1403,259,48,-3,49
-1466,-1381,263,66,-12,55
-1460,-1387,254,64,-18,61
-1443,-1385,246,79,-35,74
-1460,-1392,235,94,-14,83
-1463,-1394,246,113,-43,79
-1412,-1389,249,123,-47,74
-1380,-1384,249,127,-26,89
-1359,-1394,252,138,30,117
-1352,-1403,243,161,24,163
-1339,-1382,265,173,30,198
-1331,-1399,251,179,35,245
-1375,-1377,265,201,34,300
-1440,-1407,277,206,18,336
-1478,-1404,295,236,-69,346
-1480,-1415,291,224,-52,342
-1506,-1466,216,227,6,346
-1545,-1553,114,251,35,361
-1630,-1684,-62,279,100,376
-1751,-1908,-296,341,68,418
-1893,-2165,-484,505,-76,494
-2101,-2381,-594,733,-295,542
-2355,-2600,-538,1007,-563,537
-2609,-2738,-371,1291,-893,474
-2817,-2814,-110,1563,-1193,359
-2984,-2740,290,1856,-1310,172
-3167,-2494,784,2020,-1054,-140
-3437,-2224,1249,1977,-585,-473
-3756,-1946,1516,1859,-317,-775
-3863,-1607,1770,1632,-210,-1044
-3962,-1335,1883,1429,-351,-1204
-4030,-1119,2063,1202,-671,-1357
-3939,-975,2193,926,-968,-1551
-3688,-788,2225,628,-1072,-1736
-3402,-746,2139,319,-1013,-1915
-3156,-719,1988,105,-964,-2088
-2910,-630,1862,-29,-979,-2270
-2467,-569,1800,-132,-992,-2432
-1979,-517,1804,-229,-943,-2506
-1606,-502,1835,-355,-816,-2511
-1396,-393,1834,-492,-761,-2470
-1187,-250,1811,-628,-892,-2393
-1033,-154,1780,-816,-1131,-2266
-731,-16,1737,-1019,-1385,-2109
-465,20,1707,-1288,-1443,-1926
-198,46,1607,-1566,-1346,-1787
32,70,1568,-1806,-1032,-1664
159,166,1496,-2036,-786,-1573
329,166,1416,-2195,-810,-1402
436,251,1384,-2300,-861,-1214
562,321,1275,-2423,-850,-1076
651,390,1191,-2533,-714,-966
721,458,1126,-2701,-513,-873
790,470,1019,-2918,-567,-701
858,477,927,-3163,-714,-489
967,451,765,-3430,-832,-233
1084,356,534,-3664,-759,2
1037,302,281,-3898,-442,117
926,286,-45,-4091,-188,203
892,276,-317,-4061,-80,318
1023,245,-595,-4075,-219,445
1278,198,-812,-3925,-487,648
1376,90,-997,-3784,-674,956
1451,5,-1131,-3715,-838,1206
1494,-149,-1307,-3686,-708,1441
1427,-375,-1673,-3668,-464,1653
1212,-613,-2085,-3482,-288,1822
933,-799,-2547,-3126,-310,2040
641,-991,-2924,-2658,-407,2184
345,-1075,-3101,-2134,-508,2291
220,-1143,-3281,-1625,-545,2391
135,-1089,-3449,-1220,-385,2454
-144,-1256,-3595,-748,-313,2563
-484,-1317,-3825,-124,-275,2606
-826,-1373,-4118,531,-265,2545
-1069,-1349,-4069,1212,-268,2463
-1326,-1248,-3865,1755,-269,2449
-1665,-1214,-3691,2082,-285,2485
-2125,-1242,-3659,2330,-384,2528
-2580,-1293,-3654,2618,-679,2549
-2953,-1287,-3543,2976,-1112,2518
-3205,-1240,-3349,3306,-1456,2416
-3350,-1145,-3224,3708,-1575,2192
-3467,-1030,-2929,4181,-1479,1955
-3669,-901,-2311,4580,-1069,1640
-3785,-841,-1576,4957,-753,1241
-3850,-667,-743,5099,-506,944
-3864,-567,60,5072,-429,724
-3859,-436,774,4872,-623,586
-3674,-256,1482,4596,-1065,542
-3466,-187,2105,4211,-1315,526
-3380,-142,2639,3777,-1478,425
-3188,-166,3135,3303,-1499,230
-2976,-129,3539,2722,-1192,-33
-2756,-240,3629,1981,-648,-314
-2550,-395,3313,1232,35,-588
-2358,-592,2827,658,562,-803
-2145,-770,2383,294,801,-929
-1959,-851,2072,51,903,-984
-1779,-942,1787,-137,859,-957
-1663,-1018,1535,-250,703,-879
-1511,-1090,1308,-304,525,-812
-1369,-1154,1126,-292,365,-742
-1251,-1181,1004,-275,269,-697
-1153,-1209,926,-244,218,-644
-1113,-1182,884,-210,211,-612
-993,-1186,815,-191,195,-566
-943,-1241,725,-147,250,-462
-1014,-1222,667,-53,271,-362
-1033,-1187,676,39,167,-315
-1056,-1131,755,112,62,-273
-1057,-1082,821,101,-32,-211
-1027,-1038,826,28,6,-177
-1055,-1041,833,-15,27,-104
-1103,-1013,777,-90,28,-41
-1154,-1043,701,-135,61,-12
-1156,-1052,642,-172,110,-18
-1200,-1109,598,-197,206,-5
-1248,-1161,560,-189,182,-8
-1271,-1184,529,-175,93,8
-1321,-1223,475,-181,64,45
-1407,-1244,423,-138,-32,85
-1398,-1252,447,-104,-196,127
-1377,-1285,462,-113,-271,173
-1387,-1344,440,-117,-242,237
-1459,-1356,451,-87,-328,283
-1464,-1350,465,-110,-314,276
-1510,-1360,435,-139,-218,250
-1508,-1377,406,-154,-114,207
-1569,-1379,366,-149,0,192
-1616,-1366,357,-126,-6,173
-1615,-1361,363,-109,-30,166
-1616,-1369,364,-95,-56,174
-1623,-1363,379,-76,-70,176
-1636,-1342,391,-73,-83,162
-1659,-1341,388,-96,-12,141
-1712,-1334,366,-113,42,110
-1701,-1341,364,-130,12,94
-1647,-1340,322,-137,-7,79
-1660,-1346,284,-150,62,69
