AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1112,-1674,502,-24,-6,-22
-1112,-1689,518,15,-14,-27
-1129,-1669,534,52,-29,-30
-1133,-1654,571,67,-42,-17
-1128,-1656,564,81,-90,-31
-1092,-1633,587,113,-128,-42
-1078,-1609,646,74,-60,-39
-1110,-1611,623,66,-26,-18
-1095,-1583,667,23,12,-4
-1103,-1586,682,5,36,5
-1147,-1613,686,-13,23,14
-1139,-1613,665,-15,-31,3
-1149,-1610,659,-10,-28,-20
-1159,-1613,633,-18,-75,-33
-1157,-1625,632,3,-118,-59
-1101,-1611,649,-3,-144,-80
-1086,-1627,601,-7,-85,-80
-1074,-1641,567,19,-71,-82
-1055,-1651,560,65,-57,-53
-1030,-1646,603,90,-54,-11
-1062,-1609,649,61,65,-13
-1095,-1631,661,30,70,-27
-1062,-1617,649,-10,112,-24
-1095,-1642,624,-2,127,-20
-1111,-1626,620,4,62,-17
-1096,-1643,597,12,-7,8
-1105,-1659,592,61,-62,20
-1121,-1639,614,105,-118,-3
-1110,-1612,671,110,-129,-13
-1122,-1598,708,74,-71,-14
-1148,-1597,709,39,-74,-10
-1136,-1602,708,-19,-49,-11
-1134,-1628,672,-62,13,-30
-1135,-1643,617,-51,10,-55
-1115,-1650,589,-44,15,-77
-1112,-1678,550,-6,-1,-78
-1089,-1676,565,34,-14,-72
-1049,-1681,560,39,-16,-44
-1067,-1682,569,49,-33,-12
-1070,-1692,548,86,-71,-13
-1049,-1676,558,131,-103,2
-1070,-1644,605,152,-79,11
-1099,-1654,630,137,-64,10
-1104,-1633,646,117,-3,-16
-1117,-1641,639,120,20,-42
-1116,-1633,640,122,11,-73
-1120,-1637,627,156,-49,-91
-1065,-1631,652,189,-156,-93
-1036,-1625,686,170,-113,-75
-1062,-1638,679,149,-90,-62
-1024,-1636,680,120,-62,-53
-1041,-1649,670,128,-36,-38
-1053,-1619,682,138,-99,-33
-1034,-1592,713,120,-80,-23
-1062,-1598,705,114,-76,-15
-1059,-1586,737,99,-77,-19
-1053,-1578,738,70,-45,-31
-1044,-1587,722,43,-1,-43
-1044,-1599,716,30,37,-61
-1029,-1591,719,14,52,-69
-1018,-1607,695,-17,93,-56
-1034,-1655,686,-35,114,-49
-1037,-1659,635,4,-8,-17
-1029,-1653,630,13,-10,-17
-1051,-1654,614,34,-29,7
-1053,-1651,642,52,-64,5
-1040,-1632,646,53,-70,7
-1030,-1629,654,50,-49,12
-1041,-1607,650,54,-19,17
-1059,-1630,681,52,-4,27
-1071,-1603,693,58,-54,24
-1072,-1602,700,23,-18,4
-1063,-1626,674,0,3,-8
-1038,-1638,650,-8,19,-10
-1054,-1648,640,-4,34,8
-1058,-1650,634,14,-15,3
-1022,-1636,663,28,-36,11
-1013,-1617,670,18,1,26
-1035,-1620,678,15,28,27
-1046,-1603,691,-1,31,27
-1069,-1615,693,-23,46,30
-1076,-1627,676,-45,80,21
-1080,-1625,652,-52,63,4
-1063,-1657,630,-55,61,-7
-1056,-1667,590,-24,57,6
