AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2034,42,397,4,-56,19
-2009,33,369,13,-38,11
-1987,40,354,32,-29,12
-1958,45,338,74,-66,25
-1939,70,348,102,-75,41
-1945,78,361,123,-61,54
-1962,106,390,134,-65,54
-1972,133,413,126,-53,65
-2032,149,444,108,-42,77
-2067,157,469,93,-62,70
-2095,155,480,73,-53,52
-2101,144,490,53,-55,22
-2072,135,484,20,-45,-11
-2033,99,466,-8,-18,-30
-2005,76,436,-16,-1,-35
-1963,61,417,-11,-18,-28
-1945,53,411,-3,-27,-5
-1953,50,401,5,-34,9
-1961,55,398,21,-55,23
-1984,77,405,29,-60,32
-2011,94,420,21,-50,29
-2032,105,420,17,-35,20
-2049,119,421,17,-24,6
-2039,121,423,7,-26,-11
-2030,125,410,5,-42,-12
-2012,100,392,2,-42,-14
-1986,105,376,6,-39,-17
-1975,97,355,9,-14,-15
-1969,101,357,15,-6,-9
-1970,103,371,15,20,-10
-1980,97,369,29,-4,-2
-1989,102,387,42,-22,9
-1993,109,395,46,-42,15
-2002,100,398,34,-25,12
-2009,85,392,33,-18,11
-2014,66,389,36,1,9
-2000,62,391,50,-19,15
-1995,51,394,47,7,12
-2002,38,378,61,20,10
-2005,32,373,89,8,11
-2009,43,382,121,-11,13
-2017,59,406,133,-7,18
-2043,77,437,133,-29,24
-2046,102,452,123,-42,20
-2061,109,461,108,-54,11
-2051,128,469,96,-64,-3
-2035,132,481,76,-48,-14
-2018,140,483,59,-49,-24
-1986,132,487,32,-29,-37
-1969,129,474,14,-15,-40
-1965,122,462,5,1,-38
-1963,111,454,1,23,-37
-1970,108,451,24,2,-27
-1978,113,466,16,26,-25
-1996,116,478,1,23,-27
-1996,102,485,-13,18,-23
-2008,100,476,-33,32,-19
-2012,87,460,-35,22,-23
-1999,84,461,-38,25,-30
-1998,75,460,-50,46,-41
-1991,76,447,-56,52,-48
-1982,68,434,-58,51,-42
-1983,50,415,-50,50,-31
-1980,61,411,-20,18,-21
-1975,61,412,-22,30,-21
-1985,60,392,-6,27,-15
-1989,62,392,10,20,-17
-1982,76,406,13,16,-4
-1997,82,411,3,23,0
-2002,87,415,1,30,0
-2000,90,416,-5,21,-3
-2001,84,409,-3,28,-2
-2000,87,399,-8,34,-4
-1994,80,383,-6,51,-4
-2003,71,378,-1,71,-9
-1995,70,381,5,64,-12
-1992,66,387,3,77,-6
-2002,68,387,7,69,0
-2001,61,393,11,51,10
-2020,68,391,23,24,23
-2020,69,401,34,8,27
-2032,79,417,39,-1,23
-2035,82,428,34,-3,13
-2029,86,434,24,6,6
-2030,79,424,23,13,-1
-2013,75,416,24,24,-17
-1991,73,407,16,41,-19
-1994,57,399,9,44,-11
-1983,60,392,15,21,1
-1973,64,395,14,11,15
-1981,68,398,21,9,24
-1999,70,401,21,19,21
-2006,77,397,36,4,23
-2021,82,413,27,13,20
-2022,76,402,26,8,14
-2016,79,410,25,34,3
-2018,78,400,16,51,-7
