AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1763,-363,-1011,55,75,41
-1774,-364,-998,52,38,15
-1766,-366,-991,47,20,5
-1775,-386,-986,45,-6,6
-1773,-375,-981,50,-13,-1
-1779,-377,-969,48,-20,-19
-1753,-386,-956,48,0,-35
-1720,-386,-935,49,48,-48
-1701,-372,-945,22,101,-41
-1691,-379,-952,-25,43,2
-1699,-384,-976,-48,62,49
-1743,-381,-1003,-39,51,52
-1744,-385,-1016,-8,65,15
-1732,-384,-1010,31,73,-27
-1719,-380,-1002,46,37,-32
-1710,-383,-998,42,6,-5
-1742,-367,-981,28,-46,11
-1740,-375,-968,30,-14,3
-1735,-366,-961,29,27,-26
-1716,-355,-971,3,95,-38
-1698,-357,-984,-33,68,-5
-1717,-366,-1009,-59,69,37
-1722,-377,-1033,-49,55,49
-1743,-374,-1050,-15,129,24
-1736,-377,-1042,16,124,-1
-1723,-378,-1036,39,117,-9
-1732,-380,-1029,45,93,4
-1729,-374,-1023,46,48,1
-1740,-376,-1025,48,7,-16
-1719,-384,-1018,64,-29,-27
-1695,-392,-992,89,3,-27
-1701,-394,-951,102,55,-12
-1717,-373,-939,71,82,-2
-1744,-373,-944,-9,40,3
-1747,-390,-973,-72,27,13
-1770,-411,-1025,-104,25,0
-1742,-417,-1074,-90,78,-27
-1762,-426,-1108,-65,65,-38
-1774,-426,-1113,-25,13,-20
-1777,-430,-1097,37,15,-32
-1817,-411,-1069,81,21,-90
-1787,-419,-1006,113,-2,-141
-1781,-399,-981,99,37,-191
-1733,-401,-951,51,-8,-218
-1688,-408,-953,12,10,-227
-1667,-421,-961,1,-52,-205
-1598,-423,-948,28,-11,-169
-1630,-401,-954,19,1,-131
-1634,-412,-934,-1,-45,-91
-1688,-389,-950,-44,-67,-76
-1677,-382,-977,-98,-114,-101
-1673,-400,-1013,-112,-94,-103
-1682,-429,-1031,-86,-78,-49
-1722,-410,-1064,-42,-1,-39
-1753,-416,-1060,-6,-34,-60
-1754,-429,-1035,43,-37,-82
-1769,-409,-1005,69,-55,-99
-1745,-432,-958,58,-68,-121
-1732,-420,-928,40,-56,-126
-1754,-422,-891,-3,-92,-107
-1720,-404,-899,-68,-31,-137
-1741,-406,-931,-166,-54,-149
-1690,-430,-976,-201,-9,-135
-1734,-409,-1047,-199,8,-119
-1737,-412,-1076,-158,-67,-129
-1736,-409,-1084,-69,-111,-151
-1723,-396,-1062,-6,-168,-169
-1643,-373,-1046,27,-103,-197
-1623,-371,-1043,-11,-105,-199
-1574,-393,-1044,-40,-91,-136
-1590,-429,-1048,-31,-78,-51
-1623,-432,-1030,13,-27,3
-1687,-410,-992,47,-4,26
-1753,-389,-975,9,-10,39
-1822,-372,-988,-79,-37,16
-1840,-385,-1033,-141,-61,-49
-1797,-400,-1096,-132,-69,-122
-1746,-420,-1128,-72,-88,-151
-1712,-418,-1133,23,-96,-134
-1677,-430,-1084,135,-84,-101
-1724,-404,-1018,190,-66,-90
-1721,-385,-949,178,-86,-102
-1736,-371,-934,72,-104,-123
-1673,-392,-954,-44,-150,-135
-1644,-450,-994,-69,-143,-110
-1616,-473,-1012,8,-90,-48
-1682,-461,-1020,96,-36,-1
-1752,-459,-982,127,-75,9
-1768,-475,-916,163,-53,-34
-1803,-478,-862,158,-67,-95
-1751,-473,-837,122,-42,-136
-1775,-464,-872,13,-96,-140
-1743,-512,-900,-63,-205,-106
-1757,-530,-956,-27,-177,-95
-1778,-510,-1015,13,-248,-128
-1735,-529,-1023,69,-291,-149
-1697,-560,-950,155,-309,-151
-1635,-531,-844,261,-184,-137
-1638,-471,-743,239,-95,-104
-1633,-426,-703,70,-24,-30
-2341,-445,-1065,-85,12,-198
-2168,-497,-1237,138,236,-867
-2237,-483,-1230,322,88,-1129
-1637,-463,-928,211,-567,-1080
-1494,-478,-794,-107,-479,-829
-1542,-543,-848,-374,-503,-532
-1627,-608,-923,-432,-502,-392
-1660,-633,-955,-357,-280,-417
-1692,-644,-966,-161,7,-505
-1692,-612,-1004,-18,214,-563
-1752,-637,-1014,102,133,-528
-1694,-628,-968,206,-79,-439
-1702,-606,-902,183,-217,-360
-1686,-591,-815,72,-354,-362
-1612,-611,-797,-51,-302,-376
-1592,-650,-816,-117,-243,-333
-1600,-660,-826,-116,-222,-303
-1593,-674,-806,-129,-218,-276
-1509,-688,-789,-104,-120,-188
-1470,-706,-841,-69,-20,-21
-1498,-737,-852,42,67,116
-1600,-651,-879,106,267,140
-1724,-643,-953,85,454,50
-1818,-630,-1085,90,351,-25
-1797,-649,-1096,78,-90,14
-1741,-668,-1031,85,-429,94
-1613,-724,-1013,151,-297,126
-1727,-694,-1013,252,-424,141
-1671,-680,-906,297,-465,112
-1635,-652,-817,308,-384,44
-1678,-668,-745,285,-226,6
-1603,-641,-663,220,-208,-41
-1776,-612,-654,58,-119,-89
-1696,-641,-707,-127,-126,-77
-1818,-672,-848,-215,-231,-60
-1874,-704,-929,-176,-260,-92
-1891,-716,-960,-84,-284,-184
-1799,-724,-937,0,-302,-242
-1767,-717,-898,84,-249,-263
-1746,-681,-880,98,-279,-251
-1745,-688,-811,79,-388,-215
-1780,-673,-771,73,-380,-242
-1765,-674,-726,57,-337,-350
-1719,-658,-824,56,-209,-462
-1322,-722,-810,117,-696,-213
-1602,-695,-711,42,-704,27
-1796,-689,-733,35,-729,78
-1778,-680,-714,-4,-699,14
-1796,-707,-708,-25,-683,8
-1757,-688,-698,-33,-663,-3
-1762,-684,-696,-27,-622,-38
-1736,-652,-683,-81,-478,-74
-1709,-683,-675,-143,-410,-60
-1688,-683,-691,-154,-302,-42
-1675,-692,-705,-155,-255,12
-1705,-696,-684,-124,-209,82
-1719,-684,-664,-130,-272,194
-1693,-632,-634,-183,-245,246
-1721,-596,-579,-263,-105,198
-1746,-620,-595,-302,-15,151
-1807,-755,-655,-328,-29,152
-1889,-800,-746,-277,-161,174
-1729,-762,-644,-181,-521,129
-1928,-1285,-918,-156,-661,104
-1711,-678,-802,75,-641,126
-1789,-700,-825,136,-482,178
-1853,-745,-784,129,-517,310
-1925,-712,-816,119,-466,322
-1987,-717,-809,60,-527,338
-1962,-721,-708,64,-598,267
-1976,-652,-628,77,-541,188
-1923,-648,-610,55,-485,185
-1909,-598,-603,17,-421,142
-1950,-669,-600,-18,-354,169
-1899,-638,-594,-8,-312,173
-1918,-619,-563,2,-257,166
-1887,-645,-578,-8,-300,175
-1950,-644,-580,-12,-306,181
-2047,-667,-573,-10,-435,188
-2079,-598,-557,-44,-663,263
-2022,-578,-499,-85,-860,432
-1990,-593,-427,-82,-863,572
-1971,-592,-407,-38,-836,590
-1899,-525,-377,-49,-657,453
-1875,-501,-370,-114,-385,279
-2006,-555,-396,-144,-210,208
-2076,-616,-439,-107,-251,230
-1974,-584,-477,-17,-333,193
-1979,-548,-432,-2,-352,171
-2016,-482,-400,2,-390,180
-1909,-507,-317,-60,-431,185
-1924,-531,-331,-75,-331,135
-1949,-569,-352,9,-396,78
-2036,-530,-365,69,-441,137
-2043,-462,-372,45,-458,211
-2042,-488,-351,13,-445,211
-2047,-458,-356,-46,-427,214
-2068,-497,-414,-29,-365,209
-2037,-549,-407,53,-393,263
-1975,-475,-400,103,-432,224
-1891,-538,-347,134,-491,195
-1894,-487,-336,104,-475,188
-1812,-529,-305,23,-382,188
-1813,-522,-369,-80,-172,170
-1877,-501,-367,-231,-88,131
-1813,-472,-300,-218,-184,53
-2037,-507,-294,-121,-231,173
-1859,-553,-271,26,-265,-5
-1917,-619,-443,182,-293,104
-1876,-511,-450,210,-182,118
-2043,-474,-324,184,-98,65
-2175,-444,-240,171,-84,45
-2077,-356,-183,184,-119,57
-2009,-451,-219,66,66,-206
-2070,-473,-248,111,155,-227
-2099,-496,-300,75,2,-122
-1990,-446,-375,-51,-67,24
-1983,-484,-389,-250,-99,183
-1983,-481,-346,-492,-41,199
-1988,-584,-258,-395,-71,156
-1902,-432,-236,-269,-72,78
-1992,-600,-242,-180,-56,21
-2023,-543,-294,-15,-197,15
-1993,-505,-273,63,-254,80
-1924,-493,-242,105,-208,68
-1893,-433,-223,63,-45,-4
