AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1822,-404,-776,22,-27,31
-1817,-402,-776,23,-22,19
-1820,-402,-769,25,-11,9
-1831,-402,-777,26,-7,3
-1844,-400,-779,24,-6,4
-1859,-400,-775,22,-5,9
-1858,-403,-766,24,-7,17
-1856,-406,-752,29,-15,25
-1852,-407,-757,34,-23,31
-1845,-405,-766,37,-34,33
-1830,-404,-767,35,-35,30
-1823,-401,-778,31,-27,22
-1819,-399,-779,25,-22,14
-1812,-402,-774,20,-18,6
-1829,-400,-766,18,-12,0
-1845,-395,-764,20,-3,3
-1857,-399,-758,21,-5,12
-1863,-399,-758,24,-15,22
-1867,-403,-759,25,-26,33
-1852,-405,-763,25,-33,40
-1833,-407,-769,21,-40,36
-1811,-405,-768,19,-37,26
-1808,-400,-772,14,-21,14
-1817,-397,-775,11,-4,4
-1843,-398,-775,7,9,3
-1866,-401,-771,5,9,7
-1874,-405,-767,7,-9,15
-1866,-406,-768,13,-33,24
-1855,-406,-759,19,-47,28
-1847,-402,-757,28,-47,30
-1832,-399,-773,33,-54,29
-1826,-400,-777,32,-48,26
-1822,-401,-789,26,-31,21
-1818,-405,-788,18,-26,15
-1827,-403,-775,15,-18,12
-1844,-405,-769,19,-3,13
-1858,-398,-759,29,-6,16
-1867,-398,-753,42,-22,21
-1869,-395,-764,49,-39,26
-1844,-395,-774,49,-51,27
-1822,-389,-775,45,-48,23
-1804,-386,-771,37,-38,14
-1799,-385,-771,28,-24,4
-1811,-382,-772,20,4,0
-1840,-378,-768,12,25,3
-1863,-382,-752,9,22,13
-1871,-394,-745,16,5,24
-1870,-394,-744,23,-17,32
-1858,-397,-744,33,-40,38
-1840,-397,-752,38,-45,39
-1829,-400,-763,37,-38,36
-1823,-397,-766,31,-22,30
-1831,-394,-765,25,-12,23
-1838,-395,-756,21,-11,20
-1841,-393,-751,21,-15,17
-1846,-393,-754,21,-18,20
-1844,-395,-749,23,-21,22
-1843,-392,-752,25,-23,25
-1851,-388,-756,27,-18,29
-1855,-394,-758,28,-24,37
-1849,-393,-754,28,-31,41
-1846,-389,-756,28,-27,42
-1834,-391,-759,27,-30,38
-1826,-391,-766,24,-29,32
-1821,-393,-775,19,-28,23
-1815,-395,-782,10,-21,16
-1817,-405,-791,5,-5,11
-1824,-412,-763,5,-1,11
-1856,-398,-734,19,-3,20
-1874,-394,-732,42,-23,41
-1888,-388,-737,63,-38,67
-1893,-383,-749,76,-45,91
-1885,-379,-769,78,-72,104
-1859,-375,-775,71,-87,104
-1844,-379,-768,63,-86,89
-1851,-371,-795,49,-112,69
-1808,-386,-773,33,-135,46
-1816,-374,-741,30,-101,31
-1815,-385,-725,38,-73,25
-1840,-376,-743,47,-53,34
-1847,-385,-749,49,-19,50
-1850,-393,-726,56,1,63
-1861,-388,-719,67,-3,70
-1870,-380,-727,75,-32,76
-1857,-377,-738,77,-52,77
-1845,-368,-746,71,-57,74
-1843,-369,-755,59,-56,68
-1833,-373,-774,43,-44,62
-1826,-385,-770,25,-24,55
-1833,-388,-754,19,-11,50
-1836,-396,-759,20,-22,49
-1834,-407,-743,29,-29,52
-1841,-410,-779,41,-31,62
-1842,-422,-770,54,-55,80
-1863,-435,-829,68,-56,103
-1869,-466,-884,73,-50,132
-1879,-483,-919,85,-54,158
-1899,-490,-886,121,-67,187
-1916,-510,-851,193,-61,223
-1988,-565,-839,285,-97,268
-2023,-610,-885,375,-210,314
-2054,-658,-963,445,-347,363
-2057,-687,-1021,492,-454,406
-2077,-738,-1072,527,-504,444
-2166,-782,-1061,577,-487,490
-2304,-840,-1093,647,-488,562
-2446,-917,-938,764,-558,646
-2586,-1002,-868,933,-710,732
-2752,-1122,-810,1119,-863,802
-2900,-1239,-754,1314,-981,865
-3139,-1359,-861,1485,-1107,924
-3331,-1498,-899,1611,-1350,963
-3507,-1513,-837,1715,-1586,967
-3625,-1445,-750,1816,-1798,922
-3682,-1364,-593,1924,-1916,807
-3711,-1286,-346,2051,-2005,612
-3644,-1159,-115,2193,-2025,334
-3624,-1069,128,2323,-1966,-18
-3733,-919,315,2424,-1898,-393
-3944,-689,466,2473,-1917,-736
-4191,-434,612,2474,-2008,-1015
-4318,-151,710,2424,-2235,-1231
-4312,137,745,2311,-2515,-1420
-4051,483,768,2124,-2659,-1628
