AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-799,-1815,-244,-41,63,27
-808,-1813,-233,-70,81,42
-822,-1826,-205,-88,106,51
-823,-1850,-177,-85,110,43
-841,-1846,-135,-62,90,21
-857,-1854,-134,-24,52,-8
-881,-1870,-150,11,3,-29
-890,-1877,-168,38,-47,-39
-876,-1865,-177,54,-73,-36
-866,-1855,-206,56,-88,-23
-839,-1847,-228,42,-81,-3
-806,-1835,-249,17,-60,19
-784,-1823,-261,-19,-33,42
-771,-1823,-264,-56,1,59
-765,-1831,-245,-85,51,70
-795,-1830,-218,-97,79,76
-824,-1852,-196,-92,90,78
-853,-1862,-176,-73,76,77
-883,-1863,-159,-44,41,78
-890,-1868,-159,-12,3,81
-880,-1864,-178,14,-32,86
-859,-1854,-200,28,-49,91
-848,-1853,-220,28,-31,100
-836,-1842,-238,16,-16,109
-815,-1826,-250,-4,-10,113
-801,-1833,-256,-27,9,111
-792,-1828,-246,-46,24,102
-811,-1829,-232,-58,55,95
-828,-1835,-221,-61,85,92
-842,-1844,-203,-57,93,89
-862,-1844,-197,-45,91,94
-877,-1840,-187,-29,77,105
-881,-1834,-184,-13,58,125
-896,-1826,-186,-2,54,158
-907,-1829,-212,4,39,203
-922,-1800,-240,-5,30,250
-940,-1761,-275,-24,8,310
-901,-1822,-280,-52,-2,361
-874,-1777,-260,-85,-7,396
-900,-1785,-254,-115,-46,430
-847,-1743,-233,-146,-82,461
-845,-1722,-219,-163,-88,495
-948,-1628,-274,-184,-110,567
-1071,-1748,-305,-222,-109,690
-1014,-1838,-350,-267,-81,809
-1014,-1824,-311,-307,-61,889
-983,-1770,-280,-314,-86,925
-977,-1749,-230,-295,-50,922
-997,-1773,-225,-260,-54,895
-1043,-1796,-198,-211,-195,869
-1000,-1635,-222,-152,-202,846
-968,-1659,-244,-104,-180,804
-1000,-1710,-267,-74,-170,758
-1049,-1704,-312,-66,-169,721
-1092,-1675,-329,-72,-166,700
-1075,-1663,-349,-87,-175,691
-1096,-1645,-335,-105,-136,695
-1112,-1609,-332,-128,-82,721
-1200,-1586,-353,-160,18,786
-1236,-1664,-424,-214,170,889
-1269,-1709,-440,-286,324,1002
-1296,-1719,-426,-358,463,1098
-1226,-1673,-359,-395,510,1135
-1192,-1583,-285,-386,478,1115
-1144,-1524,-285,-350,356,1055
-1130,-1546,-279,-303,272,980
-1126,-1549,-318,-252,186,902
-1138,-1542,-340,-211,110,839
-1160,-1529,-376,-184,133,812
-1165,-1549,-431,-183,300,825
-1214,-1544,-492,-215,534,873
-1298,-1520,-522,-273,700,945
-1362,-1491,-517,-338,764,1030
-1405,-1504,-502,-386,771,1123
-1407,-1537,-464,-405,826,1200
-1492,-1565,-377,-379,780,1259
-1522,-1619,-316,-308,756,1279
-1468,-1580,-247,-184,656,1223
-1483,-1420,-262,-31,450,1114
-1488,-1277,-333,116,127,984
-1394,-1252,-429,231,-136,844
-1367,-1324,-497,290,-330,714
-1395,-1360,-563,291,-346,626
-1461,-1308,-657,235,-201,596
-1497,-1251,-710,132,-25,607
-1513,-1252,-720,2,169,636
-1541,-1234,-708,-135,338,678
-1551,-1233,-671,-258,486,727
-1583,-1240,-638,-355,620,776
-1628,-1271,-535,-406,698,818
-1662,-1260,-450,-401,668,839
-1719,-1226,-388,-358,508,848
-1698,-1217,-425,-298,322,857
