AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2134,-258,69,91,-92,221
-2071,-257,61,68,-55,224
-2039,-254,76,49,43,216
-2049,-254,45,30,132,203
-2068,-257,50,7,189,190
-2102,-263,61,-6,257,185
-2152,-259,88,-4,288,187
-2182,-232,138,18,266,193
-2212,-237,167,54,196,206
-2204,-246,173,87,85,213
-2176,-258,172,116,-19,215
-2097,-235,133,136,-115,200
-2026,-221,96,136,-111,174
-1995,-220,56,115,-30,145
-1978,-210,31,79,50,119
-2006,-216,24,38,126,97
-2048,-224,35,3,170,87
-2064,-216,66,-15,167,84
-2065,-186,106,-12,132,86
-2053,-180,130,5,77,92
-2069,-187,136,16,67,107
-2069,-161,140,21,56,133
-2065,-135,158,25,62,158
-2111,-119,92,12,77,189
-2101,-107,56,-24,55,222
-2073,-114,46,-75,53,247
-2051,-126,23,-135,68,259
-2025,-138,25,-198,83,262
-2000,-134,28,-258,109,255
-2026,-136,25,-313,148,253
-2104,-122,6,-373,201,271
-2159,-86,-26,-445,221,311
-2251,-88,-58,-532,227,370
-2354,-24,-162,-654,213,452
-2436,-49,-174,-828,170,552
-2537,-132,-212,-1052,219,683
-2651,-228,-216,-1316,386,835
-2784,-242,-207,-1596,613,995
-2823,-207,-163,-1866,768,1128
-2845,-190,-185,-2123,957,1210
-2867,-139,-248,-2375,1189,1220
-2861,-142,-202,-2600,1376,1142
-2812,-191,-140,-2759,1557,964
-2776,-129,-113,-2850,1668,682
-2559,-76,-72,-2865,1699,284
-2636,-191,36,-2791,1797,-170
-2621,-247,-176,-2613,1815,-656
-2575,-389,-10,-2439,1774,-1182
-2706,-408,-339,-2289,1694,-1695
-2734,-446,-531,-1977,1358,-2202
-2668,-523,-253,-1612,833,-2704
-2581,-385,-748,-1253,207,-3166
-2471,-498,-503,-878,-364,-3573
-2354,-501,-456,-556,-809,-3939
-2168,-496,-503,-263,-1035,-4276
-2085,-524,-582,7,-1001,-4571
-1975,-625,-577,279,-838,-4803
-1888,-744,-635,579,-705,-4980
-1852,-810,-594,892,-710,-5094
-1808,-833,-359,1273,-744,-5143
-1770,-731,-252,1683,-829,-5112
-1822,-810,-261,2122,-872,-4990
-1767,-882,-205,2584,-868,-4785
-1606,-954,-189,3008,-863,-4541
-1437,-1086,-128,3428,-919,-4288
-1208,-1115,-151,3842,-882,-4034
-1080,-1061,-221,4250,-771,-3778
-964,-939,-282,4652,-531,-3506
-939,-745,-441,5006,-317,-3205
-1025,-571,-675,5228,-354,-2862
-1068,-397,-982,5272,-308,-2464
-1051,-299,-1166,5158,-192,-2029
-987,-188,-1114,4971,-123,-1606
-777,-115,-935,4744,34,-1190
-578,-141,-737,4538,216,-829
-557,-171,-476,4375,333,-511
-614,-113,-239,4278,290,-200
-731,-29,7,4245,97,133
-820,68,126,4267,-92,503
-861,145,98,4292,-147,913
-879,107,8,4264,-33,1354
-965,82,-173,4156,246,1825
-1071,75,-257,3971,584,2324
-1206,93,-252,3742,981,2849
-1494,104,-156,3501,1335,3401
-1856,23,79,3292,1410,3967
-2136,-124,372,3150,1203,4504
-2444,-327,811,3171,674,4995
-2764,-561,1120,3183,-176,5437
-2765,-729,1175,3746,-970,5746
-2353,-836,1478,4282,-1616,5804
-1798,-843,1664,4873,-1963,5515
-1493,-714,1472,5426,-1909,4926
-1353,-401,1348,5745,-1573,4154
-1381,-110,1384,5893,-1072,3257
-1529,184,1500,5896,-750,2274
-1693,451,1661,5802,-864,1209
-1788,762,1716,5641,-1249,105
-1715,1102,1826,5425,-1637,-970
-1878,1296,1890,5147,-1463,-1879
-2387,1458,2013,4834,-1124,-2517
-2730,1609,2286,4552,-1045,-2936
-2917,1821,2505,4317,-1156,-3216
-2867,1907,2716,4106,-1339,-3414
-2669,2023,2669,3916,-1441,-3566
-2725,2125,2529,3653,-1305,-3644
-2993,2244,2414,3339,-1263,-3616
-3092,2267,2403,3003,-1379,-3517
-2923,2277,2370,2671,-1555,-3448
-2539,2363,2280,2355,-1628,-3494
-2044,2410,2029,1991,-1600,-3693
-1666,2372,1721,1514,-1385,-4024
-1497,2282,1467,926,-1117,-4433
-1455,2125,1396,283,-943,-4874
-1443,1951,1331,-355,-806,-5316
-1284,1651,1353,-935,-642,-5768
-1252,1318,1261,-1458,-554,-6207
-1297,1043,1266,-1904,-496,-6580
-1408,793,1317,-2241,-436,-6861
-1487,625,1424,-2465,-515,-7040
-1559,439,1500,-2596,-569,-7096
-1646,290,1372,-2676,-457,-7029
-1685,169,1283,-2727,-300,-6879
-1778,101,1285,-2747,-273,-6665
-1876,76,1324,-2738,-400,-6371
-1913,66,1245,-2737,-609,-6001
-1915,89,1053,-2807,-929,-5549
-1780,189,843,-2956,-1182,-5041
-1422,194,729,-3163,-1300,-4542
-1091,169,677,-3392,-1332,-4086
-785,194,570,-3627,-1201,-3671
-451,115,462,-3870,-989,-3318
-227,-32,378,-4117,-733,-3005
-154,-166,281,-4350,-411,-2690
-193,-250,250,-4556,-106,-2360
-442,-309,257,-4720,77,-1977
-772,-329,258,-4851,24,-1495
-992,-336,254,-4961,-156,-914
-1181,-400,193,-5065,-372,-267
-1306,-483,112,-5156,-636,418
-1141,-547,-17,-5222,-869,1078
-780,-651,-186,-5283,-912,1647
-544,-755,-393,-5355,-614,2103
-454,-799,-504,-5445,-252,2448
-475,-839,-542,-5537,62,2707
-550,-860,-539,-5621,230,2907
-666,-895,-441,-5677,236,3078
-834,-1028,-416,-5695,127,3251
-1005,-1119,-452,-5682,-96,3426
-1057,-1105,-546,-5622,-503,3577
-1145,-1232,-642,-5518,-978,3729
-1315,-1223,-648,-5348,-1393,3926
-1505,-1137,-531,-5089,-1867,4174
-1625,-1005,-494,-4773,-2332,4445
-1645,-960,-510,-4452,-2748,4701
-1512,-929,-723,-4188,-2813,4902
-1271,-710,-1237,-4072,-2615,4971
-932,-513,-1657,-4160,-2172,4896
-807,-479,-1927,-4441,-1109,4717
-757,-265,-2052,-4851,58,4406
-863,-121,-1727,-5243,1027,3930
-1425,-17,-1343,-5482,1622,3374
-2132,45,-944,-5541,1499,2857
-2743,-98,-261,-5307,868,2463
-3011,250,-622,-4802,62,2168
-2881,153,-527,-4552,-770,1912
-2327,364,-1194,-4326,-1143,1570
-1758,439,-1117,-4084,-1079,1049
-1562,686,-1605,-4029,-753,419
-1863,669,-1341,-3846,-2719,-226
-2417,716,-1397,-3677,-61,-644
-2906,676,-1194,-3520,-167,-937
-3212,661,-1232,-3235,-501,-1088
-3001,516,-1258,-2950,-812,-1240
-2773,368,-1201,-2705,-1022,-1474
-2664,357,-1138,-2408,-1156,-1739
-2660,366,-1110,-2072,-1310,-1982
-2700,392,-1116,-1742,-1376,-2161
-2816,450,-1198,-1415,-1356,-2239
-2826,350,-1203,-1083,-1242,-2234
-2758,283,-1134,-691,-1152,-2208
-2682,172,-952,-273,-1096,-2173
-2600,-4,-801,193,-1025,-2161
-2416,-160,-534,680,-1087,-2200
-2272,-299,-481,1185,-983,-2284
-2065,-323,-484,1659,-928,-2423
-1979,-299,-407,2040,-1076,-2608
-1925,-217,-258,2455,-1175,-2769
-1991,-49,-545,2483,-1294,-2859
-2234,84,-409,3084,-1374,-2846
-2319,217,-531,3229,-1339,-2668
-2422,270,-781,3275,-1342,-2380
-2408,260,-975,3207,-1406,-2028
-2358,347,-1123,3040,-1304,-1637
-2450,358,-1173,2801,-1151,-1193
-2088,292,-1209,2507,-870,-744
-1807,69,-884,2194,-582,-388
-1745,-43,-668,1984,-185,-81
-1646,-58,-513,1844,69,160
-1604,-111,-464,1733,117,309
-1579,-151,-555,1611,108,383
-1488,-183,-620,1367,163,386
-1433,-144,-667,1253,266,313
-1479,-108,-711,1036,389,212
-1583,-136,-735,795,490,112
-1686,-193,-677,559,571,36
-1836,-231,-520,377,620,-6
-1973,-239,-390,276,553,-8
