AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1894,-442,-541,72,-37,-39
-1899,-444,-559,46,-12,-55
-1913,-448,-551,15,0,-64
-1923,-456,-527,-9,-1,-64
-1938,-459,-498,-22,-3,-55
-1948,-458,-476,-23,-6,-36
-1959,-456,-461,-14,3,-10
-1962,-460,-443,4,21,13
-1951,-454,-435,31,22,27
-1936,-446,-454,58,12,25
-1930,-442,-478,76,-19,12
-1915,-431,-498,84,-45,-8
-1898,-425,-533,75,-49,-28
-1883,-441,-510,59,-44,-46
-1891,-427,-532,37,-32,-56
-1897,-442,-515,14,-12,-56
-1919,-456,-494,-1,5,-44
-1932,-465,-477,-5,17,-24
-1933,-464,-461,-1,17,-2
-1939,-465,-453,13,17,20
-1932,-467,-452,32,15,37
-1914,-463,-457,52,9,42
-1903,-457,-475,68,-4,38
-1896,-458,-499,78,-20,26
-1906,-460,-520,75,-19,16
-1915,-457,-523,67,-6,10
-1919,-455,-497,63,2,8
-1934,-454,-481,66,-6,8
-1943,-460,-473,70,-19,12
-1939,-460,-475,75,-28,20
-1921,-450,-487,74,-33,25
-1900,-443,-495,68,-36,25
-1895,-441,-498,56,-15,22
-1906,-434,-507,42,8,22
-1912,-437,-498,30,19,20
-1920,-449,-488,25,16,14
-1944,-448,-477,28,7,11
-1938,-448,-464,37,-11,7
-1924,-453,-466,47,-32,1
-1920,-450,-478,51,-37,-4
-1912,-452,-481,49,-31,-5
-1909,-454,-487,44,-18,-4
-1914,-456,-487,35,-8,-1
-1922,-453,-480,30,-3,8
-1923,-451,-483,25,-5,15
-1929,-457,-484,20,-6,25
-1936,-454,-486,17,-2,36
-1937,-454,-468,16,5,46
-1933,-454,-462,21,7,50
-1947,-446,-477,30,7,51
-1938,-444,-477,38,-4,48
-1924,-450,-488,40,-21,36
-1910,-448,-501,35,-36,20
-1905,-441,-506,25,-37,5
-1908,-440,-499,16,-23,-5
-1905,-449,-487,7,-10,-11
-1924,-455,-489,1,3,-12
-1934,-461,-484,-4,8,-3
-1940,-462,-471,-5,1,9
-1956,-456,-468,-2,-1,24
-1962,-457,-459,4,-2,43
-1947,-459,-453,14,-12,55
-1935,-452,-467,23,-20,57
-1918,-451,-481,26,-21,48
-1903,-452,-492,22,-23,33
-1895,-445,-492,15,-29,16
-1898,-450,-500,6,-19,0
-1913,-455,-501,-5,-5,-7
-1935,-452,-481,-13,0,-7
-1954,-451,-468,-9,12,6
-1958,-457,-466,-4,9,19
-1943,-460,-457,7,-8,27
-1936,-457,-470,18,-19,33
-1932,-447,-484,23,-24,35
-1922,-449,-495,23,-16,34
-1926,-447,-506,17,1,29
-1937,-441,-507,8,11,25
-1935,-441,-495,3,0,20
