AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1994,-392,143,78,-116,31
-1975,-397,129,71,-99,15
-1967,-399,132,60,-77,-2
-1974,-401,133,49,-48,-17
-2000,-398,144,37,-33,-26
-2017,-407,151,27,-25,-23
-2030,-396,155,19,-16,-9
-2028,-389,153,13,-20,3
-2014,-398,151,9,-20,14
-1993,-403,150,8,-11,17
-1981,-402,146,7,-4,13
-1987,-399,155,10,-9,6
-1995,-420,161,15,-6,-1
-2010,-415,157,22,-30,-6
-2016,-410,164,32,-63,-7
-2015,-416,155,41,-61,-1
-2005,-415,147,41,-54,6
-1992,-409,145,41,-44,11
-1989,-406,145,38,-34,12
-1996,-419,141,36,-29,11
-1989,-423,147,34,-32,10
-1991,-414,165,39,-15,8
-2014,-413,168,45,1,9
-2025,-406,168,52,-4,13
-2038,-394,166,58,-18,18
-2032,-396,161,58,-41,19
-2025,-395,159,55,-70,13
-2009,-395,146,46,-103,2
-1972,-396,154,33,-106,-13
-1955,-402,166,25,-76,-26
-1955,-411,174,19,-26,-36
-1976,-410,179,16,15,-37
-2009,-409,180,16,34,-27
-2031,-408,176,15,33,-11
-2036,-404,164,14,20,5
-2024,-400,154,11,8,19
-2000,-399,155,10,13,22
-1981,-405,158,13,17,14
-1981,-401,163,20,10,-2
-1993,-408,168,29,6,-15
-2000,-414,162,35,0,-25
-1996,-408,150,36,-5,-30
-1993,-410,140,36,-3,-32
-1988,-413,140,31,-4,-31
-1990,-408,141,28,8,-26
-1996,-407,159,30,11,-18
-2000,-409,169,37,-5,-9
-2004,-409,171,46,-12,4
-2009,-402,169,51,-18,16
-2007,-402,159,49,-32,27
-1986,-402,147,39,-30,34
-1971,-396,142,25,-7,31
-1964,-391,145,12,16,22
-1966,-392,150,5,36,9
-1975,-399,153,3,46,-4
-1993,-399,151,3,42,-15
-2000,-409,158,6,22,-19
-2008,-418,160,11,14,-15
-2009,-415,152,19,15,-4
-2002,-418,150,26,18,7
-2008,-416,149,32,21,18
-2018,-416,150,38,9,26
-2022,-415,149,40,-8,34
-2012,-414,149,42,-23,36
-1995,-410,156,43,-30,32
-1980,-412,161,45,-31,22
-1975,-413,160,47,-14,11
