AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2110,6,17,211,-2,142
-2084,23,5,225,-31,164
-2063,32,-1,238,-52,177
-2059,45,-36,237,-60,184
-2050,68,-34,224,-68,186
-2042,76,-12,203,-77,178
-2025,83,-18,175,-98,156
-2004,89,-50,134,-105,124
-2001,82,-44,95,-84,90
-2020,62,-5,76,-48,67
-2040,45,48,92,-18,60
-2073,47,91,138,-52,59
-2077,43,103,196,-110,62
-2072,56,88,245,-144,72
-2049,75,56,272,-146,91
-2041,88,19,274,-139,110
-2053,101,-36,241,-95,130
-2063,107,-90,181,-57,148
-2073,103,-120,101,-44,159
-2055,100,-102,27,-52,156
-2028,81,-34,-20,-67,140
-2043,87,39,-26,-77,123
-2055,86,93,4,-108,113
-2068,72,129,57,-148,119
-2016,128,96,108,-191,128
-1958,95,72,135,-135,126
-1962,110,27,134,-38,118
-1961,120,-1,114,46,110
-2023,115,-41,82,109,108
-2070,106,-33,49,108,119
-2073,107,-27,27,76,130
-2079,101,-20,16,13,132
-2041,96,2,19,-54,121
-2000,98,32,34,-67,92
-2010,104,60,59,-51,67
-2045,121,43,86,-65,66
-2027,128,45,108,-34,83
-2032,119,-15,114,11,107
-2055,112,-57,96,19,131
-2042,108,-60,73,-4,154
-2006,123,-67,48,-4,162
-2026,115,-21,33,-1,167
-1986,140,29,40,2,165
-1968,127,59,60,33,157
-2025,146,85,91,39,168
-2038,177,45,125,39,206
-2128,177,-48,147,72,289
-2131,179,-94,155,95,408
-2181,166,-157,150,246,562
-2356,91,-108,158,237,755
-2340,41,-17,201,83,928
-2289,-96,81,311,-99,1020
-2278,-236,237,535,-492,1025
-2201,-198,204,840,-925,980
-1967,-220,110,1187,-1195,980
-1932,-130,-166,1425,-1001,982
-1905,-46,-323,1516,-763,914
-1934,-156,-522,1471,-660,740
-2112,-234,-498,1333,-692,503
-2440,-353,-184,1241,-754,281
-2762,-366,208,1296,-1012,120
-3100,-426,429,1467,-1275,30
-3066,-261,549,1686,-1615,-52
-2866,-163,470,1796,-1657,-201
-2700,-101,470,2013,-1322,-423
-2753,5,512,2043,-894,-763
-2971,33,554,2015,-774,-1196
-3201,137,650,1962,-909,-1673
-3425,196,758,1901,-1126,-2112
-3611,279,868,1819,-1397,-2475
-3716,328,970,1712,-1777,-2773
-3738,403,996,1563,-2155,-2995
-3598,467,1280,1414,-2385,-3149
-3329,620,1297,1380,-2402,-3310
-2774,596,1423,1373,-2329,-3593
-2326,493,1416,1392,-2231,-4041
-2362,473,1018,1294,-2132,-4517
-2551,508,808,1025,-2173,-4887
-2669,463,584,611,-2385,-5109
-2953,582,507,89,-2601,-5148
-2955,617,478,-474,-2894,-5028
-2769,664,539,-1038,-3357,-4845
-2375,684,551,-1594,-3777,-4611
-1874,747,445,-2151,-3759,-4348
-1337,684,351,-2708,-3434,-4110
-1086,611,265,-3265,-3035,-3900
-1224,599,119,-3846,-2706,-3622
-1365,572,65,-4433,-2589,-3246
-1198,478,-15,-4999,-2598,-2817
-1163,509,-190,-5546,-2574,-2338
-1270,442,-408,-6091,-2502,-1750
-1288,409,-582,-6628,-2432,-1067
-1348,385,-733,-7148,-2392,-266
-1263,192,-840,-7651,-2342,587
-1000,174,-763,-8031,-2321,1379
-794,40,-816,-8281,-2221,2091
-609,-183,-971,-8447,-2057,2732
-626,-4,-1034,-8548,-1897,3313
-405,-336,-781,-8503,-1612,3816
817,-757,-559,-8283,-1040,3962
1324,-776,-48,-7797,-463,3648
582,-948,732,-6983,-174,3306
-600,-813,1285,-5831,-639,3266
-1191,-682,1067,-4547,-1654,3600
-776,-373,461,-3320,-2558,4039
-169,0,-770,-2410,-2785,4386
-317,251,-1837,-2051,-2216,4802
-585,422,-1986,-1869,-1367,5224
-1036,405,-1904,-1779,-767,5612
-1369,204,-1643,-1748,-424,6008
-1433,68,-1603,-1471,-154,6276
-1279,-78,-1484,-1023,171,6270
-1606,-500,-1498,-407,485,5945
-2404,-492,-1086,386,-62,5505
-3190,-313,-1178,1424,-1569,5134
-2838,-277,-1124,2413,-3262,4680
-2460,48,-1807,3131,-3957,4111
-2033,309,-1932,3440,-3918,3463
-2430,290,-1408,4160,-3284,2825
-2938,297,-1194,4557,-2818,2286
-3345,268,-611,5044,-2911,1802
-3817,136,-564,5593,-3154,1460
-3722,110,-640,6043,-3497,1235
-3279,415,-880,6317,-3803,992
-2666,466,-1095,6285,-3975,647
-2794,66,-1396,5861,-3301,369
-2994,60,-972,5230,-2793,248
-2971,107,-90,4762,-2530,175
-3065,-108,441,4510,-2060,154
-3023,-174,1044,4512,-1723,142
-3077,-275,1475,4697,-1459,84
-3002,-76,1253,4939,-1359,-29
-2743,678,1134,5281,-1620,-215
-2706,737,377,5262,-1474,-460
-2978,878,-351,4765,-1086,-669
-2714,1362,-25,4130,-1024,-971
-2755,1363,51,3477,-797,-1313
-2668,1374,256,2802,-699,-1652
-2510,1339,483,2176,-760,-2022
-2358,1195,648,1618,-872,-2371
-2142,1076,764,1139,-963,-2662
-1870,1050,755,747,-946,-2842
-1777,876,811,453,-605,-2853
-1691,944,605,221,-225,-2712
-1821,680,603,27,329,-2427
-1945,615,525,-139,679,-2052
-1871,514,494,-299,769,-1668
-1842,496,480,-420,589,-1331
-1798,434,405,-513,364,-1024
-1811,355,395,-575,150,-742
-1602,313,331,-606,-60,-516
-1505,255,283,-611,-71,-339
-1475,169,233,-589,57,-183
-1512,20,321,-540,336,-75
-1267,-78,369,-465,238,-13
-1322,-208,399,-346,318,-2
-1312,-179,236,-226,492,-12
-1453,-75,185,-129,501,-16
-1778,-102,263,-35,616,3
-2039,-131,112,8,421,30
-2103,-73,160,11,0,57
-2032,-66,160,10,-202,75
-2025,-80,127,6,-337,81
-2024,-83,112,1,-457,89
-1957,-65,117,-4,-508,101
-1940,-75,137,-14,-432,118
-1949,-106,120,-33,-331,151
-1959,-115,123,-67,-205,179
-1949,-119,163,-104,-119,182
-1957,-93,184,-141,-135,153
-1888,-79,129,-183,-133,102
-1864,-109,162,-220,-77,44
-1933,-116,188,-242,52,4
-2074,-79,149,-257,146,-1
-2254,-60,199,-255,144,46
-2319,-65,190,-241,93,128
-2294,-52,182,-225,22,211
-2233,-57,175,-207,-25,272
-2176,-76,173,-187,-100,303
-2117,-49,128,-171,-193,303
-2060,-39,95,-171,-241,290
-2013,-79,83,-185,-194,277
-1981,-84,85,-214,-57,261
-2022,-98,141,-233,87,246
-2027,-108,205,-222,134,213
-2030,-90,263,-173,31,156
-2019,-73,273,-108,-92,96
-2030,-53,271,-42,-220,49
-2024,-59,266,7,-274,29
-2055,-43,225,31,-264,37
-2043,-9,189,25,-253,64
-1994,5,139,-5,-204,93
-1986,-18,98,-57,-98,120
-1984,-50,105,-113,-11,140
-1994,-53,129,-157,38,152
-2020,-40,167,-177,49,158
-2051,-56,248,-162,3,165
-2097,-41,316,-108,-111,180
-2094,-28,328,-38,-255,208
-2045,-9,357,40,-343,248
-2026,16,300,104,-351,294
-1971,24,238,131,-324,341
-1922,20,193,128,-212,373
-1882,46,139,94,-114,383
-1886,66,148,46,-66,367
-1880,77,145,0,-54,334
-1903,69,188,-32,-63,296
-1974,83,234,-36,-103,283
-2003,84,285,-9,-181,300
-2001,73,314,42,-228,344
-2017,38,307,105,-203,420
-1994,-10,273,179,-204,526
-1870,-65,230,239,-71,661
-2151,-12,195,281,109,841
-2013,-114,214,332,107,974
-2068,-44,280,412,-41,1063
-2142,-49,297,522,-212,1139
-2150,-67,262,630,-482,1206
-2141,-18,252,745,-737,1260
-2139,-42,202,858,-933,1309
-2064,-76,113,950,-920,1342
-2045,-84,136,1041,-863,1320
-1960,-76,218,1165,-930,1218
-2010,-71,220,1302,-961,1063
-2076,-59,270,1435,-1018,895
-2016,-175,387,1554,-1019,761
-2541,-160,339,1641,-967,708
-2815,-96,453,1695,-979,706
-3215,-195,545,1730,-1085,727
-3460,-184,724,1767,-1422,721
-3498,-131,882,1836,-1848,630
-3464,-48,1048,1917,-2189,450
-3340,114,1155,1989,-2254,186
-3182,388,1341,2061,-2240,-164
-2939,642,1677,2176,-2139,-615
-2670,919,1783,2296,-1806,-1176
-2620,1142,1825,2339,-1570,-1839
-2825,1331,1658,2262,-1476,-2499
-3173,1553,1483,2022,-1553,-3049
-3530,1747,1357,1637,-1820,-3439
-3584,1770,1183,1118,-2233,-3682
-3487,1873,1131,499,-2613,-3805
-3143,1783,1137,-152,-2770,-3850
-2578,1752,1222,-767,-2727,-3917
-2090,1644,1386,-1259,-2493,-4071
-1675,1556,1513,-1613,-2325,-4343
-1347,1406,1393,-1900,-2225,-4712
-1326,1236,1066,-2240,-2082,-5071
-1417,1136,680,-2694,-2007,-5347
-1497,967,449,-3249,-1977,-5492
-1508,895,274,-3835,-1925,-5496
-1512,824,228,-4403,-1940,-5380
-1720,703,133,-4948,-2125,-5112
-1812,735,18,-5495,-2459,-4664
-1655,727,-24,-6014,-2772,-4072
-1346,527,-61,-6467,-2871,-3387
-1067,646,-264,-6843,-2810,-2675
-945,503,-382,-7135,-2629,-1913
-1041,368,-581,-7433,-2488,-1062
-1090,379,-848,-7714,-2387,-163
-853,276,-898,-7936,-2209,729
-778,190,-807,-8040,-2016,1592
-445,61,-773,-8028,-1869,2408
295,-413,-496,-7853,-1128,3033
707,-257,78,-7409,-655,3352
284,-189,319,-6747,-496,3585
-425,-441,318,-6045,-595,4005
-890,-478,722,-5240,-895,4655
-1054,-363,657,-4209,-1530,5413
-1057,-353,-278,-3334,-2178,6168
-1318,-246,-1389,-2821,-2565,6925
-1663,-347,-2066,-2571,-2872,7749
-1491,-425,-2401,-2429,-3079,8523
-896,-803,-2538,-2313,-2854,8993
118,-1012,-2593,-2233,-2164,8988
1208,-1159,-1706,-2040,-1312,8389
492,-1104,-971,-1527,-767,7390
-736,-598,-907,-737,-933,6501
-1304,-482,-1148,171,-1063,5691
-1457,-181,-1141,1199,-1383,4693
-1765,214,-1069,2310,-1696,3533
-2529,261,-1174,3313,-1997,2454
-3366,657,-1161,4158,-2502,1635
-3983,737,-1182,4818,-2940,1117
-4071,745,-1169,5249,-3145,781
-3847,595,-1017,5504,-3063,464
-3532,330,-586,5707,-2846,86
-3414,197,-108,5993,-2758,-301
-3702,-68,70,6300,-2685,-557
-3676,24,58,6514,-2914,-658
-3642,-13,-80,6570,-2923,-649
-3707,-160,-115,6449,-2646,-520
-3358,162,84,6263,-2523,-386
-2944,362,353,6090,-2241,-384
-3122,412,393,5865,-1763,-450
-3204,857,686,5629,-1770,-576
-3191,1094,974,5430,-1987,-777
-3169,1374,560,5134,-2104,-975
-2793,1896,486,4686,-2237,-1178
-2693,1614,220,4062,-1861,-1398
-1862,2379,109,3332,-1883,-1789
-1501,1866,-103,2470,-848,-2214
-1481,1752,-112,1481,-296,-2606
-1225,1572,458,636,120,-3011
-1262,1199,665,23,393,-3368
-1242,988,855,-395,660,-3604
-1493,840,986,-636,840,-3687
-1993,619,959,-755,941,-3544
-2391,554,879,-809,960,-3177
-2559,485,808,-810,885,-2688
-2357,330,730,-768,699,-2203
-2076,280,586,-710,502,-1803
-1769,209,470,-661,334,-1509
-1487,111,397,-630,204,-1325
-1340,33,336,-613,148,-1219
-1223,-59,356,-588,125,-1159
-1222,-69,309,-556,222,-1084
-1403,-95,285,-517,374,-941
-1677,-205,305,-463,591,-707
-1980,-256,349,-393,670,-406
-2187,-279,396,-314,515,-98
-2227,-276,346,-247,209,175
-2126,-249,273,-211,-131,376
-1906,-273,209,-207,-340,480
-1684,-320,168,-226,-388,487
-1625,-329,125,-250,-290,432
-1638,-373,173,-267,-128,356
-1719,-338,211,-252,14,271
-1665,-443,354,-204,255,219
-1554,-331,366,-136,295,186
-1854,-389,423,-34,325,144
-2085,-335,339,58,314,151
-2256,-181,294,131,120,185
-2419,-217,209,159,-148,252
-2410,-297,108,122,-421,340
-2281,-322,120,49,-521,426
-2174,-183,67,-27,-497,479
-2083,-217,94,-99,-521,478
-2050,-282,109,-158,-530,441
-1926,-300,87,-212,-454,383
-1846,-344,157,-245,-150,312
-1891,-378,222,-235,146,248
-1989,-359,288,-187,308,196
-2147,-347,377,-106,300,166
-2258,-323,398,-7,162,159
-2337,-283,385,86,-76,173
-2366,-262,359,158,-327,201
-2346,-228,221,181,-517,222
-2272,-204,174,150,-646,241
-2155,-220,171,93,-683,254
-2034,-250,154,19,-628,242
-1964,-254,169,-64,-523,205
-1852,-225,208,-132,-354,157
-1844,-247,333,-154,-100,109
-1895,-247,388,-123,41,66
-1972,-209,435,-57,59,35
-2058,-190,444,29,4,25
-2119,-186,418,109,-72,39
-2161,-150,378,170,-168,72
-2164,-113,301,196,-282,120
-2114,-105,241,183,-338,172
-2088,-84,209,137,-344,216
-2057,-78,206,75,-314,259
-2033,-98,259,18,-273,296
-2003,-90,289,-21,-251,323
-1947,-96,341,-38,-208,339
-1872,-106,374,-29,-149,341
-1868,-126,414,6,-3,342
-1904,-133,409,63,56,338
-1964,-97,414,126,-19,324
-1990,-61,367,183,-160,310
-1984,-26,315,216,-296,302
-1937,-52,297,218,-299,307
-1928,-61,274,199,-231,322
-1921,-40,281,164,-178,342
-1913,-44,288,129,-105,359
-1964,-23,325,106,-79,385
-2005,-33,337,98,-87,428
-1994,-36,386,108,-97,477
-1998,-32,404,136,-119,522
-1927,-17,412,169,-137,560
-1919,-13,455,212,-101,592
-1910,24,472,266,-87,626
-1888,34,451,319,-99,660
-1874,-1,423,353,-10,698
-1895,1,303,351,73,734
-1898,61,256,311,155,765
-2022,46,215,249,235,794
-2079,80,179,160,144,824
-2087,137,223,70,68,855
-2173,84,213,-10,31,898
-2179,-8,252,-86,34,948
-2223,-48,354,-120,102,1000
-2220,-57,437,-105,120,1037
-2361,-76,529,-33,66,1035
-2577,-242,665,87,127,994
-2375,-304,749,241,8,874
-2393,-320,816,437,-199,661
-2539,-405,772,634,-251,436
-2631,-481,824,815,-232,191
-2684,-572,827,978,-119,-99
-2814,-557,896,1133,-68,-464
-2958,-578,1048,1293,-220,-881
-3127,-484,1158,1436,-516,-1302
-3450,-333,1168,1554,-690,-1635
-3700,-154,1248,1612,-884,-1867
-3681,40,1390,1657,-1073,-2059
-3416,256,1440,1697,-1037,-2301
-3117,361,1554,1745,-909,-2689
-3070,464,1471,1760,-890,-3191
-3221,515,1266,1670,-920,-3678
-3429,555,1044,1455,-1018,-4059
-3441,576,964,1169,-1272,-4331
-3405,646,942,858,-1724,-4517
-3293,558,770,485,-2187,-4596
-3190,533,561,30,-2516,-4580
-2959,583,637,-395,-2487,-4484
-2276,410,943,-674,-2411,-4475
-1845,304,979,-818,-2414,-4631
-1592,179,898,-923,-2460,-4857
-1427,90,755,-1054,-2381,-5053
-1515,131,453,-1274,-2177,-5151
-1657,41,387,-1556,-2078,-5119
-1748,49,404,-1821,-2109,-4980
-1764,89,412,-2046,-2249,-4761
-1754,108,385,-2253,-2539,-4480
-1459,196,276,-2475,-2718,-4147
-1197,239,216,-2714,-2715,-3800
-1024,174,141,-2956,-2603,-3446
-600,249,79,-3195,-2459,-3097
-775,353,151,-3420,-2458,-2746
-849,277,-330,-3695,-2546,-2310
-793,371,-542,-4086,-2601,-1779
-771,326,-697,-4514,-2514,-1171
-850,238,-775,-4946,-2455,-490
-914,188,-796,-5342,-2468,248
-876,75,-710,-5654,-2525,999
-742,-53,-683,-5846,-2584,1695
-776,-258,-672,-5945,-2762,2332
-716,-370,-664,-5919,-3036,2945
-530,-446,-653,-5750,-3298,3489
-600,-681,-721,-5499,-3456,4003
-535,-977,-697,-5170,-3431,4539
27,-960,-355,-4650,-3300,4938
278,-981,-639,-4021,-2813,5179
46,-1096,-1090,-3502,-1992,5396
-446,-936,-1228,-3088,-1226,5672
-1270,-865,-1238,-2729,-817,6083
-2075,-852,-1156,-2394,-883,6684
-2656,-1004,-896,-2021,-1420,7402
-2577,-1284,-615,-1494,-2377,8053
-2582,-1344,-983,-854,-3307,8584
-2284,-1554,-1603,-254,-3333,9002
-1214,-2255,-1587,310,-2704,8973
-116,-1342,-1596,898,-1827,8308
-162,-1235,-1029,1560,-1099,7203
-1206,-858,-960,2253,-1275,6044
-2083,-211,-906,2948,-2367,5035
-2430,7,-1614,3432,-3174,4198
-2301,154,-2219,3490,-3175,3454
-2172,240,-2033,3338,-2781,2701
-2650,324,-1353,3281,-2417,2030
-3396,178,-532,3491,-2336,1604
-3934,101,103,3988,-2526,1419
-3958,-113,518,4665,-2850,1309
