AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1892,-171,5,-291,-46,234
-1891,-171,21,-275,36,192
-1873,-155,7,-256,97,137
-1903,-150,6,-247,148,74
-1999,-140,-41,-256,187,30
-2067,-110,-66,-286,177,17
-2142,-107,-86,-330,154,35
-2169,-97,-98,-378,102,75
-2136,-89,-107,-425,66,124
-2096,-102,-104,-463,56,166
-2028,-96,-103,-491,94,198
-2039,-120,-83,-504,155,226
-2033,-116,-53,-497,202,252
-2036,-121,-59,-474,233,264
-2014,-123,-70,-452,220,255
-2011,-107,-130,-440,207,229
-2006,-98,-174,-450,198,194
-1989,-89,-209,-476,187,149
-2018,-73,-217,-514,206,110
-2052,-62,-226,-555,220,86
-2077,-75,-196,-591,226,78
-2113,-83,-215,-618,245,88
-2120,-69,-231,-641,270,122
-2164,-72,-206,-649,329,178
-2177,-54,-216,-658,368,248
-2170,16,-242,-677,411,314
-2185,-110,-237,-712,388,366
-2202,-112,-197,-752,384,405
-2223,-36,-310,-812,584,442
-2165,38,-405,-913,567,455
-2153,-84,-329,-1024,648,445
-2316,-83,-377,-1134,803,452
-2390,-22,-342,-1246,826,463
-2441,-24,-306,-1338,859,467
-2477,-10,-347,-1425,931,464
-2528,-9,-468,-1536,1046,457
-2571,19,-527,-1670,1198,435
-2642,-12,-502,-1800,1342,393
-2902,-64,-545,-1919,1521,356
-2994,-58,-597,-2022,1585,303
-3051,39,-713,-2109,1490,204
-3184,-18,-887,-2192,1687,79
-2975,-68,-1103,-2289,1953,-118
-2994,36,-1169,-2372,2184,-395
-3427,26,-1152,-2342,2716,-685
-2969,-455,-1075,-2214,2641,-1128
-3127,-394,-863,-1856,2405,-1673
-3056,-365,-993,-1395,2145,-2170
-3037,-247,-1210,-906,1732,-2659
-2848,-189,-1671,-495,1421,-3086
-2529,-133,-2012,-219,1291,-3528
-2338,-227,-2029,6,1213,-3986
-2231,-404,-1761,282,1041,-4457
-2212,-517,-1328,698,703,-4927
-2295,-597,-1154,1206,170,-5324
-2202,-618,-1147,1706,-397,-5605
-2184,-685,-1035,2188,-819,-5759
-2057,-759,-886,2687,-1198,-5800
-1812,-755,-747,3215,-1502,-5801
-1580,-681,-694,3749,-1770,-5802
-1490,-660,-528,4258,-2009,-5762
-1552,-658,-609,4724,-2252,-5633
-1528,-649,-625,5044,-2527,-5378
-1390,-654,-649,5268,-2745,-5067
-1097,-591,-725,5385,-2915,-4749
-743,-419,-826,5418,-2958,-4456
-434,-270,-983,5383,-2696,-4170
-255,-164,-1226,5272,-2316,-3871
-158,-56,-1317,5093,-1844,-3523
-20,0,-1318,4860,-1175,-3115
13,84,-1180,4628,-401,-2609
149,216,-1158,4438,196,-2086
33,424,-1013,4237,724,-1535
-150,467,-791,4021,1059,-935
-280,539,-744,3854,1273,-286
-552,507,-715,3646,1337,430
-933,587,-1156,3330,1139,1233
-884,215,365,3221,882,2095
-1030,310,-1,3168,593,2950
-1000,417,-31,3142,258,3780
-936,240,544,3280,-19,4551
-1148,147,271,3467,-336,5291
-1432,-48,637,3620,-688,6038
-1731,-183,522,3948,-1072,6809
-1731,-301,694,4200,-1319,7552
-1818,-485,745,4469,-1346,8220
-1955,-705,941,4687,-1348,8686
-2243,-706,1087,4828,-1088,8896
-2390,-868,1166,4796,-758,8828
-1559,-1390,1933,4621,-375,8255
-1563,-491,1107,4308,665,7286
-433,509,538,3764,493,5727
-14,1233,887,3291,-255,3521
-861,1480,1787,2858,-1291,1142
-2080,1018,2587,3493,-1049,-834
-2686,1256,2404,3716,-860,-2271
-3250,1152,2854,3977,-727,-3276
-3680,1102,3255,4324,-954,-3883
-3983,1116,3108,4625,-1303,-4177
-4047,1057,2939,4751,-1641,-4245
-3712,1014,2981,4768,-1967,-4253
-3549,1221,2631,4756,-1926,-4283
-3184,1175,2429,4547,-1712,-4383
-2931,1210,2484,4409,-1514,-4607
-2708,979,2760,4350,-1559,-4962
-2373,827,2783,4177,-2010,-5450
-2059,1116,2376,3885,-2301,-5978
-1903,1427,1969,3419,-2066,-6419
-2151,1663,1891,2875,-1527,-6667
-2590,1824,2067,2339,-1146,-6672
-3203,1878,2113,1826,-1196,-6486
-3459,1982,2195,1327,-1611,-6161
-3000,2163,2172,824,-1873,-5795
-2538,2066,1866,289,-1888,-5505
-2055,2023,1662,-266,-1700,-5320
-1744,1928,1615,-805,-1576,-5237
-1668,1844,1610,-1312,-1565,-5174
-1629,1775,1497,-1813,-1621,-5081
-1505,1629,1395,-2345,-1696,-4946
-1303,1524,1210,-2916,-1732,-4778
-1106,1422,1064,-3510,-1785,-4582
-933,1346,982,-4088,-1737,-4338
-750,1162,1038,-4621,-1592,-4025
-737,990,1067,-5066,-1462,-3646
-733,798,1114,-5437,-1398,-3180
-566,582,961,-5763,-1321,-2642
-417,402,639,-6084,-951,-2062
-191,326,358,-6374,-436,-1493
155,85,363,-6572,155,-1006
178,39,169,-6667,836,-566
281,-34,54,-6695,1468,-134
-111,-206,-114,-6721,2227,342
-730,-221,-329,-6823,2486,937
-1183,-372,-297,-7000,2368,1645
-1581,-349,-402,-7164,1910,2408
-1794,-377,-148,-7250,1069,3171
-1782,-384,33,-7159,101,3901
-1451,-348,183,-6893,-926,4550
-1255,-473,179,-6599,-1687,5170
-1177,-666,-33,-6244,-2080,5735
-879,-726,-144,-5865,-2275,6167
-328,-770,-494,-5807,-2089,6369
91,-845,-913,-5758,-1091,6300
732,-1168,-748,-5851,-66,5868
1139,-1081,-158,-5883,558,5027
972,-839,-225,-5736,1163,4017
328,-1100,563,-5458,1342,3038
-538,-934,380,-5184,1431,2295
-1319,-710,400,-4778,1102,1842
-1932,-212,-55,-4381,449,1653
-2340,-96,-52,-4063,-450,1673
-2296,21,-139,-3795,-1348,1769
-2130,193,-437,-3640,-1894,1814
-1981,387,-1048,-3636,-1751,1804
-1901,29,-1335,-3801,-1362,1723
-2047,-110,-1260,-3888,-1087,1449
-2099,-344,-809,-3691,-822,900
-2429,-274,-710,-3345,-1011,200
-2645,-634,-294,-2737,-1040,-511
-3505,-248,-507,-1997,-1368,-1128
-3223,29,-61,-1158,-1979,-1642
-3567,-14,-502,-371,-2481,-2014
-3515,138,-873,112,-2844,-2223
-3476,274,-1109,399,-2884,-2309
-3415,243,-1278,476,-2854,-2309
-3363,179,-1322,443,-2748,-2238
-3298,49,-1201,363,-2629,-2108
-3163,-128,-1053,313,-2478,-1959
-2933,-228,-788,336,-2381,-1832
-2746,-231,-601,446,-2346,-1731
-2599,-250,-551,598,-2251,-1617
-2503,-284,-599,723,-2013,-1462
-2399,-291,-567,805,-1667,-1266
-2342,-340,-515,842,-1198,-1040
-2365,-367,-488,822,-730,-791
-2341,-322,-449,754,-383,-545
-2302,-254,-438,655,-112,-331
-2325,-223,-453,525,50,-155
-2319,-191,-463,371,51,-21
-2286,-148,-480,209,-39,70
-2179,-128,-450,60,-143,108
-2037,-158,-435,-58,-220,88
-1950,-203,-450,-155,-228,30
-1875,-274,-430,-232,-157,-36
-1828,-316,-389,-281,-14,-101
-1863,-259,-303,-296,170,-158
-2016,-402,-197,-268,230,-170
-2155,-450,-121,-219,272,-103
-2286,-417,-86,-161,312,12
-2378,-359,-114,-108,183,145
-2347,-306,-161,-78,-104,252
-2234,-287,-216,-76,-359,326
-2095,-367,-233,-106,-464,367
-1952,-373,-269,-166,-399,371
-1816,-377,-215,-222,-238,329
-1766,-423,-139,-248,-31,251
-1774,-460,-27,-229,148,155
-1823,-472,55,-160,283,68
-1903,-466,95,-59,329,0
-1957,-478,106,53,313,-42
-1989,-467,91,159,316,-61
-2013,-404,55,254,297,-62
-2075,-346,-4,322,228,-43
-2101,-328,-40,350,122,-1
-2101,-305,-61,340,61,59
-2108,-286,-121,292,69,128
-2099,-299,-145,208,54,191
-2083,-320,-134,110,61,244
-2042,-284,-104,14,114,276
-2052,-441,-51,-66,155,292
-2061,-455,19,-112,131,298
-1961,-428,90,-117,151,281
-1928,-451,127,-87,155,236
-1927,-452,124,-42,244,196
-1977,-409,46,2,338,179
-2026,-368,-9,23,352,181
-2054,-363,-54,20,354,202
-2037,-335,-113,-12,372,238
-2060,-322,-97,-63,443,281
-2085,-324,-61,-115,475,327
-2146,-345,-13,-155,451,377
-2135,-376,55,-171,380,414
-2079,-389,101,-157,275,422
-2020,-398,102,-125,187,397
-1950,-411,84,-85,191,349
