AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1547,-1267,-457,4,15,42
-1529,-1264,-436,21,-4,37
-1518,-1266,-450,40,-8,27
-1514,-1270,-468,53,-14,13
-1517,-1261,-486,57,-21,2
-1525,-1262,-495,51,-19,-3
-1527,-1266,-500,41,-9,-1
-1526,-1265,-505,24,-4,5
-1522,-1263,-492,9,-1,11
-1526,-1263,-480,0,2,18
-1531,-1266,-469,-3,9,25
-1534,-1263,-463,-2,6,29
-1530,-1264,-466,4,4,29
-1524,-1261,-460,11,-2,25
-1522,-1256,-468,17,-10,16
-1530,-1256,-486,18,-12,11
-1528,-1256,-493,11,-11,10
-1529,-1254,-487,4,-11,10
-1538,-1253,-477,1,-4,14
-1543,-1256,-469,-1,7,23
-1538,-1264,-467,2,0,26
-1528,-1264,-462,4,-17,28
-1519,-1267,-473,4,-20,28
-1515,-1267,-487,-2,-15,29
-1513,-1262,-492,-13,-8,32
-1526,-1264,-490,-25,2,39
-1541,-1267,-488,-32,15,48
-1549,-1266,-472,-33,19,55
-1550,-1262,-465,-25,6,58
-1543,-1262,-457,-10,-5,56
-1526,-1259,-461,7,-5,48
-1528,-1258,-475,19,-10,34
-1537,-1250,-487,20,-23,24
-1532,-1250,-498,16,-35,19
-1518,-1251,-500,3,-33,18
-1511,-1248,-509,-14,-19,19
-1506,-1243,-495,-30,-7,24
-1509,-1241,-485,-41,5,30
-1528,-1244,-483,-47,18,40
-1547,-1249,-477,-46,19,53
-1562,-1251,-466,-37,14,68
-1547,-1250,-466,-25,-4,78
-1537,-1252,-473,-12,-19,81
-1542,-1250,-478,-3,-22,81
-1536,-1245,-497,2,-27,83
-1540,-1247,-501,-1,-24,89
-1551,-1245,-503,-8,-19,95
-1555,-1241,-497,-15,-17,106
-1548,-1239,-494,-18,-17,116
-1538,-1235,-492,-21,-13,124
-1537,-1232,-498,-21,-10,131
-1560,-1235,-492,-20,-14,140
-1560,-1236,-476,-13,-26,150
-1548,-1230,-440,2,-36,158
-1557,-1226,-448,20,-24,171
-1572,-1224,-479,30,-25,191
-1595,-1215,-497,30,-41,218
-1609,-1217,-523,24,-38,253
-1577,-1208,-507,18,-34,280
-1562,-1208,-472,19,-30,296
-1538,-1190,-455,26,-22,310
-1521,-1161,-511,26,60,333
-1541,-1178,-524,12,138,378
-1609,-1188,-514,-2,190,445
-1614,-1157,-509,-17,211,516
-1597,-1161,-544,-31,224,584
-1606,-1140,-533,-50,177,638
-1644,-1114,-495,-69,64,687
-1653,-1119,-457,-77,9,749
-1698,-1117,-466,-80,33,824
-1737,-1114,-520,-82,35,911
-1759,-1111,-543,-77,15,998
-1749,-1138,-553,-61,-43,1064
-1572,-1104,-446,-14,-134,1084
-1669,-1114,-430,49,-227,1097
-1712,-1073,-563,86,-258,1135
-1787,-1092,-540,92,-402,1188
-1817,-1062,-615,79,-390,1252
-1833,-1013,-534,64,-462,1310
-1907,-981,-528,53,-533,1374
-1994,-986,-541,32,-630,1449
-1985,-1032,-556,-4,-697,1524
-2120,-1141,-550,-51,-725,1594
-2135,-1259,-579,-81,-901,1647
-2055,-1373,-541,-75,-1102,1652
-2073,-1513,-591,-34,-1218,1631
-2134,-1705,-747,11,-1073,1596
-2235,-1963,-959,30,-816,1514
-2365,-2295,-1185,18,-570,1346
-2382,-2561,-1276,-24,-448,1054
-2396,-2800,-1209,-47,-178,619
-2563,-3046,-1164,-16,267,66
-3009,-3354,-1267,68,636,-563
-3458,-3428,-1172,238,666,-1230
-3775,-3298,-996,527,683,-1884
-4015,-3129,-996,894,563,-2514
-4126,-2955,-911,1245,255,-3099
-4157,-2846,-861,1545,-12,-3603
-4041,-2552,-857,1763,-204,-4016
-3806,-2228,-819,1907,-215,-4331
-3550,-1963,-717,2004,-33,-4555
-3407,-1649,-484,2101,168,-4694
-3344,-1282,-312,2215,220,-4742
-3309,-943,-106,2335,104,-4691
-3230,-603,10,2441,-143,-4539
-3006,-243,64,2505,-398,-4320
-2711,50,54,2496,-583,-4070
-2365,256,-3,2404,-734,-3805
-2125,390,-57,2228,-760,-3529
-1916,526,-2,1998,-816,-3238
-1594,621,30,1752,-920,-2950
-1281,685,45,1498,-951,-2661
-1039,663,67,1229,-877,-2360
-771,625,228,995,-806,-2058
-669,571,368,807,-729,-1772
-554,522,446,657,-759,-1498
-338,499,568,576,-845,-1246
-211,474,581,521,-863,-1005
-79,438,536,453,-886,-790
34,425,456,357,-838,-590
138,399,403,231,-767,-403
154,421,346,75,-680,-218
164,427,357,-105,-611,-28
165,457,436,-289,-604,163
158,520,597,-444,-621,367
164,602,653,-560,-669,600
162,729,760,-646,-718,868
91,835,856,-704,-802,1184
-84,947,943,-742,-840,1576
-320,1036,1026,-771,-871,2056
-432,1111,996,-809,-932,2581
-517,1139,965,-913,-948,3119
-664,1092,806,-1123,-940,3639
-807,1091,576,-1494,-927,4132
-1051,922,445,-2009,-895,4596
-1326,725,297,-2611,-919,5023
-1570,417,204,-3215,-982,5369
-1763,22,98,-3749,-1112,5610
-2043,-505,44,-4182,-1199,5753
-2533,-1075,-87,-4484,-1235,5825
-2713,-1570,-222,-4656,-1330,5793
-2800,-1963,-244,-4680,-1305,5583
-2950,-2215,-366,-4551,-1100,5197
-3101,-2282,-666,-4330,-806,4683
-3381,-2433,-850,-4048,-324,4079
-3801,-2370,-1029,-3673,81,3425
-4077,-2071,-1353,-3136,337,2905
-3826,-1922,-1413,-2625,77,2085
-4099,-1672,-1357,-2108,-290,1365
-4415,-1526,-1330,-1581,-891,796
-4338,-1336,-1831,-1188,-1369,394
-4026,-1281,-2234,-986,-1473,111
-3625,-1211,-2260,-873,-1217,-129
-3381,-1093,-2164,-731,-829,-346
-3222,-985,-1937,-522,-654,-562
-3206,-874,-1800,-259,-594,-737
-3076,-713,-1756,19,-629,-837
-2962,-519,-1781,259,-739,-881
-2886,-439,-1690,484,-791,-857
-2758,-358,-1729,714,-838,-786
-2557,-241,-1745,958,-967,-717
-2327,-139,-1811,1211,-1064,-675
-2085,-114,-1840,1444,-982,-668
-1932,-100,-1880,1650,-722,-682
-1888,-76,-2024,1818,-351,-687
-1815,-232,-2065,1973,66,-708
-1661,-399,-1932,2218,453,-795
-1583,-522,-1881,2600,741,-956
-1556,-538,-1905,3068,876,-1160
-1467,-443,-1953,3581,964,-1376
-1452,-383,-1683,4161,1197,-1557
-1859,-456,-1758,4707,1161,-1594
-2126,-527,-1753,5122,952,-1452
-2253,-441,-1561,5453,780,-1188
