AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1888,-683,-345,-76,12,59
-1834,-683,-332,-72,-5,56
-1817,-706,-324,-64,49,47
-1840,-719,-316,-56,122,46
-1856,-713,-298,-41,175,50
-1887,-700,-292,-22,188,52
-1922,-689,-300,-3,167,63
-1951,-676,-317,7,134,81
-1961,-659,-341,10,110,103
-1976,-651,-359,2,79,120
-1957,-653,-365,-12,25,128
-1907,-654,-359,-21,-1,123
-1854,-671,-348,-24,23,103
-1837,-662,-354,-25,69,69
-1848,-663,-358,-23,110,35
-1876,-667,-360,-20,137,8
-1920,-664,-365,-18,128,-8
-1936,-670,-379,-19,110,-9
-1955,-660,-383,-18,81,0
-1962,-666,-355,-16,61,18
-1983,-673,-343,-2,42,41
-1990,-656,-346,13,-9,62
-1969,-643,-348,29,-47,78
-1933,-639,-373,38,-73,81
-1878,-625,-406,32,-82,68
-1838,-623,-421,14,-41,40
-1822,-626,-438,-13,13,6
-1834,-636,-416,-42,70,-24
-1883,-648,-384,-54,113,-42
-1930,-635,-389,-55,96,-46
-1954,-634,-375,-47,63,-34
-1953,-635,-387,-37,47,-14
-1953,-637,-401,-29,33,5
-1967,-633,-404,-23,-6,21
-1957,-630,-409,-18,-72,28
-1909,-625,-409,-12,-107,30
-1845,-628,-415,-10,-79,21
-1820,-639,-400,-14,-18,5
-1811,-650,-387,-15,45,-14
-1840,-656,-396,-13,68,-29
-1863,-666,-392,-9,70,-35
-1900,-666,-395,-8,79,-23
-1952,-663,-387,-1,82,4
-1977,-654,-382,13,56,33
-1976,-636,-376,32,1,56
-1944,-620,-391,49,-59,64
-1886,-618,-401,55,-86,55
-1832,-608,-420,42,-59,32
-1813,-608,-428,17,-7,1
-1823,-615,-428,-13,45,-29
-1852,-621,-419,-42,68,-54
-1894,-633,-393,-61,66,-62
-1934,-630,-385,-67,45,-49
-1950,-638,-374,-65,14,-20
-1947,-646,-363,-55,-7,15
-1930,-634,-362,-42,-23,46
-1893,-644,-353,-27,-38,62
-1848,-646,-358,-15,-38,61
-1819,-640,-370,-11,-18,46
-1814,-651,-387,-21,32,28
-1833,-652,-414,-43,79,14
-1871,-662,-417,-74,106,3
-1910,-665,-406,-100,120,3
-1953,-668,-411,-119,87,14
-1959,-669,-389,-132,45,33
-1952,-673,-356,-129,30,55
-1933,-668,-346,-115,40,74
-1922,-671,-345,-99,70,85
-1930,-666,-372,-89,106,88
-1928,-664,-411,-95,116,79
-1931,-677,-445,-115,129,61
-1891,-673,-468,-143,140,31
-1895,-677,-472,-175,192,-4
-1956,-702,-455,-202,231,-26
-2009,-725,-447,-223,238,-36
