AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1452,-522,1030,272,-818,741
-1506,-451,1059,192,-826,664
-1356,-455,1199,131,-1084,541
-1371,-479,1336,108,-1018,415
-1379,-522,1332,102,-818,303
-1389,-530,1309,98,-657,194
-1461,-444,1335,91,-626,94
-1500,-433,1384,86,-619,21
-1484,-449,1398,84,-532,-25
-1608,-477,1390,79,-627,-61
-1627,-409,1375,70,-818,-59
-1657,-387,1385,67,-826,-28
-1621,-532,1393,69,-884,11
-1640,-367,1335,66,-1057,64
-1487,-438,1408,62,-1059,114
-1441,-478,1380,59,-960,164
-1383,-520,1379,40,-974,198
-1271,-612,1413,27,-811,218
-1311,-345,1375,13,-792,219
-1218,-428,1438,9,-642,203
-1217,-464,1388,1,-500,177
-1218,-430,1407,-8,-420,145
-1191,-407,1422,-14,-276,110
-1215,-429,1441,-18,-155,71
-1267,-436,1457,-23,-52,38
-1384,-410,1492,-26,-45,21
-1445,-389,1502,-28,-164,20
-1461,-405,1535,-26,-277,30
-1459,-427,1545,-22,-409,45
-1435,-425,1559,-17,-520,64
-1405,-426,1534,-12,-559,89
-1340,-435,1522,-9,-520,110
-1312,-450,1534,-6,-492,120
-1250,-562,1516,0,-376,116
-1275,-276,1494,-4,-372,92
-1160,-402,1537,-7,-221,49
-1187,-430,1449,-26,-125,7
-1246,-404,1509,-61,-112,-29
-1300,-412,1482,-92,-64,-41
-1259,-433,1510,-113,-7,-48
-1207,-494,1549,-121,33,-70
-1286,-445,1560,-113,145,-97
-1274,-365,1633,-95,9,-133
-1314,-409,1613,-65,95,-170
-1269,-434,1508,-60,98,-200
-1305,-543,1584,-65,-95,-243
-1316,-366,1504,-68,-45,-247
-1195,-645,1486,-76,48,-263
-1359,-360,1480,-80,-64,-266
-1228,-453,1539,-77,0,-254
-1301,-413,1510,-71,167,-227
-1266,-617,1564,-70,240,-200
-1284,-616,1635,-54,221,-186
-1314,-484,1590,-35,256,-168
-1252,-475,1544,-29,316,-155
-1221,-486,1513,-27,390,-154
-1238,-484,1474,-39,487,-153
-1276,-459,1469,-60,527,-157
-1359,-456,1483,-80,485,-154
-1433,-452,1495,-96,359,-130
-1470,-451,1508,-104,228,-84
-1494,-449,1517,-104,104,-19
-1457,-465,1522,-97,-7,46
-1390,-485,1505,-85,-39,97
-1318,-493,1489,-74,-15,123
-1271,-509,1485,-63,29,120
-1244,-525,1480,-52,86,93
-1272,-518,1478,-37,146,54
-1305,-531,1467,-28,154,17
-1338,-542,1460,-22,150,-16
-1369,-550,1458,-20,138,-35
-1390,-546,1457,-15,123,-45
-1393,-558,1454,-13,104,-47
-1392,-570,1444,-12,124,-43
-1369,-563,1450,-11,162,-39
-1334,-570,1446,-7,208,-44
-1308,-558,1425,-9,295,-58
-1290,-556,1395,-22,387,-81
-1260,-548,1385,-50,492,-115
-1241,-559,1386,-81,613,-162
-1198,-569,1393,-108,749,-218
-1140,-540,1369,-130,1016,-282
-1200,-548,1315,-158,1329,-337
-1301,-564,1246,-194,1514,-370
-1361,-565,1221,-236,1616,-391
-1465,-568,1285,-269,1675,-396
-1574,-527,1294,-289,1554,-389
-1737,-618,1344,-286,1485,-348
-1770,-644,1339,-274,1336,-285
-1695,-665,1441,-246,1217,-219
-1816,-610,1323,-202,817,-178
-1745,-583,1257,-175,638,-121
-1647,-618,1240,-147,568,-81
-1588,-634,1252,-119,521,-68
-1581,-633,1141,-105,471,-65
-1524,-626,1156,-104,466,-76
-1492,-651,1180,-99,499,-111
-1497,-650,1174,-98,535,-162
-1498,-620,1121,-107,563,-216
-1514,-600,1080,-131,659,-256
-1508,-631,981,-162,870,-271
-1613,-658,1139,-191,1062,-274
-1739,-665,927,-211,938,-257
-1746,-609,1065,-242,871,-225
-1817,-618,1043,-242,683,-185
-1830,-629,1027,-247,492,-142
-1820,-644,1045,-248,323,-94
-1778,-668,1057,-243,183,-50
-1746,-691,1050,-232,85,-15
-1695,-685,1015,-222,23,9
-1655,-702,1024,-207,13,23
-1621,-736,982,-192,63,31
-1589,-719,962,-180,109,27
-1574,-709,954,-165,189,11
-1573,-719,936,-150,247,-12
-1580,-719,912,-142,287,-39
-1593,-712,900,-139,332,-63
-1602,-728,904,-137,379,-82
-1641,-742,903,-131,419,-97
-1699,-743,912,-123,426,-100
-1736,-748,918,-113,395,-90
-1732,-766,932,-102,380,-76
-1741,-788,940,-88,388,-65
-1755,-779,910,-77,357,-60
-1753,-767,902,-69,293,-60
-1717,-766,892,-64,258,-66
-1719,-776,883,-60,251,-72
-1720,-776,852,-62,239,-75
-1715,-764,843,-70,239,-77
-1712,-762,850,-75,255,-78
-1718,-768,865,-74,257,-83
-1711,-767,869,-70,232,-94
-1699,-761,876,-63,222,-110
-1727,-766,866,-55,229,-120
-1741,-770,854,-51,208,-118
-1743,-771,861,-48,195,-110
-1743,-776,865,-44,198,-95
-1752,-765,839,-45,172,-75
-1742,-767,841,-45,131,-52
-1712,-784,844,-46,115,-34
-1700,-781,826,-46,120,-21
-1694,-770,822,-46,97,-15
-1670,-771,833,-39,90,-14
-1673,-787,848,-25,120,-19
-1693,-803,827,-12,142,-19
-1713,-793,809,-4,115,-21
-1716,-776,806,-5,76,-22
-1733,-779,799,-9,55,-17
-1741,-797,798,-17,35,-7
-1728,-803,811,-21,24,5
-1723,-807,817,-19,40,16
-1720,-810,823,-13,47,24
-1724,-807,832,-4,43,28
-1730,-810,828,6,19,26
-1734,-803,834,16,-11,20
-1717,-805,841,25,-33,10
-1711,-794,818,27,-40,-5
-1708,-783,797,18,-31,-16
-1692,-783,796,5,-6,-26
-1683,-784,802,-9,51,-30
-1693,-789,813,-20,108,-34
-1722,-782,818,-31,133,-33
-1742,-786,839,-40,117,-31
-1727,-787,847,-47,103,-32
-1736,-784,835,-57,98,-39
-1729,-772,819,-68,64,-48
-1713,-774,816,-78,59,-54
-1692,-793,792,-89,95,-54
-1687,-785,774,-104,142,-52
-1678,-781,758,-123,192,-53
-1678,-779,752,-145,230,-59
-1689,-779,755,-165,263,-66
-1702,-781,734,-184,281,-70
-1698,-793,755,-195,288,-75
-1707,-806,752,-197,306,-78
-1735,-815,746,-191,306,-75
-1758,-827,747,-181,279,-66
-1769,-836,759,-167,257,-52
-1774,-842,752,-154,233,-41
-1788,-836,739,-145,195,-31
-1787,-829,731,-141,139,-23
-1774,-834,725,-144,96,-20
-1766,-839,717,-147,68,-21
-1760,-842,714,-154,54,-22
-1759,-841,715,-162,35,-23
-1759,-841,721,-170,17,-25
-1749,-843,716,-179,4,-33
-1747,-842,727,-187,-11,-45
-1739,-840,715,-193,-31,-63
-1743,-837,710,-202,-54,-80
-1746,-828,701,-214,-65,-90
-1738,-833,696,-232,-59,-95
-1730,-830,698,-259,-39,-96
-1736,-821,691,-293,-28,-99
-1751,-822,674,-335,-41,-102
-1729,-836,707,-381,-53,-107
-1719,-837,694,-421,-47,-113
-1709,-844,675,-466,-48,-123
-1697,-850,663,-511,-45,-137
-1692,-851,637,-556,-56,-154
-1687,-840,628,-594,-57,-165
-1639,-867,614,-625,-7,-172
-1576,-907,620,-649,100,-187
-1536,-939,642,-663,243,-212
-1550,-933,606,-672,395,-241
-1614,-953,598,-679,497,-258
-1659,-958,555,-684,535,-261
-1697,-966,552,-688,545,-251
-1703,-980,570,-681,540,-233
-1703,-996,584,-668,541,-212
-1705,-1008,593,-647,543,-192
-1709,-1023,610,-621,560,-175
-1743,-1027,591,-590,557,-159
-1783,-1031,557,-554,538,-136
-1798,-1044,529,-514,476,-109
-1806,-1042,507,-464,405,-78
-1781,-1046,487,-414,341,-46
-1737,-1053,470,-364,303,-24
-1698,-1052,444,-319,297,-11
-1671,-1047,412,-285,312,-6
-1637,-1045,387,-264,351,-10
-1599,-1047,409,-254,426,-27
-1633,-1020,398,-249,522,-47
-1685,-1017,376,-253,586,-62
-1749,-1020,383,-258,582,-71
-1823,-1019,383,-258,539,-66
-1859,-1026,367,-258,461,-48
-1841,-1025,363,-258,363,-30
-1812,-1015,343,-261,313,-17
-1764,-1022,305,-273,317,-15
-1714,-1020,283,-294,326,-30
-1731,-1004,251,-321,349,-55
-1760,-1018,226,-346,361,-69
-1755,-1030,209,-371,330,-79
-1728,-1031,226,-386,307,-91
-1697,-1050,258,-393,310,-111
-1672,-1056,235,-398,322,-138
-1667,-1060,223,-406,313,-169
-1703,-1048,191,-416,339,-186
-1724,-1073,172,-426,359,-185
-1735,-1080,155,-432,389,-171
-1735,-1121,150,-432,373,-151
-1726,-1092,196,-414,400,-122
-1726,-1083,174,-392,460,-98
-1727,-1096,165,-378,488,-82
-1741,-1093,136,-370,518,-69
-1751,-1099,137,-371,482,-64
-1755,-1092,134,-371,443,-60
-1758,-1090,114,-379,397,-63
-1797,-1072,85,-389,351,-66
-1805,-1088,73,-400,249,-66
-1811,-1064,98,-403,168,-61
-1790,-1074,128,-396,164,-58
-1703,-1199,111,-387,126,-73
-1722,-1204,113,-375,56,-92
-1744,-1140,109,-348,170,-77
-1784,-1129,65,-325,155,-57
-1781,-1144,62,-308,53,-30
-1770,-1112,83,-287,46,3
-1756,-1101,71,-268,2,38
-1757,-1093,39,-260,0,77
-1743,-1094,-1,-267,-3,116
-1740,-1086,-26,-283,-16,152
-1729,-1078,-15,-295,-54,176
-1697,-1078,-2,-295,-82,188
-1706,-1084,-10,-289,-86,193
-1718,-1091,-25,-284,-121,191
-1718,-1075,-25,-276,-148,182
-1777,-863,-10,-253,111,202
-1698,-1090,-129,-242,81,191
