AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2011,-167,153,78,-43,-12
-2027,-157,134,79,-36,-3
-2039,-152,112,65,-30,13
-2033,-149,106,42,-26,30
-2035,-159,94,15,-20,41
-2025,-169,113,-8,-13,48
-2009,-175,149,-12,5,46
-2018,-178,168,0,11,40
-2028,-178,182,20,-1,29
-2038,-168,171,41,-14,23
-2048,-167,140,51,-35,22
-2060,-167,104,45,-44,27
-2052,-164,86,26,-38,35
-2041,-172,86,6,-29,38
-2031,-188,105,-10,-21,38
-2016,-193,135,-11,-9,33
-2022,-188,155,0,-8,22
-2033,-190,170,21,-12,17
-2053,-188,158,40,-18,17
-2055,-187,138,52,-37,18
-2048,-183,128,57,-49,16
-2037,-180,122,58,-51,12
-2036,-173,127,58,-41,7
-2036,-168,125,58,-30,3
-2039,-170,131,58,-27,-1
-2047,-166,125,53,-25,0
-2045,-162,127,48,-29,1
-2052,-161,132,46,-34,2
-2056,-170,137,46,-41,3
-2049,-168,142,52,-42,6
-2052,-170,147,62,-37,5
-2058,-172,136,70,-30,4
-2060,-175,139,77,-26,2
-2062,-167,140,80,-29,-4
-2071,-166,125,75,-35,-12
-2058,-166,118,63,-41,-17
-2054,-161,106,46,-33,-23
-2052,-173,102,26,-20,-26
-2042,-175,110,12,-7,-34
-2043,-182,119,7,2,-42
-2047,-188,132,11,-4,-45
-2058,-197,141,24,-3,-44
-2042,-210,156,45,-8,-43
-2035,-210,182,76,-22,-51
-2028,-234,168,111,-41,-69
-1988,-223,180,146,-68,-105
-1983,-227,166,178,-59,-152
-1982,-233,135,199,-49,-201
-1991,-239,127,206,-9,-245
-2044,-253,141,207,21,-281
-2094,-293,175,211,-2,-301
-2117,-314,205,224,-42,-320
-2136,-352,234,246,-92,-343
-2205,-379,191,266,-134,-355
-2206,-427,190,278,-159,-366
-2237,-486,193,293,-151,-384
-2262,-571,200,321,-134,-418
-2283,-629,283,372,-148,-478
-2307,-717,361,459,-154,-556
-2390,-737,453,579,-188,-636
-2473,-759,543,720,-250,-698
-2575,-795,603,862,-333,-735
-2662,-807,644,977,-447,-744
-2687,-830,696,1045,-551,-736
-2717,-838,800,1078,-647,-725
-2787,-821,900,1086,-748,-705
-2784,-768,897,1053,-803,-683
-2798,-771,928,979,-863,-681
-2800,-803,968,873,-947,-696
-2735,-812,1041,750,-1027,-733
-2639,-788,1155,628,-1057,-805
-2594,-726,1308,517,-1046,-907
-2607,-618,1451,427,-1005,-1013
-2593,-476,1529,340,-971,-1121
-2529,-347,1575,240,-937,-1237
-2511,-215,1617,119,-887,-1361
-2544,-24,1624,-29,-886,-1473
-2607,194,1705,-198,-917,-1567
-2690,429,1729,-398,-1018,-1618
-2682,628,1655,-657,-1227,-1631
-2509,837,1556,-1006,-1560,-1631
-2295,1037,1382,-1466,-1826,-1613
-2086,1335,1261,-2028,-1993,-1554
-1850,1561,1079,-2670,-1941,-1434
-1644,1680,809,-3376,-1718,-1249
-1400,1748,491,-4130,-1497,-1029
-1288,1733,46,-4909,-1236,-770
-1286,1645,-322,-5673,-1024,-440
-1458,1408,-576,-6352,-745,-21
-1732,1084,-748,-6866,-590,452
-1768,843,-864,-7139,-769,912
-1608,566,-973,-7145,-883,1292
-1150,240,-985,-6856,-741,1469
-966,1,-1134,-6295,-643,1397
-706,-198,-1008,-5557,-547,1159
-676,-379,-1070,-4711,-454,779
-827,-427,-1092,-3859,-463,364
-1062,-481,-1125,-3045,-491,5
-1399,-483,-1202,-2299,-617,-247
-1576,-475,-1353,-1658,-805,-382
-1598,-552,-1588,-1151,-862,-466
-1506,-602,-1667,-755,-889,-552
-1410,-687,-1613,-414,-817,-658
-1334,-771,-1494,-98,-750,-776
-1250,-818,-1334,215,-725,-885
-1202,-878,-1205,519,-730,-959
-1172,-923,-1057,801,-748,-980
-1151,-916,-967,1056,-774,-945
-1153,-974,-1023,1247,-741,-859
-1105,-1044,-1091,1351,-631,-736
-1055,-1112,-1092,1379,-421,-595
-1059,-1196,-1025,1360,-133,-443
-1105,-1269,-899,1322,188,-284
-1162,-1318,-716,1294,484,-135
-1268,-1369,-527,1282,765,-5
-1360,-1398,-381,1292,958,105
-1589,-1411,-172,1325,1108,224
