AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1977,-528,-164,43,-19,39
-1972,-523,-164,32,-18,42
-1963,-523,-164,22,-9,37
-1959,-525,-156,13,1,29
-1960,-527,-146,6,17,19
-1967,-528,-143,5,29,10
-1974,-528,-145,3,29,4
-1980,-526,-143,3,20,1
-1981,-528,-151,3,3,-2
-1976,-532,-147,5,-6,0
-1976,-529,-149,10,-9,2
-1975,-530,-139,18,-19,4
-1978,-537,-128,27,-22,10
-1978,-533,-121,38,-26,14
-1969,-531,-121,46,-39,20
-1952,-532,-124,48,-46,18
-1940,-525,-128,46,-43,16
-1940,-521,-148,38,-26,12
-1945,-519,-153,25,-4,10
-1950,-516,-152,14,2,8
-1963,-520,-156,5,7,5
-1975,-524,-142,-1,4,7
-1977,-522,-116,5,-3,12
-1975,-522,-105,22,-23,14
-1974,-525,-106,39,-39,17
-1978,-521,-120,50,-39,22
-1976,-513,-140,50,-36,30
-1981,-514,-154,40,-32,36
-1983,-520,-168,22,-22,39
-1975,-525,-167,2,-20,37
-1964,-523,-146,-11,-23,27
-1964,-524,-131,-9,-30,14
-1967,-530,-121,-3,-18,4
-1971,-529,-128,6,-10,-4
-1980,-527,-137,12,-6,-4
-1988,-532,-143,15,-7,-1
-2006,-531,-152,17,-22,6
-2004,-529,-157,20,-26,15
-1996,-537,-164,23,-29,18
-1975,-536,-165,24,-32,16
-1958,-533,-157,30,-31,4
-1950,-534,-154,34,-34,-7
-1955,-532,-142,40,-20,-16
-1971,-523,-145,44,-10,-15
-1987,-519,-146,45,-5,-6
-1999,-520,-154,43,-3,7
-1992,-527,-153,37,-12,18
-1974,-531,-147,33,-24,19
-1950,-522,-131,34,-36,12
-1939,-522,-120,39,-34,0
-1945,-522,-124,44,-14,-9
-1964,-518,-135,46,3,-12
-1991,-526,-139,44,18,-4
-2015,-525,-138,42,13,8
-2014,-529,-133,41,-13,20
-1997,-529,-127,45,-36,24
-1972,-524,-128,48,-44,19
-1953,-520,-128,50,-35,10
-1950,-519,-135,51,-13,-3
-1964,-521,-144,45,8,-15
-1979,-522,-143,38,4,-22
-1985,-519,-131,34,-6,-23
-1990,-519,-127,30,-18,-20
-1986,-525,-127,29,-23,-12
-1987,-525,-132,26,-22,-4
-1979,-534,-128,25,-20,2
-1975,-539,-126,27,-15,2
-1969,-545,-124,33,-23,-3
-1956,-552,-126,39,-29,-14
-1951,-550,-132,44,-28,-25
-1961,-544,-133,49,-27,-33
-1980,-541,-134,55,-22,-33
-2001,-537,-119,62,-23,-26
-2021,-542,-108,76,-37,-16
-2031,-543,-118,91,-62,-5
-2024,-546,-112,105,-90,0
-2017,-550,-108,120,-106,-3
-2022,-547,-111,137,-118,-13
-2048,-550,-126,151,-115,-25
-2082,-565,-126,161,-131,-34
-2134,-575,-136,174,-155,-38
-2178,-599,-148,189,-201,-32
-2181,-627,-109,210,-266,-26
-2193,-666,-79,245,-301,-23
-2214,-695,-27,297,-332,-26
-2277,-737,17,363,-377,-34
-2357,-775,38,436,-413,-41
-2421,-810,82,509,-466,-50
-2478,-863,136,581,-521,-66
-2551,-944,164,636,-521,-82
-2632,-1015,252,678,-539,-100
-2705,-1052,388,726,-571,-122
-2756,-1071,569,797,-601,-147
-2825,-1073,790,904,-654,-181
-2894,-1070,953,1030,-766,-223
-2942,-1035,1120,1162,-912,-277
-2879,-920,1256,1276,-1008,-356
-2810,-709,1255,1343,-1065,-476
-2737,-494,1343,1337,-1102,-639
-2561,-266,1301,1234,-1028,-840
-2384,21,1297,1039,-879,-1077
-2329,216,1265,752,-752,-1327
-2309,371,1177,385,-723,-1559
-2347,541,1142,-71,-767,-1720
-2344,660,1075,-573,-904,-1805
-2285,768,1005,-1104,-1059,-1802
-2195,843,912,-1644,-1210,-1719
-2159,935,820,-2166,-1333,-1555
-2079,935,704,-2661,-1480,-1323
-1827,875,525,-3138,-1615,-1072
-1419,821,347,-3601,-1669,-856
-989,758,223,-4017,-1516,-720
-638,663,95,-4374,-1274,-677
-384,609,-51,-4672,-962,-719
