AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1271,-1345,-762,-190,-182,69
-1223,-1289,-781,-177,-100,21
-1539,-1242,-747,-177,198,-39
-1325,-1293,-791,-165,11,-82
-1311,-1310,-829,-165,128,-133
-1295,-1288,-796,-157,-2,-178
-1354,-1260,-769,-145,41,-214
-1261,-1245,-774,-121,-26,-243
-1070,-1233,-772,-99,-29,-271
-1215,-1193,-775,-82,645,-364
-1572,-1479,-765,-66,405,-377
-1212,-1439,-810,-49,89,-385
-1113,-1338,-846,-54,-112,-405
-1395,-1313,-818,-72,-27,-403
-1560,-1446,-834,-88,-87,-355
-1551,-1431,-910,-112,-361,-288
-1526,-1387,-920,-143,-525,-204
-1578,-1381,-852,-159,-436,-94
-1454,-1345,-819,-155,-405,13
-1369,-1367,-829,-142,-435,86
-1372,-1357,-789,-114,-437,141
-1327,-1353,-779,-73,-464,181
-1313,-1374,-787,-32,-548,200
-1338,-1359,-816,-5,-647,216
-1300,-1311,-858,7,-646,229
-1350,-1255,-932,-2,-687,241
-1389,-1275,-903,-32,-814,252
-1402,-1301,-806,-55,-907,258
-1384,-1313,-708,-54,-984,256
-1347,-1305,-678,-38,-1030,243
-1314,-1302,-672,-16,-1028,222
-1286,-1305,-654,7,-947,200
-1275,-1294,-681,27,-799,176
-1292,-1287,-670,42,-693,150
-1330,-1288,-649,58,-583,121
-1388,-1284,-646,74,-526,98
-1422,-1310,-646,82,-521,77
-1437,-1304,-634,94,-472,67
-1418,-1276,-633,124,-516,69
-1549,-1322,-485,167,-549,76
-1497,-1373,-623,189,-671,84
-1375,-1075,-502,194,-552,70
-1391,-1239,-677,165,-577,18
-1428,-1378,-639,130,-392,-5
-1449,-1341,-851,62,-332,-19
-1489,-1400,-790,-10,-544,-18
-1495,-1278,-546,-54,-627,16
-1327,-1318,-518,-71,-448,38
-1324,-1356,-489,-78,-238,35
-1445,-1325,-486,-62,-29,37
-1513,-1311,-469,-28,-83,50
-1460,-1297,-448,18,-124,56
-1517,-1329,-464,61,-109,62
-1603,-1314,-527,86,-180,74
-1843,-1219,-553,87,-405,94
-1621,-1252,-679,55,-791,120
-1376,-1351,-541,20,-674,103
-1355,-1289,-606,-8,-443,65
-1432,-1262,-552,-31,-299,26
-1460,-1308,-480,-26,-212,-5
-1476,-1284,-457,-4,-163,-24
-1411,-1400,-472,29,-67,-29
-1406,-1318,-506,54,90,-36
-1609,-1175,-408,84,206,-6
-1596,-1365,-521,117,162,46
-1680,-1342,-507,114,-27,98
-1637,-1271,-472,114,-150,146
-1631,-1281,-508,103,-368,181
-1640,-1274,-494,88,-501,222
-1609,-1291,-462,73,-603,256
-1551,-1247,-448,69,-734,270
-1550,-1250,-404,72,-790,270
-1726,-1185,-347,94,-1199,292
-1327,-891,-17,148,-1783,281
-1308,-1069,-102,245,-2648,243
-1034,-1267,-346,298,-2346,175
-1062,-1470,-414,301,-1576,67
-1132,-1415,-382,279,-1114,-66
-1216,-1356,-312,254,-1173,-217
-1305,-1378,-182,231,-1373,-369
-1209,-1321,-119,226,-1332,-521
-1160,-1197,-101,218,-771,-676
-1157,-1279,-48,208,-738,-813
-1161,-1348,-53,188,-911,-936
-1189,-1320,-31,164,-984,-1035
-1056,-1240,190,144,-555,-1119
-1141,-1093,136,128,241,-1189
-1409,-1049,-90,83,970,-1234
-1945,-1214,-575,-7,1241,-1205
-2256,-1420,-1054,-179,638,-1079
-2282,-1552,-979,-413,-254,-866
-2504,-1468,-727,-636,-426,-543
-2666,-1286,-557,-806,-160,-135
-2508,-1289,-459,-927,-394,268
-2169,-1392,-193,-990,-978,564
-1759,-1435,154,-945,-1210,733
-1302,-1501,443,-787,-1170,738
-1009,-1509,484,-559,-1087,586
-1046,-1269,234,-340,-1011,332
-1090,-1334,-19,-190,-1090,55
-1178,-1358,-185,-127,-1094,-179
-1242,-1324,-206,-111,-1032,-359
-1317,-1338,-171,-104,-818,-484
-1434,-1577,-116,-96,-614,-543
-1509,-1753,-189,-99,-540,-530
-1678,-1675,-158,-121,-520,-442
-1770,-1496,-9,-118,-488,-294
-1741,-1448,19,-90,-489,-152
-1644,-1497,63,-57,-534,-60
-1602,-1472,60,-20,-552,-17
-1484,-1450,66,19,-609,-21
-1396,-1441,79,67,-647,-76
-1376,-1438,13,101,-645,-155
-1361,-1443,-32,117,-584,-227
-1368,-1486,-25,124,-444,-271
-1442,-1522,-61,113,-238,-283
-1502,-1551,-81,84,-68,-267
-1502,-1509,-76,54,71,-248
-1484,-1469,-25,40,155,-264
-1543,-1447,-21,37,170,-306
-1562,-1476,21,36,62,-356
-1536,-1513,62,43,-22,-409
-1543,-1521,37,52,-84,-454
-1545,-1508,32,58,-154,-481
-1515,-1547,3,51,-210,-494
-1446,-1558,-16,42,-202,-518
-1409,-1544,-35,30,-175,-561
-1369,-1567,-64,16,-113,-611
-1339,-1621,-70,1,4,-666
-1315,-1622,-86,-10,144,-720
-1337,-1637,-68,-14,274,-773
-1391,-1687,-47,-15,316,-806
-1446,-1702,35,-3,298,-814
-1578,-1702,91,29,230,-776
-1691,-1683,141,79,33,-682
-1686,-1667,175,149,-122,-565
-1550,-1692,188,232,-276,-482
-1394,-1696,183,324,-354,-462
-1294,-1692,107,402,-371,-493
-1218,-1684,56,457,-347,-556
-1227,-1674,17,487,-285,-633
-1221,-1686,-18,496,-239,-713
-1232,-1687,-30,484,-207,-793
-1225,-1703,-17,454,-151,-869
-1239,-1740,-23,405,-93,-938
-1191,-1800,-50,335,-37,-998
-1128,-1768,1,264,70,-1070
-1145,-1839,36,208,121,-1154
-1172,-1905,50,169,190,-1241
-1108,-2052,46,154,231,-1353
-1054,-2055,82,169,195,-1506
-1062,-2045,73,205,213,-1667
-1093,-2081,38,225,191,-1806
-1146,-2106,79,228,215,-1896
-1198,-2175,83,228,153,-1942
-1184,-2284,90,217,66,-1955
-1113,-2296,155,211,-47,-1961
-881,-2274,220,227,-90,-2018
-712,-2263,285,267,-79,-2151
-640,-2260,184,297,-161,-2333
-597,-2227,269,377,-181,-2480
-495,-2201,218,410,-216,-2606
-539,-2158,149,394,-288,-2675
-413,-2138,135,346,-275,-2655
-373,-2088,135,273,-290,-2581
-306,-2818,428,224,-329,-2475
73,-1500,96,205,-515,-2417
432,-1981,534,267,46,-2403
144,-2090,-13,245,33,-2264
474,-1947,91,198,155,-2144
664,-1880,-55,131,362,-2052
827,-1792,-33,33,472,-1971
982,-1692,-125,-98,579,-1884
1223,-1555,-219,-246,705,-1809
1445,-1509,-278,-401,938,-1729
1532,-1348,-324,-560,1231,-1629
1636,-1180,-425,-726,1481,-1501
1804,-1033,-491,-924,1600,-1335
1972,-870,-573,-1127,1758,-1177
2065,-727,-536,-1359,1746,-967
1813,-652,-451,-1586,1954,-629
