AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1893,-730,501,23,-11,24
-1879,-729,496,24,-35,35
-1856,-724,480,18,-45,43
-1833,-730,466,6,-44,47
-1820,-730,454,-13,-40,45
-1809,-735,469,-33,-23,40
-1813,-739,500,-44,6,34
-1837,-734,507,-45,18,32
-1855,-731,510,-41,8,32
-1855,-734,532,-28,4,37
-1864,-735,531,-12,13,41
-1859,-733,520,1,-1,43
-1854,-737,505,9,-12,40
-1846,-734,475,7,-6,36
-1851,-736,477,0,15,34
-1869,-739,473,-6,23,35
-1875,-745,487,-12,7,33
-1874,-744,497,-13,-11,31
-1862,-740,516,-11,-22,23
-1859,-734,522,0,-2,17
-1870,-731,500,7,11,14
-1866,-733,491,9,0,13
-1861,-728,489,11,-1,12
-1854,-725,480,8,-4,10
-1842,-722,491,1,-6,6
-1842,-722,492,-2,9,3
-1857,-719,480,-8,9,2
-1849,-711,482,-11,-2,3
-1842,-710,494,-13,3,7
-1855,-711,492,-12,-2,13
-1861,-710,499,-9,-24,19
-1863,-706,500,-6,-40,24
-1854,-702,502,-5,-51,30
-1834,-706,499,-2,-42,31
-1837,-709,474,-4,-30,29
-1824,-712,457,-12,-24,30
-1819,-717,471,-17,4,33
-1841,-722,481,-19,34,40
-1859,-721,497,-17,36,49
-1875,-722,511,-13,14,59
-1876,-722,531,-5,-10,68
-1875,-717,513,2,-21,75
-1864,-715,508,7,-21,80
-1858,-718,496,8,3,79
-1870,-721,487,8,13,76
-1864,-719,477,1,6,69
-1864,-716,468,-9,-7,59
-1870,-717,467,-24,-14,53
-1890,-713,448,-42,-21,59
-1909,-704,460,-65,-34,74
-1928,-718,481,-83,-28,97
-1958,-718,464,-108,-49,123
-1995,-692,453,-139,-107,151
-2010,-697,434,-182,-165,182
-2018,-721,406,-238,-204,216
-2050,-769,393,-303,-196,247
-2074,-812,378,-365,-178,267
-2049,-846,359,-423,-189,255
-2052,-869,346,-471,-189,211
-2127,-907,353,-507,-158,153
-2153,-939,294,-520,-266,90
-2182,-1033,317,-531,-98,-1
-2219,-1145,400,-502,-121,-143
-2329,-1166,546,-428,-120,-363
-2347,-1196,669,-275,-35,-640
