AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1916,241,-280,-36,1190,-133
-1946,228,-325,-60,1388,-156
-1976,204,-334,-85,1496,-178
-1992,202,-348,-108,1500,-199
-1997,191,-396,-135,1450,-219
-2008,178,-431,-169,1421,-237
-1965,171,-462,-208,1407,-257
-1972,150,-512,-253,1353,-283
-1987,148,-537,-303,1289,-303
-1966,152,-524,-349,1230,-319
-1913,161,-477,-381,1228,-336
-1845,184,-444,-398,1289,-355
-1742,196,-389,-398,1423,-383
-1668,223,-405,-386,1662,-417
-1668,235,-459,-376,1966,-448
-1620,228,-538,-371,2316,-484
-1642,196,-647,-367,2635,-525
-1715,150,-748,-364,2935,-560
-1819,118,-816,-358,3120,-584
-1884,114,-855,-360,3111,-596
-1934,161,-914,-364,2835,-604
-1806,175,-1005,-380,2562,-620
-1654,187,-1060,-401,2497,-658
-1549,191,-1158,-414,2524,-723
-1418,178,-1221,-464,2523,-814
-1335,189,-1240,-499,2604,-934
-1345,148,-1140,-495,2822,-1055
-1370,71,-1183,-470,3030,-1174
-1263,29,-1334,-455,3039,-1302
-1022,47,-1439,-461,2864,-1478
-858,62,-1423,-456,2805,-1701
-643,13,-1418,-417,3117,-1953
-533,-116,-1470,-353,3607,-2244
-458,-259,-1470,-266,3992,-2567
-1063,-444,-2030,-227,3851,-2836
-851,-537,-2221,-283,3498,-3032
-784,-527,-2255,-373,3283,-3209
-583,-540,-2317,-456,3458,-3375
-557,-620,-2425,-530,3739,-3548
-784,-688,-2181,-494,4016,-3680
-1015,-538,-2461,-455,4105,-3723
-1198,-567,-2148,-440,3826,-3671
-1146,-356,-2438,-311,3465,-3551
-862,-375,-2226,-319,3328,-3419
-590,-468,-2107,-223,3554,-3301
-378,-561,-1961,-84,3829,-3231
-242,-603,-1941,92,3779,-3194
4,-644,-2028,260,3675,-3201
145,-670,-2161,392,3470,-3241
243,-660,-2327,479,3373,-3291
325,-623,-2436,529,3471,-3346
342,-636,-2340,579,3647,-3412
496,-655,-2182,674,3916,-3496
730,-619,-2280,783,3770,-3655
924,-779,-2397,891,3762,-3857
1087,-1019,-2392,1026,3826,-4065
1233,-1139,-2381,1197,3943,-4258
1177,-1175,-2265,1426,4051,-4387
1405,-1135,-2148,1747,4286,-4455
675,-1096,-2056,2034,5060,-4370
1399,-993,-1976,2472,5191,-4173
1473,-1036,-1887,2933,5162,-3981
1344,-1056,-1883,3395,5460,-3680
1151,-1062,-1839,3831,5933,-3234
1000,-1046,-1638,4231,6327,-2616
810,-1061,-1429,4556,5997,-1881
594,-991,-1348,4770,5247,-1069
707,-966,-1192,4882,3870,-303
1060,-966,-1136,4930,2555,323
1254,-892,-1189,4924,2037,852
1460,-901,-798,4924,1304,1253
1464,-1089,-945,4941,657,1576
1668,-1171,-1005,4933,630,1877
1897,-1065,-846,4901,338,2062
2192,-1017,-871,4858,94,2198
2326,-1050,-963,4824,47,2206
2135,-1151,-829,4827,467,2213
2059,-1318,-628,4868,756,2242
1960,-1521,-446,4942,658,2256
1910,-1733,-359,5043,760,2274
2128,-1776,-233,5155,607,2259
2125,-1729,-392,5241,551,2203
2112,-1703,-772,5234,880,2183
