AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1683,-927,-684,87,-30,5
-1700,-938,-703,70,-47,17
-1701,-943,-691,52,-68,36
-1694,-958,-678,40,-77,55
-1675,-967,-659,37,-93,65
-1655,-960,-652,46,-111,65
-1639,-961,-651,59,-111,54
-1644,-962,-649,70,-110,42
-1656,-954,-657,78,-104,37
-1666,-955,-651,80,-94,37
-1677,-954,-622,90,-86,46
-1712,-953,-609,105,-83,66
-1728,-959,-598,120,-112,88
-1718,-955,-586,131,-143,109
-1702,-949,-617,134,-132,122
-1689,-948,-641,122,-134,119
-1672,-945,-667,100,-133,105
-1650,-948,-671,73,-110,79
-1654,-947,-663,49,-78,49
-1672,-951,-647,30,-49,23
-1695,-960,-633,22,-25,10
-1712,-958,-621,22,-4,8
-1723,-957,-623,26,11,10
-1742,-958,-632,28,-18,15
-1748,-951,-620,28,-50,22
-1739,-942,-618,27,-47,29
-1731,-942,-642,18,-55,34
-1710,-947,-639,2,-76,38
-1692,-941,-618,-9,-66,37
-1679,-941,-606,-17,-45,33
-1680,-938,-601,-25,-21,29
-1701,-927,-643,-40,-16,27
-1708,-953,-618,-65,14,24
-1715,-937,-688,-96,29,27
-1714,-935,-686,-130,34,27
-1707,-942,-668,-151,55,22
-1700,-953,-637,-151,66,12
-1692,-967,-607,-128,77,-8
-1691,-970,-599,-85,82,-30
-1702,-967,-578,-32,49,-52
-1729,-954,-587,22,28,-62
-1751,-946,-610,63,6,-60
-1754,-931,-623,91,-47,-45
-1747,-925,-674,97,-85,-22
-1712,-939,-724,81,-117,2
-1667,-946,-715,53,-111,20
-1631,-938,-678,33,-72,29
-1601,-952,-639,32,-32,24
-1599,-948,-616,46,-3,11
-1616,-935,-607,63,17,-3
-1645,-929,-625,76,21,-13
-1686,-917,-653,74,8,-11
-1704,-913,-648,64,4,-1
-1709,-920,-642,53,11,8
-1712,-919,-644,47,-12,15
-1707,-924,-636,42,-55,21
-1696,-930,-602,45,-62,26
-1692,-922,-590,57,-48,31
-1692,-923,-599,71,-55,37
-1688,-937,-600,79,-58,40
-1681,-941,-608,83,-48,42
-1676,-932,-612,80,-45,39
-1678,-944,-615,76,-34,36
-1680,-940,-625,66,-24,30
-1680,-932,-625,51,-12,26
-1692,-936,-627,36,4,20
-1713,-936,-627,21,-2,20
-1728,-924,-610,12,-12,25
-1753,-929,-614,9,-33,32
-1720,-947,-602,10,-50,38
-1703,-954,-621,15,-43,38
-1683,-961,-639,19,-45,30
-1683,-968,-639,21,-17,20
-1694,-961,-636,26,13,12
-1707,-955,-640,29,14,5
-1717,-950,-642,30,0,4
-1725,-943,-631,27,1,7
-1727,-937,-635,23,-4,13
-1728,-939,-636,20,-22,22
-1721,-941,-623,20,-37,25
-1712,-947,-602,29,-42,28
-1705,-954,-589,49,-24,26
-1708,-951,-599,68,-38,21
-1693,-940,-596,86,-70,14
-1688,-926,-602,96,-62,11
-1684,-923,-629,91,-53,11
-1678,-923,-650,73,-48,13
-1680,-918,-655,46,-22,18
-1695,-919,-656,18,0,23
-1701,-933,-627,1,-4,29
-1693,-943,-587,3,-21,30
-1688,-943,-561,22,-36,27
-1678,-945,-569,46,-45,22
-1684,-950,-585,65,-49,16
-1682,-940,-604,75,-56,12
-1678,-933,-612,77,-46,10
-1676,-936,-582,79,-20,9
-1708,-938,-584,88,-2,13
-1738,-943,-587,95,-43,24
-1740,-947,-557,105,-93,39
-1741,-944,-552,122,-125,56
-1727,-950,-544,138,-172,72
-1725,-955,-542,152,-202,88
-1728,-950,-548,161,-219,101
-1738,-950,-532,168,-259,116
-1748,-957,-521,177,-293,127
-1740,-977,-495,189,-320,135
-1768,-989,-436,212,-347,144
-1830,-992,-402,252,-386,165
-1864,-1018,-369,299,-464,197
-1882,-1027,-342,353,-560,233
-1898,-1038,-310,416,-637,274
-1916,-1078,-276,487,-697,317
-1910,-1109,-215,567,-761,352
-1920,-1110,-171,658,-840,383
-1928,-1142,-108,755,-920,412
-1955,-1157,-51,863,-1012,443
-2013,-1182,-20,978,-1092,482
-2038,-1168,22,1106,-1243,530
-2055,-1237,80,1239,-1325,574
-2078,-1323,183,1430,-1416,615
-2160,-1359,286,1626,-1563,658
-2265,-1423,392,1845,-1735,717
-2371,-1442,506,2070,-1995,800
-2405,-1449,644,2298,-2156,903
-2470,-1459,757,2538,-2356,1007
-2546,-1478,892,2772,-2682,1110
-2510,-1516,941,3006,-2945,1197
-2401,-1688,1518,3134,-3210,1249
-2347,-1659,1314,3430,-3289,1268
-2354,-1616,1427,3605,-3274,1275
-2377,-1530,1687,3824,-3374,1275
-2393,-1354,1750,3978,-3424,1282
-2398,-1038,1752,4074,-3441,1300
-2136,-680,1780,4100,-3392,1288
-1773,-313,1733,4029,-3089,1188
-1501,173,1554,3806,-2684,992
-1506,772,1357,3392,-2187,728
-1785,1485,1168,2726,-1758,479
-2144,2043,746,1889,-1520,225
-2317,2556,873,688,-1618,29
-2451,2734,-17,-863,-1740,-125
-1016,2445,1854,-2806,-1098,-131
-2170,2353,-721,-4581,-774,-152
-1757,2152,-765,-6155,229,-181
-1776,1754,-894,-7436,820,-261
-2146,1287,-1169,-8676,993,-238
-2298,957,-1475,-9764,1021,-57
-2109,586,-1883,-10785,965,181
-1981,197,-2063,-11701,1090,399
-1901,-158,-1789,-12357,1294,574
-2035,-348,-1286,-12535,1387,694
-1643,-579,48,-12057,1600,712
-2169,-519,-1478,-11283,921,711
-1257,-252,-610,-9966,1170,270
-789,-429,-477,-8479,1090,-329
-850,-818,-258,-7180,980,-886
-1226,-754,-291,-6021,1014,-1260
-1540,-400,-226,-5051,683,-1445
-1726,-5,-199,-4129,135,-1467
