AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1913,-609,74,25,6,-54
-1941,-614,93,19,14,-60
-1960,-617,119,20,13,-50
-1977,-619,133,30,15,-25
-1987,-612,140,43,14,7
-1985,-605,131,50,4,37
-1977,-601,116,50,13,57
-1959,-601,102,41,18,62
-1937,-592,100,29,-1,45
-1933,-588,103,13,-32,20
-1937,-594,98,-2,-65,-4
-1930,-606,105,-17,-71,-19
-1922,-612,108,-25,-47,-21
-1917,-612,111,-27,-10,-14
-1926,-627,115,-25,32,0
-1940,-639,119,-17,71,20
-1948,-637,135,0,96,40
-1964,-629,137,23,91,53
-1973,-621,126,44,45,57
-1974,-620,111,59,4,55
-1967,-603,96,62,-28,48
-1954,-575,91,58,-54,33
-1958,-578,89,44,-59,22
-1981,-592,79,21,-22,22
-1979,-598,92,-5,9,25
-1972,-597,102,-27,7,27
-1958,-611,112,-43,0,23
-1937,-629,103,-51,-1,16
-1911,-640,111,-52,5,3
-1911,-639,124,-40,13,-10
-1933,-645,130,-18,25,-13
-1971,-648,140,8,39,-5
-1995,-630,143,37,29,11
-2005,-611,144,62,-14,25
-2012,-603,124,74,-56,36
-1981,-591,97,66,-84,38
-1928,-580,83,42,-92,26
-1889,-581,74,8,-66,2
-1883,-589,70,-31,-30,-22
-1901,-596,79,-67,7,-35
-1929,-608,100,-90,41,-33
-1961,-621,129,-96,65,-14
-1982,-624,155,-81,66,10
-1988,-627,165,-55,39,34
-1984,-633,157,-30,6,52
-1969,-627,130,-14,-25,63
-1941,-608,118,-11,-57,64
-1928,-600,90,-21,-59,56
-1922,-596,68,-41,-33,50
-1919,-588,59,-65,-11,41
-1928,-585,66,-88,12,33
-1936,-599,84,-99,31,28
-1942,-604,113,-97,27,24
-1946,-628,133,-84,28,21
-1960,-642,149,-63,29,21
-1970,-633,150,-37,7,22
-1980,-624,129,-15,-24,24
-1976,-620,111,-4,-41,28
-1960,-612,80,-3,-46,26
-1932,-600,67,-13,-48,17
-1910,-598,58,-28,-38,2
-1914,-606,64,-41,-7,-10
-1932,-609,78,-50,12,-16
-1962,-604,95,-49,16,-11
-1990,-606,106,-43,14,6
-2003,-608,111,-34,10,28
-1993,-603,120,-23,-2,47
-1966,-600,121,-15,-18,52
-1946,-602,104,-13,-25,45
-1935,-596,74,-21,-36,30
-1927,-590,50,-41,-43,16
-1931,-602,37,-67,-20,6
-1948,-617,39,-92,13,4
-1968,-624,58,-110,32,12
