AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1804,-897,-300,67,-5,-16
-1825,-895,-299,63,-20,-6
-1836,-897,-302,55,-44,9
-1832,-898,-300,42,-54,28
-1814,-897,-294,30,-53,43
-1796,-897,-285,21,-45,51
-1781,-896,-280,15,-32,50
-1778,-895,-282,10,-13,43
-1787,-895,-283,8,6,33
-1789,-905,-282,13,17,18
-1791,-901,-288,25,-3,-4
-1802,-900,-301,36,-28,-22
-1804,-916,-309,41,-48,-29
-1814,-917,-312,43,-45,-25
-1820,-906,-301,42,-24,-9
-1835,-907,-293,41,-20,12
-1843,-908,-285,41,-45,37
-1853,-906,-275,39,-66,61
-1841,-897,-288,33,-98,82
-1818,-900,-287,23,-120,95
-1785,-898,-305,9,-108,94
-1752,-906,-297,-4,-62,78
-1740,-900,-290,-6,-17,49
-1733,-902,-268,1,1,14
-1770,-900,-274,10,28,-10
-1808,-889,-263,19,49,-17
-1854,-884,-272,26,26,-4
-1875,-890,-280,27,-21,24
-1862,-886,-289,20,-55,55
-1845,-887,-295,10,-71,83
-1812,-889,-299,0,-70,99
-1801,-893,-283,-7,-56,103
-1801,-890,-283,-10,-35,94
-1800,-897,-263,-5,-24,81
-1789,-897,-256,6,-22,61
-1784,-893,-253,20,-16,39
-1809,-889,-276,33,-16,24
-1829,-894,-292,34,-9,19
-1833,-907,-301,30,-11,22
-1844,-906,-297,22,-19,30
-1825,-902,-294,15,-23,39
-1818,-905,-275,13,-21,46
-1822,-898,-271,16,-8,55
-1833,-888,-253,24,3,60
-1853,-882,-256,35,-11,62
-1845,-886,-259,43,-44,58
-1832,-889,-267,47,-56,49
-1822,-889,-280,45,-56,36
-1810,-883,-282,37,-46,19
-1809,-879,-272,31,-28,5
-1814,-876,-271,25,-19,-3
-1830,-878,-265,19,5,-3
-1853,-879,-267,15,20,5
-1858,-886,-268,12,12,15
-1850,-892,-277,9,-6,21
-1831,-888,-280,5,-17,19
-1819,-886,-279,2,-25,12
-1806,-889,-264,2,-19,1
-1812,-892,-267,5,-10,-11
-1821,-888,-262,9,-4,-21
