AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-2007,-659,333,-138,-135,-154,0
-1933,-627,298,-97,-88,-94,0
-1872,-629,293,-61,13,-39,0
-1844,-626,303,-28,90,9,0
-1887,-615,353,7,117,61,0
-1908,-575,366,43,84,116,0
-1890,-533,363,72,10,165,0
-1845,-488,366,93,-52,211,0
-1801,-490,366,109,-55,255,0
-1765,-506,362,119,-18,293,0
-1774,-512,345,126,21,333,0
-1784,-511,331,129,72,379,0
-1766,-510,363,143,120,421,0
-1774,-495,405,179,157,458,0
-1777,-473,406,230,196,499,0
-1802,-481,410,287,155,543,0
-1800,-488,483,351,112,595,0
-1840,-493,447,392,166,639,0
-1927,-484,372,385,180,678,0
-1969,-456,306,340,78,710,0
-1984,-444,289,277,-46,735,0
-1946,-430,299,214,-148,749,0
-1904,-405,312,166,-188,752,0
-1888,-404,368,144,-177,751,0
-1886,-427,423,149,-124,759,0
-1875,-435,469,180,-24,776,0
-1923,-438,496,227,58,800,0
-1963,-432,483,274,96,832,0
-2004,-366,443,310,106,862,0
-2061,-330,379,325,86,888,0
-2099,-315,340,324,29,920,0
-2169,-275,336,314,-31,965,0
-2184,-266,329,299,-135,1024,0
-2114,-264,350,275,-160,1080,0
-2141,-227,351,238,-153,1133,0
-2140,-235,236,159,-212,1189,0
-2204,-307,224,42,-274,1252,0
-2235,-363,273,-78,-326,1311,0
-2334,-392,378,-152,-367,1349,1
-2409,-476,450,-160,-308,1349,1
-2545,-697,512,-121,-68,1285,1
-2512,-729,566,-54,271,1143,1
-2680,-794,579,26,548,889,1
-2982,-810,580,86,797,562,1
-3300,-779,605,115,975,169,1
-3524,-721,682,135,972,-320,1
-3759,-540,747,178,805,-904,1
-3956,-410,731,239,440,-1525,1
-3970,-379,581,224,-11,-2119,1
-3770,-355,424,112,-348,-2633,1
-3401,-379,327,-66,-441,-3057,1
-3094,-417,317,-255,-350,-3387,1
-2835,-443,418,-391,-178,-3620,1
-2609,-446,528,-445,5,-3770,1
-2452,-418,598,-425,157,-3843,1
-2341,-339,603,-360,205,-3837,1
-2216,-253,541,-289,216,-3748,1
-2074,-162,448,-246,185,-3601,1
-1841,-67,391,-230,95,-3431,1
-1653,-10,300,-233,12,-3244,1
-1466,45,179,-263,-96,-3038,1
-1267,78,154,-302,-138,-2799,1
-1136,39,170,-316,-45,-2519,1
-1068,25,201,-301,42,-2212,1
-879,27,243,-272,104,-1919,1
-741,50,275,-243,152,-1680,1
-637,116,280,-222,131,-1490,1
-592,226,300,-219,79,-1334,1
-711,268,344,-227,52,-1157,1
-703,244,204,-297,-12,-950,1
-777,215,292,-377,-5,-697,1
-700,165,277,-487,72,-409,1
-623,39,279,-624,128,-140,1
-715,-62,333,-756,154,124,1
-740,-100,379,-869,85,387,1
-764,-209,398,-976,23,634,1
-849,-297,423,-1082,-45,870,1
-882,-342,514,-1165,-131,1078,1
-906,-451,548,-1221,-220,1242,1
-983,-525,516,-1250,-343,1373,1
-1063,-568,497,-1252,-366,1513,1
-1247,-717,417,-1242,-204,1687,1
-1387,-821,300,-1250,-76,1865,1
-1469,-940,205,-1281,34,2005,1
-1662,-1083,108,-1334,111,2097,1
-1857,-1112,94,-1377,134,2147,1
-2083,-1243,32,-1388,200,2155,1
-2346,-1397,-26,-1364,133,2119,1
-2455,-1469,-6,-1271,-4,2030,1
-2474,-1484,-57,-1108,-180,1864,1
-2505,-1500,-144,-916,-347,1646,1
-2506,-1466,-245,-718,-415,1405,1
-2467,-1404,-339,-538,-385,1151,1
-2465,-1390,-469,-401,-261,894,1
-2545,-1325,-556,-302,-126,662,1
-2584,-1266,-582,-224,-27,472,1
-2568,-1218,-554,-130,63,311,1
-2566,-1179,-525,-17,95,173,1
-2570,-1098,-508,120,-11,57,1
-2494,-984,-531,270,-240,-24,1
-2297,-908,-678,396,-346,-78,1
-2132,-841,-820,486,-288,-98,1
-2033,-829,-900,576,-99,-74,1
-1869,-840,-937,680,124,-32,1
-1715,-891,-878,813,302,-12,1
-1640,-950,-766,997,374,1,1
-1560,-998,-645,1236,369,29,1
-1483,-990,-544,1509,368,74,1
-1436,-994,-461,1794,358,150,1
-1463,-976,-389,2069,364,257,1
-1544,-942,-287,2316,237,380,1
-1653,-963,-222,2508,-19,514,1
-1708,-859,-173,2630,-331,654,1
-1784,-754,-140,2698,-556,804,1
-1890,-617,-62,2726,-611,975,1
-1822,-502,74,2733,-414,1116,1
-1756,-404,155,2709,-67,1161,1
-1780,-299,296,2639,272,1099,1
-1834,-200,420,2519,530,944,1
-1946,-69,516,2337,607,720,1
-2179,-8,605,2103,564,498,1
-2428,167,699,1840,429,343,1
-2573,248,804,1575,306,261,1
-2675,278,879,1319,170,239,1
-2655,307,941,1070,43,236,1
-2516,286,910,821,-34,204,1
-2313,245,878,570,-60,112,1
-2059,216,820,324,29,-39,1
-1886,186,759,85,216,-229,1
-1859,143,818,-128,418,-412,0
-2077,172,845,-310,516,-578,0
-1940,175,725,-475,300,-689,0
-1975,43,707,-602,33,-742,0
-2004,-102,666,-685,-100,-734,0
-2008,-213,601,-738,-162,-676,0
-1979,-306,554,-778,-201,-581,0
-1930,-348,511,-811,-271,-465,0
-2073,-275,193,-835,-741,-343,0
-1842,-353,582,-839,-931,-200,0
-1585,-489,668,-800,-524,-84,0
-1601,-547,469,-767,-30,3,0
-1717,-535,278,-761,172,89,0
-1806,-544,212,-764,170,186,0
-1832,-546,204,-767,170,277,0
-1865,-542,167,-766,250,358,0
-1878,-561,108,-773,309,412,0
-1877,-577,81,-780,256,428,0
-1855,-557,69,-782,118,414,0
-1804,-544,73,-771,-17,378,0
-1771,-564,169,-728,-103,323,0
-1772,-573,244,-646,-167,265,0
-1804,-606,260,-542,-201,218,0
-1865,-596,207,-439,-229,187,0
-1940,-537,164,-342,-200,188,0
-1997,-530,108,-259,-90,217,0
-2095,-576,50,-201,19,263,0
-2158,-605,43,-163,63,314,0
-2209,-605,86,-133,42,358,0
-2242,-563,117,-104,-59,384,0
-2263,-533,137,-74,-151,400,0
-2265,-531,165,-38,-229,401,0
-2256,-540,148,-3,-263,392,0
-2231,-565,133,20,-233,367,0
-2182,-556,97,27,-189,316,0
-2132,-531,37,19,-128,240,0
-2056,-510,-7,-1,-78,146,0
-2028,-497,36,-19,-14,54,0
-2064,-509,93,-20,77,-13,0
-2128,-515,137,-4,115,-37,0
-2144,-476,172,25,68,-29,0
-2134,-430,202,65,13,8,0
-2121,-412,183,115,-25,68,0
-2128,-443,112,146,-39,147,0
-2098,-478,82,150,-90,232,0
-2070,-456,111,134,-148,305,0
-2000,-382,71,110,-155,359,0
-1960,-328,71,73,-180,385,0
-1909,-321,91,39,-276,390,0
-1870,-335,102,1,-333,386,0
-1820,-360,100,-35,-281,384,0
-1789,-372,122,-62,-126,387,0
-1795,-383,160,-75,62,390,0
-1875,-396,235,-70,212,389,0
-1936,-371,243,-50,292,386,0
-2013,-331,270,-17,260,378,0
-2088,-321,263,26,171,380,0
-2145,-337,262,65,76,394,0
-2201,-349,245,97,-40,419,0
-2166,-330,183,113,-161,433,0
-2077,-285,157,106,-209,428,0
