AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-1913,-703,-88,12,-85,-39,0
-1923,-696,-86,21,-47,-32,0
-1942,-695,-66,37,-5,-10,0
-1945,-690,-70,54,24,13,0
-1946,-685,-84,62,21,29,0
-1933,-669,-91,62,-13,32,0
-1907,-664,-95,56,-43,25,0
-1913,-660,-104,42,-52,15,0
-1912,-639,-103,26,-66,6,0
-1900,-624,-94,8,-61,0,0
-1925,-637,-88,-11,-32,0,0
-1938,-650,-84,-28,-28,9,0
-1922,-650,-61,-38,-6,19,0
-1928,-673,-53,-38,29,34,0
-1927,-681,-39,-32,40,47,0
-1920,-671,-46,-23,40,58,0
-1921,-677,-69,-19,44,64,0
-1927,-671,-77,-20,25,68,0
-1926,-670,-73,-20,14,70,0
-1931,-673,-79,-17,-8,66,0
-1925,-659,-73,-18,-42,59,0
-1928,-654,-77,-20,-53,53,0
-1945,-666,-92,-32,-44,60,0
-1955,-674,-92,-53,-30,73,0
-1956,-675,-82,-74,-2,89,0
-1966,-689,-67,-90,15,100,0
-1952,-688,-48,-96,15,103,0
-1931,-678,-47,-95,19,89,0
-1930,-666,-52,-88,7,63,0
-1930,-668,-65,-85,-5,32,0
-1965,-670,-83,-90,-15,7,0
-1980,-660,-86,-101,-41,-5,0
-1975,-676,-59,-110,-63,-14,0
-1991,-685,-58,-114,-85,-13,0
-1965,-677,-69,-117,-97,-4,0
-1975,-676,-49,-115,-73,9,0
-1973,-702,-52,-111,-63,27,0
-1963,-714,-13,-102,-33,40,0
-1966,-683,-67,-100,-11,49,0
-1953,-700,-51,-107,-3,46,0
-1949,-695,-80,-116,-11,35,0
-1924,-700,-78,-127,-33,17,0
-1938,-684,-73,-134,-41,-10,0
-1994,-670,-87,-143,-58,-24,0
-1991,-716,-83,-155,-60,-20,0
-2013,-698,-99,-171,-50,-9,0
-1994,-715,-48,-189,-29,1,0
-2017,-694,-122,-217,-25,6,0
-1966,-740,-134,-279,9,5,0
-2048,-774,-204,-369,101,7,0
-2036,-799,-273,-480,155,9,0
-2073,-829,-329,-594,239,-9,0
-2056,-920,-403,-705,315,-52,0
-2164,-947,-386,-781,315,-122,0
-2208,-953,-450,-812,345,-191,0
-2272,-1004,-461,-801,366,-260,0
-2285,-1014,-348,-714,361,-361,1
-2312,-1043,-331,-554,366,-482,1
-2300,-1081,-276,-317,347,-566,1
-2307,-1013,-355,-44,303,-624,1
-2378,-978,-446,228,269,-641,1
-2299,-931,-568,465,171,-636,1
-2166,-842,-691,642,70,-647,1
-2030,-790,-787,755,-23,-672,1
-1923,-734,-781,829,-73,-701,1
-1842,-626,-815,896,-164,-712,1
-1790,-619,-831,955,-193,-686,1
-1742,-575,-773,1032,-262,-618,1
-1608,-569,-680,1147,-320,-531,1
-1497,-554,-560,1301,-317,-432,1
-1427,-504,-491,1493,-330,-311,1
-1299,-476,-460,1688,-304,-196,1
-1220,-395,-439,1849,-290,-92,1
-1184,-280,-388,1973,-269,30,1
-1195,-160,-324,2058,-219,180,1
-1214,-55,-239,2098,-183,351,1
-1213,57,-121,2107,-148,532,1
-1212,163,48,2082,-97,713,1
-1153,249,231,2033,-45,895,1
-1111,325,268,1938,56,1064,1
-1050,396,378,1775,147,1210,1
-1027,453,394,1536,226,1336,1
-1056,540,483,1239,356,1466,1
-1141,565,568,906,537,1620,1
-1219,566,594,554,695,1774,1
-1353,517,564,187,842,1917,1
-1494,444,620,-164,939,2044,1
-1642,312,657,-467,990,2158,1
-1712,186,696,-721,954,2240,1
-1776,83,808,-904,864,2280,1
-1835,5,940,-998,741,2281,1
-1937,-26,1084,-998,540,2253,1
-1911,-38,1099,-945,289,2199,1
-2076,-78,705,-935,221,2160,1
-2191,-177,297,-1066,322,2162,1
-2309,-265,175,-1264,528,2127,1
-2513,-468,172,-1457,621,2035,1
-2629,-571,273,-1587,451,1873,1
-2770,-631,439,-1616,120,1670,1
-2931,-630,588,-1545,-301,1496,1
-2994,-558,652,-1400,-675,1385,1
-3108,-539,539,-1245,-865,1353,1
-3080,-517,347,-1119,-957,1357,1
-2951,-531,70,-1057,-849,1307,1
-2884,-557,-77,-1056,-677,1181,1
-2839,-545,-100,-1064,-530,984,1
-2869,-541,-104,-1063,-407,744,1
-3010,-520,-87,-1050,-317,521,1
-3172,-485,-87,-1025,-263,348,1
-3312,-459,-138,-997,-232,209,1
-3325,-397,-125,-953,-246,57,1
-3358,-344,-144,-888,-221,-114,1
-3462,-305,-269,-831,-141,-276,1
-3455,-267,-356,-791,-81,-437,1
-3473,-286,-460,-759,12,-612,1
-3477,-337,-464,-718,98,-793,1
-3482,-389,-412,-639,138,-986,1
-3545,-413,-363,-525,139,-1170,1
-3562,-445,-349,-397,105,-1321,1
-3513,-454,-357,-259,115,-1449,1
-3418,-478,-413,-126,179,-1581,1
-3321,-428,-464,-11,293,-1724,1
-3285,-364,-544,82,447,-1870,1
-3317,-292,-621,143,576,-2011,1
-3323,-195,-626,191,660,-2154,1
-3325,-174,-643,237,761,-2303,1
-3321,-171,-584,296,842,-2459,1
-3331,-149,-425,397,859,-2618,1
-3321,-71,-268,543,712,-2782,1
-3267,24,-158,703,480,-2929,1
-3172,151,-144,836,224,-3031,1
-2914,293,-174,915,30,-3108,1
-2728,345,-208,927,-57,-3153,1
-2497,397,-197,886,-89,-3170,1
-2216,476,-111,820,-154,-3191,1
-1912,520,-40,745,-216,-3216,1
-1646,557,49,662,-259,-3221,1
-1503,575,129,584,-307,-3177,1
-1326,591,139,486,-411,-3065,1
-1138,572,43,360,-466,-2932,1
-927,441,33,219,-376,-2742,1
-631,389,79,91,-299,-2532,1
-428,263,154,24,-208,-2325,1
-201,154,192,10,-191,-2133,1
-40,66,216,43,-154,-1957,1
33,-6,209,103,-85,-1774,1
-28,-86,180,172,21,-1577,1
86,-76,94,243,33,-1392,1
138,-179,56,289,100,-1234,1
128,-147,-76,306,124,-1101,1
94,-88,-192,265,196,-975,1
-89,-88,-219,181,329,-806,1
-264,-88,-207,73,413,-580,1
-449,-190,-213,-48,497,-297,0
-990,-275,-157,-156,528,28,0
-797,-449,-33,-250,264,326,0
-670,-600,147,-298,106,559,0
-626,-736,126,-307,68,734,0
-566,-824,40,-308,-65,852,0
-585,-632,-118,-288,-111,920,0
-757,-874,69,-275,-329,966,0
-842,-1069,200,-218,-4,1035,0
-928,-939,-2,-179,90,1072,0
-1073,-841,-57,-176,16,1098,0
-1115,-915,-43,-183,-70,1146,0
-1185,-1010,10,-190,-112,1200,0
-1257,-1093,3,-203,-34,1267,0
-1398,-1123,-19,-225,80,1347,0
-1447,-1128,-6,-243,194,1429,0
-1631,-1116,16,-239,324,1512,0
-1663,-1123,43,-217,359,1580,0
-1783,-1076,133,-156,347,1620,0
-1862,-1051,171,-68,260,1640,0
-1959,-1049,239,35,36,1641,0
-2036,-1065,254,141,-194,1634,0
-2148,-1060,94,211,-320,1637,0
-2194,-1111,-38,207,-395,1644,0
-2208,-1099,-158,146,-384,1638,0
-2152,-1060,-265,43,-212,1602,0
-2132,-1004,-308,-79,-25,1525,0
-2116,-989,-238,-186,104,1410,0
-2115,-1030,-25,-226,148,1269,0
-2224,-1071,253,-173,168,1127,0
-2375,-1093,408,-34,124,1022,0
-2504,-1091,314,123,10,955,0
-2522,-1051,121,234,-90,918,0
-2419,-998,-44,281,-79,881,0
-2277,-936,-124,273,71,814,0
-2183,-874,-184,229,261,714,0
-2205,-785,-190,168,399,600,0
-2334,-722,-134,117,408,512,0
-2448,-698,-82,90,299,469,0
-2572,-726,-116,76,175,476,0
-2656,-796,-153,54,15,523,0
-2615,-844,-125,40,-153,575,0
-2493,-841,-102,41,-320,594,0
-2385,-804,-76,64,-469,576,0
-2238,-771,-113,90,-574,526,0
-2083,-768,-90,121,-575,450,0
-2030,-770,-27,162,-440,370,0
-2077,-735,1,213,-325,307,0
-2095,-705,-2,268,-279,268,0
-2102,-721,-2,308,-196,247,0
-2136,-733,-71,321,-88,243,0
-2180,-714,-121,297,-14,245,0
-2155,-670,-140,253,8,233,0
-2143,-619,-146,200,-2,195,0
-2128,-593,-156,141,-36,141,0
-2099,-582,-115,86,-66,89,0
-2145,-574,-72,50,-39,54,0
-2192,-556,-61,30,-69,46,0
-2159,-563,-32,27,-88,57,0
-2145,-577,-12,40,-36,75,0
-2144,-593,-56,55,16,96,0
-2129,-599,-45,73,27,106,0
-2114,-602,-2,102,44,102,0
-2139,-594,13,135,10,84,0
-2156,-564,32,169,-80,68,0
-2133,-545,50,200,-152,58,0
-2111,-524,30,222,-194,53,0
-2059,-505,4,221,-188,49,0
-2019,-479,-21,197,-156,36,0
-1998,-479,-69,146,-77,24,0
-2008,-491,-88,74,3,16,0
-1994,-479,-64,-1,56,11,0
-1976,-481,-20,-60,108,2,0
-2039,-495,31,-89,149,2,0
-2075,-505,56,-96,135,14,0
-2047,-508,90,-83,104,21,0
-2066,-501,115,-49,68,20,0
-2055,-495,89,-6,-10,15,0
-2017,-511,51,26,-50,4,0
-1982,-499,-5,36,-48,-15,0
-1941,-484,-40,28,-29,-40,0
-1958,-481,-43,14,37,-61,0
-2007,-490,-29,0,61,-65,0
-2006,-480,6,-8,59,-61,0
-2020,-475,43,-2,40,-52,0
-2017,-477,61,14,12,-37,0
-1972,-487,75,32,0,-28,0
-1959,-484,90,53,-15,-28,0
-1954,-459,68,74,-26,-29,0
-1974,-465,28,82,-37,-25,0
-1960,-477,3,74,-40,-17,0
-1954,-471,3,58,-18,-9,0
-1965,-474,-21,34,6,-4,0
-1985,-478,-10,7,-20,-3,0
-1975,-475,-4,-16,-44,-3,0
-1962,-473,20,-29,-42,-5,0
-1961,-487,28,-31,-22,-4,0
-1951,-492,45,-26,1,-3,0
-1957,-480,52,-16,24,0,0
-1986,-484,47,-2,36,8,0
-1989,-491,27,4,26,20,0
-1991,-483,7,-1,22,30,0
-1988,-478,-13,-13,3,33,0
-1984,-473,-27,-27,-25,30,0
-1961,-490,-35,-42,-40,21,0
-1935,-495,-7,-51,-31,8,0
-1957,-503,30,-42,-20,2,0
-1970,-489,32,-21,-19,7,0
-1967,-482,30,0,-22,20,0
-1973,-506,37,17,-1,35,0
-2002,-510,14,23,0,53,0
-1992,-484,-26,13,-19,70,0
-1991,-482,-39,-10,-18,80,0
-1988,-491,-53,-44,-27,82,0
-1966,-496,-46,-78,-40,74,0
-1957,-531,8,-99,-20,57,0
-1971,-526,-11,-110,-1,47,0
-1988,-545,33,-110,43,55,0
-2015,-533,46,-95,111,78,0
-2072,-520,50,-74,128,115,0
-2051,-515,32,-60,92,152,0
-2053,-489,7,-65,47,172,0
-2021,-492,-46,-96,2,173,0
-1991,-467,-78,-149,-12,151,0
-1979,-491,-64,-215,-29,109,0
-1960,-454,-92,-287,3,74,0
-1972,-462,-91,-369,67,46,0
-2038,-463,-85,-453,207,53,0
-2120,-510,-43,-537,333,94,0
-2187,-565,9,-597,379,145,0
-2147,-617,75,-619,320,163,1
-1935,-725,152,-584,244,116,1
-2051,-720,54,-506,166,43,1
-2058,-728,-34,-418,126,-47,1
-2159,-766,-204,-348,220,-124,1
-2185,-799,-339,-309,297,-194,1
-2247,-803,-467,-271,416,-258,1
-2314,-812,-524,-223,466,-329,1
-2362,-800,-525,-136,425,-408,1
-2387,-788,-473,-5,325,-492,1
-2396,-784,-469,163,174,-575,1
-2354,-750,-411,370,-26,-645,1
-2256,-728,-461,588,-216,-694,1
-2136,-656,-527,795,-335,-725,1
-2000,-591,-579,972,-389,-739,1
-1942,-538,-603,1121,-385,-728,1
-1901,-500,-573,1246,-393,-690,1
-1812,-453,-567,1341,-416,-632,1
-1677,-407,-575,1398,-444,-560,1
-1592,-333,-530,1424,-411,-476,1
-1511,-294,-465,1437,-345,-375,1
-1414,-237,-398,1436,-294,-262,1
-1360,-201,-297,1433,-243,-144,1
-1318,-123,-197,1435,-173,-15,1
-1276,-76,-103,1432,-138,125,1
-1225,-29,-11,1419,-78,271,1
-1187,66,63,1387,5,429,1
-1164,109,128,1329,125,595,1
-1156,158,210,1236,263,764,1
-1183,227,331,1130,399,944,1
-1259,255,399,1011,485,1131,1
-1332,293,463,870,510,1313,1
-1469,344,531,701,450,1484,1
-1553,358,523,506,293,1646,1
-1547,350,518,278,126,1789,1
-1513,313,573,50,76,1915,1
-1441,242,746,-122,92,1997,1
-1415,198,907,-221,94,2019,1
-1450,152,1001,-269,158,2011,1
-1552,178,1030,-302,215,1993,1
-1708,182,930,-377,354,1982,1
-2004,144,745,-530,457,1996,1
-2175,116,607,-753,484,2014,1
-2437,27,587,-997,441,2016,1
-2578,-98,682,-1202,252,1984,1
-2729,-205,802,-1319,-77,1908,1
-2869,-308,772,-1364,-426,1815,1
-2865,-369,621,-1388,-669,1714,1
-2781,-386,481,-1408,-686,1582,1
-2836,-489,342,-1418,-498,1411,1
-2909,-520,350,-1384,-330,1188,1
-3091,-564,345,-1280,-176,916,1
-3399,-603,206,-1138,-132,650,1
-3633,-573,102,-981,-154,414,1
-3752,-597,30,-816,-197,172,1
-3855,-621,-45,-659,-341,-96,1
-3867,-619,-76,-507,-515,-381,1
-3876,-583,-118,-375,-588,-658,1
-3920,-574,-200,-287,-521,-905,1
-3967,-543,-243,-255,-365,-1125,1
-3963,-510,-307,-271,-176,-1343,1
-3897,-499,-402,-335,80,-1582,1
-3871,-457,-374,-413,378,-1853,1
-3967,-345,-267,-450,562,-2135,1
-4124,-272,-210,-439,549,-2379,1
-4109,-173,-166,-384,434,-2559,1
-3967,-93,-231,-301,327,-2708,1
-3735,-78,-251,-195,254,-2859,1
-3438,-41,-240,-64,176,-3034,1
-3161,-43,-252,75,135,-3215,1
-2924,-29,-250,208,137,-3365,1
-2710,-7,-237,332,163,-3459,1
-2565,27,-220,437,174,-3499,1
-2357,145,-175,518,100,-3499,1
-2175,202,-145,567,31,-3477,1
-1985,272,-109,575,-57,-3427,1
-1822,322,-32,561,-110,-3344,1
-1679,335,-7,531,-151,-3219,1
-1532,359,17,484,-194,-3076,1
-1496,371,70,423,-280,-2901,1
-1349,385,107,354,-388,-2707,1
-1134,363,48,259,-432,-2538,1
-909,288,51,147,-426,-2411,1
-627,269,59,44,-409,-2341,1
-521,167,7,-46,-320,-2279,1
-434,68,32,-108,-252,-2182,1
-348,-25,120,-123,-201,-2053,1
-282,-80,122,-101,-207,-1895,1
-204,-144,141,-65,-255,-1708,1
-94,-172,125,-30,-295,-1507,1
15,-216,90,-10,-266,-1298,1
92,-231,102,0,-191,-1089,1
194,-241,110,10,-55,-884,1
183,-258,152,9,125,-686,1
124,-259,141,-11,284,-500,1
-54,-331,155,-51,377,-326,1
-253,-400,177,-82,383,-146,1
-321,-441,175,-93,297,16,1
-370,-521,102,-103,212,161,0
-783,-569,67,-122,285,320,0
-593,-663,44,-160,277,492,0
-588,-818,163,-197,330,661,0
-634,-701,-39,-225,311,833,0
-855,-803,48,-262,-88,1009,0
-944,-1263,477,-189,30,1199,0
-1163,-1347,-27,-173,28,1389,0
-1053,-1153,-178,-245,-20,1530,0
-1090,-1015,-54,-319,76,1596,0
-1139,-1048,-74,-373,241,1632,0
-1292,-1237,131,-391,327,1665,0
-1449,-1395,423,-317,351,1716,0
-1628,-1422,547,-159,308,1795,0
-1721,-1334,598,34,202,1884,0
-1811,-1228,553,226,151,1965,0
-1908,-1159,309,349,235,2037,0
-1968,-1160,57,356,317,2077,0
-1982,-1178,-80,267,511,2062,0
-2066,-1186,-166,119,729,1992,0
-2315,-1153,-121,-39,768,1886,0
-2388,-1095,-69,-162,585,1765,0
-2396,-1012,25,-225,209,1620,0
-2438,-1010,110,-214,-134,1480,0
-2406,-1023,163,-158,-232,1358,0
-2296,-985,137,-81,-195,1232,0
-2256,-920,101,-6,-84,1094,0
-2243,-865,44,54,-14,959,0
-2226,-863,33,98,42,837,0
-2241,-844,69,133,48,737,0
-2292,-828,121,162,10,671,0
-2330,-841,78,171,-50,644,0
-2349,-819,-9,140,-130,647,0
-2346,-785,-144,62,-131,673,0
-2292,-772,-186,-42,-108,699,0
-2233,-750,-173,-138,-78,707,0
-2161,-723,-85,-194,-69,693,0
-2076,-701,16,-194,-86,655,0
-2076,-679,49,-139,-119,613,0
-2118,-707,-6,-70,-137,596,0
-2165,-800,-55,-7,-71,612,0
-2183,-857,-113,31,6,641,0
-2162,-840,-132,56,34,650,0
-2159,-808,-91,83,-1,626,0
-2176,-786,-52,116,-76,584,0
