AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-1945,-315,609,27,72,21,0
-1942,-310,603,31,70,24,0
-1931,-298,588,31,68,24,0
-1929,-309,600,29,91,22,0
-1937,-319,600,31,100,19,0
-1936,-312,600,33,101,16,0
-1936,-309,594,35,100,12,0
-1937,-307,588,35,98,8,0
-1943,-306,579,33,101,5,0
-1942,-303,573,29,101,5,0
-1941,-301,570,24,109,4,0
-1944,-304,563,19,112,1,0
-1938,-300,555,15,117,-3,0
-1940,-297,569,18,128,-5,0
-1961,-297,567,22,125,-8,0
-1954,-300,554,28,122,-6,0
-1949,-305,553,31,134,-2,0
-1963,-306,553,35,143,7,0
-1969,-312,546,36,139,17,0
-1966,-310,541,34,139,28,0
-1958,-315,535,31,149,33,0
-1950,-307,532,30,146,29,0
-1937,-303,535,30,143,15,0
-1938,-313,527,30,147,1,0
-1945,-309,519,28,152,-11,0
-1948,-302,519,29,170,-18,0
-1963,-305,527,31,181,-20,0
-1967,-308,520,34,177,-15,0
-1968,-309,509,36,174,-9,0
-1962,-305,501,38,189,-2,0
-1975,-311,504,42,203,5,0
-1980,-320,511,46,202,15,0
-1973,-318,512,53,196,21,0
-1973,-307,483,59,187,22,0
-1965,-312,490,60,179,19,0
-1962,-315,491,64,179,13,0
-1972,-306,464,64,175,10,0
-1969,-308,476,62,163,9,0
-1975,-307,475,62,155,8,0
-1984,-300,451,60,139,7,0
-1976,-300,461,54,123,8,0
-1973,-298,454,50,115,4,0
-1983,-292,437,42,105,2,0
-1974,-303,452,33,94,-2,0
-1971,-295,437,26,106,-5,0
-1975,-310,469,28,127,0,0
-1980,-319,484,38,138,5,0
-1967,-309,488,57,149,12,0
-1967,-318,501,78,182,19,0
-1984,-338,505,101,203,29,0
-1981,-330,515,127,194,30,0
-1979,-296,473,149,172,26,0
-1933,-295,435,154,167,13,0
-1943,-312,431,149,199,-5,0
-1979,-292,381,134,221,-18,0
-1976,-282,379,109,206,-27,0
-1979,-290,371,87,217,-30,0
-2000,-291,360,65,223,-26,0
-1998,-306,382,51,220,-18,0
-2010,-307,389,46,230,-6,0
-2004,-309,400,48,225,8,0
-2018,-317,410,56,210,17,0
-1998,-320,422,72,205,25,0
-1966,-326,424,91,204,23,0
-1995,-317,413,112,176,14,0
-1992,-312,408,132,146,6,0
-1987,-300,383,146,125,-8,0
-1987,-289,350,149,108,-22,0
-1980,-291,327,136,87,-39,0
-1977,-280,296,112,83,-58,0
-1977,-277,283,79,94,-71,0
-1995,-287,275,47,124,-73,0
-2004,-293,316,25,142,-60,0
-2009,-301,352,20,164,-38,0
-2004,-323,392,29,169,-15,0
-2032,-324,400,52,171,4,0
-2013,-316,407,82,177,25,0
-2047,-327,353,107,197,39,0
-2080,-344,361,124,104,58,0
-1998,-320,318,149,112,67,0
-1974,-314,328,162,61,64,0
-1963,-306,314,170,53,54,0
-1976,-304,310,168,85,41,0
-2000,-285,288,150,76,28,0
-1998,-263,266,122,110,12,0
-1997,-275,264,88,129,-2,0
-2002,-291,263,59,125,-11,0
-1989,-295,302,42,127,-12,0
-1972,-293,312,40,130,-14,0
-1982,-294,338,47,146,-18,0
-2002,-303,348,66,161,-16,0
-2021,-297,358,93,134,-11,0
-2010,-293,363,122,111,-5,0
-1983,-293,352,148,99,-7,0
-1976,-295,332,162,103,-17,0
-1982,-292,317,166,99,-33,0
-2006,-282,285,164,78,-47,0
-2008,-277,282,157,46,-58,0
-1986,-279,279,153,23,-70,0
-2001,-276,282,147,23,-78,0
-2028,-283,290,142,24,-68,0
-2039,-299,298,136,24,-46,0
-2041,-275,293,130,21,-18,0
-2016,-270,288,123,26,6,0
-2003,-283,271,114,50,19,0
-1951,-276,277,103,79,14,0
-1936,-277,283,94,107,-8,0
-1962,-291,272,79,152,-36,0
-1995,-292,293,63,128,-65,0
-1986,-274,309,60,104,-91,0
-1975,-290,293,60,94,-116,0
-1962,-275,238,51,85,-138,0
-1988,-252,223,29,91,-158,0
-1982,-302,178,-10,141,-175,0
-2040,-302,148,-69,132,-177,0
-2053,-298,174,-126,143,-155,0
-2068,-319,195,-167,152,-118,0
-2050,-343,231,-188,171,-71,0
-2053,-360,286,-184,189,-23,0
-1998,-347,270,-160,175,16,0
-1988,-328,300,-124,206,40,0
-2026,-361,268,-83,228,58,0
-2027,-348,236,-60,205,65,0
-2023,-339,234,-46,152,53,0
-2007,-330,183,-43,101,28,0
-2005,-292,158,-54,55,3,0
-2028,-305,128,-76,46,-9,0
-2046,-329,126,-107,21,-2,0
-2034,-299,157,-133,21,11,1
-1908,-371,217,-145,45,17,1
-2024,-322,156,-132,36,55,1
-1958,-341,215,-113,21,69,1
-1997,-347,244,-80,64,70,1
-1965,-357,228,-45,35,56,1
-1966,-341,214,-13,50,28,1
-2003,-337,185,4,38,5,1
-2018,-321,163,5,20,-7,1
-2033,-313,166,0,-25,-16,1
-2034,-338,170,-6,-63,-22,1
-2015,-341,187,-6,-91,-26,1
-2015,-337,198,2,-87,-27,1
-2012,-337,206,12,-95,-24,1
-1994,-341,233,29,-77,-24,1
-1994,-348,263,57,-67,-28,1
-2008,-343,271,90,-77,-32,1
-2023,-313,238,113,-94,-32,1
-2032,-331,211,116,-116,-25,1
-2029,-318,178,97,-120,-14,1
-2014,-300,182,65,-130,-9,1
-2000,-332,201,36,-144,-13,1
-2004,-343,224,14,-167,-23,1
-1997,-337,236,0,-178,-30,1
-1992,-338,251,-3,-175,-33,1
-2007,-357,266,0,-153,-28,1
-2013,-351,275,10,-134,-15,1
-2013,-351,277,20,-123,0,1
-2007,-342,271,27,-125,9,1
-2006,-351,260,25,-130,13,1
-2011,-342,241,15,-145,18,1
-1989,-332,240,0,-158,13,1
-2004,-311,241,-16,-172,5,1
-2007,-339,235,-40,-180,-2,1
-2006,-329,241,-68,-193,-5,1
-1987,-333,268,-89,-194,-8,1
-1974,-337,294,-92,-189,-17,1
-1969,-346,312,-86,-181,-28,1
-1975,-349,328,-70,-173,-37,1
-1992,-358,341,-46,-155,-41,1
-2000,-365,343,-19,-139,-35,1
-1997,-361,323,0,-137,-29,1
-1985,-347,312,8,-123,-23,1
-1986,-349,289,6,-113,-20,1
-1992,-348,292,-8,-99,-22,1
-1986,-329,267,-28,-106,-25,1
-2013,-349,295,-51,-106,-28,1
-1978,-352,275,-75,-120,-29,1
-1999,-351,313,-89,-102,-33,1
-1973,-363,309,-96,-113,-34,1
-1997,-366,345,-90,-92,-36,1
-1980,-374,333,-80,-108,-36,1
-1989,-357,333,-67,-113,-39,1
-1988,-364,336,-58,-94,-43,1
-2015,-364,358,-40,-108,-38,1
-1969,-361,369,-19,-116,-39,1
-2007,-338,334,-1,-129,-39,1
-1983,-348,338,4,-131,-36,1
-2004,-331,292,-4,-153,-35,1
-1979,-342,306,-28,-151,-36,1
-1992,-330,281,-56,-162,-39,1
-1996,-351,326,-81,-168,-45,1
-1972,-357,312,-99,-190,-51,1
-1959,-360,359,-104,-164,-63,1
-1983,-374,352,-98,-152,-68,1
-1969,-379,400,-80,-111,-67,1
-1976,-375,343,-65,-114,-59,1
-1986,-376,358,-62,-88,-50,1
-2000,-360,325,-65,-94,-42,1
-1981,-370,295,-82,-116,-35,1
-2007,-364,311,-105,-116,-29,1
-1983,-365,292,-130,-116,-25,1
-2003,-391,294,-152,-107,-22,1
-1979,-389,329,-168,-97,-21,1
-1991,-404,341,-169,-100,-21,1
-1975,-410,359,-161,-85,-24,1
-1996,-416,367,-137,-84,-25,1
-1973,-418,398,-100,-94,-26,1
-1975,-411,379,-63,-104,-31,1
-1980,-410,345,-41,-127,-33,1
-1985,-400,339,-35,-129,-33,1
-2028,-401,331,-40,-152,-22,1
-2010,-393,340,-50,-185,-6,1
-1998,-412,333,-62,-199,7,1
-1993,-426,350,-71,-196,18,1
-1976,-422,395,-65,-192,27,1
-1969,-430,413,-50,-184,30,1
-1959,-437,436,-27,-182,33,1
-1951,-426,446,0,-160,31,1
-1956,-418,455,24,-170,26,1
-1977,-415,402,30,-173,26,1
-1981,-404,406,19,-166,34,1
-1966,-390,410,5,-157,42,1
-1966,-397,423,-14,-146,50,1
-1966,-388,439,-26,-149,55,1
-1968,-396,441,-30,-153,57,1
-1956,-389,432,-32,-152,54,1
-1958,-377,427,-34,-144,51,1
-1980,-374,425,-41,-139,59,1
-1977,-370,416,-54,-135,74,1
-1976,-403,391,-77,-118,87,1
-1956,-385,408,-104,-117,95,1
-1944,-394,427,-119,-89,95,1
-1953,-400,448,-124,-81,94,1
-1960,-402,476,-117,-63,93,1
-1957,-400,480,-102,-62,90,1
-1956,-403,492,-83,-70,83,1
-1957,-405,505,-59,-100,72,1
-1959,-402,534,-23,-159,48,1
-1943,-396,468,8,-227,11,1
-1911,-383,416,22,-210,-21,1
-1971,-309,395,18,-142,-34,1
-2012,-263,408,-2,-155,-11,1
-2011,-297,369,-48,-162,21,1
-1968,-336,385,-112,-174,45,1
-1958,-409,421,-171,-172,64,1
-1968,-376,395,-233,-108,100,1
-1975,-377,473,-277,-14,143,1
-1978,-428,571,-284,51,177,1
-1919,-433,560,-230,65,175,1
-1865,-483,734,-146,28,125,1
-1835,-480,737,-21,-7,46,1
-1833,-451,590,80,-59,-52,1
-1847,-409,518,131,-66,-159,1
-1890,-376,444,145,-29,-240,1
-1898,-362,420,119,24,-285,1
-1921,-377,421,79,67,-284,0
-2157,-290,400,36,68,-239,0
-2106,-326,461,-6,-4,-196,0
-2145,-379,470,-25,-34,-117,0
-2038,-380,553,-29,45,-17,0
-2182,-311,389,-29,-218,48,0
-2121,-694,602,2,-135,141,0
-1975,-542,533,37,41,222,0
-1935,-393,579,75,2,251,0
-1962,-429,579,125,7,251,0
-1933,-421,477,155,-64,225,0
-1896,-378,460,164,-88,185,0
-1912,-360,464,167,-38,146,0
-1934,-369,493,175,-30,119,0
-1907,-387,551,190,-37,97,0
-1915,-383,568,212,-20,73,0
-1958,-365,529,226,-17,58,0
-1971,-352,484,224,-32,53,0
-1959,-355,456,208,-40,47,0
-1966,-344,436,184,-33,40,0
-1965,-346,433,150,-15,36,0
-1959,-352,433,117,-11,34,0
-1941,-342,443,88,-7,33,0
-1954,-341,462,68,33,41,0
-1971,-351,473,54,60,55,0
-1971,-351,497,48,76,73,0
-1963,-346,499,50,92,85,0
-1957,-340,485,53,106,91,0
-1939,-347,490,56,116,89,0
-1934,-343,486,62,135,77,0
-1923,-338,476,68,155,60,0
-1919,-324,485,74,188,42,0
-1954,-344,497,86,221,28,0
-1982,-350,481,98,217,23,0
-1970,-347,459,109,202,20,0
-1934,-356,452,117,182,10,0
-1942,-346,457,121,179,-14,0
-1987,-327,424,121,184,-39,0
-1996,-316,379,115,136,-59,0
-1990,-327,362,103,100,-65,0
-1979,-349,360,90,94,-59,0
-1989,-352,373,80,98,-41,0
-2012,-357,415,75,92,-13,0
-2025,-362,437,79,70,15,0
-2027,-362,418,82,49,43,0
-2024,-359,408,78,35,65,0
-1967,-362,440,76,32,73,0
-1936,-356,432,81,50,64,0
-1972,-347,432,83,61,48,0
-1943,-339,420,86,51,33,0
-1919,-337,466,97,71,9,0
-1971,-331,477,119,92,-13,0
-1989,-317,440,135,69,-25,0
-1958,-323,443,147,51,-35,0
-1963,-322,437,159,55,-38,0
-1972,-320,433,164,52,-35,0
-1971,-318,432,165,58,-29,0
-2005,-323,429,159,69,-18,0
-1990,-332,405,146,67,-1,0
-1979,-332,419,131,90,10,0
-1994,-337,415,117,113,20,0
-1953,-350,422,103,119,24,0
-1951,-352,426,93,142,18,0
-1953,-351,433,89,151,6,0
-1961,-348,408,90,157,-8,0
-1960,-349,409,91,151,-22,0
-1962,-352,388,96,158,-35,0
-1965,-348,391,99,158,-46,0
-1974,-341,389,101,164,-52,0
-1996,-344,383,104,166,-53,0
-2001,-348,374,101,158,-47,0
-1993,-340,361,94,149,-38,0
-1989,-329,357,91,150,-28,0
-1995,-331,359,85,160,-15,0
-1995,-336,354,78,167,-5,0
-1988,-339,361,73,158,-2,0
-1973,-334,359,69,154,-9,0
-1971,-335,354,64,157,-25,0
-1977,-334,344,62,149,-46,0
-1967,-341,337,60,136,-68,0
