AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-1865,-713,593,23,-28,-10,0
-1869,-701,606,27,-52,-5,0
-1874,-709,606,30,-64,1,0
-1851,-707,614,31,-49,8,0
-1856,-710,615,32,-43,11,0
-1887,-750,615,30,-72,14,0
-1904,-765,606,23,-105,20,0
-1922,-768,646,21,-66,26,0
-2075,-780,681,31,-27,46,0
-2072,-776,725,53,-112,65,0
-2036,-773,747,86,-190,53,0
-2010,-796,733,116,-281,19,0
-2052,-843,737,146,-328,-13,0
-2057,-907,735,179,-348,-25,0
-2044,-944,749,224,-371,-38,0
-2051,-943,771,281,-352,-51,0
-2029,-951,803,350,-360,-70,0
-2028,-940,831,433,-378,-99,0
-2003,-914,798,510,-437,-140,0
-1955,-926,799,569,-486,-196,0
-1898,-941,753,602,-482,-261,0
-1867,-946,710,613,-450,-331,0
-1860,-963,730,613,-329,-398,0
-1890,-971,743,623,-217,-454,0
-1935,-962,785,643,-172,-502,0
-1964,-975,823,676,-154,-542,0
-1995,-985,826,711,-188,-580,0
-1955,-956,786,734,-236,-612,0
-1953,-941,789,741,-218,-635,0
-1953,-911,752,733,-217,-646,0
-1916,-883,728,701,-221,-657,0
-1874,-875,760,664,-243,-680,0
-1834,-834,779,631,-295,-716,0
-1803,-833,781,600,-345,-758,0
-1767,-868,830,565,-394,-799,0
-1747,-883,836,526,-413,-834,0
-1715,-882,796,463,-410,-857,0
-1627,-863,767,385,-332,-875,0
-1537,-840,773,301,-153,-888,0
-1560,-883,839,233,112,-879,0
-1635,-906,855,186,351,-846,0
-1739,-858,904,163,415,-803,0
-1785,-829,954,169,334,-767,0
-1800,-827,963,192,162,-742,0
-1733,-826,965,220,1,-728,0
-1671,-826,931,251,-99,-724,0
-1619,-819,899,275,-173,-724,0
-1568,-815,831,284,-165,-719,0
-1506,-820,748,271,-88,-713,0
-1434,-826,728,251,17,-712,0
-1332,-868,744,250,228,-716,0
-1263,-877,807,292,473,-732,0
-1309,-892,900,400,752,-744,0
-1417,-897,911,564,866,-741,0
-1566,-861,954,747,790,-727,0
-1718,-846,877,920,560,-687,0
-1833,-849,789,1038,242,-605,0
-1803,-842,723,1107,-61,-491,0
-1678,-858,709,1143,-240,-365,0
-1567,-868,708,1167,-272,-235,0
-1391,-872,764,1201,-194,-130,0
-1327,-838,774,1256,-54,-55,0
-1293,-826,783,1309,66,-5,0
-1291,-823,850,1371,149,29,0
-1321,-810,825,1419,265,65,0
-1402,-792,837,1455,335,109,0
-1520,-744,855,1480,263,157,0
-1584,-699,816,1479,86,209,0
-1585,-662,771,1442,-49,261,0
-1607,-619,739,1381,-158,315,0
-1531,-624,764,1305,-176,369,0
-1516,-618,841,1229,-91,413,0
-1539,-554,830,1146,-69,435,0
-1481,-544,832,1040,-76,425,0
-1409,-554,826,912,-29,382,0
-1346,-582,796,771,28,313,0
-1294,-589,797,629,169,231,0
-1275,-610,853,507,328,131,0
-1349,-615,875,412,475,38,0
-1499,-618,910,341,526,-24,0
-1621,-582,909,283,470,-46,0
-1724,-631,933,232,344,-28,0
-1767,-675,948,181,227,29,0
-1805,-672,951,137,189,118,0
-1797,-705,1004,111,174,213,0
-1742,-728,1075,119,135,273,0
-1717,-750,1143,169,30,292,0
-1617,-735,1120,234,-52,282,0
-1488,-797,1130,303,-20,249,0
-1530,-749,1079,358,100,216,0
-1616,-731,1039,379,121,200,0
-1684,-724,1036,370,44,200,0
-1717,-641,928,312,-14,224,0
-1707,-712,939,201,-29,263,1
-1718,-726,954,69,-73,314,1
-1928,-698,1080,-35,-124,371,1
-1822,-648,1173,-100,-165,436,1
-1762,-722,1260,-131,-155,489,1
-1703,-667,1362,-124,-130,525,1
-1619,-628,1351,-109,-69,521,1
-1646,-606,1290,-135,1,491,1
-1729,-525,1241,-210,45,467,1
-1821,-453,1195,-336,29,454,1
-1908,-394,1179,-505,3,457,1
-1937,-329,1205,-692,-68,470,1
-1940,-332,1190,-888,-149,484,1
-1850,-378,1209,-1094,-242,494,1
-1754,-254,1166,-1321,-223,497,1
-1756,-224,1070,-1597,-164,496,1
-1766,-194,1001,-1929,-96,508,1
-1825,-135,902,-2308,-23,538,1
-1828,-118,842,-2725,13,580,1
-1818,-78,718,-3177,20,627,1
-1799,-90,588,-3686,54,688,1
-1810,-54,449,-4234,112,758,1
-1842,-6,349,-4803,52,843,1
-1875,-84,80,-5434,16,960,1
-1926,-132,-76,-6119,-19,1101,1
-1830,-370,35,-6761,43,1234,1
-1296,-640,546,-7132,127,1183,1
-1073,-691,854,-7156,145,918,1
-1143,-893,1150,-6879,386,635,1
-1549,-438,478,-6896,409,442,1
-1860,-689,255,-6869,436,445,1
-2044,-568,-22,-6570,494,577,1
-1950,-474,-277,-6839,388,697,1
-1691,-871,223,-6734,371,775,1
-1460,-1006,586,-6225,505,749,1
-1425,-934,445,-5972,547,619,1
-1606,-1164,650,-5269,334,532,1
-1698,-1074,604,-4638,-154,532,1
-1734,-900,650,-3854,-529,597,1
-1819,-721,222,-3144,-705,722,1
-1795,-627,-252,-2618,-740,864,1
-1682,-637,-578,-2195,-538,971,1
-1523,-677,-646,-1824,-83,1007,1
-1521,-656,-648,-1453,360,949,0
-1905,-582,-563,-1068,534,846,0
-1917,-549,-584,-701,487,741,0
-2020,-536,-581,-375,286,660,0
-1999,-186,-812,-108,-247,579,0
-2148,-517,-785,106,-555,551,0
-2246,-805,-765,284,-485,605,0
-2140,-834,-847,435,-383,676,0
-1929,-733,-793,575,-357,721,0
-1826,-660,-692,727,-388,721,0
-1926,-623,-660,870,-378,708,0
-1918,-618,-690,969,-288,688,0
-1854,-645,-790,906,28,665,0
-1763,-695,-648,1139,178,590,0
-1591,-667,-569,1189,149,467,0
-1570,-647,-328,1201,44,308,0
-1785,-624,-316,1337,-29,168,0
-1986,-756,-284,1491,-36,88,0
-2116,-762,-518,1502,-219,45,0
-2144,-874,-135,1512,-481,29,0
-2161,-825,-318,1829,-600,-11,0
-2055,-878,-236,1888,-609,-57,0
-1977,-943,-125,1902,-494,-123,0
-1979,-902,-232,1957,-245,-199,0
-2008,-874,-280,1976,-3,-278,0
-2052,-761,-621,1813,214,-348,0
-2162,-919,15,2012,380,-397,0
-2226,-851,-158,2056,485,-431,0
-2346,-718,-587,1957,358,-455,0
-2436,-959,232,2094,67,-449,0
-2327,-891,-2,2173,-249,-445,0
-2188,-942,20,2227,-430,-458,0
-2020,-903,-158,2259,-486,-499,0
-1916,-1196,808,2143,-406,-545,0
-1842,-979,149,2465,-299,-604,0
-1821,-969,127,2561,-71,-668,0
-1823,-976,187,2635,50,-733,0
-1855,-958,242,2692,129,-785,0
-1934,-930,283,2723,89,-813,0
-1962,-943,267,2721,18,-818,0
-1964,-916,244,2689,-74,-810,0
-2001,-843,241,2629,-214,-787,0
-1971,-852,291,2556,-315,-749,0
-1899,-876,346,2475,-335,-715,0
-1921,-885,371,2391,-320,-671,0
-1879,-878,402,2309,-199,-615,0
-1878,-801,396,2225,-125,-570,0
-1900,-709,325,2112,-83,-525,0
-1849,-688,284,1950,-15,-487,0
-1848,-685,316,1752,68,-461,0
-1859,-689,371,1537,143,-445,0
-1887,-677,416,1325,172,-436,0
-1834,-717,511,1140,166,-447,0
-1813,-755,638,1023,150,-488,0
-1839,-740,669,963,62,-536,0
-1841,-801,694,942,-26,-573,0
-1827,-874,688,937,-87,-596,0
-1826,-867,649,921,-117,-597,0
-1780,-840,571,870,-57,-586,0
-1805,-832,550,784,31,-569,0
-1860,-849,546,684,110,-533,0
-1914,-840,570,581,139,-479,0
-1973,-810,573,483,107,-404,0
-1961,-842,582,388,38,-318,0
-1883,-842,647,318,-26,-249,0
-1797,-849,693,279,-63,-214,0
-1631,-892,716,269,-26,-226,0
-1493,-892,760,298,76,-277,0
-1474,-919,814,379,260,-335,0
-1518,-983,790,502,479,-375,0
-1594,-969,760,646,640,-395,0
-1713,-933,770,800,667,-394,0
-1874,-960,672,923,476,-367,0
-2053,-938,565,962,226,-307,0
-2140,-887,455,921,-137,-222,0
-2095,-825,382,829,-426,-126,0
-1930,-861,366,709,-501,-32,0
-1728,-843,294,574,-369,43,0
-1436,-1133,500,445,-233,77,0
-1350,-1020,525,342,115,71,0
-1267,-940,423,242,648,38,0
-1357,-875,394,137,1014,-13,0
-1594,-857,345,34,1303,-43,0
-1864,-860,330,-59,1554,-38,0
-2083,-713,387,-132,1804,5,0
-2259,-552,464,-167,1597,88,0
-2070,-422,325,-187,1549,169,0
-2086,-683,527,-208,1423,239,0
-2128,-1019,453,-244,1055,290,0
-2132,-1074,300,-286,594,331,0
-2055,-923,310,-298,197,354,0
-1900,-780,448,-258,-137,366,0
-1793,-800,536,-188,-244,396,0
-1918,-866,457,-134,-230,468,0
-2085,-882,330,-112,-310,570,0
-2093,-907,406,-75,-522,644,0
-1755,-925,692,26,-813,626,0
-1497,-884,706,183,-751,503,0
-1484,-879,650,341,-607,333,0
-1539,-876,519,467,-594,164,0
-1579,-839,435,536,-518,19,0
-1666,-833,425,552,-470,-81,0
-1800,-800,322,497,-416,-113,0
-1805,-864,257,381,-216,-97,0
-1602,-944,269,258,6,-101,0
-1530,-838,252,153,20,-188,0
-1603,-754,320,85,-54,-289,0
-1750,-817,426,54,-144,-341,0
-1846,-875,473,35,-406,-331,0
-1829,-795,428,9,-626,-285,0
