AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-1927,-450,230,-237,45,-18,0
-1924,-459,221,-237,57,7,0
-1923,-461,223,-234,82,36,0
-1930,-460,224,-229,116,70,0
-1937,-477,250,-213,163,109,0
-1917,-506,281,-185,215,141,0
-1914,-490,267,-153,247,151,0
-1910,-433,230,-131,214,140,0
-1911,-448,229,-121,175,119,0
-1961,-437,190,-127,127,97,0
-1984,-394,158,-146,0,85,0
-1964,-447,170,-169,-56,79,0
-1945,-465,153,-197,-60,75,0
-1923,-474,162,-220,-5,75,0
-1939,-486,201,-237,67,76,0
-1950,-513,223,-235,104,81,0
-1967,-526,262,-220,147,95,0
-1992,-537,295,-191,163,118,0
-2003,-526,305,-152,129,138,0
-1988,-522,289,-115,70,150,0
-1962,-512,258,-90,-6,148,0
-1935,-493,212,-88,-60,132,0
-1932,-480,162,-112,-67,115,0
-1961,-524,147,-148,-35,110,0
-1984,-513,186,-179,1,124,0
-1967,-502,216,-193,48,144,0
-1953,-518,228,-196,64,155,0
-1939,-530,238,-195,73,162,0
-1943,-527,243,-190,68,162,0
-1972,-501,233,-184,24,166,0
-1972,-481,233,-183,-37,177,0
-2016,-457,207,-195,-86,198,0
-2025,-407,163,-224,-151,230,0
-1974,-360,119,-276,-232,251,0
-2017,-289,88,-345,-309,264,0
-2118,-186,39,-440,-416,298,0
-2248,-164,-51,-573,-674,379,0
-2200,-192,-104,-748,-733,515,0
-2099,-249,-101,-953,-486,678,0
-2036,-456,-11,-1130,-335,813,1
-1828,-319,111,-1238,-39,933,1
-1969,-344,80,-1301,117,1034,1
-1817,-368,112,-1326,208,1066,1
-1703,-351,199,-1297,394,1010,1
-1785,-392,211,-1221,566,900,1
-1777,-411,256,-1096,684,760,1
-1747,-413,265,-901,843,567,1
-1880,-347,221,-648,910,347,1
-2059,-266,75,-383,936,164,1
-2289,-163,-48,-141,896,46,1
-2418,-57,-182,72,789,-10,1
-2377,-11,-293,239,657,-46,1
-2259,-37,-380,359,531,-107,1
-2078,-101,-312,490,432,-218,1
-1951,-198,-262,687,437,-368,1
-2000,-332,-125,989,429,-521,1
-2019,-403,-21,1417,447,-640,1
-1993,-453,1,1943,520,-733,1
-2000,-446,-25,2527,552,-808,1
-2014,-424,-53,3118,576,-847,1
-2064,-552,-235,3638,639,-843,1
-2034,-595,-122,4119,621,-813,1
-1983,-729,12,4632,636,-782,1
-2043,-793,89,5176,510,-764,1
-2033,-863,117,5695,211,-769,1
-1984,-1061,-41,6134,-19,-818,1
-1943,-803,-49,6507,-480,-910,1
-1959,-693,-256,6769,-736,-969,1
-2040,-408,-614,6812,-888,-945,1
-1984,-385,-730,6618,-847,-867,1
-2027,-378,-876,6182,-644,-736,1
-1937,-272,-572,5640,-454,-610,1
-1836,-280,-26,5199,-321,-546,1
-1736,-212,465,4958,-203,-534,1
-1702,-276,597,4817,54,-520,1
-1718,-85,690,4680,402,-459,1
-1800,64,617,4486,619,-403,1
-1978,56,527,4166,607,-377,1
-2049,268,404,3737,355,-378,1
-1968,225,304,3219,61,-423,1
-1939,233,224,2641,-38,-454,1
-1956,242,450,2112,98,-424,1
-1989,185,739,1719,253,-366,1
-2117,102,1064,1487,283,-294,1
-2136,12,1270,1406,154,-224,1
-2044,-56,1347,1427,-44,-182,1
-1969,-124,1245,1478,-124,-155,1
-1843,-161,1102,1511,-152,-151,1
-1802,-187,960,1500,-92,-164,1
-1839,-210,821,1430,-52,-180,1
-1834,-187,755,1317,-124,-202,1
-1891,-174,711,1173,-227,-218,1
-1967,-172,749,999,-323,-216,0
-2027,-183,741,794,-454,-214,0
-1874,-66,740,562,-476,-188,0
-1875,-34,696,342,-659,-170,0
-1952,-69,698,145,-729,-139,0
-2018,-42,702,-14,-772,-71,0
-2064,-34,849,-128,-1297,25,0
-1831,-137,1193,-144,-886,139,0
-1708,-208,1175,-146,-280,210,0
-1918,-213,1063,-172,-16,252,0
-2108,-177,904,-226,-285,314,0
-2122,-181,830,-306,-585,395,0
-2022,-218,822,-402,-748,472,0
-1888,-250,804,-508,-779,530,0
-1813,-266,769,-628,-667,573,0
-1825,-256,726,-761,-499,613,0
-1846,-241,685,-909,-374,649,0
-1866,-242,709,-1056,-281,679,0
-1894,-260,757,-1184,-176,695,0
-1883,-258,787,-1282,-70,683,0
-1856,-233,804,-1346,-60,632,0
-1829,-227,830,-1370,-142,553,0
-1818,-270,884,-1357,-219,468,0
-1774,-326,935,-1311,-279,379,0
-1727,-348,943,-1251,-269,289,0
-1753,-342,910,-1188,-190,212,0
-1813,-339,859,-1134,-105,157,0
-1832,-354,809,-1095,-75,114,0
-1816,-352,787,-1076,-86,75,0
-1822,-343,789,-1075,-55,45,0
-1880,-349,773,-1085,22,44,0
-1937,-346,729,-1117,68,69,0
-1966,-351,702,-1168,50,112,0
-2011,-386,755,-1221,43,171,0
-2064,-437,814,-1266,41,239,0
-2074,-445,800,-1296,36,304,0
-2018,-416,767,-1321,-4,354,0
-1930,-381,773,-1336,-48,374,0
-1869,-325,770,-1342,-34,370,0
-1847,-304,740,-1360,-70,344,0
-1799,-329,691,-1405,-119,305,0
-1786,-372,687,-1475,-61,269,0
-1852,-395,652,-1559,59,260,0
-1956,-372,568,-1665,147,286,0
-1995,-360,500,-1800,168,339,0
-1969,-367,510,-1946,200,404,0
-1980,-352,531,-2095,275,473,0
-1968,-353,498,-2253,330,546,0
-1948,-398,534,-2414,389,613,0
-1985,-424,620,-2552,457,680,0
-2080,-428,669,-2655,504,755,0
-2178,-437,688,-2720,428,833,0
-2149,-456,658,-2757,229,897,0
-2061,-479,611,-2784,32,930,0
-1961,-448,518,-2817,-71,933,0
-1873,-428,426,-2862,-95,909,0
-1820,-429,372,-2911,-22,875,0
-1817,-444,342,-2954,94,840,0
-1780,-490,339,-2988,226,809,0
-1756,-542,392,-3001,408,778,0
-1758,-623,488,-2980,643,739,0
-1762,-696,554,-2913,876,676,0
-1798,-668,558,-2808,938,583,0
-1839,-583,504,-2682,815,474,0
-1851,-542,434,-2550,589,363,0
-1858,-524,404,-2427,350,269,0
-1908,-536,329,-2325,230,209,0
-1932,-543,234,-2253,231,192,0
-1941,-514,170,-2208,279,201,0
-1968,-474,142,-2174,338,225,0
-1992,-441,145,-2143,342,255,0
-1983,-481,169,-2102,330,286,0
-1962,-537,219,-2041,336,306,0
-2002,-555,234,-1958,349,314,0
-2070,-528,210,-1858,322,323,0
-2054,-483,184,-1751,188,329,0
-2014,-441,202,-1633,72,325,0
-2013,-404,173,-1518,30,316,0
-1992,-382,91,-1429,28,305,0
-1953,-375,38,-1364,52,284,0
-1935,-347,5,-1314,104,254,0
-1943,-315,1,-1268,149,219,0
-1968,-295,4,-1215,104,181,0
-2008,-282,-12,-1162,11,155,0
-2017,-328,20,-1113,-46,149,0
-2025,-377,52,-1056,-47,153,0
-2000,-383,26,-989,-31,154,0
-1927,-380,19,-907,-79,134,0
-1884,-348,36,-801,-161,91,0
-1951,-291,23,-684,-270,48,0
-2020,-209,-15,-575,-501,19,0
-1899,-123,-44,-487,-749,11,0
-1825,-148,-120,-449,-595,50,0
-2282,-242,-92,-473,-364,200,0
-2137,-220,-153,-506,-202,337,0
-2023,-107,-91,-536,-190,380,0
-2011,-115,-42,-556,-42,387,0
-2123,-185,-12,-564,42,391,1
-1959,-265,111,-532,-71,397,1
-2145,-260,145,-463,-113,408,1
-2145,-235,212,-373,-139,419,1
-2096,-197,160,-279,-245,416,1
-2021,-173,100,-203,-283,396,1
-1976,-167,8,-160,-240,361,1
-1997,-176,-51,-139,-243,329,1
-1976,-121,-73,-123,-232,313,1
-1997,-66,-99,-99,-198,307,1
-1985,-69,-111,-66,-147,316,1
-1957,-49,-134,-22,-3,324,1
-1987,-23,-102,31,141,318,1
-2065,-76,-66,94,210,304,1
-2062,-89,-16,175,202,269,1
-2030,-119,12,280,140,196,1
-2010,-140,-26,402,78,91,1
-1995,-164,-26,541,69,-35,1
-2099,-149,-42,712,37,-148,1
-2169,-158,-42,916,7,-226,1
-2186,-139,-26,1150,-18,-280,1
-2189,-188,-13,1401,-62,-322,1
-2186,-217,-22,1651,-127,-364,1
-2169,-235,4,1891,-251,-416,1
-2093,-327,31,2120,-364,-481,1
-1971,-411,48,2344,-376,-582,1
-1898,-442,127,2584,-350,-719,1
-1861,-477,165,2853,-313,-874,1
-1844,-518,153,3126,-200,-1028,1
-1877,-557,140,3395,-53,-1166,1
-1954,-482,100,3658,-19,-1279,1
-1958,-538,35,3892,73,-1355,1
-1962,-522,-1,4104,167,-1400,1
-1937,-486,10,4309,155,-1439,1
-1934,-702,-6,4505,329,-1468,1
-1884,-810,147,4725,463,-1496,1
-1756,-941,220,5010,655,-1558,1
-1656,-985,230,5343,860,-1668,1
-1746,-699,42,5679,857,-1787,1
-1768,-760,-149,5887,919,-1862,1
-1922,-754,-349,5910,1175,-1858,1
-2210,-529,-342,5798,1091,-1790,1
-2267,-735,-143,5621,1006,-1693,1
-2489,-566,131,5497,617,-1608,1
-2624,-249,258,5439,-202,-1491,1
-2473,-318,139,5325,-550,-1295,1
-2494,-177,123,5118,-512,-1010,1
-2328,-258,187,4815,-363,-698,1
-2175,-255,211,4420,-142,-467,1
-1956,-200,365,4013,-266,-385,1
-1726,-141,431,3617,-372,-416,1
-1592,-57,400,3205,-262,-471,1
-1583,-16,477,2781,-8,-497,1
-1657,20,615,2381,260,-486,1
-1746,19,801,2039,436,-455,1
-1903,44,892,1752,418,-420,1
-2005,25,918,1494,237,-386,1
-1999,58,904,1245,17,-368,1
-1936,77,733,962,-245,-368,1
-1812,89,483,605,-317,-350,0
-2083,41,439,208,-9,-274,0
-2046,-51,593,-156,203,-133,0
-2163,-143,842,-417,82,24,0
-2524,-185,795,-547,-1041,210,0
-1885,-147,1593,-476,-1071,399,0
