AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-2095,-1216,233,370,-591,-174,0
-2104,-1183,161,354,-856,-288,0
-1974,-1108,69,283,-872,-368,0
-1828,-1035,49,184,-812,-438,0
-1707,-1034,64,86,-638,-495,0
-1668,-1082,38,5,-447,-524,0
-1645,-1115,109,-54,-219,-521,0
-1621,-1123,140,-87,58,-503,0
-1640,-1087,191,-97,185,-501,0
-1696,-1020,248,-79,118,-511,0
-1735,-1006,257,-43,-57,-518,0
-1745,-1038,218,-16,-242,-505,0
-1767,-1059,178,-6,-360,-458,0
-1789,-1066,139,-11,-443,-380,0
-1759,-1071,108,-29,-489,-283,0
-1700,-1089,97,-59,-464,-188,0
-1640,-1107,90,-93,-394,-99,0
-1622,-1127,85,-123,-205,-23,0
-1571,-1161,115,-142,-41,19,0
-1522,-1176,207,-134,58,15,0
-1503,-1198,293,-103,273,-23,0
-1676,-1225,217,-70,376,-67,0
-1878,-1237,109,-55,171,-88,0
-1919,-1265,114,-51,-151,-76,0
-1818,-1354,162,-49,-258,-65,0
-1732,-1418,142,-59,-250,-86,0
-1688,-1443,96,-80,-167,-131,0
-1676,-1473,80,-100,-74,-195,0
-1647,-1546,131,-106,15,-283,0
-1668,-1647,233,-77,153,-399,0
-1697,-1683,348,-2,268,-536,0
-1761,-1718,362,102,321,-683,0
-1884,-1818,343,205,297,-822,0
-2008,-1922,215,274,44,-943,0
-1924,-1963,202,300,-47,-1062,0
-1779,-1992,116,276,-141,-1223,0
-1624,-1950,63,205,-213,-1417,0
-1461,-1911,45,114,-192,-1626,0
-1390,-1934,97,34,-139,-1827,0
-1358,-1961,203,-6,-76,-1978,0
-1315,-1958,278,-3,57,-2067,0
-1323,-1955,275,27,210,-2093,0
-1307,-1927,261,59,288,-2068,0
-1278,-1874,260,89,320,-2006,0
-1252,-1817,239,114,338,-1920,0
-1236,-1772,219,128,278,-1808,0
-1195,-1726,154,132,163,-1680,0
-1054,-1687,267,149,139,-1553,0
-948,-1665,249,184,80,-1435,0
-842,-1635,252,225,-9,-1329,0
-718,-1593,208,256,-107,-1228,0
-616,-1531,145,264,-148,-1117,0
-531,-1476,107,254,-146,-989,0
-480,-1421,80,230,-63,-838,0
-510,-1365,54,199,43,-661,0
-540,-1319,43,169,141,-459,0
-531,-1288,122,155,207,-252,0
-531,-1249,175,173,214,-52,0
-642,-1230,213,211,218,164,0
