AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
982,-1738,317,425,-522,136,0
1101,-1765,335,470,-537,120,0
1126,-1746,291,501,-419,102,0
1118,-1753,217,495,-374,93,0
1115,-1796,265,474,-300,104,0
1051,-1763,276,471,-212,138,0
990,-1749,260,478,-230,201,0
990,-1792,316,496,-256,275,0
950,-1809,324,514,-280,346,0
897,-1781,400,534,-316,409,0
899,-1752,405,569,-434,443,0
973,-1724,391,595,-628,436,0
1120,-1738,367,600,-610,398,0
1263,-1823,391,587,-395,329,0
1252,-1775,378,573,-205,238,0
1129,-1730,337,552,-62,162,0
1069,-1735,389,530,-73,103,0
988,-1700,450,513,-132,62,0
957,-1705,411,481,-218,38,0
943,-1684,398,426,-310,25,0
937,-1619,364,356,-360,23,0
861,-1618,393,278,-457,26,0
903,-1691,386,206,-572,23,0
1129,-1681,462,152,-664,-15,0
1264,-1701,476,122,-504,-68,0
1244,-1719,418,89,-219,-111,0
1118,-1718,418,60,-80,-132,0
1118,-1660,385,33,-61,-145,0
1090,-1651,389,0,-60,-161,0
1057,-1666,456,-21,-84,-177,0
1042,-1654,407,-41,-132,-187,0
1050,-1659,386,-74,-189,-200,0
1068,-1667,371,-109,-240,-210,0
1044,-1676,373,-146,-282,-208,0
1041,-1775,407,-165,-326,-189,0
1035,-1773,486,-144,-284,-143,0
1015,-1704,489,-80,-209,-72,0
1022,-1732,458,-8,-183,1,0
1057,-1716,425,47,-174,48,0
1076,-1653,324,63,-238,64,0
1108,-1656,266,26,-269,73,0
1159,-1690,186,-57,-181,74,0
1149,-1668,158,-169,-122,56,0
1076,-1738,234,-276,-50,60,0
1056,-1724,247,-369,184,98,0
1028,-1663,380,-414,226,107,1
885,-1857,457,-392,12,111,1
854,-1760,521,-302,-364,93,1
1013,-1768,645,-147,-328,67,1
1062,-1784,479,-24,-296,43,1
1176,-1719,403,47,-134,-6,1
1140,-1653,345,73,-3,-106,1
1084,-1695,263,39,2,-249,1
1092,-1684,207,-53,-70,-401,1
1043,-1616,176,-171,-15,-530,1
948,-1677,296,-281,26,-641,1
819,-1645,348,-348,-31,-720,1
829,-1590,421,-370,-51,-784,1
769,-1619,400,-373,-82,-841,1
723,-1630,371,-374,-118,-877,1
805,-1665,369,-368,-244,-927,1
852,-1697,378,-347,-381,-989,1
936,-1740,330,-328,-436,-1041,1
1064,-1669,232,-325,-479,-1101,1
1134,-1630,178,-332,-484,-1178,1
1131,-1672,74,-367,-525,-1275,1
1163,-1617,32,-420,-635,-1383,1
1088,-1579,75,-463,-621,-1468,1
1006,-1588,93,-480,-554,-1519,1
929,-1592,172,-461,-636,-1564,1
812,-1624,234,-400,-714,-1579,1
841,-1564,225,-312,-865,-1590,1
880,-1513,214,-208,-1028,-1627,1
943,-1395,76,-135,-1127,-1683,1
