AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
232,-1694,1543,-453,338,249,0
52,-1611,1590,-446,-1056,389,0
-111,-1517,1826,-362,-1849,586,0
-38,-1416,2317,-125,-1870,813,0
825,-1692,581,64,-1116,931,0
1306,-2380,864,21,366,908,0
1082,-2250,1589,55,3424,901,0
1046,-1694,1475,151,5888,869,0
678,-1029,803,179,6438,748,0
279,-722,458,83,5350,629,0
189,-870,982,-22,3683,570,0
426,-1382,1407,-30,2723,580,0
638,-1750,1374,-36,3258,605,0
540,-1669,1292,-91,4603,550,0
62,-1483,1137,-201,4905,444,0
-396,-1186,1081,-302,4183,381,0
-673,-1035,1191,-360,3154,358,0
-625,-1190,1405,-408,1982,334,0
-292,-1333,1522,-295,1543,262,0
-89,-1457,1378,-169,1981,131,0
148,-1579,1031,-39,2799,-46,0
-287,-1609,987,23,3670,-226,0
-543,-1575,1066,87,3466,-344,0
-600,-1536,1029,288,2947,-384,0
-538,-1576,1169,502,1964,-410,0
-393,-1708,1138,697,995,-454,0
-263,-1764,1451,883,813,-481,0
-303,-1769,1660,1062,1012,-453,0
-321,-1679,1671,1228,1249,-400,0
-410,-1622,1551,1264,1537,-327,0
-492,-1627,1377,1147,1584,-250,0
-563,-1713,1683,1045,1381,-188,0
-524,-1470,1340,974,1369,-184,0
-539,-1570,1432,962,1849,-181,0
-727,-1430,1395,860,1780,-180,0
-714,-1413,1356,850,1895,-131,0
-792,-1451,1279,819,1897,-34,0
-904,-1350,1237,747,1598,105,0
-955,-1269,1299,650,1290,277,0
-978,-1303,1250,528,1151,477,0
-1098,-1347,1348,425,1067,698,0
-1126,-1334,1505,311,708,883,0
-1230,-1307,1543,294,71,963,0
-991,-1373,1321,188,-758,917,0
-596,-1371,1243,37,-1292,760,0
-308,-1359,1167,-118,-1442,560,0
-431,-1314,1000,-211,-1300,413,0
-653,-1319,965,-380,-980,363,0
-896,-1461,913,-505,-473,399,0
-1050,-1959,1316,-567,-853,463,0
-776,-1910,1378,-634,-746,550,0
-659,-1608,1261,-644,-237,612,0
-484,-1531,1586,-661,218,573,0
-441,-1521,1216,-691,525,427,0
-567,-1668,1177,-774,549,263,0
-667,-1629,1259,-845,510,163,1
-578,-1594,1207,-876,760,123,1
-558,-1729,1157,-863,1389,83,1
-845,-1650,1216,-823,1937,57,1
-981,-1603,1530,-725,1824,25,1
-1124,-1625,1709,-537,1603,-20,1
-1329,-1744,1448,-328,1472,-18,1
-1677,-1992,-483,-357,1462,85,1
-2294,-2322,-1598,-849,788,318,1
-2706,-2482,-2037,-1727,1025,695,1
-1780,-2196,1548,-2199,501,908,1
-295,-1811,3081,-1646,1488,735,1
-564,-2353,1431,-1041,2080,249,1
-1659,-2984,597,-784,2762,-188,1
-2103,-2493,710,-616,2279,-534,1
-1879,-2545,825,-389,2394,-833,1
-1897,-2539,608,-162,2653,-1115,1
-2175,-2443,246,-27,2628,-1311,1
-2296,-2450,-5,25,2637,-1392,1
-2257,-2446,-33,63,2838,-1406,1
-2264,-2443,87,153,3044,-1403,1
-2245,-2426,315,312,3093,-1434,1
-2203,-2290,478,545,2943,-1564,1
-1841,-2192,780,846,2398,-1813,1
-1574,-1993,853,1191,2024,-2121,1
-1462,-1922,595,1486,1954,-2393,1
-1425,-1666,406,1686,1985,-2592,1
-1409,-1485,242,1806,2119,-2710,1
-1297,-1274,201,1856,2221,-2758,1
-1064,-938,180,1881,2487,-2747,1
-1138,-889,93,1873,2864,-2648,1
-1169,-816,118,1823,3078,-2474,1
-1056,-711,204,1757,3135,-2303,1
-903,-663,233,1684,3060,-2168,1
-905,-691,155,1598,2997,-2025,1
-905,-668,272,1526,2963,-1868,1
-895,-530,530,1535,2966,-1698,1
