AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2204,-321,1,54,-4,-28
-2229,-339,53,71,-41,-31
-2311,-409,108,79,-35,-28
-2426,-432,182,92,-72,-23
-2544,-457,253,92,-56,-39
-2685,-435,367,111,11,-98
-2831,-556,422,66,185,-172
-3010,-544,392,67,237,-251
-3215,-427,497,103,128,-314
-3391,-326,663,88,-53,-408
-3485,-199,784,-40,-245,-488
-3492,-100,844,-150,-461,-596
-3413,-55,910,-255,-583,-738
-3293,-24,929,-358,-527,-922
-3105,-36,967,-429,-446,-1105
-2902,-17,990,-511,-310,-1246
-2715,-8,1000,-598,-221,-1355
-2492,-6,1002,-700,-119,-1444
-2267,-18,958,-801,-40,-1490
-2092,-39,915,-898,34,-1510
-1943,-86,854,-1003,42,-1517
-1727,-68,788,-1089,-45,-1489
-1484,-94,711,-1188,-38,-1407
-1351,-97,692,-1246,-23,-1360
-1203,-84,696,-1309,-57,-1312
-976,-63,751,-1388,-84,-1218
-826,-29,763,-1482,-34,-1117
-698,-38,750,-1607,56,-1015
-598,-14,661,-1725,137,-901
-485,-56,540,-1825,165,-758
-425,-9,427,-1897,194,-619
-337,39,329,-1949,147,-499
-192,62,249,-1963,100,-361
-83,95,216,-1970,124,-212
-28,156,181,-1998,217,-92
5,120,91,-2087,322,36
3,96,-117,-2210,446,165
-48,-20,-386,-2253,502,308
-89,-95,-640,-2218,488,423
-171,-142,-833,-2126,437,521
-212,-176,-977,-1969,307,612
-199,-131,-1017,-1823,73,750
-176,-125,-1012,-1674,-209,959
-209,-61,-964,-1575,-403,1161
-305,-44,-992,-1601,-451,1348
-455,-80,-1176,-1610,-452,1500
-669,-47,-1359,-1545,-553,1660
-884,1,-1502,-1414,-674,1795
-1061,60,-1603,-1204,-801,1891
-1191,127,-1605,-999,-891,1951
-1293,140,-1648,-817,-935,2035
-1457,162,-1657,-631,-953,2119
-1663,221,-1658,-459,-964,2164
-1860,223,-1618,-301,-948,2195
-2034,252,-1596,-190,-881,2192
-2192,276,-1614,-80,-811,2176
-2298,292,-1601,51,-751,2146
-2428,336,-1601,174,-611,2127
-2649,343,-1709,280,-522,2101
-2833,347,-1803,475,-564,2080
-3120,448,-1828,660,-633,2010
-3276,493,-1801,840,-754,1941
-3401,558,-1740,1037,-815,1772
-3421,625,-1578,1230,-906,1623
-3408,680,-1375,1357,-955,1491
-3433,703,-1222,1421,-963,1392
-3489,720,-1108,1482,-973,1258
-3388,704,-989,1526,-968,1116
-3335,681,-884,1574,-862,1011
-3345,617,-764,1640,-845,903
-3281,612,-649,1673,-824,809
-3259,598,-567,1692,-756,722
-3313,603,-509,1716,-649,625
-3312,629,-471,1750,-519,478
-3311,630,-435,1830,-433,343
-3350,691,-340,1923,-374,214
-3303,706,-182,1965,-341,91
-3306,737,-50,1968,-267,-40
-3262,725,32,1959,-306,-121
-3208,718,144,1942,-358,-205
-3109,708,243,1908,-359,-296
-3031,693,322,1863,-265,-397
-2962,669,364,1791,-185,-464
-2898,657,424,1759,-148,-534
-2808,754,545,1719,-138,-585
-2747,575,549,1591,-42,-622
-2695,551,577,1568,-83,-707
-2562,560,686,1535,-169,-739
-2455,536,754,1446,-107,-759
-2434,471,780,1396,-85,-755
-2355,431,821,1357,-82,-780
-2319,466,904,1315,-83,-827
-2222,523,986,1211,2,-858
-2236,507,989,1097,87,-860
-2270,491,980,988,117,-890
-2218,504,980,892,114,-929
-2125,484,949,776,186,-958
-2091,450,893,692,245,-978
-1997,429,877,625,244,-978
-1950,383,872,548,246,-955
-1867,350,842,463,140,-941
-1822,290,783,367,90,-889
-1847,262,694,266,58,-841
-1848,199,578,203,-21,-822
-1799,158,497,170,-76,-805
-1758,132,477,176,-105,-787
-1725,127,479,169,-83,-789
-1675,137,494,138,-10,-788
-1660,126,449,72,86,-749
-1716,85,393,47,62,-703
-1763,90,375,12,-29,-676
-1755,95,347,-51,-146,-660
-1644,84,327,-104,-209,-627
-1622,53,307,-146,-165,-590
-1592,34,275,-170,-181,-569
-1535,27,246,-185,-152,-533
-1557,16,212,-224,-83,-501
-1558,-1,161,-250,-63,-482
-1541,-26,103,-269,-44,-458
-1544,-66,57,-279,-38,-427
-1514,-63,15,-278,-38,-394
-1514,-119,1,-263,-40,-340
-1554,-126,-6,-262,-34,-313
-1551,-123,-14,-252,-70,-281
-1534,-130,0,-249,-96,-234
-1552,-138,2,-254,-83,-183
-1598,-158,10,-265,-98,-152
-1654,-175,-26,-297,-52,-124
-1710,-197,-89,-307,-52,-94
-1777,-201,-118,-301,-67,-60
-1838,-218,-148,-286,-64,-63
-1878,-216,-174,-245,-82,-81
-1845,-184,-167,-212,-84,-74
-1882,-197,-175,-207,-29,-54
-1934,-221,-185,-211,-43,-46
-1938,-243,-202,-208,-89,-38
-1902,-264,-197,-179,-146,-22
-1882,-237,-167,-158,-119,-8
-1924,-235,-137,-145,-83,3
-1951,-218,-108,-135,-104,13
-1960,-217,-87,-149,-140,23
-1963,-210,-120,-167,-147,28
-1972,-253,-140,-163,-91,29
-1976,-268,-146,-143,-38,27
-1975,-272,-146,-118,9,17
-1954,-255,-153,-111,80,17
-1991,-266,-161,-103,119,40
-2070,-245,-190,-109,98,44
-2061,-257,-218,-95,-17,45
-2032,-276,-218,-67,-131,56
-2017,-279,-173,-26,-183,55
-2009,-274,-128,-10,-151,34
-1994,-240,-83,-6,-88,23
