AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2116,-407,-617,-95,130,-84
-2153,-367,-607,-96,119,-93
-2213,-391,-620,-123,128,-119
-2223,-401,-635,-119,86,-161
-2221,-406,-630,-131,102,-185
-2236,-425,-649,-163,140,-220
-2249,-451,-700,-194,170,-236
-2287,-474,-743,-203,181,-242
-2354,-428,-803,-239,212,-227
-2606,-410,-928,-255,324,-254
-2771,-367,-1043,-233,267,-350
-2897,-351,-1143,-236,333,-466
-3010,-347,-1293,-227,351,-614
-3136,-351,-1445,-191,366,-775
-3176,-391,-1618,-115,340,-983
-3200,-392,-1813,21,304,-1194
-3179,-389,-1948,207,223,-1420
-3027,-400,-1992,410,201,-1650
-2908,-377,-1967,579,228,-1842
-2750,-371,-1905,701,238,-2008
-2542,-365,-1838,794,166,-2120
-2234,-382,-1779,852,151,-2170
-1872,-445,-1752,901,227,-2092
-1693,-484,-1742,966,361,-1953
-1603,-529,-1756,1057,428,-1862
-1453,-529,-1752,1161,477,-1834
-1286,-607,-1790,1299,452,-1767
-1041,-630,-1723,1448,382,-1670
-908,-677,-1634,1596,335,-1535
-755,-655,-1483,1673,273,-1417
-722,-648,-1416,1734,286,-1289
-649,-627,-1327,1791,221,-1171
-558,-600,-1215,1830,162,-1033
-532,-577,-1109,1854,136,-896
-486,-547,-980,1867,116,-794
-430,-517,-860,1862,151,-703
-375,-536,-761,1841,227,-643
-276,-554,-689,1825,309,-597
-175,-588,-672,1802,451,-524
-93,-619,-667,1827,556,-421
-81,-606,-639,1880,602,-295
-76,-567,-545,1936,606,-161
-99,-534,-417,1952,562,-40
-106,-474,-288,1927,529,88
-94,-444,-185,1856,441,230
-64,-474,-123,1785,384,371
-91,-465,-54,1735,299,505
-92,-437,52,1681,184,618
-109,-405,151,1612,98,727
-72,-392,216,1504,135,812
-22,-436,224,1423,240,905
47,-456,265,1401,385,1015
35,-384,337,1391,580,1161
-47,-277,420,1358,734,1313
-183,-188,508,1274,888,1435
-264,-109,514,1162,1022,1500
-330,-96,488,1045,1170,1588
-454,-87,466,961,1165,1711
-556,-153,505,879,1012,1856
-628,-199,597,804,768,2029
-682,-240,697,698,516,2220
-705,-335,761,586,420,2380
-793,-330,795,513,424,2519
-879,-269,806,439,574,2605
-1044,-148,774,380,789,2713
-1313,4,750,373,929,2818
-1576,76,810,355,990,2884
-1817,79,928,316,978,2921
-2047,280,1040,194,953,2959
-2310,384,1071,-26,1009,2975
-2551,465,991,-237,1006,2973
-2778,574,933,-372,912,2954
-3008,708,929,-492,795,2889
-3178,638,927,-656,720,2768
-3304,531,777,-904,637,2614
-3332,431,534,-1058,529,2459
-3297,310,345,-1082,411,2333
-3234,283,294,-964,253,2270
-3226,376,456,-825,253,2178
-3203,494,692,-800,386,2051
-3248,559,837,-956,668,1927
-3440,528,719,-1251,864,1823
-3565,499,450,-1445,763,1716
-3587,485,266,-1532,561,1622
-3615,455,137,-1580,446,1512
-3620,430,-34,-1591,412,1347
-3550,449,-137,-1516,424,1172
-3463,521,-148,-1463,494,1035
-3405,548,-144,-1477,565,920
-3379,537,-180,-1528,627,796
-3281,544,-288,-1579,657,658
-3148,520,-384,-1592,680,561
-3086,567,-471,-1602,691,486
-3089,607,-493,-1559,630,435
-3089,638,-492,-1569,560,346
-3052,641,-557,-1642,501,268
-3061,669,-685,-1674,429,209
-2973,641,-763,-1668,288,160
-2901,660,-767,-1615,217,109
-2854,688,-807,-1596,284,3
-2793,688,-880,-1590,354,-93
-2750,685,-977,-1557,402,-180
-2722,678,-1047,-1482,395,-255
-2699,720,-1054,-1406,353,-327
-2671,730,-1075,-1365,309,-392
-2640,757,-1081,-1316,226,-442
-2588,763,-1098,-1290,162,-472
-2565,746,-1145,-1269,113,-516
-2501,751,-1182,-1227,47,-561
-2459,735,-1197,-1191,35,-593
-2411,693,-1223,-1146,28,-644
-2374,684,-1229,-1074,10,-683
-2334,687,-1204,-998,-9,-716
-2301,711,-1140,-941,-38,-733
-2289,718,-1090,-897,-38,-746
-2298,751,-1017,-867,-9,-785
-2276,756,-989,-879,88,-835
-2299,739,-1025,-895,166,-882
-2308,704,-1098,-894,175,-929
-2265,662,-1171,-860,135,-961
-2237,614,-1225,-815,105,-982
-2168,544,-1262,-740,53,-1000
-2148,499,-1244,-650,15,-1002
-2124,498,-1205,-580,-4,-1007
-2120,516,-1180,-531,10,-1024
-2111,515,-1154,-488,2,-1040
-2112,527,-1146,-469,-9,-1054
-2079,505,-1152,-445,-13,-1072
-2028,460,-1147,-408,-20,-1070
-1992,456,-1152,-383,8,-1090
-1958,426,-1188,-351,45,-1108
-1931,393,-1220,-288,21,-1105
-1919,399,-1163,-201,-57,-1080
-1865,402,-1089,-160,-78,-1085
-1831,384,-1044,-136,-50,-1064
-1884,395,-1001,-113,-30,-1046
-1860,343,-997,-103,-61,-1049
-1802,335,-980,-82,-60,-1059
-1778,287,-983,-57,-30,-1043
-1776,248,-976,-25,-15,-1044
-1748,220,-948,11,-16,-1031
-1714,219,-919,34,-16,-1032
-1686,184,-916,38,32,-1026
-1686,131,-933,57,39,-1011
-1657,100,-936,103,31,-981
-1663,107,-880,159,-14,-941
-1629,95,-798,177,-38,-929
-1581,73,-756,174,24,-915
-1556,50,-740,171,105,-900
-1568,13,-756,160,170,-883
-1552,-24,-762,171,187,-860
-1537,-51,-761,177,168,-832
