AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1361,322,-415,-3008,-264,2332
-1615,221,-687,-3035,-519,2392
-1883,266,-877,-2817,-933,2412
-2070,364,-882,-2602,-1225,2386
-2182,445,-813,-2450,-1260,2360
-2373,535,-691,-2333,-1089,2284
-2706,708,-625,-2294,-673,2160
-3161,919,-576,-2275,-411,2024
-3571,1015,-595,-2370,-226,1812
-4120,1028,-779,-2388,-449,1582
-4550,1062,-874,-2404,-814,1242
-4895,1032,-1001,-2429,-1169,839
-5069,994,-1169,-2368,-1573,421
-4851,937,-1228,-2258,-2032,118
-4615,864,-1280,-2191,-2077,-62
-4536,705,-1409,-2142,-1682,-260
-4447,517,-1531,-1992,-1037,-575
-4545,413,-1650,-1743,-539,-896
-4558,359,-1656,-1547,-92,-1211
-4658,437,-1700,-1391,164,-1525
-4719,452,-1893,-1249,193,-1864
-4753,354,-2135,-990,-74,-2195
-4665,447,-2192,-668,-348,-2516
-4477,492,-2161,-467,-599,-2755
-4247,535,-2087,-323,-763,-2924
-4073,492,-2031,-204,-909,-3082
-3805,382,-1897,-99,-927,-3316
-3479,363,-1903,-26,-931,-3491
-3256,211,-1852,126,-973,-3643
-2900,99,-1776,273,-1077,-3763
-2497,98,-1671,393,-1065,-3873
-2215,172,-1595,432,-1052,-3827
-1995,50,-1480,402,-1024,-3666
-1620,-28,-1593,351,-959,-3451
-1459,-206,-1764,458,-923,-3295
-1320,-202,-1794,635,-965,-3111
-1093,-278,-1847,837,-933,-2898
-1006,-347,-1737,1107,-927,-2682
-935,-296,-1492,1285,-972,-2480
-884,-332,-1294,1334,-1061,-2313
-775,-368,-1187,1381,-1244,-2182
-572,-326,-1018,1394,-1181,-2087
-401,-325,-869,1335,-920,-2006
-233,-395,-797,1274,-601,-1919
-81,-426,-786,1249,-263,-1797
-16,-515,-856,1244,159,-1650
-127,-528,-882,1348,347,-1485
-242,-547,-838,1412,402,-1313
-247,-504,-766,1443,264,-1125
-146,-506,-666,1381,178,-903
-130,-588,-692,1305,160,-694
-34,-631,-750,1268,137,-534
-72,-664,-759,1306,266,-427
102,-650,-827,1378,319,-280
202,-643,-806,1571,303,-40
212,-578,-755,1703,450,221
37,-546,-693,1884,237,469
-67,-416,-500,1973,98,582
-86,-319,-306,1976,-42,617
77,-215,-143,1936,-73,649
367,-124,0,1889,-11,803
446,-80,152,1831,55,1103
474,-10,281,1764,122,1320
571,53,353,1650,242,1557
458,71,302,1543,481,1781
363,62,249,1473,534,1950
267,-17,116,1441,567,2141
60,38,53,1505,430,2324
-115,164,90,1549,210,2468
-57,308,156,1580,-7,2646
-32,332,211,1535,0,2873
-275,328,105,1476,228,2975
-514,337,-120,1450,472,3082
-844,268,-431,1552,789,3150
-1280,310,-745,1867,833,3182
-1703,365,-796,2287,732,3196
