AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-580,-1915,-60,-128,-213,71
-612,-1907,-109,-142,-93,100
-698,-1933,-135,-162,-3,94
-716,-1941,-122,-173,50,29
-724,-1942,-126,-169,20,18
-677,-1952,-118,-171,-79,39
-625,-1935,-107,-162,-83,56
-662,-1937,-114,-155,-61,124
-721,-1936,-153,-163,-35,207
-734,-1987,-173,-183,11,238
-664,-1950,-177,-140,14,138
-714,-1971,-156,-92,-66,82
-701,-1924,-146,-95,-44,67
-739,-1982,-171,-105,24,66
-752,-1986,-191,-66,21,43
-767,-1984,-160,-18,-5,36
-744,-1973,-130,12,-68,61
-721,-1950,-98,22,-63,75
-749,-1957,-102,50,-122,79
-767,-1939,-81,68,-194,65
-773,-1917,-66,56,-156,18
-784,-1945,-90,17,-114,-13
-785,-1955,-118,0,-45,-42
-805,-1983,-119,13,6,-79
-861,-2004,-108,30,28,-105
-849,-2052,-68,29,4,-126
-809,-2083,-47,7,-15,-142
-807,-2095,-52,-27,-9,-146
-809,-2128,-91,-61,25,-181
-795,-2141,-102,-73,37,-239
-743,-2153,-81,-93,8,-283
-653,-2165,-57,-130,-12,-321
-595,-2162,-58,-180,31,-347
-579,-2167,-74,-196,38,-359
-473,-2194,-143,-179,20,-371
-405,-2228,-215,-200,-5,-399
-345,-2229,-226,-198,-85,-401
-243,-2240,-245,-164,-120,-363
-159,-2248,-271,-194,-50,-316
-147,-2239,-308,-154,95,-235
-75,-2240,-369,-128,155,-124
1,-2222,-382,-153,260,-27
100,-2158,-359,-187,398,67
296,-2118,-298,-197,655,108
206,-2166,-267,-195,971,183
299,-2099,-284,-193,1146,390
313,-1984,-286,-121,1118,584
411,-1826,-227,-47,855,692
528,-1655,-155,38,424,804
772,-1552,-19,45,-135,1214
1333,-1519,89,48,-587,1644
2210,-1281,164,-56,-479,2390
3121,-902,64,-377,226,3557
3824,-567,-64,-480,594,5768
4255,283,22,-642,749,8839
3271,1024,223,-1223,1154,12540
1063,2005,1190,-1906,-530,15027
-1641,3562,1627,-2616,-3605,16248
-3600,4901,2028,-3502,-6280,15928
-7180,5024,1816,-3950,-8228,14980
-7485,4160,1177,-3747,-9460,12736
-7303,2108,119,-3447,-6929,8716
-6558,623,-448,-2898,-543,3300
-4636,775,-2324,-582,5361,-1014
-5020,1473,-1846,2330,7134,-2266
-5971,2289,137,3761,6441,-2337
-6459,2590,1351,3405,4955,-3184
-5736,2286,1438,2426,3046,-3948
-4617,1744,774,1685,1701,-4586
-4017,1102,-203,1185,693,-5051
-3805,875,-618,1563,-26,-5435
-3632,571,-1013,1840,-291,-6208
-3328,747,-996,2143,-221,-7296
-2967,881,-940,2447,-169,-7907
-2224,1046,-464,2434,-253,-8067
-1466,888,-38,2105,-314,-7616
-1029,559,250,1571,-162,-6740
-809,91,345,1060,-41,-5849
-614,-296,358,734,-241,-5093
-433,-559,367,546,-656,-4501
-304,-779,215,362,-1011,-4104
66,-916,150,139,-1094,-3849
320,-1068,72,-41,-1022,-3690
523,-1303,182,-163,-694,-3384
550,-1377,36,-271,-147,-2983
561,-1438,51,-356,226,-2576
448,-1519,-34,-389,431,-2220
394,-1610,-83,-366,283,-1879
404,-1671,-85,-267,-73,-1514
466,-1688,-43,-240,-306,-1135
400,-1765,-58,-215,-293,-729
157,-1838,-164,-126,-380,-402
-37,-1904,-241,2,-689,-221
13,-1936,-147,146,-984,-175
-1,-1927,-8,151,-985,-142
-105,-1950,-8,54,-602,-92
-246,-2001,-24,-48,-274,-105
-286,-2010,24,-166,-136,-150
-220,-2012,52,-297,51,-127
-315,-2025,11,-443,350,-57
-358,-2046,-95,-486,451,1
-316,-2081,-72,-507,426,-31
-267,-2074,-39,-519,420,56
-326,-2066,-72,-558,443,250
-587,-2098,-262,-451,427,374
-731,-2094,-365,-290,139,423
-680,-2073,-401,-119,-169,302
-634,-2051,-301,-32,-261,296
-584,-2004,-233,-13,-104,311
-737,-1977,-170,-44,130,259
-850,-1984,-162,-69,204,182
-864,-2007,-169,-64,136,136
-876,-2007,-150,-49,110,170
-934,-2019,-168,-41,107,219
-971,-1998,-194,0,48,232
-1026,-1968,-194,37,-20,232
-1018,-1939,-197,60,-38,205
-989,-1913,-177,72,-43,146
-944,-1904,-147,66,-33,85
-883,-1871,-109,30,34,45
-896,-1879,-142,15,138,33
-921,-1884,-150,16,148,23
-930,-1883,-129,33,50,23
-933,-1870,-74,1,32,31
-949,-1859,-82,-46,30,48
-960,-1855,-86,-90,-26,59
-953,-1836,-109,-134,-61,58
-942,-1838,-152,-174,-47,49
-897,-1836,-174,-198,34,15
-872,-1834,-208,-207,51,0
-830,-1850,-210,-203,24,22
-785,-1850,-230,-187,6,56
-749,-1864,-253,-165,-34,100
-769,-1865,-261,-147,-19,135
-831,-1869,-289,-124,9,167
-908,-1871,-314,-77,2,175
-958,-1867,-310,-39,-2,138
-986,-1860,-289,-17,2,78
-1006,-1866,-313,-6,19,13
-1004,-1873,-316,17,26,-60
-960,-1872,-283,37,-15,-105
-900,-1872,-248,27,-28,-111
-857,-1885,-244,11,-14,-101
-847,-1902,-264,24,-69,-78
-835,-1899,-248,42,-108,-54
-853,-1890,-234,38,-75,-33
-879,-1893,-230,40,-61,-34
-891,-1890,-220,36,-79,-43
-939,-1892,-261,36,-21,-67
-957,-1911,-282,46,27,-116
-924,-1924,-264,62,31,-164
-885,-1936,-244,54,32,-160
