AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1886,-805,-122,57,-3,9
-1880,-800,-127,56,-24,6
-1883,-809,-125,58,-34,7
-1890,-807,-148,67,-67,1
-1856,-810,-121,77,-84,-3
-1851,-799,-100,73,-88,10
-1831,-815,-97,54,-61,21
-1838,-811,-110,46,-45,24
-1818,-820,-129,46,-60,36
-1832,-822,-146,50,-47,47
-1838,-820,-137,66,-70,50
-1824,-809,-112,60,-50,45
-1838,-818,-114,42,-10,41
-1835,-820,-125,45,-20,46
-1847,-824,-123,40,-22,59
-1868,-817,-139,58,-47,66
-1856,-816,-115,70,-103,80
-1851,-790,-80,60,-62,88
-1892,-810,-101,42,-14,97
-1934,-808,-113,51,-9,81
-1968,-796,-119,73,-46,76
-2014,-783,-95,90,-66,70
-2024,-783,-93,85,-96,45
-2004,-794,-99,83,-111,21
-2009,-815,-111,89,-99,-1
-2106,-816,-135,137,-192,40
-2335,-903,-159,171,-367,197
-2140,-942,-104,177,-473,183
-2336,-965,-155,214,-260,101
-2519,-1137,-235,326,-363,112
-2554,-1276,-261,471,-440,9
-2802,-1364,-226,643,-351,-120
-3007,-1385,-113,742,-416,-279
-3185,-1471,88,834,-469,-431
-3345,-1473,262,927,-645,-549
-3440,-1471,463,993,-968,-642
-3479,-1379,763,1041,-1286,-740
-3517,-1286,1054,1031,-1621,-877
-3379,-1154,1400,1012,-1773,-1086
-3125,-878,1767,904,-1355,-1358
-3100,-780,1909,557,-1015,-1726
-2886,-630,1964,274,-608,-2042
-2715,-613,1925,-20,-350,-2258
-2408,-550,1892,-300,-201,-2367
-2067,-617,1771,-559,-105,-2408
-1713,-631,1606,-767,-42,-2412
-1362,-602,1459,-929,54,-2378
-1041,-593,1344,-1068,158,-2348
-761,-551,1241,-1152,115,-2290
-329,-463,1246,-1267,31,-2165
190,-407,1274,-1450,-12,-2016
724,-297,1259,-1644,54,-1719
1155,-172,1295,-1910,229,-1242
1116,-52,1304,-2283,545,-726
777,322,1198,-2733,488,-155
703,416,1110,-3196,41,272
885,626,985,-3571,-382,789
840,772,804,-3947,-487,1355
516,863,508,-4151,-671,1866
296,852,232,-4251,-656,2123
25,635,-375,-4344,-210,2157
-189,507,-974,-4155,192,2027
-339,326,-1467,-3788,658,1870
-677,179,-1823,-3366,1108,1700
-1072,58,-1963,-2880,1217,1522
-1372,-81,-1992,-2532,996,1470
-1638,-176,-1964,-2174,751,1404
-1915,-237,-2038,-1942,401,1403
-2050,-353,-2173,-1757,199,1390
-2332,-552,-2415,-1503,64,1279
-2687,-760,-2672,-1130,-343,1218
-2863,-791,-2708,-735,-752,1063
-2934,-831,-2617,-418,-1041,912
-2890,-872,-2423,-169,-1209,758
-2897,-925,-2225,-3,-1379,654
-2861,-972,-1966,149,-1457,543
-2748,-966,-1665,225,-1492,435
-2604,-913,-1408,247,-1308,319
-2551,-938,-1269,197,-1095,263
-2518,-844,-1167,227,-1023,240
-2519,-863,-1065,235,-908,206
-2516,-806,-974,246,-810,178
-2526,-733,-896,234,-663,135
-2511,-685,-829,222,-508,72
-2450,-666,-774,201,-335,-21
-2397,-668,-740,201,-189,-91
-2316,-655,-681,194,-126,-147
-2211,-686,-652,194,-134,-176
-2109,-664,-590,196,-155,-180
-2013,-680,-550,185,-194,-157
-1951,-673,-514,167,-169,-135
-1902,-679,-456,143,-149,-114
-1879,-661,-416,111,-84,-108
-1852,-662,-408,75,-9,-100
-1842,-706,-405,36,57,-83
-1853,-737,-471,22,44,-64
-1835,-756,-499,45,41,-68
-1822,-774,-512,87,48,-72
-1833,-768,-473,129,-20,-67
-1781,-756,-408,157,-116,-63
-1792,-755,-363,153,-68,-68
-1844,-734,-359,133,-27,-98
-1814,-727,-365,124,-5,-125
-1809,-804,-374,153,-66,-90
-1779,-692,-320,156,-55,-65
-1802,-717,-341,111,20,-73
-1814,-715,-364,117,44,-96
-1745,-699,-358,122,43,-94
-1725,-692,-337,108,86,-60
-1712,-700,-329,105,88,-55
-1707,-711,-337,97,143,-54
-1764,-728,-344,111,116,-44
-1733,-724,-332,142,21,-24
-1757,-710,-317,142,37,-25
-1772,-698,-305,133,23,-20
-1779,-720,-318,109,-25,1
-1779,-713,-322,104,-67,11
-1778,-724,-333,97,-57,18
-1763,-728,-334,86,-47,30
-1749,-765,-334,97,-104,71
-1757,-760,-335,95,-85,83
-1807,-785,-344,94,-52,98
-1818,-783,-354,96,-30,98
-1846,-789,-348,87,-17,112
-1853,-790,-357,89,-7,110
-1891,-801,-381,85,29,112
-1926,-787,-378,102,-24,118
-1903,-798,-377,92,-33,121
-1920,-789,-393,100,0,109
-1932,-788,-393,105,13,98
-1943,-803,-395,112,42,76
-1941,-783,-374,109,48,78
-1937,-784,-362,90,65,56
-1928,-784,-376,78,91,39
-1961,-817,-410,95,17,49
-1942,-757,-370,120,-118,78
-1925,-785,-351,104,-102,76
-1921,-770,-366,102,-69,61
-1922,-767,-382,106,-20,53
-1949,-782,-391,136,-65,54
-1928,-743,-349,151,-71,29
-1921,-760,-333,143,-16,7
-1929,-734,-318,144,-15,-8
-1910,-746,-309,131,-52,-11
-1907,-730,-317,117,-51,-14
-1880,-738,-323,104,-65,-5
-1895,-742,-322,96,-37,-5
-1885,-742,-324,109,-68,-12
-1853,-737,-304,109,-78,-12
-1860,-738,-297,104,-76,4
-1846,-732,-274,88,-64,-5
-1831,-759,-291,69,-32,-11
