AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1984,-471,160,-45,22,5
-1996,-484,136,-52,31,5
-1996,-484,123,-53,44,-7
-1995,-487,116,-47,47,-9
-2003,-480,117,-36,15,-1
-1998,-499,113,-19,-45,3
-1984,-484,129,-16,-36,-7
-1965,-492,125,-13,-21,-13
-1963,-485,126,-11,3,-3
-1967,-487,130,-11,8,-3
-1963,-485,119,-3,5,4
-1972,-486,131,3,-7,18
-1992,-475,133,-2,-16,19
-1986,-479,146,-14,-15,24
-2009,-478,133,-21,18,27
-2015,-480,127,-14,-2,7
-1998,-484,148,-13,0,2
-1997,-481,143,-21,4,4
-1993,-494,130,-16,-9,6
-1995,-490,140,-13,-9,10
-1988,-497,150,-22,0,12
-1993,-498,148,-26,8,24
-2014,-498,145,-30,31,35
-2042,-509,152,-33,46,53
-2047,-509,179,-38,62,63
-2056,-526,228,-55,124,88
-2142,-491,295,-104,225,133
-2264,-492,331,-209,353,152
-2397,-502,312,-332,500,153
-2612,-555,200,-458,668,131
-2838,-664,-22,-543,732,125
-3030,-607,-194,-542,780,72
-3240,-633,-464,-503,814,-72
-3467,-692,-670,-399,876,-250
-3708,-613,-873,-233,832,-493
-3803,-598,-1018,-67,574,-742
-3769,-613,-1086,144,237,-959
-3662,-575,-1180,345,40,-1148
-3622,-553,-1289,561,12,-1397
-3509,-516,-1439,815,30,-1653
-3367,-473,-1524,1116,89,-1912
-3146,-394,-1585,1405,169,-2164
-2855,-334,-1597,1668,313,-2372
-2439,-337,-1601,1927,397,-2517
-1921,-372,-1621,2233,495,-2517
-1490,-203,-1422,2543,543,-2398
-1321,-403,-1266,2672,417,-2235
-814,-208,-1106,2682,378,-2024
-383,-330,-1055,2701,103,-1780
82,-391,-951,2841,53,-1370
419,-331,-755,2963,155,-912
412,-364,-570,3069,439,-512
324,-230,-389,3106,598,-234
317,-157,-180,3100,643,62
266,-35,38,3057,712,374
182,39,270,2973,756,702
121,142,458,2874,776,977
-82,164,637,2725,868,1263
-458,243,833,2518,818,1404
-658,279,981,2217,604,1445
-804,313,1080,1923,371,1518
-934,308,1131,1651,176,1592
-1059,224,1157,1504,10,1637
-1114,244,1316,1431,-38,1594
-1194,218,1500,1272,200,1526
-1406,165,1592,1054,450,1448
-1587,109,1636,794,620,1395
-1809,26,1637,521,719,1390
-2054,-44,1606,287,677,1399
-2334,-139,1495,89,616,1377
-2639,-226,1362,-55,490,1292
-2885,-289,1225,-146,334,1138
-3044,-354,1085,-217,238,938
-3122,-436,952,-238,148,714
-3131,-467,841,-234,123,498
-3074,-551,809,-223,123,300
-2993,-608,760,-200,147,111
-2892,-664,733,-186,129,-8
-2764,-693,721,-153,12,-61
-2594,-716,754,-129,-107,-59
-2484,-707,786,-121,-168,-56
-2399,-684,794,-160,-147,-75
-2336,-678,767,-227,-80,-88
-2294,-675,691,-285,9,-102
-2259,-686,594,-313,66,-96
-2219,-677,511,-307,136,-119
-2200,-638,430,-288,166,-126
-2185,-630,396,-265,207,-152
-2156,-602,371,-240,221,-180
-2108,-568,369,-216,229,-210
-2047,-535,388,-208,213,-207
-2021,-510,388,-232,205,-208
-1976,-489,396,-255,160,-206
-1940,-474,391,-289,119,-185
-1897,-486,384,-336,95,-158
-1886,-503,331,-368,81,-138
-1898,-517,278,-375,66,-136
-1879,-530,257,-376,33,-126
-1884,-526,197,-381,61,-130
-1871,-540,163,-371,62,-142
-1874,-550,125,-343,84,-140
-1860,-556,120,-314,91,-137
-1871,-544,130,-293,91,-136
-1873,-537,122,-288,67,-122
-1884,-551,102,-273,45,-103
-1882,-542,75,-238,4,-75
-1858,-529,87,-197,-26,-43
-1890,-521,112,-159,-44,-16
-1907,-520,137,-140,-94,5
-1906,-532,145,-132,-113,18
-1933,-521,139,-121,-94,19
-1951,-528,147,-118,-75,3
-1963,-524,154,-117,-47,-9
-1955,-526,160,-132,-11,-24
-1935,-541,151,-146,1,-28
-1948,-563,109,-150,38,-21
-1973,-575,98,-140,19,-11
-1941,-589,94,-128,3,-3
-1959,-577,99,-117,17,26
-2002,-573,100,-107,-1,36
-2024,-557,93,-99,-21,32
-2022,-564,71,-83,-25,11
-2017,-575,66,-65,-29,5
-2028,-563,85,-59,-27,-2
-2018,-571,99,-69,-40,-15
-2023,-560,109,-71,-55,-8
-2003,-575,140,-88,-66,-4
-1995,-555,133,-99,-65,-15
-1970,-562,116,-119,-37,-33
-1945,-587,75,-116,4,-32
-1954,-592,47,-83,19,-19
-1965,-584,53,-42,-16,2
-1972,-588,55,-1,-53,13
-1976,-568,77,33,-78,8
-1971,-558,102,47,-75,0
-1984,-548,108,54,-45,-15
-1976,-534,132,58,-51,-31
-1961,-521,145,49,-57,-35
-1949,-526,160,33,-69,-26
-1948,-524,179,13,-65,-9
-1937,-527,183,-8,-72,-22
-1910,-536,182,-26,-69,-18
-1889,-538,161,-41,-33,-8
-1900,-585,164,-50,2,3
-1916,-549,135,-51,28,19
-1921,-556,123,-58,34,19
-1937,-559,94,-46,58,29
-1959,-543,109,-42,40,28
-1945,-549,123,-58,26,28
-1946,-564,113,-68,25,29
-1954,-585,85,-62,28,30
-1963,-594,55,-32,20,24
