AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2239,-544,-301,329,-333,382
-2295,-617,-282,400,-414,377
-2402,-686,-275,458,-457,358
-2484,-730,-280,553,-543,329
-2583,-804,-263,648,-678,326
-2769,-862,-246,701,-775,328
-2990,-803,-262,811,-898,287
-3103,-770,-176,950,-1063,178
-3158,-631,-28,1042,-1090,63
-3181,-530,147,1110,-1100,-35
-3226,-386,395,1195,-1104,-105
-3305,-230,666,1174,-845,-281
-3356,-143,858,1069,-564,-480
-3435,-96,962,895,-342,-663
-3431,-86,969,726,-309,-813
-3314,-76,980,591,-348,-933
-3203,-93,990,451,-393,-1047
-3039,-112,1042,357,-407,-1155
-2874,-110,1091,243,-366,-1246
-2777,-126,1103,102,-251,-1307
-2706,-171,1094,-4,-278,-1366
-2546,-180,1068,-104,-300,-1407
-2409,-197,1063,-201,-263,-1414
-2325,-165,1077,-257,-257,-1431
-2226,-145,1130,-348,-252,-1458
-2135,-119,1134,-465,-225,-1491
-2060,-106,1085,-580,-206,-1512
-1952,-115,1048,-663,-218,-1533
-1848,-132,1036,-745,-197,-1550
-1775,-146,1025,-829,-163,-1578
-1660,-147,984,-907,-197,-1591
-1507,-142,932,-991,-133,-1571
-1425,-172,859,-1065,-63,-1527
-1328,-193,811,-1116,-49,-1488
-1271,-205,792,-1160,-36,-1450
-1184,-219,787,-1222,-59,-1409
-1076,-238,774,-1294,-49,-1354
-987,-260,746,-1359,-39,-1305
-924,-267,721,-1439,-25,-1253
-863,-263,669,-1541,33,-1183
-813,-322,585,-1632,54,-1119
-742,-320,524,-1690,30,-1048
-686,-437,449,-1771,63,-962
-680,-417,288,-1818,45,-868
-645,-427,214,-1841,-37,-796
-575,-431,148,-1862,-98,-691
-573,-408,96,-1873,-187,-564
-581,-332,65,-1859,-369,-477
-466,-219,91,-1841,-549,-378
-397,-248,134,-1889,-569,-248
-291,-230,126,-1977,-474,-134
-351,-259,37,-2095,-315,-44
-351,-365,-92,-2193,-281,27
-335,-417,-201,-2202,-277,97
-368,-499,-283,-2184,-356,190
-375,-497,-324,-2094,-555,300
-227,-480,-247,-2027,-756,418
-63,-441,-173,-2035,-688,549
-69,-413,-235,-2120,-384,659
-195,-476,-384,-2242,-76,806
-301,-535,-611,-2348,117,925
-417,-566,-900,-2360,148,1038
-492,-574,-1126,-2296,-7,1194
-634,-630,-1342,-2120,-261,1378
-721,-615,-1500,-1801,-692,1532
-682,-590,-1438,-1462,-1012,1676
-648,-554,-1269,-1280,-1054,1851
-839,-492,-1226,-1189,-868,1973
-1096,-455,-1298,-1129,-804,2040
-1289,-355,-1344,-991,-821,2083
-1455,-260,-1296,-797,-1007,2104
-1402,-62,-1136,-620,-1221,2155
-1471,-144,-961,-537,-1257,2269
-1609,-114,-897,-524,-1212,2316
-1742,-169,-1011,-543,-994,2311
-2017,-202,-1195,-451,-775,2291
-2217,-127,-1284,-238,-762,2239
-2367,-92,-1291,-75,-721,2223
-2570,-71,-1283,88,-667,2134
-2666,-6,-1261,216,-595,2000
-2787,-13,-1263,293,-440,1916
-2923,-42,-1336,370,-273,1821
-3127,13,-1384,495,-157,1699
-3275,11,-1385,618,-129,1651
-3353,-18,-1381,752,-108,1555
-3500,86,-1354,884,-93,1446
-3558,131,-1312,991,-134,1316
-3571,129,-1214,1065,-185,1200
-3539,152,-1147,1090,-116,1034
-3513,89,-1127,1121,-26,894
-3440,55,-1095,1179,25,782
-3350,109,-1030,1266,43,648
-3186,137,-911,1367,77,557
-3088,144,-844,1342,280,485
-3036,133,-863,1363,366,398
-2925,77,-834,1399,361,339
-2871,38,-763,1445,292,331
-2833,-16,-645,1484,123,319
-2800,-18,-541,1476,15,299
-2772,-5,-465,1448,-123,307
-2748,30,-433,1428,-133,282
-2742,91,-392,1429,-109,254
-2738,130,-391,1407,64,193
-2787,124,-421,1432,204,112
-2824,124,-373,1476,246,22
-2811,124,-295,1478,216,-50
-2809,131,-228,1454,199,-117
-2759,106,-198,1432,142,-195
-2690,120,-183,1436,51,-215
-2666,92,-125,1429,-34,-227
-2607,91,-58,1425,-85,-287
-2539,94,-25,1399,-80,-325
-2465,129,50,1396,-82,-353
-2451,72,110,1354,-40,-360
-2422,31,175,1316,42,-404
-2398,53,236,1300,53,-454
-2335,43,343,1229,114,-481
-2316,9,381,1141,183,-493
-2324,18,428,1069,205,-498
-2337,-8,426,1002,189,-512
-2333,19,414,929,182,-493
-2383,4,362,865,188,-483
-2376,-10,333,827,180,-508
-2351,-10,313,815,174,-540
-2330,-22,322,784,204,-571
-2308,-29,343,765,218,-632
-2246,-26,375,729,210,-668
-2217,-25,368,667,195,-684
-2175,-39,353,611,172,-683
-2181,-25,346,567,113,-681
-2096,-20,372,507,32,-673
-2068,-24,374,441,8,-647
-2065,-39,359,357,12,-657
-2020,-48,278,275,11,-670
-1955,-117,219,240,-6,-656
-1913,-142,198,221,-7,-657
-1834,-145,162,198,18,-671
-1831,-163,120,209,28,-674
-1793,-145,144,242,-63,-674
-1737,-117,198,211,-70,-675
-1707,-123,222,150,-59,-655
-1617,-91,219,81,-48,-641
-1569,-173,187,18,-12,-602
-1553,-191,134,-42,82,-587
-1473,-199,92,-61,92,-581
-1434,-224,85,-84,114,-533
-1497,-210,50,-124,113,-485
-1494,-219,9,-161,29,-456
-1455,-258,-54,-209,-9,-405
-1456,-303,-122,-226,-26,-335
-1461,-358,-160,-205,-66,-287
-1427,-386,-168,-156,-121,-268
