AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2209,-404,-384,-6,24,27
-2283,-397,-414,-20,-21,4
-2298,-402,-446,-42,-69,-17
-2310,-426,-483,-54,-74,-25
-2436,-422,-518,-82,-28,-29
-2659,-451,-549,-122,-120,-25
-2753,-438,-592,-179,-256,-71
-2872,-448,-736,-257,-260,-109
-2983,-446,-986,-274,-223,-177
-3113,-456,-1267,-205,-115,-276
-3246,-470,-1478,-36,-42,-425
-3289,-436,-1517,178,-3,-593
-3318,-362,-1456,346,79,-743
-3328,-325,-1348,464,162,-908
-3281,-233,-1332,508,254,-1030
-3201,-235,-1321,532,192,-1149
-3081,-221,-1326,546,177,-1209
-2979,-241,-1348,563,200,-1309
-2804,-273,-1406,617,251,-1430
-2580,-323,-1446,725,306,-1509
-2365,-343,-1419,864,376,-1581
-2195,-352,-1351,992,468,-1619
-2061,-334,-1285,1089,575,-1648
-1951,-351,-1228,1149,609,-1642
-1859,-350,-1202,1203,579,-1608
-1705,-344,-1160,1242,485,-1574
-1511,-401,-1108,1279,431,-1518
-1378,-413,-1060,1318,424,-1481
-1235,-420,-1014,1358,453,-1441
-1085,-428,-981,1398,518,-1389
-975,-454,-956,1460,559,-1321
-881,-465,-929,1530,592,-1260
-739,-483,-889,1605,605,-1205
-612,-506,-827,1679,669,-1145
-460,-497,-756,1778,642,-1069
-302,-483,-629,1844,734,-960
-204,-519,-525,1883,841,-857
-116,-548,-413,1903,928,-755
33,-589,-315,1897,1022,-650
171,-644,-223,1861,1162,-478
194,-692,-154,1819,1302,-303
257,-721,-79,1774,1367,-153
238,-719,-60,1728,1420,41
133,-691,-18,1672,1416,214
38,-678,12,1601,1329,365
-93,-631,31,1500,1245,520
-237,-606,1,1406,1076,639
-225,-542,-4,1342,862,741
-195,-433,9,1296,760,848
-215,-364,60,1265,702,965
-218,-340,124,1222,741,1038
-181,-392,164,1184,836,1110
-158,-506,220,1155,969,1215
-67,-616,280,1141,1136,1308
42,-655,323,1121,1377,1429
-26,-600,319,1029,1599,1625
-219,-532,243,908,1679,1827
-488,-390,180,837,1436,2066
-688,-231,177,759,1071,2262
-886,-98,182,691,674,2438
-928,-43,257,664,336,2558
-970,-41,343,623,233,2653
-1070,5,404,606,279,2711
-1135,6,456,599,391,2746
-1204,104,518,611,559,2800
-1417,313,628,590,705,2860
-1539,491,766,532,746,2884
-1603,570,941,414,862,2912
-1779,663,1003,178,964,2962
-2013,608,899,-65,1030,2976
-2244,623,670,-294,923,2996
-2508,577,448,-424,720,3043
-2812,688,302,-446,355,3028
-2941,767,323,-339,-88,2948
-2969,1011,605,-155,-377,2829
-2923,1127,1074,-123,-356,2682
-2939,1112,1375,-396,-48,2563
-3075,1064,1330,-741,345,2466
-3333,999,992,-1067,625,2332
-3455,943,683,-1183,540,2230
-3445,1041,613,-1169,377,2098
-3405,1203,683,-1152,353,1927
-3306,1284,839,-1172,384,1735
-3117,1205,956,-1355,543,1600
-3130,1051,708,-1721,851,1522
-3220,813,121,-1981,957,1454
-3250,688,-306,-1927,847,1384
-3248,752,-396,-1730,694,1321
-3274,886,-298,-1558,687,1230
-3318,1075,-106,-1467,664,1094
-3300,1232,50,-1533,641,961
-3247,1266,31,-1689,628,850
-3184,1153,-184,-1894,615,781
-3207,1018,-608,-2042,635,715
-3254,866,-959,-1954,524,632
-3273,866,-1006,-1715,309,542
-3176,985,-802,-1529,177,429
-3077,1101,-589,-1489,223,343
-3047,1159,-517,-1542,305,272
-3011,1203,-567,-1633,383,175
-2998,1242,-734,-1720,475,102
-3074,1211,-950,-1750,534,12
-3162,1216,-1110,-1685,451,-88
-3162,1219,-1134,-1582,319,-205
-3126,1253,-1080,-1503,221,-326
-3085,1246,-1118,-1490,200,-446
-3043,1223,-1218,-1450,168,-559
-2974,1197,-1283,-1381,95,-654
-2917,1176,-1258,-1269,-5,-739
-2830,1186,-1140,-1169,-88,-829
-2712,1241,-996,-1128,-90,-906
-2652,1241,-938,-1154,-49,-960
-2592,1216,-941,-1188,-16,-1002
-2546,1193,-1001,-1224,19,-1046
-2495,1148,-1030,-1197,16,-1095
-2436,1133,-1071,-1182,59,-1149
-2374,1080,-1127,-1147,129,-1190
-2324,1037,-1173,-1084,159,-1226
-2337,1015,-1213,-1009,154,-1249
-2348,1006,-1243,-929,76,-1288
-2305,993,-1199,-842,-24,-1322
-2245,972,-1138,-779,-106,-1351
-2197,963,-1082,-746,-79,-1364
-2157,905,-1071,-716,-60,-1406
-2072,846,-1059,-668,-39,-1422
-2016,801,-1044,-622,10,-1433
-1965,772,-1031,-584,58,-1453
-1927,727,-1024,-534,98,-1457
-1882,704,-983,-483,126,-1451
-1849,688,-970,-440,150,-1443
-1840,648,-962,-420,157,-1434
-1813,624,-958,-387,122,-1426
-1746,571,-954,-356,101,-1410
-1689,532,-903,-304,97,-1379
-1642,521,-825,-247,92,-1355
-1586,525,-763,-229,179,-1347
-1529,489,-738,-213,270,-1308
-1532,418,-738,-202,323,-1264
-1506,370,-725,-175,317,-1247
-1465,339,-707,-166,321,-1213
-1468,298,-720,-170,333,-1155
-1476,234,-747,-136,244,-1108
-1460,224,-716,-94,174,-1056
-1481,188,-660,-73,168,-1019
-1489,172,-663,-72,184,-974
-1539,135,-648,-43,145,-930
-1500,112,-611,-9,31,-889
-1463,89,-552,-2,39,-854
-1452,78,-520,-15,135,-817
-1460,34,-550,-26,202,-789
-1493,28,-569,-13,228,-749
-1535,26,-546,5,227,-706
