AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-4819,1023,-1321,-1908,-1577,-951
-4608,959,-1397,-2008,-1680,-1142
-4523,827,-1534,-2055,-1652,-1291
-4547,690,-1719,-1995,-1612,-1484
-4574,587,-1938,-1823,-1604,-1755
-4588,463,-2157,-1566,-1536,-2105
-4549,391,-2254,-1217,-1586,-2470
-4449,428,-2207,-882,-1746,-2781
-4332,474,-2088,-639,-1953,-3021
-4193,523,-1945,-502,-2229,-3180
-3930,560,-1789,-431,-2527,-3280
-3625,559,-1648,-384,-2676,-3377
-3355,475,-1586,-388,-2603,-3489
-3192,336,-1652,-336,-2430,-3625
-2997,314,-1719,-127,-2302,-3828
-2825,250,-1677,73,-2245,-3997
-2566,350,-1589,226,-2223,-4092
-2243,283,-1397,259,-2097,-4105
-1967,153,-1327,190,-2131,-4053
-1628,60,-1323,178,-2096,-3974
-1316,-100,-1350,210,-2130,-3859
-918,-277,-1373,315,-2073,-3745
-565,-446,-1375,508,-1929,-3531
-286,-575,-1350,718,-1665,-3305
-72,-665,-1325,986,-1424,-3012
-1,-717,-1256,1255,-1120,-2733
-18,-723,-1119,1506,-912,-2463
-102,-735,-945,1661,-717,-2317
-100,-556,-829,1757,-641,-2141
-84,-560,-689,1811,-655,-1984
-2,-514,-545,1816,-621,-1844
-35,-489,-480,1805,-575,-1698
-32,-455,-417,1789,-594,-1508
1,-445,-397,1766,-555,-1301
-40,-444,-364,1767,-524,-1113
-35,-430,-326,1764,-512,-980
51,-449,-316,1775,-389,-906
108,-470,-284,1810,-216,-875
211,-507,-239,1841,-27,-836
311,-499,-249,1885,159,-724
385,-556,-227,1960,311,-553
377,-563,-223,2048,427,-326
326,-583,-185,2157,449,-82
291,-547,-90,2298,338,146
308,-441,81,2352,358,323
259,-370,202,2294,466,489
176,-326,243,2201,563,653
87,-285,237,2102,678,770
-66,-259,160,2017,811,865
-219,-185,60,1983,875,938
-367,-193,-25,2055,799,1051
-338,-126,-53,2203,738,1148
-291,-44,-15,2358,829,1287
-384,16,46,2558,891,1480
-504,182,142,2748,901,1653
-646,412,275,2883,879,1854
-879,493,386,2934,782,1997
-1010,609,475,2973,691,2017
-986,619,548,2975,752,2036
-1111,567,529,3000,926,2115
-1312,568,505,3165,1027,2260
-1538,619,565,3366,1068,2438
-1946,728,632,3612,1075,2608
-2555,852,791,3860,980,2606
-2918,1048,1050,4113,790,2400
-3224,1294,1320,4283,785,2113
-3673,1442,1620,4333,826,1798
-4127,1591,1906,4309,737,1469
-4405,1675,2134,4206,554,1109
-4542,1774,2317,4105,355,764
-4634,1766,2617,4059,239,425
-4602,1808,3001,4022,157,-28
-4466,1969,3377,3818,203,-436
-4391,2056,3642,3510,295,-723
-4432,2148,3775,3125,323,-948
-4395,2191,3820,2724,217,-1131
-4399,2144,3795,2361,57,-1303
-4260,2151,3787,2056,-226,-1456
-4067,2166,3818,1757,-390,-1637
-3855,2177,3858,1434,-388,-1893
-3506,2172,3880,1113,-232,-2175
-3198,2154,3833,778,125,-2451
-3082,2098,3712,463,456,-2680
-2940,2043,3585,176,591,-2836
-2772,1978,3485,-100,632,-2912
-2573,1919,3364,-386,636,-2949
-2393,1803,3217,-658,619,-2940
-2227,1644,3049,-879,593,-2928
-2032,1524,2919,-1038,588,-2914
-1944,1448,2819,-1194,670,-2910
-1868,1392,2682,-1365,700,-2913
-1800,1328,2521,-1531,731,-2891
-1736,1298,2375,-1698,708,-2843
-1631,1248,2224,-1876,651,-2824
-1483,1173,2082,-2030,658,-2808
-1330,1124,1941,-2159,618,-2781
-1125,1095,1790,-2270,612,-2699
-906,1045,1697,-2397,616,-2599
-700,969,1596,-2544,657,-2511
-482,899,1481,-2677,740,-2442
-304,848,1317,-2811,840,-2328
-200,760,1149,-2890,875,-2177
-67,693,1013,-2929,832,-2031
190,623,962,-2961,865,-1873
367,589,954,-3032,1014,-1685
439,415,878,-3142,1161,-1554
630,319,738,-3168,1217,-1491
845,116,622,-3166,1353,-1313
904,-71,500,-3101,1442,-1119
929,-183,421,-3017,1473,-941
819,-410,338,-3005,1478,-897
955,-252,366,-2839,1271,-528
916,-439,149,-2902,1451,-277
673,-509,83,-2771,1402,6
580,-457,17,-2696,1144,232
455,-456,9,-2587,978,486
354,-439,33,-2478,761,671
332,-399,65,-2393,612,824
355,-352,77,-2348,536,990
307,-320,94,-2298,536,1179
239,-289,122,-2281,553,1360
142,-182,100,-2330,606,1540
-36,-86,24,-2418,692,1711
-343,-13,-32,-2482,669,1896
-628,54,-139,-2512,567,2051
-896,72,-242,-2496,385,2171
-1075,82,-300,-2458,167,2279
-1242,186,-350,-2425,26,2363
-1410,264,-394,-2422,30,2367
-1591,320,-526,-2460,141,2324
-1803,365,-678,-2470,177,2288
-1982,461,-760,-2438,108,2286
-2179,578,-766,-2405,2,2276
-2399,647,-752,-2407,-78,2239
-2601,672,-829,-2420,-149,2153
-2850,654,-996,-2425,-224,2069
-3137,596,-1163,-2301,-421,1937
-3303,561,-1240,-2143,-682,1742
-3364,619,-1305,-2025,-850,1555
-3444,582,-1367,-1908,-984,1359
-3584,561,-1451,-1764,-1091,1148
-3913,456,-1609,-1610,-1170,895
-4280,334,-1740,-1365,-1538,612
-4492,300,-1831,-1094,-1970,237
-4496,330,-1826,-873,-2463,-83
-4262,368,-1660,-771,-2822,-322
-3933,368,-1453,-785,-2843,-512
-3602,266,-1277,-847,-2563,-624
-3434,154,-1232,-925,-2066,-677
-3453,-10,-1271,-871,-1535,-736
-3598,-148,-1329,-723,-1124,-815
-3766,-257,-1332,-509,-984,-909
