AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-917,-1856,-181,51,70,-184
-963,-1858,-193,47,81,-158
-993,-1875,-214,68,8,-169
-971,-1875,-203,102,-35,-203
-954,-1890,-185,113,-34,-228
-958,-1919,-189,126,-36,-272
-934,-1968,-166,129,-43,-336
-885,-2008,-143,123,-42,-394
-837,-2051,-135,106,-33,-425
-813,-2092,-132,96,-10,-449
-798,-2130,-142,94,-29,-484
-740,-2155,-121,92,-46,-526
-671,-2169,-101,64,-13,-577
-577,-2176,-108,29,45,-632
-521,-2173,-147,18,105,-651
-458,-2173,-184,45,126,-653
-407,-2127,-194,101,121,-671
-289,-2045,-173,148,49,-725
-78,-1996,-130,169,-19,-814
197,-1930,-68,199,-87,-892
467,-1818,-3,214,-186,-936
806,-1761,84,141,-176,-960
1086,-1721,119,60,-150,-925
1395,-1648,127,-24,-156,-830
1650,-1568,140,-83,-27,-652
1869,-1417,116,-182,160,-389
2046,-1245,100,-344,400,-114
2318,-1068,85,-543,620,112
2934,-1025,25,-667,899,484
3847,-1151,-40,-700,1483,1343
4349,-1060,-4,-647,2258,2937
4391,-643,0,-752,2977,5025
3789,15,57,-1129,3294,7262
2718,736,-30,-1678,2498,9511
1556,1907,29,-2216,855,11812
-81,3180,-31,-2749,-1244,13656
-1836,4260,-86,-3073,-3243,14847
-4775,4894,-38,-2835,-5325,15544
-5793,5010,91,-2465,-7793,15650
-6921,4447,251,-2063,-8934,13749
-7570,3203,79,-1566,-8829,10732
-7075,2665,-150,-294,-7425,7148
-5430,2854,-861,1377,-3405,3535
-4681,2857,-626,2966,3024,564
-6253,2936,-366,4145,7566,-1554
-7818,2986,490,4501,8494,-3047
-8592,3257,1324,4059,6828,-4213
-8394,3291,1723,3228,3641,-4808
-7229,3473,1508,2117,281,-4944
-6112,3393,731,1095,-2301,-5090
-5216,3242,-282,538,-3677,-5642
-4397,3111,-835,379,-4250,-6674
-3258,2896,-876,279,-3986,-7652
-2232,2920,-540,75,-3003,-8310
-1206,2318,37,-329,-1966,-8213
-395,1711,299,-1046,-622,-7901
-168,1079,228,-1592,540,-7182
-278,513,-80,-1909,1247,-6319
-620,73,-578,-1887,1493,-5825
-494,-357,-1035,-1558,1030,-5892
-533,-621,-1160,-1008,566,-5818
-662,-780,-1141,-525,174,-5591
-717,-925,-1167,-181,49,-5670
-431,-1075,-1053,156,218,-6065
191,-1064,-584,476,493,-6514
979,-1047,-159,446,1018,-6653
1541,-1147,265,175,1784,-6229
1802,-1326,525,-92,2330,-5495
1814,-1487,544,-381,2333,-4585
1583,-1642,275,-511,1984,-3645
1005,-1706,64,-359,1639,-2794
587,-1816,-201,-72,762,-2113
721,-1810,-225,185,-190,-1822
1052,-1723,-12,253,-568,-1667
1392,-1698,124,257,-640,-1282
1579,-1683,224,154,-453,-842
1541,-1677,253,31,-63,-426
1308,-1692,180,-170,231,-85
1034,-1718,58,-288,400,157
645,-1794,-138,-281,460,274
250,-1835,-386,-176,410,276
187,-1935,-449,-3,174,163
239,-1994,-281,216,146,152
224,-2024,-124,275,101,292
173,-2089,-34,266,17,395
164,-2106,15,252,-85,409
211,-2131,44,215,-108,451
257,-2140,76,188,-93,522
307,-2147,93,165,-106,612
271,-2112,135,119,-37,691
101,-2110,82,55,63,714
-138,-2178,-16,19,197,627
-316,-2163,-70,25,283,434
-339,-2220,-66,52,287,232
-246,-2263,2,66,269,100
-61,-2166,75,79,259,87
-53,-2162,-48,36,189,201
12,-2122,16,69,110,262
3,-2117,48,23,82,444
-67,-2082,-9,22,-14,511
-190,-2225,-72,56,-149,491
156,-1606,21,37,-348,418
-299,-2187,-218,190,-250,488
-235,-2195,109,-30,-98,380
-295,-1991,-172,148,73,227
-385,-2199,73,47,120,189
-321,-2088,9,-112,220,119
-328,-2137,-25,-123,212,81
-325,-2135,-42,-136,91,36
-294,-2116,-100,-153,51,1
-244,-2125,-155,-135,25,-6
-227,-2135,-167,-58,-1,14
-258,-2080,-159,-57,-31,89
-363,-2117,-218,32,-162,95
-415,-2093,-189,59,-289,83
-368,-2048,-173,57,-262,36
-389,-2090,-168,75,-200,21
-462,-2046,-174,84,-180,-12
-454,-2017,-149,73,-221,-49
-370,-1996,-95,44,-258,-61
-303,-2002,-126,15,-255,-71
-232,-1985,-141,12,-237,-97
-166,-1966,-103,-7,-177,-99
-144,-1969,-103,-70,-101,-63
-185,-1990,-172,-100,-75,-30
-202,-2004,-214,-83,-111,-24
-235,-2012,-237,-48,-109,-14
-284,-2026,-256,-9,-134,-1
-313,-2027,-235,29,-171,-2
-313,-2017,-191,42,-201,-14
-299,-2021,-153,22,-160,-12
-355,-2018,-155,-12,-117,-10
-379,-2024,-207,-7,-216,-36
-295,-2012,-172,7,-272,-56
-231,-2006,-145,-23,-212,-45
-239,-2014,-189,-40,-125,-29
-296,-2029,-216,-35,-64,-52
-311,-2043,-248,-23,-43,-87
-298,-2076,-258,-2,-18,-108
-268,-2090,-244,20,-14,-96
-275,-2085,-232,38,10,-71
-296,-2083,-215,46,7,-65
-270,-2080,-194,52,-8,-78
-229,-2070,-174,63,-45,-85
-182,-2057,-129,45,-20,-72
-199,-2068,-129,6,13,-68
-151,-2072,-148,-18,-31,-63
-127,-2054,-201,-58,-36,-30
-187,-2059,-223,-5,-22,-3
-230,-2083,-189,-7,-25,25
-246,-2080,-204,41,-80,18
-247,-2080,-165,83,-128,0
