AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1957,-715,408,124,-35,-12
-1945,-709,401,105,-48,-23
-1935,-737,377,97,-50,-25
-1895,-754,374,122,-104,-13
-1886,-757,389,133,-88,-13
-1863,-764,394,140,-63,-18
-1846,-764,405,141,-19,-18
-1896,-771,380,146,37,-15
-1941,-766,386,170,18,-6
-1978,-758,412,181,-67,-1
-1957,-746,418,179,-115,-10
-1968,-743,422,189,-136,-18
-1947,-730,441,196,-160,-19
-1974,-739,437,178,-134,-25
-2001,-758,396,182,-133,-42
-1994,-776,393,195,-142,-57
-2035,-778,390,207,-162,-65
-2059,-798,400,222,-186,-91
-2115,-820,400,256,-192,-112
-2225,-862,392,308,-290,-113
-2334,-913,407,355,-396,-105
-2492,-979,388,362,-451,-126
-2620,-1075,367,387,-484,-192
-2724,-1113,406,447,-510,-285
-2835,-1131,544,500,-527,-370
-2918,-1118,765,579,-665,-438
-2968,-1235,1005,565,-791,-446
-3008,-1335,1221,591,-1005,-463
-2975,-1349,1545,609,-1165,-524
-2949,-1267,1906,531,-1068,-657
-3030,-1140,2217,377,-817,-845
-3180,-1023,2471,184,-678,-1020
-3219,-876,2685,-27,-583,-1204
-3229,-700,2800,-285,-540,-1383
-3187,-528,2832,-512,-595,-1538
-3081,-337,2812,-759,-659,-1693
-2875,-133,2762,-986,-718,-1874
-2603,30,2685,-1245,-732,-2030
-2244,143,2562,-1520,-686,-2183
-1854,268,2402,-1795,-608,-2336
-1428,321,2198,-2044,-574,-2447
-878,427,2018,-2270,-524,-2547
-227,541,1758,-2513,-361,-2568
460,622,1477,-2697,-187,-2473
1127,658,1192,-2780,-72,-2160
1570,697,985,-2781,-173,-1623
1957,871,923,-2745,-525,-951
2100,1072,915,-2887,-662,-218
2081,1335,885,-3066,-920,506
2034,1516,779,-3370,-927,1140
1860,1652,502,-3638,-669,1638
1602,1759,166,-3847,-325,1985
1111,1709,-275,-4049,172,2238
500,1444,-872,-4111,376,2419
62,1047,-1411,-4084,481,2507
-375,566,-1964,-3950,673,2528
-766,47,-2242,-3550,808,2487
-1611,-455,-2774,-3389,786,2463
-2074,-874,-3029,-2711,691,2308
-2648,-1071,-3227,-2117,273,2182
-3006,-1213,-3136,-1672,-214,2063
-3297,-1345,-3033,-1235,-478,1905
-3604,-1335,-2959,-778,-833,1752
-3670,-1257,-2639,-371,-1227,1597
-3574,-1165,-2251,-50,-1466,1441
-3393,-1109,-1831,187,-1567,1243
-3104,-1053,-1449,318,-1525,1033
-2803,-980,-1114,367,-1322,862
-2610,-938,-880,337,-890,698
-2550,-918,-727,211,-381,586
-2620,-943,-737,103,64,514
-2738,-950,-746,99,312,458
-2734,-901,-631,122,408,377
-2630,-858,-550,90,470,339
-2605,-925,-670,74,339,390
-2500,-939,-472,256,316,205
-2324,-710,-393,136,312,380
-2465,-869,-343,147,510,276
-2475,-810,-375,110,454,277
-2382,-899,-338,122,435,193
-2323,-862,-330,180,382,152
-2159,-867,-249,179,376,148
-2116,-857,-234,170,356,172
-2066,-913,-245,155,377,172
-2040,-996,-256,189,374,164
-2001,-963,-238,239,347,168
-1958,-985,-150,287,282,180
-1961,-938,-71,319,191,192
-1954,-894,-6,301,121,191
-1972,-887,10,265,98,169
-1951,-886,13,233,105,134
-1956,-865,2,205,173,88
-1998,-833,-6,182,239,51
-2020,-793,21,150,268,4
-2031,-780,-1,112,245,-33
-1976,-748,-14,118,101,-44
-1930,-694,-13,98,68,-46
-1902,-672,-20,70,69,-51
-1916,-652,-40,38,91,-60
-1948,-630,-52,14,53,-71
-1909,-645,-75,-29,47,-93
-1876,-669,-150,-63,68,-106
-1871,-701,-239,-61,46,-104
-1822,-739,-284,-20,-5,-102
-1780,-729,-293,19,-23,-75
-1794,-719,-258,50,-60,-33
-1793,-709,-225,59,-91,-3
-1776,-720,-219,65,-128,4
-1766,-713,-217,60,-71,0
-1773,-715,-224,61,-63,7
-1775,-726,-231,64,-72,27
-1778,-737,-239,63,-74,57
-1804,-729,-251,56,-59,78
-1809,-756,-269,48,-55,102
-1843,-760,-285,55,-49,120
-1860,-761,-296,67,-41,135
-1890,-776,-302,77,-27,145
-1921,-761,-297,98,-24,146
-1967,-756,-291,99,-13,138
-1977,-752,-279,104,-9,121
-1986,-734,-261,90,29,100
-2017,-722,-275,64,65,81
-2045,-738,-293,58,51,62
-2026,-720,-295,60,13,46
-1991,-718,-300,53,23,17
-1957,-717,-314,57,51,-11
-1967,-764,-341,103,-22,-1
-1924,-724,-322,139,-61,7
-1892,-727,-297,160,-87,12
-1868,-696,-253,166,-78,4
-1858,-675,-240,145,-59,16
-1847,-681,-242,139,-43,13
-1827,-674,-251,138,-46,17
-1811,-681,-267,159,-38,25
-1797,-692,-252,195,-88,42
-1781,-669,-234,204,-67,48
-1804,-676,-234,208,-36,67
-1830,-674,-212,210,-40,74
-1832,-687,-208,194,-33,79
-1818,-697,-213,191,-2,83
-1846,-694,-213,189,29,96
-1886,-691,-212,199,-28,116
-1874,-681,-211,191,-20,124
-1911,-701,-231,195,-19,131
-1915,-681,-240,208,-30,122
-1928,-686,-259,213,9,108
-1937,-679,-269,227,28,99
-1943,-661,-257,237,25,102
-1938,-666,-251,238,28,95
-1934,-681,-273,249,36,90
-1941,-666,-272,278,17,87
-1919,-650,-258,290,18,82
-1897,-642,-252,292,38,81
