AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1954,-619,-366,-170,32,89
-1968,-622,-357,-217,-5,110
-1979,-624,-331,-287,-14,134
-2045,-612,-312,-382,17,163
-2075,-608,-315,-501,29,182
-2101,-601,-334,-626,105,208
-2177,-565,-361,-777,250,249
-2331,-524,-408,-994,370,293
-2499,-465,-494,-1254,454,349
-2732,-410,-723,-1516,563,372
-2979,-417,-1086,-1682,814,309
-3311,-732,-1503,-1635,1001,116
-3423,-538,-1802,-1424,952,-139
-3485,-545,-2054,-1203,1026,-402
-3454,-559,-2253,-899,895,-613
-3373,-600,-2418,-544,847,-822
-3260,-655,-2509,-130,830,-1053
-3085,-542,-2539,238,699,-1274
-2861,-561,-2553,520,800,-1491
-2642,-610,-2696,805,845,-1632
-2317,-682,-2841,1225,682,-1670
-1925,-607,-2705,1764,298,-1556
-1672,-531,-2520,2214,93,-1400
-1505,-493,-2109,2418,102,-1276
-1457,-450,-1987,2606,102,-1270
-1298,-403,-1914,2727,214,-1274
-1284,-347,-1849,2910,266,-1192
-1317,-365,-1685,3277,-57,-1120
-1217,-155,-1387,3139,-199,-951
-918,-375,-1217,3308,-172,-898
-873,-233,-1245,3395,-636,-755
-626,-238,-1126,3446,-345,-624
-579,-199,-1026,3533,-207,-541
-389,-81,-809,3711,-85,-464
-344,-127,-659,3764,12,-316
-121,-61,-417,3741,382,-210
115,10,-306,3655,716,-21
591,-114,-367,3560,1140,299
460,-120,-444,3756,1418,697
243,27,-351,3977,1293,1036
75,198,-221,4044,1155,1290
-111,321,-26,4086,931,1562
-189,469,212,4027,585,1772
-159,485,440,3835,472,1894
-198,459,536,3579,552,1970
-317,410,590,3355,615,2145
-589,439,666,3179,596,2312
-972,498,789,2977,502,2420
-1321,558,909,2744,371,2411
-1642,572,962,2564,291,2321
-1889,602,1047,2476,206,2203
-2115,617,1180,2383,165,2031
-2313,593,1355,2276,125,1861
-2630,552,1560,2083,127,1702
-2901,550,1631,1845,-61,1562
-3098,414,1743,1542,-372,1317
-3049,254,1783,1201,-576,1066
-2902,49,1722,925,-632,849
-2691,-133,1663,738,-540,703
-2581,-251,1567,591,-341,607
-2556,-330,1481,500,-150,569
-2599,-356,1407,430,33,526
-2720,-343,1310,337,161,485
-2834,-363,1208,252,125,429
-2844,-359,1122,189,22,337
-2789,-396,1068,117,-10,255
-2719,-425,1012,57,-23,168
-2617,-464,943,-12,14,95
-2545,-497,845,-79,93,68
-2546,-546,733,-110,83,64
-2537,-579,644,-129,82,23
-2518,-604,565,-125,72,-36
-2474,-612,523,-110,73,-82
-2444,-603,494,-106,104,-125
-2440,-593,460,-94,78,-154
-2410,-569,462,-73,-28,-185
-2340,-541,488,-56,-134,-221
-2210,-524,525,-54,-177,-259
-2090,-505,532,-91,-66,-282
-2030,-538,511,-135,52,-277
-1987,-541,462,-169,165,-275
-1978,-552,407,-185,260,-292
-1968,-545,362,-190,286,-296
-1961,-521,327,-203,254,-261
-1948,-518,316,-216,175,-222
-1932,-500,315,-209,107,-200
-1908,-466,331,-201,66,-190
-1896,-448,341,-209,95,-187
-1903,-452,336,-234,148,-201
-1892,-462,298,-223,122,-223
-1850,-455,296,-214,126,-238
-1839,-476,280,-220,204,-245
-1861,-487,282,-208,192,-250
-1896,-468,280,-231,141,-239
-1939,-489,256,-279,26,-207
-1907,-503,225,-309,-93,-175
-1868,-545,198,-319,-120,-167
-1854,-578,170,-307,-97,-169
-1852,-589,157,-275,-62,-181
-1854,-609,173,-236,-43,-188
-1838,-600,204,-219,-45,-177
-1815,-600,226,-227,-4,-153
-1819,-609,212,-253,43,-112
-1854,-629,181,-276,78,-85
-1900,-651,121,-291,91,-68
-1908,-678,90,-269,63,-66
-1876,-699,85,-238,49,-66
-1869,-699,94,-195,63,-51
-1924,-699,110,-163,43,-48
-1914,-686,139,-148,52,-50
-1959,-653,122,-144,23,-42
-1978,-649,119,-142,-9,-53
-1958,-644,117,-128,-33,-78
-1927,-643,122,-109,-47,-79
-1927,-635,138,-91,-71,-55
-1930,-639,177,-68,-90,-56
-1918,-621,205,-70,-95,-47
-1916,-623,224,-80,-52,-32
-1913,-626,236,-102,-26,-31
-1899,-648,221,-135,32,-39
-1913,-661,168,-161,104,-35
-1953,-678,116,-148,99,-26
-1956,-685,121,-121,6,-14
-1918,-670,143,-99,-37,-17
-1893,-656,144,-94,-2,-10
-1937,-643,148,-81,36,6
-1939,-635,167,-82,2,8
-1957,-628,180,-88,13,9
-1958,-638,175,-107,7,3
-1950,-643,156,-120,11,4
-1960,-650,141,-122,41,-5
-1985,-660,116,-119,57,-18
-2000,-663,104,-96,37,-31
-1986,-653,116,-78,12,-43
-1950,-648,138,-73,-29,-48
-1909,-642,144,-83,-29,-48
-1879,-647,140,-87,9,-40
-1875,-646,140,-85,23,-19
-1880,-638,151,-81,-20,7
-1879,-647,160,-84,-29,19
-1895,-632,146,-93,-6,28
-1922,-651,119,-109,43,26
-1952,-664,88,-95,58,16
-1964,-666,78,-75,39,4
-1959,-657,81,-59,25,-7
-1935,-659,93,-46,14,-15
-1930,-639,112,-40,15,-15
-1926,-646,114,-51,2,-12
-1907,-648,112,-53,-43,1
-1886,-647,131,-56,-52,16
-1893,-651,126,-56,-31,23
-1913,-655,114,-46,-15,26
